ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
ADYEN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AGN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AD.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AKZA.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
MT.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
ASM.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
ASML.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
ASRNL.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
BESI.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
DSFIR.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
EXO.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
HEIA.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
IMCD.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
INGA.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
KPN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
NN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
PHIA.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
PRX.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
RAND.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
REN.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
SHELL.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
UMG.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
UNA.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
WKL.AS,aex,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
