ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABDP.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ABC.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
AMS.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
APH.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
AFM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ALPH.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ASY.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
APGN.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ASC.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ATYM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BMK.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
PRSM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BOO.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BREE.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BRK.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BUR.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
BMN.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CAM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CTH.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CAML.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CWR.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CLIN.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CDM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CHRT.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CRW.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CREO.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
CVSG.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DTG.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DGOC.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DOTD.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GROW.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ESL.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
EMIS.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FEVR.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
TUNE.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
FDEV.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GAMA.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GTLY.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GBG.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
DATA.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GHH.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
GRP.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HGM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HZD.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HOTC.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HUR.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
HCM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IDEA.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IGR.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IMO.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IPX.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IOM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
IQE.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
ITM.L,aim,,LSE/AIM,true,online,assumed,exchange_allowlist,,2026-07-18
