ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ABI.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
ACKB.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
AED.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
AGS.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
ARGX.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
APAM.AS,bel20,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AZE.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
DIE.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
ELI.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
GBLB.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
KBC.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
LOTB.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
MELE.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
MONT.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
SOF.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
SOLB.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
SYENS.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
UCB.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
UMI.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
WDP.BR,bel20,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
