ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
AC.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
AI.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
AIR.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
MT.AS,cac40,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
CS.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
BNP.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
EN.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
BVI.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
CAP.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
CA.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ACA.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
BN.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
DSY.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
EDEN.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ENGI.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
EL.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ERF.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
RMS.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
KER.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
OR.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
LR.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
MC.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ML.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ORA.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
RI.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
PUB.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
RNO.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SAF.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SGO.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SAN.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SU.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
GLE.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
STLAP.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
STMPA.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
TEP.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
HO.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
TTE.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
URW.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
VIE.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
DG.PA,cac40,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
