ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ADS.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
AIR.PA,dax,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ALV.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BAS.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BAYN.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BEI.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BMW.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BNR.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
CBK.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
CON.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DTG.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DBK.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DB1.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DHL.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DTE.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
EOAN.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
FRE.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
FME.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
G1A.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
HNR1.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
HEI.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
HEN3.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
IFX.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
MBG.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
MRK.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
MTX.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
MUV2.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
PAH3.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
QIA.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
RHM.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
RWE.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SAP.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
G24.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SIE.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ENR.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SHL.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SY1.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
VOW3.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
VNA.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ZAL.DE,dax,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
