ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ADS.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ADYEN.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AD.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
AI.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
AIR.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
ALV.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ABI.BR,euro_stoxx50,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
ARGX.BR,euro_stoxx50,,Euronext Brussels,true,online,assumed,exchange_allowlist,,2026-07-18
ASML.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
CS.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
BAS.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BAYN.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BBVA.MC,euro_stoxx50,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
SAN.MC,euro_stoxx50,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
BMW.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
BNP.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
BN.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
DBK.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DB1.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DHL.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
DTE.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ENEL.MI,euro_stoxx50,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
ENI.MI,euro_stoxx50,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
EL.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
RACE.MI,euro_stoxx50,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
RMS.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
IBE.MC,euro_stoxx50,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ITX.MC,euro_stoxx50,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
IFX.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
INGA.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
ISP.MI,euro_stoxx50,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
OR.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
MC.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
MBG.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
MUV2.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
NDA-FI.HE,euro_stoxx50,,Nasdaq Helsinki,false,n/a,curated,exception,Finland / Helsinki is not on II's published 17-exchange list (EURO STOXX 50 includes Nordea as NDA-FI.HE).,2026-07-18
PRX.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
RHM.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SAF.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SGO.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SAN.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SAP.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
SU.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
SIE.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
ENR.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
TTE.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
DG.PA,euro_stoxx50,,Euronext Paris,true,online,assumed,exchange_allowlist,,2026-07-18
UCG.MI,euro_stoxx50,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
VOW.DE,euro_stoxx50,,Xetra/Frankfurt,true,online,assumed,exchange_allowlist,,2026-07-18
WKL.AS,euro_stoxx50,,Euronext Amsterdam,true,online,assumed,exchange_allowlist,,2026-07-18
