ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
A2A.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
AMP.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
AVIO.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
AZM.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BMED.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BMPS.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BAMI.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BPE.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BC.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
BZU.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
CPR.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
DIA.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
ENEL.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
ENI.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
RACE.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
FCT.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
FBK.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
G.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
HER.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
ISP.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
INW.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
IG.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
IVG.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
LDO.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
LTMC.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
MB.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
MONC.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
NEXI.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
PST.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
PRY.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
REC.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
SPM.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
SRG.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
STLAM.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
STMMI.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
TIT.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
TEN.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
TRN.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
UCG.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
UNI.MI,ftse_mib,,Borsa Italiana,true,online,assumed,exchange_allowlist,,2026-07-18
