ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
0005.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0388.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0939.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1299.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1398.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
2318.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
2388.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
2628.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
3968.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
3988.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0002.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0003.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0006.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0836.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1038.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
2688.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0012.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0016.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0101.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0688.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0823.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0960.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1109.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1113.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1209.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
1997.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0001.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0027.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0066.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0175.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0241.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0267.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
0285.HK,hang_seng,,HKEX,true,online,assumed,exchange_allowlist,,2026-07-18
