ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ACS.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ACX.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
AMS.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ANA.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ANE.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
BBVA.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
BKT.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
CABK.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
CLNX.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
COL.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
AENA.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ELE.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ENG.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
FDR.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
FER.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
GRF.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
IAG.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
IBE.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
IDR.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ITX.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
LOG.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
MAP.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
MRL.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
MTS.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
NTGY.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
PUIG.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
RED.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
REP.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
ROVI.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
SAB.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
SAN.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
SCYR.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
SLR.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
TEF.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
UNI.MC,ibex35,,Bolsa de Madrid,true,online,assumed,exchange_allowlist,,2026-07-18
