ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
ADBE,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMD,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ABNB,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALNY,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
GOOGL,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
GOOG,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMZN,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AEP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMGN,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ADI,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AAPL,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMAT,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
APP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ARM,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ASML,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALAB,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ADSK,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ADP,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AXON,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
BKR,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
BKNG,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AVGO,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
CDNS,nasdaq100,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
