ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
MMM,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AOS,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ABT,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ABBV,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ACN,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ADBE,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMD,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AES,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AFL,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
A,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
APD,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ABNB,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AKAM,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALB,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ARE,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALGN,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALLE,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
LNT,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ALL,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
GOOGL,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
GOOG,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MO,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMZN,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMCR,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AEE,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AEP,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AXP,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AIG,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMT,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AWK,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMP,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AME,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AMGN,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
APH,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ADI,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
AON,sp500,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
