ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
A17U.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
C38U.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
9CI.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
C09.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
D05.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
D01.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
J69U.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
BUOU.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
G13.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
H78.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
J36.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
BN4.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
AJBU.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
ME8U.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
M44U.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
N2IU.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
O39.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
S58.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
5E2.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
U96.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
C6L.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
S68.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
Z74.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
S63.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
Y92.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
U11.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
U14.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
V03.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
F34.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
BS6.SI,sti,,SGX,true,online,assumed,exchange_allowlist,,2026-07-18
