ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
AEM.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
ATD.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BMO.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BNS.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
ABX.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BCE.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BAM.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BN.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
BIP-UN.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CAE.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CCO.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CM.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CNR.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CNQ.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CP.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CTC-A.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CCL-B.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CLS.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CVE.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
GIB-A.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
CSU.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
DOL.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
EMA.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
ENB.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
FFH.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
FM.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
FSV.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
FTS.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
FNV.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
WN.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
GIL.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
H.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
IMO.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
IFC.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
K.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
L.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
MG.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
MFC.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
MRU.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
NTR.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
OTEX.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
PPL.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
POW.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
QSR.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
RCI-B.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
RY.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
SAP.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
SHOP.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
SLF.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
SU.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
TRP.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
TECK-B.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
T.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
TRI.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
TD.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
TOU.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
WCN.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
WPM.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
WSP.TO,tsx60,,TSX,true,online,assumed,exchange_allowlist,,2026-07-18
