ticker,market,isin,ii_exchange,tradable_on_ii,deal_channel,confidence,basis,exception_reason,updated_at
BABA,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
PDD,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
JD,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
BIDU,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NIO,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
LI,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
XPEV,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TME,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TM,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SONY,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
HMC,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MUFG,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
SMFG,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
MFG,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
NMR,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TAK,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
INFY,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
WIT,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
IBN,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
HDB,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
RDY,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
TSM,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
UMC,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
ASX,us_adr_asia,,NYSE/NASDAQ,true,online,assumed,exchange_allowlist,,2026-07-18
