run_at,ticker,signal,signal_rank,conviction_score,data_quality_score
2026-07-18T18:11:17.239687+00:00,SHELL.AS,strong_buy,4,0.0,0.95
2026-07-18T18:11:17.239687+00:00,ADYEN.AS,buy,3,0.0,0.9
2026-07-18T18:11:17.239687+00:00,RAND.AS,buy,3,0.0,0.95
2026-07-18T18:11:17.239687+00:00,AD.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,AKZA.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,WKL.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,AGN.AS,hold,2,0.0,0.85
2026-07-18T18:11:17.239687+00:00,KPN.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,ASRNL.AS,hold,2,0.0,0.9
2026-07-18T18:11:17.239687+00:00,PHIA.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,INGA.AS,hold,2,0.0,0.65
2026-07-18T18:11:17.239687+00:00,MT.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,NN.AS,hold,2,0.0,0.9
2026-07-18T18:11:17.239687+00:00,ABN.AS,hold,2,0.0,0.65
2026-07-18T18:11:17.239687+00:00,PRX.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,ASML.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,UNA.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,UMG.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,IMCD.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,REN.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.239687+00:00,ASM.AS,avoid,1,0.0,0.95
2026-07-18T18:11:17.239687+00:00,DSFIR.AS,avoid,1,0.0,0.95
2026-07-18T18:11:17.239687+00:00,BESI.AS,avoid,1,0.0,0.95
2026-07-18T18:11:17.239687+00:00,EXO.AS,avoid,1,0.0,0.75
2026-07-18T18:11:17.239687+00:00,HEIA.AS,avoid,1,0.0,0.95
2026-07-19T15:34:29.005141+00:00,SHELL.AS,strong_buy,4,0.4439,0.95
2026-07-19T15:34:29.005141+00:00,ADYEN.AS,buy,3,0.3566,0.9
2026-07-19T15:34:29.005141+00:00,RAND.AS,buy,3,0.3954,0.95
2026-07-19T15:34:29.005141+00:00,AD.AS,hold,2,0.3598,0.95
2026-07-19T15:34:29.005141+00:00,AKZA.AS,hold,2,0.4524,0.95
2026-07-19T15:34:29.005141+00:00,WKL.AS,hold,2,0.399,0.95
2026-07-19T15:34:29.005141+00:00,AGN.AS,hold,2,0.2259,0.85
2026-07-19T15:34:29.005141+00:00,KPN.AS,hold,2,0.3289,0.95
2026-07-19T15:34:29.005141+00:00,ASRNL.AS,hold,2,0.2059,0.9
2026-07-19T15:34:29.005141+00:00,PHIA.AS,hold,2,0.2828,0.95
2026-07-19T15:34:29.005141+00:00,INGA.AS,hold,2,0.2104,0.65
2026-07-19T15:34:29.005141+00:00,MT.AS,hold,2,0.2814,0.95
2026-07-19T15:34:29.005141+00:00,NN.AS,hold,2,0.1893,0.9
2026-07-19T15:34:29.005141+00:00,ABN.AS,hold,2,0.1429,0.65
2026-07-19T15:34:29.005141+00:00,PRX.AS,hold,2,0.2827,0.95
2026-07-19T15:34:29.005141+00:00,ASML.AS,hold,2,0.3444,0.95
2026-07-19T15:34:29.005141+00:00,UNA.AS,hold,2,0.1853,0.95
2026-07-19T15:34:29.005141+00:00,UMG.AS,hold,2,0.246,0.95
2026-07-19T15:34:29.005141+00:00,IMCD.AS,hold,2,0.1737,0.95
2026-07-19T15:34:29.005141+00:00,REN.AS,hold,2,0.1674,0.95
2026-07-19T15:34:29.005141+00:00,ASM.AS,avoid,1,0.1897,0.95
2026-07-19T15:34:29.005141+00:00,DSFIR.AS,avoid,1,0.1087,0.95
2026-07-19T15:34:29.005141+00:00,BESI.AS,avoid,1,0.1434,0.95
2026-07-19T15:34:29.005141+00:00,EXO.AS,avoid,1,0.0361,0.75
2026-07-19T15:34:29.005141+00:00,HEIA.AS,avoid,1,0.1283,0.95
2026-07-20T20:06:59.706524+00:00,SHELL.AS,strong_buy,4,0.5179,0.95
2026-07-20T20:06:59.706524+00:00,ADYEN.AS,buy,3,0.416,0.9
2026-07-20T20:06:59.706524+00:00,RAND.AS,buy,3,0.4614,0.95
2026-07-20T20:06:59.706524+00:00,AD.AS,hold,2,0.4198,0.95
2026-07-20T20:06:59.706524+00:00,AKZA.AS,hold,2,0.5278,0.95
2026-07-20T20:06:59.706524+00:00,WKL.AS,hold,2,0.4655,0.95
2026-07-20T20:06:59.706524+00:00,AGN.AS,hold,2,0.2636,0.85
2026-07-20T20:06:59.706524+00:00,KPN.AS,hold,2,0.3837,0.95
2026-07-20T20:06:59.706524+00:00,ASRNL.AS,hold,2,0.2402,0.9
2026-07-20T20:06:59.706524+00:00,PHIA.AS,hold,2,0.33,0.95
2026-07-20T20:06:59.706524+00:00,INGA.AS,hold,2,0.2455,0.65
2026-07-20T20:06:59.706524+00:00,MT.AS,hold,2,0.3283,0.95
2026-07-20T20:06:59.706524+00:00,NN.AS,hold,2,0.2209,0.9
2026-07-20T20:06:59.706524+00:00,ABN.AS,hold,2,0.1667,0.65
2026-07-20T20:06:59.706524+00:00,PRX.AS,hold,2,0.3298,0.95
2026-07-20T20:06:59.706524+00:00,ASML.AS,hold,2,0.4018,0.95
2026-07-20T20:06:59.706524+00:00,UNA.AS,hold,2,0.2161,0.95
2026-07-20T20:06:59.706524+00:00,UMG.AS,hold,2,0.287,0.95
2026-07-20T20:06:59.706524+00:00,IMCD.AS,hold,2,0.2026,0.95
2026-07-20T20:06:59.706524+00:00,REN.AS,hold,2,0.1953,0.95
2026-07-20T20:06:59.706524+00:00,ASM.AS,avoid,1,0.2213,0.95
2026-07-20T20:06:59.706524+00:00,DSFIR.AS,avoid,1,0.1268,0.95
2026-07-20T20:06:59.706524+00:00,BESI.AS,avoid,1,0.1673,0.95
2026-07-20T20:06:59.706524+00:00,EXO.AS,avoid,1,0.0421,0.75
2026-07-20T20:06:59.706524+00:00,HEIA.AS,avoid,1,0.1496,0.95
2026-07-25T09:57:16.824299+00:00,SHELL.AS,strong_buy,4,0.5918,0.95
2026-07-25T09:57:16.824299+00:00,ADYEN.AS,buy,3,0.4755,0.9
2026-07-25T09:57:16.824299+00:00,RAND.AS,buy,3,0.5273,0.95
2026-07-25T09:57:16.824299+00:00,AD.AS,hold,2,0.4798,0.95
2026-07-25T09:57:16.824299+00:00,AKZA.AS,hold,2,0.6033,0.95
2026-07-25T09:57:16.824299+00:00,WKL.AS,hold,2,0.532,0.95
2026-07-25T09:57:16.824299+00:00,AGN.AS,hold,2,0.3012,0.85
2026-07-25T09:57:16.824299+00:00,KPN.AS,hold,2,0.4386,0.95
2026-07-25T09:57:16.824299+00:00,ASRNL.AS,hold,2,0.2745,0.9
2026-07-25T09:57:16.824299+00:00,PHIA.AS,hold,2,0.3771,0.95
