ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
SHELL.AS,Shell plc,Energy,219794489344.0,10.132653,9.966874,1.474343,6.91,1.435,40.2,0.14341,0.04816254894019171,0.08756,0.447,2.2,21458374656.0,263974273024.0,57605001216.0,27582000000.0,266886000000.0,73075998720.0,31374000128.0,26.940815,370350000000.0,107173000000.0,,82415000000.0,17837000000.0,42863000000.0,0.15922528720127696,,5689891670.0,0.04152122370739585,0.16158656687019893,1.3004064794030212,1.3461077088200013,0.20424733360334818,0.1988550317459089,0.7206318347509113,0.7335020600656847,6084231158.0,4741000000.0,39.72,[],{},0.0976292659567799,4.5824888022167105,9.570526902472627,0.10448745509943047,0.09869083644727596,,0.09579245315783076,1.0,20,20,0.8691138716356109,15.0,22.0,0.7899318181818183,0.7899318181818183,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8665866666666666,True,1.0,0.9103,strong_buy,4,10,stable,0.8897,persistent
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,30293839872.0,13.634921,11.608618,2.0457253,4.25,0.772,131.305,0.14973,0.04612031208621076,0.02476,-0.043,0.033,2654374912.0,45810700288.0,5391000064.0,3082000000.0,92352000000.0,19420000256.0,3865999872.0,16.796,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.034026465028355386,0.26640330360240383,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.39186373982485245,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,34.36,[],{},0.08762094614665823,8.497625624958628,14.863952072680078,0.06727685847682452,0.07334109233196144,,0.09543272952469423,1.0,20,20,0.8166666666666667,8.0,22.0,0.5400363636363636,0.5400363636363636,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6086483333333333,True,0.8,0.8667,strong_buy,4,2,stable,0.6313,building
AKZA.AS,Akzo Nobel N.V.,Basic Materials,10407408640.0,16.32258,14.139772,2.1445222,3.26,1.884,130.976,0.14142999,0.045513188073394495,0.06428,-0.014,0.125,824625024.0,13714408448.0,1068000000.0,1164000000.0,10158000000.0,6592000000.0,3464999936.0,28.314,13952000000.0,6061000000.0,,4207000000.0,635000000.0,915000000.0,0.39860208702500494,,171069142.0,0.038037757035581446,0.40491083932405936,1.4406940812930829,1.2338266384778012,0.34848050458715596,0.37672819145203174,0.7280676605504587,0.7517018738157064,170784638.0,211000000.0,60.72,[],{},0.07923442352696934,12.841206411985018,11.7821378419244,0.08487424043213096,0.06126482455592192,,0.11944586967675731,1.0,20,20,0.7625,10.0,22.0,0.5313181818181818,0.5313181818181818,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.606585,True,0.9,0.7625,strong_buy,4,2,stable,0.5719,building
WKL.AS,Wolters Kluwer N.V.,Industrials,15121796096.0,12.03546,10.872629,19.240362,3.71,0.649,623.058,1.11652,0.13647746243739567,0.21355,0.016,0.369,985500032.0,19392665600.0,1936000000.0,1687000000.0,6125000000.0,4972000256.0,932000000.0,3.528,9584000000.0,2633000000.0,,4058000000.0,1308000000.0,1668000000.0,0.7346938775510204,,226216153.0,0.11360286376079175,0.7251521298174443,0.6488417939871858,0.7021670190274841,0.514712020033389,0.42830069488313327,0.6390859766277128,0.6228679722046747,234366515.0,117000000.0,67.88,[],{},0.06517083193977753,10.016872727272727,11.49535601659751,0.08699165111164502,0.08308780885815747,,0.3052841114730366,1.0,20,20,0.725,14.0,22.0,0.6314545454545455,0.6314545454545455,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7364266666666667,True,0.8,0.75,strong_buy,4,2,stable,0.5531,building
ADYEN.AS,Adyen N.V.,Technology,27654526976.0,26.105984,18.829987,5.2322254,,1.722,4.775,0.22329001,0.08668834869386088,0.44712,0.169,0.119,534254016.0,17079362560.0,1196995968.0,1096267000.0,2646897000.0,252366000.0,10827529216.0,167.596,12256849000.0,11689803000.0,,6787358000.0,1062526000.0,1030422000.0,0.8884433357248128,,31536692.0,0.08097509041135888,0.8931407741100045,1.7222906173506687,1.551525949324971,0.02058979432642109,0.01997815545686018,0.21595248501470485,0.19479620585195337,31485187.0,19700000.0,876.9,[],{},0.019318862928433118,14.268521379012698,15.579564613365175,0.0641866460852272,0.038305393889768724,,0.20043309331709294,0.95,19,20,0.8235294117647058,4.0,22.0,0.4153727272727272,0.4153727272727272,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,quality,risk",0.4195266666666667,True,0.83335,0.9375,buy,3,10,stable,0.5019,persistent
RAND.AS,Randstad N.V.,Industrials,6403949056.0,20.50562,12.3819475,1.6409657,4.44,1.226,53.49,0.083100006,0.027980535279805353,0.01393,0.018,0.819,360500000.0,8246449152.0,634000000.0,555000000.0,23077000000.0,2092000000.0,258000000.0,22.243,10686000000.0,5847000000.0,,4841000000.0,299000000.0,872000000.0,0.18672271092429693,,175232895.0,0.01099195710455764,0.19488433794876048,1.2078083040694072,1.2625651720542233,0.17873853640277,0.19821268990169794,2.1595545573647765,2.155674709562109,175143347.0,95000000.0,36.5,[],{},0.05629338972680297,13.007017589905363,14.858466940540541,0.0673016943135333,0.04876711847776365,,0.0949529512403764,1.0,20,20,0.6208333333333333,10.0,22.0,0.5623636363636364,0.5623636363636364,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7171766666666667,True,1.0,0.6667,buy,3,10,stable,0.6438,persistent
PHIA.AS,Koninklijke Philips N.V.,Healthcare,22226700288.0,19.947369,13.464226,1.9417641,3.74,1.257,65.049,0.10154,0.03321704275534442,0.06306,0.005,0.614,1527500032.0,27931701248.0,2416000000.0,1449000000.0,17834000000.0,7464999936.0,1788999936.0,11.711,26944000000.0,9932000000.0,,7511000000.0,895000000.0,1172000000.0,0.4518335763149041,,951288934.0,-0.024226946438431804,0.43133011486598966,1.322327253361736,1.2305992141453832,0.2898975653206651,0.25852429596907783,0.6618913301662708,0.6219284925455549,925009074.0,294000000.0,22.74,[],{},0.0687236527333157,11.561134622516557,19.276536403036577,0.051876539389227254,0.05013192466635575,,0.07456388617300468,1.0,20,20,0.6209554865424431,8.0,22.0,0.5430272727272727,0.5430272727272727,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.70137,True,1.0,0.6492,buy,3,1,improving,0.3969,new
KPN.AS,KPN KON,Communication Services,15764564992.0,18.686363,15.167503,6.7615137,4.6,0.655,218.133,0.26111,0.06734404536862004,0.15151,0.005,0.0,794499968.0,22403880960.0,2400999936.0,1435000000.0,5797000000.0,7265999872.0,419000000.0,0.608,12696000000.0,1349000000.0,,2121000000.0,855000000.0,2308000000.0,0.7236501638778678,,3825061887.0,0.06758587710209611,0.729787613778333,0.6360207449316361,0.5990547459629776,0.5500945179584121,0.5656332190961983,0.4566005040957782,0.4465609308998167,3886279040.0,268000000.0,4.111,[],{},0.050397836439076034,9.331062706034158,15.612460599303136,0.06405140263698313,0.05351496168623075,,0.13569739952718676,1.0,20,20,0.6074125258799172,9.0,22.0,0.5111181818181818,0.5111181818181818,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6164866666666666,True,0.7,0.6155,buy,3,2,stable,0.4586,building
AGN.AS,AEGON,Financial Services,12180837660.109615,13.73,8.94249,1.6542169,5.1,7.997,56.935,0.10421,0.0030797552587530303,0.080129996,-0.137,-0.467,-204500000.0,17348184064.0,,1051000000.0,26864000000.0,5406000128.0,603000000.0,4.98,317233000000.0,,,,977000000.0,434000000.0,,,1512525453.0,0.0021014691957604082,,,,0.011754767000911001,0.015257032896545404,0.08468223671560021,0.05962002504658053,1592499013.0,6000000.0,8.238,[],{},-0.016788664762334555,,16.506359718363463,0.060582709759287,0.07283321194464676,,,0.9,18,20,0.5851851851851851,5.0,22.0,0.47513181818181816,0.47513181818181816,0.22727272727272727,0.0,0.9704,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.5653633333333333,False,0.56665,0.5961,hold,2,10,stable,0.3189,persistent
ASRNL.AS,ASR Nederland N.V.,Financial Services,14645726208.0,32.81481,11.273035,1.4340049,4.81,5.013,239.303,0.05647,0.003855055539531906,0.032,0.095,-0.594,990000000.0,-53519888384.0,6451999744.0,6364000000.0,13109000000.0,24227000320.0,92259000320.0,49.428,142151000000.0,,,,548000000.0,-569000000.0,,,204558568.0,0.006912874687910407,,,,0.0627079654733347,0.07715287699701259,0.09221883771482438,0.12950455326088525,208902381.0,5668000000.0,70.88,[],{},0.06759651149693266,-8.295085323549573,-8.409787615336267,-0.11890906711798273,0.030474045103415195,,,0.95,19,20,0.5133333333333333,4.0,22.0,0.40818181818181826,0.40818181818181826,0.18181818181818182,0.0,0.9545,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.45054333333333335,False,0.53335,0.5733,hold,2,10,stable,0.3097,persistent
INGA.AS,ING Groep N.V.,Financial Services,86954270720.0,13.177489,10.56145,1.7212328,3.73,,,0.17124,0.006000540589242274,0.34493,0.111,0.221,,102659227648.0,,,22903000000.0,262074007552.0,247878991872.0,17.685,1054405000000.0,,,,6327000000.0,-6380000000.0,,,2902437688.0,0.006263320088776095,,,,0.16997169019494407,0.16787794756723123,0.021721255115444257,0.022099956395847317,3096274533.0,36368000000.0,30.44,[],{},,,,,0.07588699182370784,,,0.7,14,20,0.5714285714285714,6.0,22.0,0.4638272727272728,0.4638272727272728,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,dividend,garp",0.5415266666666667,False,0.36665000000000003,0.5077,hold,2,10,stable,0.3022,persistent
