ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
IPX.L,Impax Asset Management Group Plc,Financial Services,134133424.0,10.036364,8.040201,1.2631578,8.91,4.181,4.531,0.11825,0.13117954286896266,0.10604,-0.231,-0.543,19728876.0,81948376.0,25424000.0,31436000.0,141873000.0,4811000.0,59183000.0,0.874,154704000.0,115987000.0,,35130000.0,20294000.0,,0.6185320674124041,,124748129.0,0.20000328979833537,0.6347839377355052,3.3016510105323085,3.1341806049431495,0.0371289688695832,0.042685133401322496,0.9170609680421967,0.9327291070390719,127774274.0,420000.0,110.4,[],{},0.14708396618578826,3.22326840780365,2.606832166942359,0.38360735788101524,0.0996376775493595,,0.26289996153009854,0.95,19,20,0.7783333333333333,13.0,22.0,0.7230681818181819,0.7230681818181819,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,4,5,"cheapness,dividend,garp,risk",0.7212633333333334,True,0.83335,0.82,strong_buy,4,3,stable,0.5314,building
HCM.L,HUTCHMED (China) Limited,Healthcare,1491669376.0,4.3375,32.158585,1.6147549,,4.963,7.824,0.4525,0.2606296171860428,0.833,-0.165,-0.981,-54012624.0,246876560.0,-25852000.0,-35700000.0,548512000.0,97893000.0,1368904960.0,1.0744665,1753097000.0,1567342000.0,,315775000.0,456909000.0,,0.3867973717986115,,859744319.0,0.02961004429459832,0.4463925001705805,4.963477159369805,2.8323489890111055,0.055840036233020765,0.07049150994038594,0.31288171732653697,0.49458717497151145,854883637.0,2865000.0,173.5,[],{},-0.03620951456738896,-9.549611635463407,-6.915309803921569,-0.14460668116892103,0.23054755043227665,,-0.024837858183482893,0.9,18,20,0.7450980392156863,7.0,22.0,0.48721363636363635,0.48721363636363635,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,quality,risk",0.42938166666666666,True,0.56665,0.75,strong_buy,4,3,stable,0.3532,building
RWS.L,RWS Holdings plc,Technology,301755808.0,,5.4913883,0.40207714,7.64,1.532,11.485,-0.11861,-0.09587856662503602,-0.13596,0.046,,62875000.0,360180128.0,83900000.0,-93800000.0,690100000.0,86000000.0,33700000.0,2.022,1040900000.0,245800000.0,,164100000.0,-99800000.0,,0.4337052601072308,,369807646.0,0.03937007874015748,0.46853244221665274,1.497867154174284,1.7569444444444444,0.0773369199731002,0.08421052631578947,0.6629839561917571,0.5952755905511811,368717980.0,6500000.0,81.3,[],{},0.20836384365466795,4.2929693444576875,-3.839873432835821,-0.2604252503347436,,,-0.10697992700729927,0.9,18,20,0.7980952380952382,5.0,22.0,0.50085,0.50085,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,2,5,"cheapness,risk",0.43472999999999995,True,0.65,0.8619,buy,3,3,stable,0.2614,building
CAML.L,Central Asia Metals plc,Basic Materials,239591872.0,,4.6504803,1.1508288,8.67,2.923,0.762,-0.23356001,-0.19504221574859215,-0.32652,0.159,,61064376.0,157991936.0,94314000.0,63493000.0,229860000.0,2165000.0,79673000.0,1.2217282,384809000.0,112349000.0,,38431000.0,-75054000.0,,0.45070912729487517,,172087922.0,0.11578622487254639,0.4851311083235016,2.923395175769561,3.3457781636639896,0.005626167787135956,0.003877112868815712,0.5973353014092706,0.4830981758871064,174600726.0,2612000.0,140.6,[],{},0.2548683120602689,1.6751694976355578,2.4883362890397365,0.40187494126282497,,,0.18330552171327277,0.9,18,20,0.6833333333333335,6.0,22.0,0.5568772727272727,0.5568772727272727,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,2,5,"cheapness,risk",0.47202,True,0.75,0.8,buy,3,3,stable,0.2336,building
WJG.L,Watkin Jones Plc,Consumer Cyclical,45938456.0,,7.611749,0.35058823,,2.116,28.845,-0.0669,-0.026904537860311484,-0.03431,-0.225,,23884000.0,17053696.0,-5546000.0,-8924000.0,279837000.0,35964000.0,67064000.0,0.51,312438000.0,242863000.0,,117683000.0,-8406000.0,,0.06926174880376791,,256653097.0,0.00570974030474044,0.0932911298089527,2.0637050381108573,2.4085903285507486,0.1394324634007387,0.16378970077345137,0.8956560981698769,1.091843959878152,256653097.0,1470000.0,17.88,[],{},0.5199129896747074,-3.074954201226109,-1.9109923800986104,-0.523288324126336,,,-0.045821673384508745,0.85,17,20,0.6557539682539683,5.0,22.0,0.37192272727272724,0.37192272727272724,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,2,5,"cheapness,risk",0.28211166666666665,True,0.65,0.7646,buy,3,3,stable,0.2113,building
FDEV.L,Frontier Developments plc,Communication Services,143470224.0,8.26,11.404114,1.620879,,2.832,19.714,0.22659001,0.12538544528016038,0.1943,0.261,0.82,14494625.0,133498232.0,16261000.0,8741000.0,90600000.0,18564000.0,40113000.0,2.548,130693000.0,59720000.0,,14958000.0,16387000.0,,0.699150110375276,,38681320.0,-0.18291945308173957,0.6868600873753781,3.9925123679636316,2.9269555103227685,0.14895212444430841,0.181309366614133,0.6932276403479911,0.7604889892234953,38616525.0,1032000.0,413.0,[],{},0.10102880302187303,8.209718467498924,15.272649811234412,0.06547652256548236,0.12106537530266344,,0.07552598608891001,0.9,18,20,0.6862745098039216,10.0,22.0,0.6305454545454547,0.6305454545454547,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,quality,garp,risk",0.622815,True,0.83335,0.6875,buy,3,1,improving,0.3091,new
TFW.L,FW Thorpe Plc,Industrials,286878464.0,11.636363,,1.5890752,2.8,3.311,4.263,0.14079,0.08507,0.14733,-0.024,0.027,21218500.0,244149440.0,38458000.0,,173200992.0,7932000.0,59500000.0,1.611,238897000.0,121106000.0,,38362000.0,,,,,117321908.0,0.10662754694804796,0.48599529004880604,3.1569261248110108,2.5816583837246307,0.01742591995713634,0.020322956959538282,0.7250027919982251,0.770982992570762,117111586.0,,256.0,[],{},0.0739633770487561,6.348469499193926,,,0.08593750469970729,,,0.85,17,20,0.685,11.0,22.0,0.5967681818181818,0.5967681818181818,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6115916666666666,True,0.75,0.6758,buy,3,3,stable,0.506,building
JHD.L,James Halstead plc,Industrials,524678400.0,13.999999,12.548551,2.9302325,6.92,4.128,5.058,0.2131,0.13227001,0.14588,-0.022,-0.129,41133248.0,474280352.0,53575000.0,,259074000.0,9057000.0,70764000.0,0.43,246995000.0,202361000.0,,60573000.0,,,,,432828966.0,0.1691173475622174,0.440630672909368,3.340778894887161,3.1077900388643496,0.02585882305309824,0.029644413669504297,1.0489038239640478,1.1196326015233595,416754052.0,,126.0,[],{},0.07839706761322746,8.852643061129259,,,0.0714285765306126,,,0.85,17,20,0.6616666666666666,9.0,22.0,0.572559090909091,0.572559090909091,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6681533333333334,True,0.75,0.6392,buy,3,3,stable,0.4838,building
IGR.L,IG Design Group plc,Consumer Cyclical,78378840.0,14.0,16.548464,0.7977208,1.2,3.031,31.565,0.03392,-0.18337358839035572,-0.51561,0.093,,80881248.0,64704800.0,9734000.0,-6724066.03,563699967.05,33641000.0,54678000.0,1.053,420199632.49,307636649.21,,149851829.05,-77053514.45,,0.13838728034390793,,95308142.0,0.053867660200531346,0.17688747342356922,2.0529389007814713,1.8782907786072343,0.22964881525044284,0.19578947686752562,1.3415051405677156,1.2097368536447806,95279870.0,3350051.98,84.0,[],{},1.0319270864432288,6.6472981302650505,-9.622868025286182,-0.10391912238350169,0.07142857142857142,,-0.02487190923854617,0.95,19,20,0.6264285714285716,6.0,22.0,0.49271818181818183,0.49271818181818183,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,risk",0.4139233333333333,True,0.65,0.6239,buy,3,3,stable,0.3118,building
DOTD.L,dotdigital Group Plc,Technology,137825008.0,15.150001,8.05994,1.3135839,2.61,3.109,1.458,0.0885,0.06422,0.10762,0.043,-0.305,10574250.0,107974968.0,15439000.0,,85748000.0,1553000.0,36100000.0,0.346,123573000.0,60171000.0,,19709000.0,,,,,306848354.0,0.11046888882233735,0.7951578387550176,3.052970724034705,4.273304818216128,0.024924538531879942,0.021402972856957463,0.6939056266336497,0.7883661266009803,299216130.0,,45.45,[],{},0.076722288309245,6.993650365956344,,,0.06600659630319497,,,0.85,17,20,0.6357142857142857,5.0,22.0,0.5019636363636363,0.5019636363636363,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.5532283333333334,True,0.75,0.6193,buy,3,3,stable,0.3734,building
