ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
IPX.L,Impax Asset Management Group Plc,Financial Services,133890424.0,11.0199995,8.025636,1.2608695,9.17,4.181,4.531,0.11825,0.1311795428689626,0.10604,-0.231,-0.543,19728876.0,79518424.0,25424000.0,31436000.0,141873000.0,4811000.0,59183000.0,0.874,154704000.0,115987000.0,,35130000.0,20294000.0,23820000.0,0.6185320674124041,,124748129.0,0.2000032897983353,0.6347839377355052,3.3016510105323085,3.134180604943149,0.0371289688695832,0.0426851334013224,0.9170609680421968,0.932729107039072,127774274.0,420000.0,110.2,[],{},0.1473509113691357,3.127691315292637,2.529533782924036,0.3953297665959778,0.09074410575064,,0.2628999615300985,1.0,20,20,0.8183333333333334,14.0,22.0,0.7475181818181817,0.7475181818181817,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,4,5,"cheapness,dividend,garp,risk",0.7652633333333333,True,1.0,0.86,strong_buy,4,12,stable,0.6713,persistent,2026-07-18,neutral,0.625,53.0889149565122
CREO.L,Creo Medical Group PLC,Healthcare,59511316.0,,-9.8,1.0123967,,3.219,8.2,-0.37879002,0.0896785109983079,0.88333,,,12750000.0,42227980.0,-18600000.0,-19500000.0,6000000.0,4100000.0,12400000.0,0.121,59100000.0,23500000.0,,7300000.0,5300000.0,-19100000.0,0.4,,412473319.0,-0.4415384615384615,0.475,3.219178082191781,2.7512195121951217,0.0693739424703891,0.0676923076923076,0.1015228426395939,0.0615384615384615,412148979.0,300000.0,12.25,[],{},0.2142449681334555,-2.270321505376344,-2.165537435897436,-0.4617791331718922,,,-0.3764478764478765,0.9,18,20,0.75,5.0,22.0,0.4025,0.4025,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,3,5,"cheapness,quality,risk",0.3222116666666667,True,0.56665,0.8939,buy,3,1,improving,0.2774,new,2026-09-23,neutral,0.625,35.1044187954797
RWS.L,RWS Holdings plc,Technology,473975552.0,,8.031952,0.6315529,4.91,1.532,11.485,-0.11861,-0.095878566625036,-0.13596,0.046,,62875000.0,525135744.0,83900000.0,-93800000.0,690100000.0,86000000.0,33700000.0,2.022,1040900000.0,245800000.0,,164100000.0,-99800000.0,68800000.0,0.4337052601072308,,369807646.0,0.0393700787401574,0.4685324422166527,1.497867154174284,1.7569444444444444,0.0773369199731002,0.0842105263157894,0.6629839561917571,0.5952755905511811,368717980.0,6500000.0,127.7,[],{},0.1326545213876347,6.259067270560191,-5.598462089552239,-0.1786204825546973,,,-0.1069799270072992,0.95,19,20,0.7684656084656084,5.0,22.0,0.4992499999999999,0.4992499999999999,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,2,5,"cheapness,risk",0.4316366666666667,True,0.65,0.8263,buy,3,12,stable,0.303,persistent,2026-07-18,neutral,0.375,65.36118644839007
CAML.L,Central Asia Metals plc,Basic Materials,290373056.0,,6.1385503,1.32463,9.22,3.415,0.622,-0.13623,-0.1950422157485921,-0.16580999,0.463,2.451,74636128.0,198792240.0,137298000.0,63493000.0,229860000.0,1850000.0,97211000.0,1.2863969,384809000.0,112349000.0,,38431000.0,-75054000.0,63663000.0,0.4507091272948751,,172087922.0,0.1157862248725463,0.4851311083235016,2.923395175769561,3.3457781636639896,0.0056261677871359,0.0038771128688157,0.5973353014092706,0.4830981758871064,174600726.0,2612000.0,170.4,[],{},0.2570353083999639,1.4478888257658524,3.1309315987589184,0.3193937550077407,,,0.1833055217132727,0.95,19,20,0.6833333333333335,6.0,22.0,0.5691545454545456,0.5691545454545456,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,risk",0.5154533333333333,True,0.75,0.8,buy,3,12,stable,0.4227,persistent,2026-07-18,neutral,0.5,52.86109281852545
WJG.L,Watkin Jones Plc,Consumer Cyclical,39052828.0,,10.382513,0.3127572,,2.116,28.845,-0.0669,-0.0269045378603114,-0.03431,-0.225,,23884000.0,7915788.0,-5546000.0,-8924000.0,279837000.0,35964000.0,67064000.0,0.486,312438000.0,242863000.0,,117683000.0,-8406000.0,-14117000.0,0.0692617488037679,,256653097.0,0.0057097403047404,0.0932911298089527,2.0637050381108573,2.4085903285507486,0.1394324634007387,0.1637897007734513,0.8956560981698769,1.091843959878152,256653097.0,1470000.0,15.2,[],{},0.6115818296180753,-1.427296790479625,-0.8870224114746751,-1.127367231158793,,,-0.0458216733845087,0.9,18,20,0.6825396825396826,5.0,22.0,0.3720090909090909,0.3720090909090909,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,2,5,"cheapness,risk",0.2821433333333333,True,0.65,0.7825,buy,3,12,stable,0.2637,persistent,2026-07-18,neutral,0.625,32.8018509116297
CAM.L,Camellia Plc,Consumer Defensive,144084320.0,7.9056864,-61.540455,0.48172814,4.6,2.841,7.306,0.06101,-0.0111363636363636,0.07059,-0.029,,-18012500.0,82184312.0,13500000.0,300000.0,268000000.0,24600000.0,124100000.0,118.324,440000000.0,210300000.0,,67000000.0,-4900000.0,6900000.0,0.2082089552238806,,2527795.0,-0.0102876338442158,0.186880244088482,3.138805970149254,2.957920792079208,0.0509090909090909,0.0564770102876338,0.6090909090909091,0.5504933865211001,2758430.0,3400000.0,5700.0,[],{},-0.1250136031457135,6.087726814814815,273.94770666666665,0.0036503317080758,0.1264912304135919,,0.0008042895442359,1.0,20,20,0.6375,10.0,22.0,0.5576818181818182,0.5576818181818182,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,quality,dividend,risk",0.4974433333333333,True,0.65,0.7125,buy,3,1,improving,0.3375,new,2026-09-23,neutral,0.5,47.40538699250238
MPE.L,M.P. Evans Group PLC,Consumer Defensive,1121736576.0,12.272728,13.911886,2.543749,3.02,4.204,,0.21034001,0.1664296194268946,0.31847998,0.094,0.255,94385504.0,1023522624.0,183224992.0,137753000.0,370995000.0,0.0,113519000.0,8.491404,667940000.0,138845000.0,,38298000.0,111165000.0,137110000.0,0.3833501799215623,,52176292.0,0.1390333454666308,0.330433993974589,3.6253851376050967,2.3092176502436383,0.0,0.0522686628578663,0.5554316255951134,0.5584044186304145,53289690.0,1128000.0,2160.0,[],{},0.0841423075786377,5.586151828021365,7.430129463605148,0.1345871569127132,0.0814814766529495,,0.218779878089454,0.95,19,20,0.675,15.0,22.0,0.6699227272727273,0.6699227272727273,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7513350000000001,True,0.9,0.6875,buy,3,1,deteriorating,0.4045,new,2026-09-23,wait,0.25,70.30567418861824
YNGN.L,"Young & Co.'s Brewery, P.L.C.",Consumer Cyclical,424588576.0,15.733334,,0.5474368,3.54,0.266,39.715,0.03585,0.0212555985728383,0.0551,0.037,,48987500.0,742379264.0,106100000.0,71300000.0,508200000.0,315100000.0,8400000.0,12.933,1317300000.0,29400000.0,,111000000.0,28000000.0,105200000.0,0.4771743408107044,,60775998.0,0.007456440690862,0.4724166323589954,0.2648648648648649,0.307027027027027,0.2392013967964776,0.2615841132161607,0.3857891140970166,0.3696264171041619,61759775.0,18200000.0,708.0,[],{},0.1153763967497797,6.996977040527804,10.412051388499298,0.096042553257522,0.0635593193407068,,0.0591063582856669,1.0,20,20,0.688452380952381,9.0,22.0,0.5966590909090909,0.5966590909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,risk",0.5598966666666667,True,0.9,0.6868,buy,3,1,deteriorating,0.3438,new,2026-09-23,neutral,0.5,47.68050637427094
TFW.L,FW Thorpe Plc,Industrials,296964064.0,12.045455,,1.6449411,2.75,3.311,4.263,0.14079,0.08507,0.14733,-0.024,0.027,21218500.0,254545760.0,38458000.0,,173200992.0,7932000.0,59500000.0,1.611,238897000.0,121106000.0,,38362000.0,,41370000.0,,,117321908.0,0.1066275469480479,0.485995290048806,3.1569261248110108,2.5816583837246307,0.0174259199571363,0.0203229569595382,0.7250027919982251,0.770982992570762,117111586.0,,265.0,[],{},0.0714514063223488,6.618798689479432,,,0.0830188647917409,,,0.9,18,20,0.6683333333333334,10.0,22.0,0.550459090909091,0.550459090909091,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5515316666666666,True,0.5,0.6675,buy,3,12,stable,0.6011,persistent,2026-07-18,neutral,0.375,48.52874294738238
IGR.L,IG Design Group plc,Consumer Cyclical,76636728.0,14.166667,16.848364,0.8072175,1.18,3.031,31.565,0.03392,-0.6136521306872498,-0.51561,0.093,,80881248.0,66135920.0,9734000.0,3444000.0,217874000.0,33641000.0,54678000.0,1.053,183063000.0,123088000.0,,40609000.0,-112337000.0,1717000.0,0.1887099883418856,,95408142.0,-0.1866626058528066,0.2149611085720878,3.031052229801276,2.052997497914929,0.1837673369277243,0.2296485413191775,1.1901585792869125,0.5362439533926434,95308142.0,1714000.0,85.0,[],{},1.0553849324047342,6.794320936922128,19.20322880371661,0.0520745761153696,0.070588233633218,,0.0241762253078186,1.0,20,20,0.6639285714285714,7.0,22.0,0.5331181818181819,0.5331181818181819,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,risk",0.4401583333333333,True,0.65,0.6552,buy,3,2,stable,0.2968,building,2026-08-16,neutral,0.375,49.525825634884754
KGH.L,Knights Group Holdings plc,Industrials,145284768.0,33.8,4.967082,1.3684211,3.33,2.257,116.668,0.04518,0.0165640738668158,0.022769999,0.266,2.46,24624376.0,260375872.0,35696000.0,25030000.0,207976000.0,122625000.0,6034000.0,1.235,285920000.0,104585000.0,,46341000.0,4736000.0,32647000.0,,,85967308.0,0.0271919371742782,,2.2568567790941065,2.5717292451604523,0.4288787073307218,0.4484767346704377,0.7273922775601567,0.5813317445049029,85967308.0,8528000.0,169.0,[],{},0.1694904176052372,7.2942590766472435,10.402551817818615,0.0961302589511827,0.029585798816568,,0.1044749331118336,1.0,20,20,0.5916666666666667,6.0,22.0,0.5183863636363637,0.5183863636363637,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.6233233333333333,True,0.9,0.6208,buy,3,4,stable,0.485,persistent,2026-07-26,neutral,0.5,47.34414115484598
PMI.L,Premier Miton Group plc,Financial Services,57235416.0,inf,11.214953,0.5309735,8.33,1.243,1.472,0.00086000003,0.0054907251264755,0.00168,-0.188,,5778750.0,34064412.0,7335000.0,3596000.0,63319000.0,1587000.0,24758000.0,0.678,222375000.0,134345000.0,,105796000.0,1221000.0,6941000.0,0.974020436203983,,157581755.0,0.0083981919815988,0.9680673318655236,1.269849521721048,1.3223028241993742,0.0083417650365373,0.0103194344147565,0.2847397414277684,0.2854716627885207,154651023.0,0.0,36.0,[],{},0.1009645845851806,4.644091615541922,9.472862068965515,0.1055647166315391,0.0,,0.030846035735424,1.0,20,20,0.5616666666666666,7.0,22.0,0.5224045454545455,0.5224045454545455,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,risk",0.5120266666666666,True,1.0,0.6158,buy,3,1,improving,0.2208,new,2026-09-23,neutral,0.625,30.945495101874954
BREE.L,Breedon Group plc,Basic Materials,1091253760.0,13.1,10.02615,0.8833942,4.85,1.402,62.361,0.06868,0.0355446216491347,0.04659,0.051,-0.077,107787504.0,1782282368.0,260000000.0,131300000.0,1713800000.0,770600000.0,80100000.0,3.559,2357600000.0,506000000.0,,375100000.0,83800000.0,225900000.0,0.7980511144824367,,346642548.0,0.0446382998468748,0.8053669986677663,1.348973607038123,1.2883874518436984,0.2726501526976586,0.2205466103661083,0.7269256871394638,0.7314277759732727,343652267.0,28900000.0,314.4,[],{},0.0987740046824672,6.854932184615385,13.574123137852247,0.0736695836515171,0.0763358778625954,,0.0662295081967213,1.0,20,20,0.5666666666666668,8.0,22.0,0.5999727272727272,0.5999727272727272,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,4,5,"cheapness,dividend,garp,risk",0.6488016666666667,True,1.0,0.5917,buy,3,1,improving,0.2896,new,2026-09-23,neutral,0.625,37.02712917560265
JHD.L,James Halstead plc,Industrials,543000448.0,14.488887,13.548052,3.032558,6.99,4.128,5.058,0.2131,0.13227001,0.14588,-0.022,-0.129,41133248.0,481782528.0,53575000.0,,259074000.0,9057000.0,70764000.0,0.43,246995000.0,202361000.0,,60573000.0,,49328000.0,,,432828966.0,0.1691173475622174,0.440630672909368,3.340778894887161,3.1077900388643496,0.0258588230530982,0.0296444136695042,1.0489038239640478,1.1196326015233595,416754052.0,,130.4,[],{},0.0757517754386825,8.992674344377042,,,0.0690184139057748,,,0.9,18,20,0.6033333333333333,8.0,22.0,0.5416909090909091,0.5416909090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.620505,True,0.5,0.5808,buy,3,12,stable,0.5329,persistent,2026-07-18,neutral,0.375,43.476408492985506
PAF.L,Pan African Resources PLC,Basic Materials,2762080512.0,9.984615,6.632601,3.3955884,2.78,1.475,5.848,0.45103002,0.222138270913981,0.30888999,0.909,1.237,327180512.0,2443217920.0,603427008.0,548642000.0,1156451000.0,60582000.0,246179008.0,0.3822607,1608075000.0,328505000.0,,214720000.0,357215000.0,556991000.0,0.5552799037745655,,2027313471.0,0.1409614050247434,0.418207776191455,1.5299226900149032,0.5996269993347396,0.0369031295182127,0.1927648234112387,0.7191524027175349,0.5376089213735268,2029317205.0,15136000.0,129.8,[],{},0.1184543718325905,4.048903823675058,4.453209779783538,0.2245571283301655,0.1001540870629463,,0.3937560779557256,1.0,20,20,0.5874999999999999,14.0,22.0,0.7787545454545455,0.7787545454545455,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8616266666666667,True,1.0,0.5625,buy,3,4,stable,0.575,persistent,2026-07-26,neutral,0.5,54.93790866666744
ASY.L,Andrews Sykes Group plc,Industrials,226037232.0,12.55814,,4.2220483,4.8,2.614,28.416,0.36271,0.2069577158551238,0.23641,0.027,0.095,15081250.0,212864224.0,29263000.0,23457000.0,76500000.0,15213000.0,28386000.0,1.279,87385000.0,50065000.0,,19154000.0,18085000.0,22843000.0,0.6390457516339869,,41858744.0,0.2092035618656205,0.6478496747517842,2.613814346872716,2.3413084903662926,0.1740916633289466,0.1996263777321128,0.8754362876923957,0.9457874089295722,41858744.0,1013000.0,540.0,[],{},0.0667202029796577,7.274176400232375,9.074656776228844,0.1101970052045946,0.0796296266803842,,0.3437880142457241,1.0,20,20,0.58,10.0,22.0,0.6938272727272727,0.6938272727272727,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7678933333333333,True,1.0,0.5567,buy,3,3,stable,0.4973,building,2026-08-02,neutral,0.625,37.71317209378842
DOTD.L,dotdigital Group Plc,Technology,148264208.0,16.283333,8.669033,1.4118496,2.51,3.109,1.458,0.0885,0.06422,0.10762,0.043,-0.305,10574250.0,115824456.0,15439000.0,,85748000.0,1553000.0,36100000.0,0.346,123573000.0,60171000.0,,19709000.0,,21067000.0,,,306848354.0,0.1104688888223373,0.7951578387550176,3.052970724034705,4.273304818216128,0.0249245385318799,0.0214029728569574,0.6939056266336497,0.7883661266009803,299216130.0,,48.85,[],{},0.0713203148800417,7.502069823175076,,,0.0614124884628963,,,0.9,18,20,0.5784126984126985,5.0,22.0,0.4702818181818182,0.4702818181818182,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,4,5,"cheapness,dividend,garp,risk",0.496015,True,0.5,0.5438,buy,3,12,stable,0.404,persistent,2026-07-18,neutral,0.625,44.66619027534815
JSE.L,Jadestone Energy plc,Energy,200264336.0,,9.181663,-3.0681715,,2.275,,,-0.1183108492118094,-0.37007,0.025,,213484496.0,270640448.0,162271008.0,13557000.0,408060000.0,244691008.0,174312000.0,-0.119778186,936068000.0,190499000.0,,203492000.0,-110747000.0,91386000.0,0.185891780620497,,542162715.0,-0.0405869993977371,0.0423277878471835,0.936149824071708,1.0370882273693454,0.2065213211006038,0.200209642642049,0.4359298683428981,0.3632297839669353,541110799.0,24729000.0,36.75,[],{},1.0660135512096371,1.6678299551821358,19.96315172973372,0.050092290713323,,,0.0185059297601887,0.8,16,20,0.958345428156749,3.0,22.0,0.3381636363636363,0.3381636363636363,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,1,5,cheapness,0.22418,False,0.45,0.9467,hold,2,12,stable,0.1524,persistent,2026-07-18,wait,0.25,78.59909411734557
IOM.L,iomart Group plc,Technology,14766440.0,,-5.171042,0.2725367,,0.924,216.819,-0.15573,-0.0381385016660634,-0.05919,-0.054,,9526750.0,123387440.0,14946000.0,-4457000.0,154885000.0,117542000.0,8921000.0,0.477,240387000.0,49801000.0,,53908000.0,-9168000.0,21611000.0,0.4424573070342512,,113587997.0,-0.2164047837797514,0.4911682699010177,0.9238146471766714,0.9904975609756096,0.4889698694188953,0.451545776500428,0.6443152083931327,0.5632641522768499,112623077.0,9190000.0,13.0,[],{},0.6451622733712391,8.255549310852402,-27.68396679380749,-0.0361219910227491,,,-0.0239008145689326,0.9,18,20,0.7648148148148147,2.0,22.0,0.2724954545454545,0.2724954545454545,0.0909090909090909,0.0,1.0,0.0909090909090909,22.0,1,5,cheapness,0.183435,False,0.35,0.8778,hold,2,12,stable,0.1478,persistent,2026-07-18,neutral,0.625,37.65155852525766
GROW.L,Molten Ventures Plc,,1160009344.0,9.775362,10.169005,0.8051809,,,,,0.0812288993923025,,,,,,,,148000000.0,,,8.377,1481000000.0,,,,120300000.0,10500000.0,,,172396840.0,-0.0005784526391901,,,,0.088318703578663,0.0877078814172089,0.099932478055368,0.0229211858279103,182446450.0,12200000.0,674.5,[],{},,,,,0.102298001854049,,,0.5,10,20,0.8667502088554719,2.0,22.0,0.3772954545454545,0.3772954545454545,0.0909090909090909,0.0,1.0,0.0909090909090909,22.0,1,5,cheapness,0.2690783333333333,False,0.36665,0.8668,hold,2,4,stable,0.0867,persistent,2026-07-26,neutral,0.5,53.30473929166974
KETL.L,Strix Group Plc,Technology,64813264.0,8.1875,11.304798,0.68229175,,2.742,190.129,,-0.0079987452948557,0.58514,-0.053,,,149506768.0,12843200.0,24453000.0,141768000.0,88701000.0,12697000.0,0.48,172152000.0,63476000.0,,45484000.0,-1377000.0,32127000.0,0.3593829355002539,,229859938.0,0.0842786923617071,0.3977900936672067,1.3955676721484478,1.5797201143618735,0.486262140434035,0.5753556474474006,0.8235048097030531,0.7480013523705495,218714348.0,9003000.0,32.75,[],{},,11.640928117603089,6.114046047519731,0.1635578129814163,0.1221374045801526,,0.1930479679161272,0.85,17,20,0.8,5.0,22.0,0.4937227272727272,0.4937227272727272,0.2272727272727272,0.0,1.0,0.2272727272727272,22.0,1,5,cheapness,0.35362,False,0.55,0.7583,hold,2,12,stable,0.1325,persistent,2026-07-18,neutral,0.625,41.95228006432771
DATA.L,GlobalData Plc,Industrials,393288000.0,12.0,8.811867,1.4851484,2.53,0.849,66.819,0.14795,0.0480336671020171,0.10837,0.041,0.553,16887500.0,600819968.0,94600000.0,81000000.0,322100000.0,204600000.0,48000000.0,0.404,689100000.0,148100000.0,,165400000.0,33100000.0,47900000.0,0.497981993169823,,711685389.0,0.0451357121073498,0.5215411558669002,0.8954050785973398,0.8576576576576577,0.275431722536642,0.1014028667276608,0.4674212741256711,0.4353461421164989,778012374.0,12200000.0,60.0,[],{},0.0429392709668233,6.351162452431289,7.417530469135802,0.1348157589862259,0.0833333333333333,,0.1546687034561772,1.0,20,20,0.6950000000000001,10.0,22.0,0.6097318181818182,0.6097318181818182,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,quality,dividend,garp",0.6794616666666666,False,0.73335,0.685,hold,2,12,stable,0.552,persistent,2026-07-18,neutral,0.625,30.306151226191503
CRW.L,Craneware plc,Healthcare,354012128.0,24.61905,14.93259,1.4311702,2.5,0.773,7.927,0.06724,0.03178,0.106350005,0.057,0.376,-3549000.0,335392640.0,30022000.0,,211334000.0,26903000.0,40947000.0,7.2248573,543655000.0,93227000.0,,148761000.0,,41862000.0,,,35318905.0,,,0.6266897910070516,0.8946608153620298,0.0738464651295398,0.1502488838357228,0.3887281456070486,,35328158.0,,1034.0,[],{},-0.0100250802706962,11.171562187728998,,,0.0406189515842406,,,0.9,18,20,0.6791666666666667,4.0,22.0,0.4020772727272728,0.4020772727272728,0.1818181818181818,0.0,1.0,0.1818181818181818,22.0,3,5,"cheapness,dividend,garp",0.4853633333333333,False,0.4,0.6833,hold,2,12,stable,0.3679,persistent,2026-07-18,neutral,0.5,32.777400111029834
