ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
ABDP.L,AB Dynamics plc,Consumer Cyclical,169387040.0,,11.528635,1.3464339,1.28,2.005,2.848,-0.0404,0.06352567496029646,-0.050240003,-0.159,,11987500.0,130900000.0,5900000.0,23300000.0,114700000.0,3600000.0,42900000.0,5.496,188900000.0,79400000.0,,36000000.0,12000000.0,24700000.0,0.6198779424585876,,22890141.0,0.055113636363636365,0.5956873315363881,2.2055555555555557,2.066666666666667,0.017469560614081524,0.01818181818181818,0.6071995764955003,0.6323863636363637,22876942.0,400000.0,740.0,[],{},0.07076987708150517,22.1864406779661,5.618025751072961,0.1779984721161192,,,0.15238718116415959,0.95,19,20,0.24396825396825397
AMS.L,Advanced Medical Solutions Group plc,Healthcare,609274752.0,56.0,16.508461,2.3313906,1.02,2.79,31.342,0.04025,0.025214681966714794,0.04348,0.079,0.267,11255750.0,668512704.0,37044000.0,28467000.0,228936000.0,81523000.0,18015000.0,1.201,394770000.0,139365000.0,,49946000.0,9954000.0,32587000.0,0.5335028130132439,,216404175.0,0.018260162266792966,0.5217298235138378,2.7903135386217115,2.8485258622634273,0.20650758669605088,0.2228182529549854,0.5799224865111331,0.4569442156418599,214664092.0,4803000.0,280.0,[],{},0.01847401351041049,18.046450275348235,23.483777848034567,0.04258258643354069,0.017857142857142856,,0.08255515857364916,1.0,20,20,0.425
ASY.L,Andrews Sykes Group plc,Industrials,236501920.0,13.139535,,4.4175134,4.58,2.614,28.416,0.36271,0.20695771585512387,0.23641,0.027,0.095,15081250.0,223328896.0,29263000.0,23457000.0,76500000.0,15213000.0,28386000.0,1.279,87385000.0,50065000.0,,19154000.0,18085000.0,22843000.0,0.6390457516339869,,41858744.0,0.20920356186562053,0.6478496747517842,2.613814346872716,2.3413084903662926,0.17409166332894663,0.19962637773211284,0.8754362876923957,0.9457874089295722,41858744.0,1013000.0,565.0,[],{},0.06376798124936998,7.63178402761166,9.52077827514175,0.10503343015674962,0.07610619401675935,,0.3437880142457241,1.0,20,20,0.5716666666666667
ASC.L,ASOS Plc,Consumer Cyclical,425351264.0,,-13.734882,4.985975,,0.955,855.634,-1.1374401,-0.1784582261826446,-0.10064,-0.141,,29875000.0,944214848.0,-72900000.0,-35000000.0,2477800000.0,729000000.0,209500000.0,0.713,1672100000.0,775300000.0,,757400000.0,-298400000.0,159100000.0,0.47086124788118494,,119418137.0,-0.14912821415991545,0.4000619450753665,1.0236334829680487,1.6056022408963586,0.43544046408707615,0.43047728073265235,1.481849171700257,1.2794117647058822,119161620.0,74100000.0,355.5,[],{},0.070236067289552,-12.952192702331962,-26.977567085714284,-0.03706783479854788,,,-0.03826391166502678,0.9,18,20,0.2351190476190476
ATYM.L,"Atalaya Mining Copper, S.A.",Basic Materials,1361536256.0,18.447916,7.028726,2.0816395,1.05,3.203,2.307,0.1266,0.1081006313459872,0.17816,-0.103,-0.12,97093752.0,1101114368.0,153270000.0,132236000.0,482915000.0,17670000.0,279843008.0,4.2538586,791642000.0,241206000.0,,147384000.0,85577000.0,192483000.0,0.3197374279117443,,140759043.0,0.04696012428793371,0.15115193835928725,1.6365819899039245,1.4481045123026368,0.06166802670904272,0.03194199896426722,0.6100169015792493,0.48353480801953097,140759043.0,1400000.0,885.5,[],{},0.07131191077147489,7.184148026358713,8.32688804864031,0.12009288393919132,0.05420666486122335,,0.20525317497027587,1.0,20,20,0.25833333333333336
BREE.L,Breedon Group plc,Basic Materials,1148870912.0,13.791667,10.331481,0.93003654,4.61,1.402,62.361,0.06868,0.03554462164913472,0.04659,0.051,-0.077,107787504.0,1839901056.0,260000000.0,131300000.0,1713800000.0,770600000.0,80100000.0,3.559,2357600000.0,506000000.0,,375100000.0,83800000.0,225900000.0,0.7980511144824367,,346642548.0,0.044638299846874854,0.8053669986677663,1.348973607038123,1.2883874518436984,0.27265015269765863,0.22054661036610831,0.7269256871394638,0.7314277759732727,343652267.0,28900000.0,331.0,[],{},0.09382037866409138,7.076542523076923,14.012955491241431,0.07136253309482311,0.07250755111764226,,0.06622950819672131,1.0,20,20,0.5666666666666668
BRK.L,Brooks Macdonald Group plc,Financial Services,220138864.0,31.666668,9.752525,1.475308,5.75,1.15,9.57,0.046719998,0.09096702315358705,0.057389997,0.123,-0.497,34978624.0,221128864.0,11600000.0,17641000.0,117922000.0,14279000.0,13289000.0,9.659,230677000.0,61180000.0,,49101000.0,20984000.0,24736000.0,,,15608165.0,0.033462893864013264,0.20784199771282877,1.246003136392334,2.289874620643144,,0.01976575456053068,0.5111996427905686,0.5528710613598673,16050515.0,122000.0,1425.0,[],{},0.15889345190770132,19.062833103448277,12.534939289155943,0.07977701183324488,0.03157894603878122,,0.09715491034057365,1.0,20,20,0.4683333333333334
BUR.L,Burford Capital Limited,Financial Services,658522368.0,,9.260857,1.0632282,3.1,8.024,159.501,-0.68369,0.0094218309659801,0.0,,,-1108182400.0,3003834368.0,,,193770000.0,2414277888.0,754680000.0,2.8272386,6641172000.0,,,,62572000.0,-29014000.0,,,218897440.0,0.023722009222634725,,,,0.32237984500326144,0.28800417812073636,0.02917707898545618,0.05523929052918814,219421904.0,146082000.0,300.6,[],{},-1.6828318275135645,,,,,,,0.8,16,20,0.25641025641025644
CAM.L,Camellia Plc,Consumer Defensive,137764816.0,,-83.39582,0.4724464,4.77,3.139,6.798,-0.0124,-0.011136363636363637,-0.01828,,,-21525000.0,90864824.0,4200000.0,300000.0,268000000.0,22400000.0,107200000.0,115.357,440000000.0,210300000.0,,67000000.0,-4900000.0,6900000.0,0.2082089552238806,,2527795.0,-0.01028763384421583,0.18688024408848208,3.138805970149254,2.957920792079208,0.05090909090909091,0.05647701028763384,0.6090909090909091,0.5504933865211001,2758430.0,3400000.0,5450.0,[],{},-0.15624453779258124,21.634481904761905,302.88274666666666,0.003301607671633194,,,0.0008042895442359249,0.95,19,20,0.48333333333333334
CAML.L,Central Asia Metals plc,Basic Materials,251179520.0,,5.103885,1.2013011,8.14,2.923,0.762,-0.23356001,-0.19504221574859215,-0.32652,0.159,,61064376.0,173328544.0,94314000.0,63493000.0,229860000.0,2165000.0,79673000.0,1.227003,384809000.0,112349000.0,,38431000.0,-75054000.0,63663000.0,0.45070912729487517,,172087922.0,0.11578622487254639,0.4851311083235016,2.923395175769561,3.3457781636639896,0.005626167787135956,0.003877112868815712,0.5973353014092706,0.4830981758871064,174600726.0,2612000.0,147.4,[],{},0.2431104892628189,1.8377817079118688,2.7298843022065427,0.36631589082061405,,,0.18330552171327277,0.95,19,20,0.6833333333333335
