ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
HVN.AX,Harvey Norman Holdings Limited,Consumer Cyclical,5158467584.0,9.857142,11.45989,1.0534351,6.24,1.53,52.342,0.10978,0.059713346917620036,0.17316,-0.029,-0.134,544032768.0,7525919744.0,849409984.0,425100000.0,4313160000.0,2585686016.0,298612000.0,3.93,8849931000.0,2059620000.0,,1346123000.0,528459000.0,,0.5100960780495043,,1246006654.0,0.061865753788831954,0.5096039832418894,1.5300384883105036,1.3762798224321546,0.29216849261310623,0.27395077190669737,0.48736651167110795,0.4922196663245843,1246006654.0,57092000.0,4.14,[],{},0.10546402766732982,8.860173397726392,17.70388083745001,0.056484790492073576,0.10144928418399574,,0.05665123627896663,0.95,19,20,0.8170588235294118,11.0,22.0,0.6318772727272727,0.6318772727272727,0.5,0.0,1.0,0.5,22.0,4,5,"cheapness,dividend,garp,risk",0.64266,True,0.66665,0.8747,strong_buy,4,39,stable,0.6429,persistent,2026-07-17
WAF.AX,West African Resources Limited,Basic Materials,4030237440.0,6.285714,4.547686,2.3373172,,1.972,20.616,0.45699,0.17451023714832817,0.25293,2.065,0.883,697664000.0,3607775744.0,1440600064.0,810300000.0,1533800000.0,411200000.0,876300032.0,1.506,2715600000.0,991500000.0,,490900000.0,473900000.0,,0.6342417525101056,,1142328846.0,0.11337891911057084,0.5823200362246814,2.019759625178244,3.3298046939110453,0.16685078803947562,0.21575849668236843,0.5648107232287524,0.36689864762194196,1139776844.0,30000000.0,3.52,[],{},0.17310741870335064,2.504356229155353,4.452395093175367,0.22459821715570577,0.1590909163223144,,0.3642288847934553,0.9,18,20,0.8695940756199005,11.0,22.0,0.6831363636363637,0.6831363636363637,0.5,0.0,1.0,0.5,22.0,4,5,"cheapness,quality,garp,risk",0.6167733333333334,True,0.66665,0.8714,strong_buy,4,16,stable,0.6268,persistent,2026-09-13
SHL.AX,Sonic Healthcare Limited,Healthcare,9286731776.0,15.276423,14.323067,1.1134815,5.71,0.992,68.758,0.07501,0.031992003447382754,0.055970002,0.089,0.216,736208000.0,14684780544.0,1872980992.0,905109000.0,9619183000.0,5839787008.0,653694976.0,16.875,16053918000.0,2605626000.0,,2223402000.0,513597000.0,,0.8376316366992914,,480403973.0,0.02340372559997879,0.8375213981154213,1.1719095332288088,0.8283338500174363,0.32209022121578046,0.32996242767300726,0.5991797765504969,0.4091097106361634,480403973.0,118532000.0,18.79,[],{},0.07927525180630349,7.840325452699522,16.22432275449697,0.061635854706035435,0.06546035024036713,,0.06544289453842503,0.95,19,20,0.7983333333333333,10.0,22.0,0.5962772727272727,0.5962772727272727,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6462533333333333,True,0.66665,0.8479,strong_buy,4,21,stable,0.782,persistent,2026-09-04
CQR.AX,Charter Hall Retail REIT,Real Estate,2057552896.0,5.2835817,12.623471,0.7034976,7.29,1.175,53.824,0.13859999,0.08527692004467512,0.9318,0.157,0.321,534424992.0,3647551232.0,,98400000.0,174600000.0,1574300032.0,30800000.0,5.032,4566300000.0,297400000.0,,253100000.0,389400000.0,,0.5853379152348225,,581229609.0,0.04985658652612924,0.5869786368260427,1.1750296325563019,1.825711619225385,0.3434509340165999,0.33782617820581584,0.03823664673805926,0.04584567311055663,581229609.0,77900000.0,3.54,[],{},0.2597381545033193,,37.06861008130081,0.026977002855158253,0.18926555067748835,,0.022813688212927757,0.9,18,20,0.8481481481481482,12.0,22.0,0.7025318181818182,0.7025318181818182,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7504216666666667,True,0.56665,0.8431,strong_buy,4,21,stable,0.7611,persistent,2026-09-04
RRL.AX,Regis Resources Limited,Basic Materials,5857136128.0,8.212766,7.524513,2.6786952,3.88,2.943,4.66,0.37672,0.23711999278466264,0.30442,0.449,1.358,709559488.0,4817176064.0,1217447936.0,1001958000.0,2349099000.0,101685000.0,1139118976.0,2.882,3015798000.0,1323239000.0,,449684000.0,715106000.0,,0.5980246043270206,,757252000.0,0.1117457449972608,0.4991611084537444,2.9425974684445078,2.61199728266026,0.033717443940210846,0.05234946092242212,0.7789311485716218,0.7237544278783571,755462000.0,10485000.0,7.72,[],{},0.12114444200945845,3.9567819875954022,4.807762465093347,0.20799696475449397,0.12176165740019866,,0.3904573218493021,0.95,19,20,0.8027038679477704,17.0,22.0,0.8089954545454546,0.8089954545454546,0.7727272727272727,0.0,1.0,0.7727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.820025,True,0.66665,0.7963,strong_buy,4,39,stable,0.7595,persistent,2026-07-17
FMG.AX,Fortescue Ltd,Basic Materials,50402660352.0,12.496184,14.568765,1.7652794,6.45,2.318,29.296,0.14229,0.09088318186136385,0.16916001,0.079,-0.475,3169250048.0,52331667456.0,8165000192.0,5134000000.0,16835000000.0,5930999808.0,5073999872.0,9.27332,31578999999.9999,7725000000.0,,3333000000.0,2870000000.0,,0.5638253638253639,,3078964918.0,0.11053580206455806,0.5673800259403372,2.317731773177318,2.4263196480938785,0.1878146869755223,0.17824020973291765,0.533107444820927,0.505325249877108,3078964918.0,70000000.0,16.37,[],{},0.0628786263635039,6.409267143346076,10.193156886638098,0.0981050337124576,0.08002442985794704,,0.1817602492388309,0.95,19,20,0.7402870165065288,14.0,22.0,0.6655136363636363,0.6655136363636363,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6768233333333333,True,0.66665,0.7753,strong_buy,4,39,stable,0.7199,persistent,2026-07-17
PXA.AX,PEXA Group Limited,Technology,1168216448.0,60.363636,26.678452,1.043533,,1.141,20.806,0.01698,-0.009987025424379367,-0.03901,0.043,,77388496.0,1363161344.0,81821000.0,44442000.0,400288000.0,232804992.0,63625000.0,6.363,1589262000.0,134042000.0,,118660000.0,-15872000.0,,0.8268796466544088,,175936202.0,-0.04518615391194036,0.830524836964944,1.1296308781392213,1.2393190983256213,0.14648623071589204,0.19251820915945664,0.25187036498701915,0.23377745627663668,175936202.0,15845000.0,6.64,[],{},0.0662449977763025,16.660287016780533,30.672817244948472,0.03260215688745352,0.016566265160037744,,0.030220277138205985,0.9,18,20,0.7415966386554621,4.0,22.0,0.30262727272727274,0.30262727272727274,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,2,5,"cheapness,risk",0.23911,True,0.5,0.8348,buy,3,21,stable,0.2838,persistent,2026-09-04
EBO.AX,EBOS Group Limited,Healthcare,3225278720.0,14.560747,11.845117,1.1731927,5.5,1.161,70.04,0.08327,0.0287856681025391,0.0167,0.071,-0.071,137692256.0,4834437120.0,466332992.0,458925790.7541,16407158150.8515,1895739008.0,252507008.0,13.28,9516892944.0389,4090300486.6179,,3522260340.6325,273950121.6545,,0.12925742161674947,,206949000.0,0.029559048919066022,0.1334625917652547,1.1612714822446644,1.1801739098511737,0.24233243332446727,0.22283572482101577,1.7240036477586371,1.685419768089736,203230000.0,117781021.8978,15.58,[],{},0.042691583566458406,10.36692064026214,10.534245878960354,0.09492848481895241,0.06867779517081095,,0.07655611629865677,0.95,19,20,0.7637499999999999,9.0,22.0,0.5113500000000001,0.5113500000000001,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.5255183333333333,True,0.5,0.7865,buy,3,29,stable,0.5891,persistent,2026-07-25
ZIM.AX,Zimplats Holdings Limited,Basic Materials,1584426240.0,4.0775623,,0.53602,,3.28,1.681,0.14064,0.015422709747786256,0.21302,0.379,2.641,-22037750.0,1615830912.0,544198016.0,88853000.0,826589000.0,35387000.0,58337000.0,27.461664,2625868000.0,647213000.0,,304026000.0,40498000.0,,0.645769542057782,,107637649.0,0.0018721342763376328,0.6413918158081012,2.1288080624683414,2.7714445590774925,0.038166427253769036,0.019980513591416598,0.31478695806491414,0.17467021906156538,107637649.0,10555000.0,14.72,[],{},-0.013908978180012974,2.9691966241934993,18.185440131453074,0.05498904578451337,0.245244566833473,,0.03826832316755404,0.9,18,20,0.7060011883541294,9.0,22.0,0.5985409090909091,0.5985409090909091,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,garp,risk",0.52726,True,0.5,0.753,buy,3,21,stable,0.5252,persistent,2026-09-04
GGP.AX,Greatland Resources Limited,Basic Materials,7286408192.0,8.571429,13.036237,3.26284,,3.551,0.996,0.48358002,0.27132264191076244,0.38165,0.363,0.674,503452000.0,6111287808.0,1303796992.0,1186411000.0,2259372000.0,22184000.0,1288937984.0,3.31,3178124000.0,1602376000.0,,451233000.0,862297000.0,,0.6175410689341995,,672565333.0,0.15943264932569906,0.6505175131375951,3.5511055264131834,2.597607284827087,0.006980218518849485,0.01492358805243134,0.7109137340141543,0.4525753341249972,,8154000.0,10.8,[],{},0.06909467418429253,4.6873001283929945,5.151071431401091,0.1941343686099884,0.11666666083333362,,0.4350782631208948,0.9,18,20,0.7232801472399749,10.0,22.0,0.6227363636363636,0.6227363636363636,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,quality,garp,risk",0.5584816666666667,True,0.5,0.7034,buy,3,21,stable,0.5136,persistent,2026-09-04
