ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
EBS.VI,Erste Group Bank AG,Financial Services,47624122368.0,13.713647,10.987661,1.962228,0.61,,,0.13213,0.009523189373097396,0.29145,0.399,0.175,,125949272064.0,,,11761000000.0,83075997696.0,17927000064.0,62.48,368574000000.0,,,,3510000000.0,4039000000.0,,,388406224.0,0.008834271886378543,,,,0.15083266860928876,0.14863909808444717,0.03190946729829017,0.030796978537666508,388126224.0,8819000000.0,122.6,[],{},,,,,0.07292006276667323,,,0.7,14,20,0.31428571428571433
VER.VI,VERBUND AG Kat. A,Utilities,19594245220.514267,16.253603,14.182079,2.0264444,3.55,0.826,31.126,0.12752,0.08003363407074622,0.15873,-0.049,-0.393,37215248.0,23649744896.0,2361302016.0,2120470000.0,8013556000.0,3279200000.0,89400000.0,27.832,18609701000.0,1721500000.0,,1760937000.0,1489402000.0,1918545000.0,0.46220916157570996,,347415686.0,0.1001840390407019,0.5038668363940254,0.9776045366756448,1.4084184651466973,0.1236559362238007,0.12279419868598188,0.4306117545897164,0.44045613944548734,347415686.0,113300000.0,56.4,[],{},0.0018992947970783462,10.015552748335942,11.153067431277028,0.08966143226173427,0.06152482006604936,,0.125853148634523,1.0,20,20,0.34757051943584455
OMV.VI,OMV Aktiengesellschaft,Energy,21444005888.0,13.784067,8.741886,1.4162933,4.79,1.224,37.636,0.087910004,0.02324226336915706,0.105579995,0.397,1.189,7461875200.0,28429006848.0,5836000256.0,3576000000.0,24308000000.0,7997000192.0,4397000192.0,46.424,46338000000.0,21851000000.0,,11035000000.0,1077000000.0,5215000000.0,0.2328040151390489,,326001057.0,0.029766660520762912,0.23283958158356877,1.9801540552786587,1.7055714134686542,0.1725797401700548,0.19271505541556552,0.5245802581035004,0.5366193432077521,327215398.0,387000000.0,65.75,[],{},0.34797020850361,4.871316929565261,7.949945986577181,0.12578701813677934,0.0725475289694979,,0.10129450754893352,1.0,20,20,0.7085663914688682
BG.VI,BAWAG Group AG,Financial Services,13905934336.0,15.800525,12.17397,2.9543114,3.46,,,0.1989,0.011893992835110724,0.45091,0.035,0.296,,19156934656.0,,,2353900000.0,19505000448.0,14263000064.0,61.131,72297000000.0,,,,859900000.0,-3276000000.0,,,76976955.0,0.010653060652359794,,,,0.24544586912320013,0.24454381071193282,0.032558750708881416,0.023274134088392368,78524046.0,1523800000.0,180.6,[],{},,,,,0.06328903628202227,,,0.7,14,20,0.37142857142857144
ANDR.VI,Andritz AG,Industrials,7957501440.0,17.130802,13.374026,3.268921,3.33,1.068,25.381,0.20214,0.05299590016376116,0.05766,0.085,0.067,575180992.0,7504393728.0,779400000.0,585900000.0,7883100000.0,620200000.0,1093900032.0,24.84,8610100000.0,5514000000.0,,4887700000.0,456300000.0,652700000.0,0.5114992832768834,,97998794.0,0.060823226754869536,0.4934505695418406,1.1281379790085315,1.1691766961337735,0.09649132994971023,0.09950998407448242,0.9155642791605207,1.0184613499938748,97556284.0,48700000.0,81.2,[],{},0.07228160702663976,9.628424080061587,12.808318361495136,0.07807426172402451,0.05837438317248662,,0.15739845261121857,1.0,20,20,0.39000000000000007
WIE.VI,Wienerberger AG,Basic Materials,2264846592.0,37.035713,9.083225,0.809745,4.58,1.393,95.089,0.02179,0.02702702702702703,0.01289,0.13,-0.709,155471008.0,4735824896.0,517000000.0,342000000.0,4566000000.0,2614000128.0,211000000.0,25.613,6142000000.0,2012000000.0,,1328000000.0,166000000.0,630000000.0,0.3510731493648708,,109201866.0,0.012309130570271113,0.3567471748282739,1.5150602409638554,1.4394618834080717,0.31162487788993815,0.3287628544717981,0.7434060566590687,0.7031785602991586,110266509.0,109000000.0,20.74,[],{},0.06864527096411835,9.160202893617022,13.84744121637427,0.07221550785985817,0.02700096525750699,,0.07104279185708351,1.0,20,20,0.48993292053663573
VOE.VI,Voestalpine AG,Basic Materials,7770142208.0,15.31081,8.991136,1.0250379,1.65,1.41,25.377,0.066139996,0.026540100736148778,0.03422,0.024,0.897,521312512.0,9044641792.0,1489299968.0,708900000.0,15063100000.0,2037900032.0,981100032.0,44.213,16002200000.0,7624600000.0,,5650000000.0,424700000.0,1540100000.0,0.20015136326519772,,171450616.0,0.009755756531907998,0.18027528471706142,1.3494867256637169,1.4373950926956227,0.15075427128769794,0.17077976141296403,0.9413143192810989,1.0005974209211723,171450616.0,192600000.0,45.32,[],{},0.06709175946139903,6.07308264710847,12.758699100014107,0.0783778966931585,0.06531333090803164,,0.06847819787098394,1.0,20,20,0.46951109391124873
RBI.VI,Raiffeisen Bank Internat. AG,Financial Services,20652434912.003403,8.772664,9.861036,1.0106204,2.54,,,0.12172,0.0065203433762157275,0.27903998,0.018,,,18795065344.0,,,9149000000.0,34724999168.0,37979000832.0,62.239,210265000000.0,,,,1371000000.0,9071000000.0,,,328240854.0,0.005789313038213469,,,,0.10514826528428411,0.1104222645871174,0.04351175897082253,0.04446312502814597,328414347.0,3953000000.0,62.9,[],{},,,,,0.11399045945450549,,,0.7,14,20,0.7285714285714286
POS.VI,PORR AG,Industrials,1529887744.0,12.983334,10.849583,1.9910035,2.69,0.948,68.395,0.14711,0.02844430659549001,0.020650001,0.059,0.359,181005248.0,1469348864.0,205592000.0,98260000.0,6295892000.0,659473024.0,752259008.0,19.563,4578280000.0,2719770000.0,,2869319000.0,130226000.0,378338000.0,0.34376161471638966,,39278250.0,0.02489706712053997,0.34049024306677905,0.9478799673371975,0.9389091781585918,0.1430998104091493,0.09295824944287932,1.3751653459377757,1.460147002492655,38051557.0,37767000.0,38.95,[],{},0.11831276425991161,7.146916533717265,14.9536827193161,0.06687315885793614,0.07702181889490019,,0.05749692356935003,1.0,20,20,0.6500000000000001
CAI.VI,CA Immobilien Anlagen AG,Real Estate,2193616896.0,12.686171,17.14064,0.8630672,3.77,1.007,81.048,0.06993,0.0337641902464336,0.63566,-0.196,-0.225,51756376.0,3839202304.0,150360000.0,164637000.0,300673000.0,2069028992.0,433105984.0,27.634,5461674000.0,1052634000.0,,419283000.0,184409000.0,208020000.0,0.7130503902911136,,93823352.0,-0.010994100285688362,0.6725554048776587,2.5105573085481643,2.38394854189184,0.4137711258489613,0.45130848852560557,0.05505143661082664,0.053942401523936666,97154743.0,59447000.0,23.85,[],{},0.02359408158023232,25.533401862197394,23.31919498047219,0.04288312700491649,0.07882599091561986,,0.03265058183706896,1.0,20,20,0.5518399552803577
EVN.VI,EVN AG,Utilities,5001485436.013256,10.017857,11.045916,0.75667655,3.21,1.11,17.451,0.08078,0.039589509278649584,0.16054001,0.032,0.465,72250000.0,6205585408.0,719299968.0,359100000.0,3000000000.0,1214700032.0,361600000.0,37.07,11030700000.0,1411000000.0,,1226100000.0,436700000.0,935200000.0,0.40853333333333336,,178306200.0,0.043221301861897085,0.4349300844524436,1.1508033602479406,0.991342698464554,0.11922180822613253,0.10928566192640375,0.27196823411025595,0.2647339099838733,178279208.0,54200000.0,28.05,[],{},0.014445708364911554,8.627256616254986,17.280939593428016,0.05786722386208112,0.09982174830405346,,0.03662566550394713,1.0,20,20,0.6052880976952184
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Technology,6728819712.0,126.423355,20.334604,8.714465,,1.762,142.952,0.05934,-0.005501635656274832,0.03665,0.375,,107368248.0,7724785664.0,503228992.0,96896000.0,1790776000.0,2173391872.0,1208061952.0,19.875,4651344000.0,1426941000.0,,1101155000.0,-25590000.0,413718000.0,0.11362560141525238,,38850000.0,0.019405597431481656,0.11190997127626247,1.2958584395475659,1.248052124365977,0.4393805317344836,0.42849428400820405,0.3850018403283008,0.3439170770122801,38850000.0,93499000.0,173.2,[],{},0.015956475666679296,15.350438442147626,79.72244121532364,0.012543519550525097,0.00790993088262845,,0.027293194813008546,0.95,19,20,0.0933780529755762
POST.VI,Österreichische Post AG,Industrials,2080621312.0,23.875969,15.600861,3.0720127,5.94,0.676,149.926,0.13519,0.020154589666580274,0.02802,0.067,-0.761,160600000.0,2964021248.0,286800000.0,189600000.0,3043200000.0,913200000.0,74500000.0,10.026,6559300000.0,1788800000.0,,4778300000.0,132200000.0,362400000.0,0.14540615141955837,,67552638.0,0.021241855234985136,0.157087509205597,0.3743590816817697,0.34783601927230434,0.12763557086884272,0.11480460265869777,0.46395194609180856,0.4810764183058889,67552638.0,70800000.0,30.8,[],{},0.0771884816683066,10.334802119944213,15.633023459915611,0.06396715277528267,0.04188311686951847,,0.106457046603032,1.0,20,20,0.35
