run_at,ticker,signal,signal_rank,conviction_score,data_quality_score
2026-07-18T18:11:17.846836+00:00,AZE.BR,buy,3,0.0,0.95
2026-07-18T18:11:17.846836+00:00,MONT.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,GBLB.BR,hold,2,0.0,0.8
2026-07-18T18:11:17.846836+00:00,SOLB.BR,hold,2,0.0,0.9
2026-07-18T18:11:17.846836+00:00,UMI.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,AED.BR,hold,2,0.0,0.9
2026-07-18T18:11:17.846836+00:00,AGS.BR,hold,2,0.0,0.9
2026-07-18T18:11:17.846836+00:00,ACKB.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,ABI.BR,hold,2,0.0,0.85
2026-07-18T18:11:17.846836+00:00,APAM.AS,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,MELE.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,WDP.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,UCB.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,LOTB.BR,hold,2,0.0,0.95
2026-07-18T18:11:17.846836+00:00,SOF.BR,avoid,1,0.0,0.8
2026-07-18T18:11:17.846836+00:00,KBC.BR,avoid,1,0.0,0.65
2026-07-18T18:11:17.846836+00:00,SYENS.BR,avoid,1,0.0,0.9
2026-07-18T18:11:17.846836+00:00,ELI.BR,avoid,1,0.0,0.95
2026-07-18T18:11:17.846836+00:00,DIE.BR,avoid,1,0.0,0.9
2026-07-18T18:11:17.846836+00:00,ARGX.BR,avoid,1,0.0,0.8
2026-07-19T15:34:29.005141+00:00,AZE.BR,buy,3,0.3705,0.95
2026-07-19T15:34:29.005141+00:00,UMI.BR,hold,2,0.2826,0.85
2026-07-19T15:34:29.005141+00:00,MONT.BR,hold,2,0.2921,0.95
2026-07-19T15:34:29.005141+00:00,GBLB.BR,hold,2,0.0826,0.8
2026-07-19T15:34:29.005141+00:00,SOLB.BR,hold,2,0.0821,0.9
2026-07-19T15:34:29.005141+00:00,AED.BR,hold,2,0.2616,0.9
2026-07-19T15:34:29.005141+00:00,AGS.BR,hold,2,0.3218,0.9
2026-07-19T15:34:29.005141+00:00,ACKB.BR,hold,2,0.2413,0.95
2026-07-19T15:34:29.005141+00:00,ABI.BR,hold,2,0.1818,0.85
2026-07-19T15:34:29.005141+00:00,APAM.AS,hold,2,0.0668,0.95
2026-07-19T15:34:29.005141+00:00,MELE.BR,hold,2,0.3231,0.95
2026-07-19T15:34:29.005141+00:00,WDP.BR,hold,2,0.1176,0.95
2026-07-19T15:34:29.005141+00:00,UCB.BR,hold,2,0.211,0.95
2026-07-19T15:34:29.005141+00:00,LOTB.BR,hold,2,0.1248,0.95
2026-07-19T15:34:29.005141+00:00,SOF.BR,avoid,1,0.1052,0.8
2026-07-19T15:34:29.005141+00:00,KBC.BR,avoid,1,0.1201,0.65
2026-07-19T15:34:29.005141+00:00,SYENS.BR,avoid,1,0.09,0.9
2026-07-19T15:34:29.005141+00:00,ELI.BR,avoid,1,0.0431,0.95
2026-07-19T15:34:29.005141+00:00,DIE.BR,avoid,1,0.0789,0.9
2026-07-19T15:34:29.005141+00:00,ARGX.BR,avoid,1,0.0697,0.8
2026-07-20T20:06:59.706524+00:00,AZE.BR,buy,3,0.4323,0.95
2026-07-20T20:06:59.706524+00:00,MONT.BR,hold,2,0.3408,0.95
2026-07-20T20:06:59.706524+00:00,GBLB.BR,hold,2,0.0963,0.8
2026-07-20T20:06:59.706524+00:00,SOLB.BR,hold,2,0.0958,0.9
2026-07-20T20:06:59.706524+00:00,UMI.BR,hold,2,0.3297,0.95
2026-07-20T20:06:59.706524+00:00,AED.BR,hold,2,0.3052,0.9
2026-07-20T20:06:59.706524+00:00,AGS.BR,hold,2,0.3754,0.9
2026-07-20T20:06:59.706524+00:00,ACKB.BR,hold,2,0.2839,0.95
2026-07-20T20:06:59.706524+00:00,ABI.BR,hold,2,0.2241,0.85
2026-07-20T20:06:59.706524+00:00,APAM.AS,hold,2,0.0779,0.95
2026-07-20T20:06:59.706524+00:00,MELE.BR,hold,2,0.3874,0.95
2026-07-20T20:06:59.706524+00:00,WDP.BR,hold,2,0.1372,0.95
2026-07-20T20:06:59.706524+00:00,UCB.BR,hold,2,0.2439,0.95
2026-07-20T20:06:59.706524+00:00,LOTB.BR,hold,2,0.1447,0.95
2026-07-20T20:06:59.706524+00:00,SOF.BR,avoid,1,0.1228,0.8
2026-07-20T20:06:59.706524+00:00,KBC.BR,avoid,1,0.1401,0.65
2026-07-20T20:06:59.706524+00:00,SYENS.BR,avoid,1,0.105,0.9
2026-07-20T20:06:59.706524+00:00,ELI.BR,avoid,1,0.0489,0.95
2026-07-20T20:06:59.706524+00:00,DIE.BR,avoid,1,0.087,0.9
2026-07-20T20:06:59.706524+00:00,ARGX.BR,avoid,1,0.0801,0.8
