ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
UMI.BR,UMICORE,Industrials,5196137671.767092,10.746269,12.051554,,2.31,1.399,132.626,0.22861,0.040651226414396245,0.019809999,0.601,0.742,534739744.0,6691837440.0,1367384064.0,1038696000.0,19374073000.0,3250400000.0,1799000064.0,,9459690000.0,5778419000.0,,4256285000.0,384548000.0,710712000.0,0.10801951659829093,,240561925.0,-0.1572415661690485,0.1021799242894741,1.3576203191280658,1.2897000219414887,0.3015661189743004,0.3663451097062105,2.0480663742680787,1.5782479944748447,240481134.0,132094000.0,21.6,[],{},0.10291100386070925,4.893897490968565,6.4425370271956375,0.1552183550950096,0.09305555258294762,,0.19961851902744454,0.9,18,20,0.8136932404540764,11.0,22.0,0.6886863636363636,0.6886863636363636,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7553266666666667,True,0.9,0.7912,strong_buy,4,1,improving,0.4514,new
AZE.BR,Azelis Group NV,Basic Materials,2752622336.0,24.063831,13.317163,0.97173303,2.0,1.871,64.71,0.04124,0.020565874590205625,0.027390001,0.003,0.029,224371008.0,4367463936.0,404777984.0,313322000.0,4132480000.0,1843677056.0,245307008.0,11.639,5406675000.0,1386537000.0,,709787000.0,111193000.0,421666000.0,0.23435128542666872,,243513020.0,0.031354635182408795,0.24328788469765367,1.953455050599687,1.9330251052054406,0.3465741883875025,0.31997716419567995,0.764329278160792,0.735391158587373,243508319.0,95785000.0,11.31,[],{},0.08151172976604082,10.789776392581668,13.939218873874161,0.07174003142129208,0.04155614291007945,,0.06670842481234383,1.0,20,20,0.6333333333333334,6.0,22.0,0.5356045454545454,0.5356045454545454,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.5666533333333333,True,1.0,0.5917,buy,3,10,stable,0.49,persistent
APAM.AS,Aperam S.A.,Basic Materials,3288652032.0,25.977142,10.104983,1.015639,4.4,1.634,40.371,0.03946,0.0014504431909750201,0.02105,0.021,5.363,309000000.0,4302203392.0,256000000.0,16000000.0,6080000000.0,1327000064.0,334000000.0,44.76,6205000000.0,2968000000.0,,1645000000.0,9000000.0,422000000.0,0.056085526315789475,,72341663.0,0.03927235634138048,0.07178257394084732,1.804255319148936,1.7082601054481548,0.20999194198227236,0.1292077524651479,0.9798549556809025,1.0634138048282897,72289307.0,63000000.0,45.46,[],{},0.09395946940974507,16.805482,268.887712,0.003719024542110723,0.038495381824528656,,0.0035087719298245615,1.0,20,20,0.5833333333333334,7.0,22.0,0.5228318181818182,0.5228318181818182,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6544416666666667,True,0.9,0.5875,buy,3,1,improving,0.2927,new
ACKB.BR,Ackermans & Van Haaren NV,Industrials,8799452160.0,14.88115,13.738199,1.5431004,1.71,0.764,30.484,0.11017,0.027867508327359746,0.09939,-0.073,0.231,540637888.0,10451577856.0,1205133056.0,621853000.0,5961612000.0,2231378944.0,2195963904.0,174.454,21263042000.0,8126924000.0,,10641196000.0,592548000.0,1005382000.0,0.3876236829904395,,32679560.0,0.022663381920005686,0.34621551613728446,0.7637227995800472,0.7556260194779704,0.4912181427285898,0.4905430964803899,0.28037436976327285,0.29782783979019256,32665602.0,57350000.0,269.2,[],{},0.06143994855243352,8.672550971832276,16.807151941053593,0.05949848037949687,0.06719910759585113,,0.05854472000441355,1.0,20,20,0.5712246302029584,8.0,22.0,0.5915772727272727,0.5915772727272727,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.66908,True,0.9,0.5842,buy,3,2,stable,0.4333,building
MONT.BR,Montea Comm. VA,Real Estate,1584550912.0,9.81241,12.188171,0.8216728,5.78,0.712,66.15,0.08773,0.05004848316516741,0.93672997,0.093,0.06,67535248.0,2841690624.0,141120000.0,132215000.0,167148000.0,1275361024.0,17850000.0,82.758,3261957000.0,59446000.0,,73712000.0,163256000.0,119877000.0,0.8647246751382008,,23293966.0,0.05945314544487174,0.8695325877081133,0.8064629911004992,0.7910403969005482,0.3584636462099286,0.3192723163763477,0.05124163194058046,0.047571181732000714,23007385.0,25394000.0,68.0,[],{},0.042621065368456904,20.136696598639457,21.49295181333434,0.046526880471559735,0.10191176275756925,,0.04146952320163601,1.0,20,20,0.6666666666666666,8.0,22.0,0.6039363636363636,0.6039363636363636,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,garp",0.5967566666666666,False,0.46665,0.7,hold,2,10,stable,0.41,persistent
GBLB.BR,Groupe Bruxelles Lambert SA,Financial Services,9330355200.0,,32.974686,0.8159579,6.56,2.453,63.222,-0.038340002,-0.02522252201021968,-0.09307,,,-54025000.0,15150242816.0,917900032.0,394600000.0,6433600000.0,7803800064.0,3624399872.0,95.777,24795300000.0,7132900000.0,,2684200000.0,-625400000.0,747100000.0,0.4895548371051977,,120855203.0,0.004819917955742734,0.45518338636744266,2.6573653230012666,1.9550379198266523,0.3303771279234371,0.30326865486764354,0.25946852830980066,0.21753386329357416,125509357.0,249500000.0,78.15,[],{},-0.005790240440149588,16.50532987017044,38.39392502787633,0.026045787172682633,,,0.017846240123738755,0.95,19,20,0.5944444444444444,1.0,22.0,0.40021818181818175,0.40021818181818175,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.3696366666666667,False,0.55,0.6778,hold,2,10,stable,0.1209,persistent
AED.BR,Aedifica NV/SA,Real Estate,5863745536.0,6.1140122,12.7559595,0.88044715,5.69,0.11,67.042,0.11067,0.03773805129221724,1.56908,0.234,4.811,,11682841600.0,329408256.0,312073000.0,370191000.0,5026493952.0,44999000.0,79.789,6477123000.0,133882000.0,,618918000.0,244434000.0,317846000.0,0.9415598974583391,,47549264.0,0.031688826923505345,0.9379692923552976,0.21631621636468806,0.31870871388362343,0.3968322046686469,0.40139768657067393,0.05715361588779463,0.0537964833200904,47542052.0,66909000.0,70.25,[],{},,35.466146907987635,37.43624600654334,0.026712080047374777,0.1635587184467836,,0.053271095839083814,0.95,19,20,0.6666666666666666,8.0,22.0,0.6840363636363637,0.6840363636363637,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,quality,dividend,garp",0.74086,False,0.63335,0.625,hold,2,10,stable,0.4908,persistent
AGS.BR,AGEAS,Financial Services,15043468641.856064,7.909791,8.406437,1.4525253,6.26,7.271,77.615,0.18818001,0.01598909155436011,0.18157,0.195,1.085,-1145374976.0,-2296728576.0,1264000000.0,2460000000.0,9044000000.0,8928000000.0,27000000512.0,49.5,107073000000.0,,,,1712000000.0,2898000000.0,,,190727286.0,0.01135544157229191,,,,0.06656206513313347,0.04823523437103245,0.08446573832805655,0.08772535676197248,182106172.0,288000000.0,71.9,[],{},-0.07613769159681537,-1.8170321012658228,-0.9336295024390244,-1.0710886892365639,0.12642559076466117,,,0.95,19,20,0.6000000000000001,12.0,22.0,0.6636454545454545,0.6636454545454545,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,quality,dividend,garp",0.7619083333333333,False,0.73335,0.6,hold,2,10,stable,0.456,persistent
SOLB.BR,Solvay SA,Basic Materials,2774935040.0,885.3333,10.319934,2.4882894,9.15,1.1685636856368564,185.944,,0.0048756704046806435,-0.00593,-0.149,5.964,,4548800000.0,583000000.0,476000000.0,4746000000.0,2196000000.0,501000000.0,10.674,6153000000.0,2156000000.0,,1845000000.0,30000000.0,682000000.0,0.21133586177833966,,104477978.0,0.033313414998506125,0.22339181286549709,1.1685636856368564,1.2981991525423728,0.3463351210791484,0.28099790857484314,0.7713310580204779,0.7663579324768449,104465072.0,125000000.0,26.56,[],{},,7.802401372212693,9.556302521008403,0.10464298276468519,0.001129518114816194,,0.11049210770659239,0.9,18,20,0.49404761904761907,5.0,22.0,0.4243409090909091,0.4243409090909091,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.4653616666666666,False,0.73335,0.5417,hold,2,1,deteriorating,0.1748,new
ABI.BR,Anheuser-Busch InBev SA/NV,Consumer Defensive,148101562368.0,18.5679,17.748116,1.9106462,1.53,0.664,71.88,0.11392,0.031246572337391684,0.14896,0.11,1.249,10693624832.0,220667707392.0,19736000512.0,15650000000.0,59320000000.0,72732000256.0,8010999808.0,39.35841,218808000000.0,24769000000.0,,34475000000.0,6837000000.0,14883000000.0,0.5593223196223871,,1950752219.0,0.028334712563577676,0.5525364743675546,0.7184626540971719,0.6955482973447046,0.33374922306314214,0.3492598131022034,0.2711052612335929,0.28924152015369947,1975432021.0,3864000000.0,75.2,[],{},0.07220467266529357,11.180973939366707,14.10017299629393,0.0709211156673637,0.053856386559600164,,0.08490069602295845,1.0,20,20,0.5317423460612315,8.0,22.0,0.5698318181818182,0.5698318181818182,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6898183333333334,True,0.9,0.5173,hold,2,10,stable,0.5245,persistent
