ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
ABI.BR,Anheuser-Busch InBev SA/NV,Consumer Defensive,137373777920.0,22.429022,16.713476,1.8144523,1.62,0.7184626540971719,75.033,,0.031246572337391684,0.11897001,0.12,0.203,,210537480192.0,19719000064.0,15650000000.0,59320000000.0,73333997568.0,11943999488.0,39.18538,218808000000.0,24769000000.0,,34475000000.0,6837000000.0,,0.5593223196223871,,1950752219.0,0.028334712563577676,0.5525364743675546,0.7184626540971719,0.6955482973447046,0.33374922306314214,0.3492598131022034,0.2711052612335929,0.28924152015369947,1975432021.0,3864000000.0,71.1,[],{},,10.676884198421797,13.452874133674122,0.0743335580236258,0.044585091583574175,,0.08490069602295845,0.85,17,20,0.4835618457909481
ACKB.BR,Ackermans & Van Haaren NV,Industrials,8766764032.0,14.81768,13.687166,1.5373682,1.72,0.764,30.484,0.11017,0.027867508327359746,0.09939,-0.073,0.231,540637888.0,10418897920.0,1205133056.0,621853000.0,5961612000.0,2231378944.0,2195963904.0,174.454,21263042000.0,8126924000.0,,10641196000.0,592548000.0,,0.3876236829904395,,32679560.0,0.022663381920005686,0.34621551613728446,0.7637227995800472,0.7556260194779704,0.4912181427285898,0.4905430964803899,0.28037436976327285,0.29782783979019256,32665602.0,57350000.0,268.2,[],{},0.061669036149095705,8.645433687282411,16.75459943105525,0.059685103431745684,0.06748694802425212,,0.05854472000441355,0.95,19,20,0.5669109047127623
AED.BR,Aedifica NV/SA,Real Estate,5859571712.0,6.1096606,12.74688,0.87982047,5.7,0.11,67.042,0.11067,0.03773805129221724,1.56908,0.234,4.811,,11678667776.0,329408256.0,312073000.0,370191000.0,5026493952.0,44999000.0,79.789,6477123000.0,133882000.0,,618918000.0,244434000.0,,0.9415598974583391,,47549264.0,0.031688826923505345,0.9379692923552976,0.21631621636468806,0.31870871388362343,0.3968322046686469,0.40139768657067393,0.05715361588779463,0.0537964833200904,47542052.0,66909000.0,70.2,[],{},,35.45347623588402,37.42287149481051,0.026721626643179203,0.1636752129897363,,0.053271095839083814,0.9,18,20,0.6666666666666666
AGS.BR,Ageas,Financial Services,15137619968.0,7.9592957,8.525305,1.4616162,6.22,7.271,77.615,0.18818001,0.01598909155436011,0.18157,0.195,1.085,-1145374976.0,-2210901504.0,1264000000.0,2460000000.0,9044000000.0,8928000000.0,27000000512.0,49.5,107073000000.0,,,,1712000000.0,,,,190727286.0,0.01135544157229191,,,,0.06656206513313347,0.04823523437103245,0.08446573832805655,0.08772535676197248,182106172.0,288000000.0,72.35,[],{},-0.07566413864407036,-1.7491309367088608,-0.8987404487804878,-1.1126682918932964,0.1256392572523722,,,0.9,18,20,0.5916666666666667
ARGX.BR,argenx SE,Healthcare,46765203456.0,38.0182,24.448559,7.253292,,5.225857568554734,0.644,,0.1488057053233914,0.31398,0.626,1.14,,42278412288.0,1318290304.0,1054615000.0,4153482000.0,47160000.0,4440038912.0,103.67706,8682698000.0,6899104000.0,,1320186000.0,1292035000.0,,0.8914970619831746,,61883306.0,0.13430665784014953,0.896226014516277,5.225857568554734,7.289127293571134,0.005431491455766399,0.006296309791404206,0.47836306180406135,0.353119424646942,60760957.0,4082000.0,752.0,[],{},,32.07063888713847,40.08895406190885,0.024944527074857406,0.026303191629272294,,0.1432411926798897,0.8,16,20,0.19180035650623886
APAM.AS,Aperam S.A.,Basic Materials,3374015232.0,113.756096,10.767408,1.0420018,4.29,3.168,39.779,0.0091,0.0014504431909750201,0.005,-0.05,,286624992.0,4446030848.0,173000000.0,16000000.0,6080000000.0,1294000000.0,237000000.0,44.76,6205000000.0,2968000000.0,,1645000000.0,9000000.0,,0.056085526315789475,,72341663.0,0.03927235634138048,0.07178257394084732,1.804255319148936,1.7082601054481548,0.20999194198227236,0.1292077524651479,0.9798549556809025,1.0634138048282897,72289307.0,63000000.0,46.64,[],{},0.08495071073822585,25.699600277456646,277.876928,0.0035987154716205874,0.008790737684950088,,0.0035087719298245615,0.95,19,20,0.47500000000000003
AZE.BR,Azelis Group NV,Basic Materials,2577389056.0,23.02174,12.447987,0.95689887,2.13,1.953,68.999,0.04025,0.020565874590205625,0.02705,-0.056,-0.676,243326496.0,4210505472.0,403916992.0,313322000.0,4132480000.0,1873814016.0,263008992.0,11.067,5406675000.0,1386537000.0,,709787000.0,111193000.0,,0.23435128542666872,,243513020.0,0.031354635182408795,0.24328788469765367,1.953455050599687,1.9330251052054406,0.3465741883875025,0.31997716419567995,0.764329278160792,0.735391158587373,243508319.0,95785000.0,10.59,[],{},0.09440813579678675,10.42418505631969,13.438269486343122,0.07441434338076547,0.043437203269605165,,0.06670842481234383,0.95,19,20,0.675
DIE.BR,D'Ieteren Group SA,Consumer Cyclical,9207927808.0,22.277353,11.289077,643.75,1.14,1.273,7910.915,,0.06843573167389447,0.05284,0.034,-0.118,325275008.0,11163927552.0,544200000.0,322000000.0,8033500000.0,2246700032.0,304800000.0,0.272,6202900000.0,2341000000.0,,1839300000.0,424500000.0,,0.2508869110599365,,52586680.0,0.05569775622315027,0.24125964167903172,1.272766813461643,1.4485676741130091,0.3622176723790485,0.396964389959136,1.2951200245046672,1.2206355621416918,53063318.0,118400000.0,175.1,[],{},0.03532553846886111,20.514383594266814,34.670582459627326,0.028842895880519595,0.04488863645514797,,0.07379228160234669,0.9,18,20,0.2969919351756297
ELI.BR,Elia Group,Utilities,15160692736.0,25.20871,19.148214,1.9858743,1.48,1.215,198.675,0.09034,0.018224743845766223,0.13189,0.146,-0.235,-2746650112.0,29585195008.0,2284300032.0,1046700000.0,4442200000.0,17771499520.0,4141799936.0,69.944,32148600000.0,5927500000.0,,4877700000.0,585900000.0,,0.6526720994102021,,109148266.0,0.018072337489369213,0.5019644279267321,1.2152243885437808,0.9092962866787847,0.5527892349900151,0.5948627224441984,0.13817709013767318,0.15111763667581316,77568348.0,289500000.0,138.9,[],{},-0.18116916949829806,12.951536397824645,28.26520971434031,0.03537918204415981,0.03966882875006297,,0.03838157156529488,0.95,19,20,0.31148649810801515
GBLB.BR,Groupe Bruxelles Lambert SA,Financial Services,9187086336.0,,32.468353,0.80342877,6.66,2.6573653230012666,57.73,,-0.02522252201021968,-0.101339996,0.062,-0.315,,14660974592.0,889475008.0,394600000.0,6433600000.0,7719900160.0,4128699904.0,95.777,24795300000.0,7132900000.0,,2684200000.0,-625400000.0,,0.4895548371051977,,120855203.0,0.004819917955742734,0.45518338636744266,2.6573653230012666,1.9550379198266523,0.3303771279234371,0.30326865486764354,0.25946852830980066,0.21753386329357416,125509357.0,249500000.0,76.95,[],{},,16.482727968900953,37.15401569183984,0.026914991054913903,,,0.017846240123738755,0.8,16,20,0.6944444444444444
