ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
TEP.PA,Teleperformance SE,Industrials,3274086144.0,6.704762,4.0564766,0.79928476,7.99,1.184,121.284,0.114870004,0.0432964543949821,0.04868,-0.021,0.086,1051062528.0,7247673344.0,1602899968.0,1152000000.0,10209400000.0,4968999936.0,996000000.0,70.463,11479000000.0,3636000000.0,,3071000000.0,497000000.0,1614000000.0,0.3164142848747233,,58144060.0,0.0433162166639059,0.3261542053347341,1.1839791598827742,1.116597263533611,0.4282603014199843,0.406410468775882,0.8893980311873857,0.8513997018386615,59152361.0,267000000.0,56.32,[],{},0.3210247017862215,4.521600529472342,6.291383111111111,0.1589475608684386,0.1491477251541516,,0.1370123691722169,1.0,20,20,0.8397727272727272,14.0,22.0,0.7239681818181819,0.7239681818181819,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,4,5,"cheapness,dividend,garp,risk",0.71847,True,0.9,0.9261,strong_buy,4,1,improving,0.4415,new,neutral,0.5,56.34040796513819
CAP.PA,Capgemini SE,Technology,14926444544.0,9.844468,6.560234,1.3097839,3.78,1.209,81.032,0.13695,0.0550929112181693,0.07127,0.037,0.055,2106249984.0,21924413440.0,2896999936.0,2501000000.0,22465000000.0,9457999872.0,2814000128.0,68.622,29060000000.0,9496000000.0,,7855000000.0,1601000000.0,2482000000.0,0.270420654351213,,169742028.0,0.0651208106001558,0.2738957277335264,1.2089115213239974,1.2074198988195617,0.3254645560908465,0.2368277474668745,0.7730557467309016,0.8611067809820733,169951043.0,198000000.0,89.88,[],{},0.1411086195236394,7.567971668743592,8.76625887245102,0.1140737473704564,0.1015798923821988,,0.1179438811601037,1.0,20,20,0.8166666666666667,12.0,22.0,0.6457863636363638,0.6457863636363638,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6475666666666667,True,0.9,0.8667,strong_buy,4,1,improving,0.5261,new,neutral,0.5,46.722677486261645
SAN.PA,Sanofi,Healthcare,90999128064.0,19.199495,8.38039,1.257484,5.42,1.005,27.372,0.06576,0.0616142896573478,0.15954,0.06,-0.117,16672499712.0,106367328256.0,12826999808.0,9597000000.0,46716000000.0,20021000192.0,5544000000.0,60.462,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.0418681004231991,0.7018245043580364,1.09197389310284,1.460393662986078,0.16031702219944,0.1348363680175906,0.36840818579709,0.3334839380111146,1253591640.0,626000000.0,76.03,[],{},0.1832160380731799,8.292455745548569,11.083393587162655,0.0902250734069617,0.0520847032695391,,0.0974710542352224,1.0,20,20,0.8166666666666667,9.0,22.0,0.61855,0.61855,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.689845,True,0.9,0.8667,strong_buy,4,1,improving,0.5261,new,neutral,0.5,50.62322869470857
CA.PA,Carrefour SA,Consumer Defensive,11091397632.0,12.08077,8.389557,1.0104877,6.18,0.896,185.209,0.08428001,0.0057776248347309,0.0088599995,0.02,,1673124992.0,28493281280.0,3590000128.0,2120000000.0,84024000000.0,21874999296.0,5239000064.0,15.542,55213000000.0,22822000000.0,,26094000000.0,319000000.0,3948000000.0,0.1907074169284966,,706233538.0,0.0126039433084043,0.1932345152361209,0.8746071893921974,0.8770953837085068,0.0952493072283701,0.0883670658787023,1.5218155144621737,1.454822795181563,645773498.0,764000000.0,15.705,[],{},0.1508488873550827,7.9368468702182735,13.440227018867924,0.0744035051339653,0.0827761806573587,,0.0728046979635289,1.0,20,20,0.7125,7.0,22.0,0.5079954545454546,0.5079954545454546,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,risk",0.463345,True,0.7,0.7875,strong_buy,4,1,improving,0.2812,new,neutral,0.5,39.01749113192988
RI.PA,Pernod Ricard SA,Consumer Defensive,15839010816.0,11.232143,10.747323,1.0229639,7.47,2.344,82.292,0.08565,0.0438511326860841,0.14059,-0.149,-0.18,1504625024.0,28088250368.0,2880000000.0,2941000000.0,10959000000.0,13601999872.0,2398000128.0,61.488,37080000000.0,12358000000.0,,6450000000.0,1626000000.0,1788000000.0,0.5945797974267725,,251655310.0,0.0376674747990302,0.6013967925504398,1.915968992248062,1.858997376053032,0.3395091693635383,0.3475309429628684,0.2955501618122977,0.2959806048232742,251260348.0,515000000.0,62.9,[],{},0.0949948858220414,9.752864711111112,9.55057815980959,0.1047057029707547,0.0890302055449258,,0.096016976820111,1.0,20,20,0.7125,14.0,22.0,0.6695772727272726,0.6695772727272726,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6933633333333333,True,0.9,0.7625,strong_buy,4,1,improving,0.4609,new,neutral,0.625,53.35092261941111
TTE.PA,TotalEnergies SE,Energy,168519909376.0,10.811966,8.983832,1.5034641,4.74,1.061,48.045,0.14479999,0.0451014413083437,0.09083,0.278,1.06,13531374592.0,202560913408.0,39650000896.0,19925000000.0,182344000000.0,62917001216.0,31716999168.0,50.483414,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.0551969091412218,0.2838914165942436,0.9665741170878211,1.0978967712596637,0.2063905447424026,0.1794967896962033,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,75.9,[],{},0.0802954062941544,5.108724056256828,10.166168803412798,0.0983654727102601,0.0924901169685513,,0.1003818793704532,1.0,20,20,0.711038346038346,13.0,22.0,0.7329954545454546,0.7329954545454546,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8015933333333333,True,0.9,0.728,strong_buy,4,1,improving,0.4497,new,neutral,0.5,67.62613863557412
DG.PA,Vinci SA,Industrials,65483747328.0,13.682081,11.877914,2.1396418,4.22,0.853,118.763,0.15433,0.0368466538909555,0.064770006,0.052,0.068,7772125184.0,91645706240.0,12375000064.0,9004000000.0,75702000000.0,40768999424.0,18498000896.0,55.313,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.0375547335336046,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.2832600608725059,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,118.35,[],{},0.1186878500564481,7.405713597255299,10.178332545535318,0.0982479198362059,0.0730882970214838,,0.12010457795326,1.0,20,20,0.6844696969696971,10.0,22.0,0.5837727272727273,0.5837727272727273,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.62766,True,0.8,0.7208,strong_buy,4,1,improving,0.4391,new,neutral,0.625,38.33203210393071
EN.PA,Bouygues SA,Industrials,18348410880.0,15.044304,12.300479,1.4056356,4.42,0.939,101.941,0.09117,0.0177482493488669,0.02125,-0.032,,2713999872.0,28584949760.0,4668000256.0,2730000000.0,56877000000.0,15125000192.0,6659999744.0,33.821,64119000000.0,30930000000.0,,33108000000.0,1138000000.0,5472000000.0,0.5573606202858801,,384226249.0,0.0167712890748842,0.5497251198195658,0.934215295396883,0.9238018225359996,0.236560145978571,0.2336884154460719,0.8870537594160857,0.8996258956312219,376400179.0,479000000.0,47.54,[],{},0.1479147098759541,6.123596442236356,10.470677567765568,0.0955048031541476,0.0664703398708242,,0.0880332785140756,1.0,20,20,0.7106060606060607,6.0,22.0,0.4804954545454545,0.4804954545454545,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,risk",0.46238,True,0.8,0.797,buy,3,1,improving,0.2827,new,neutral,0.625,44.55058515366187
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,36330053632.0,12.83045,10.760896,1.4889176,3.1,1.268,72.038,0.11723,0.0473897034650535,0.06202,-0.021,0.069,3115875072.0,47613194240.0,6773000192.0,4953000000.0,46483000000.0,18087999488.0,7582000128.0,49.808,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.2783598304756577,,492707578.0,0.0460805599662983,0.2766313800433746,1.2681073379244836,1.345002108814846,0.2914228417384443,0.2890404744158916,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,74.16,[],{},0.0857657713242541,7.029852781672562,9.61300105794468,0.1040257869495966,0.077939589024547,,0.1125886524822695,1.0,20,20,0.6356060606060606,10.0,22.0,0.6041181818181817,0.6041181818181817,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.64872,True,1.0,0.6811,buy,3,14,stable,0.6584,persistent,neutral,0.625,44.091321961485455
URW.PA,Unibail-Rodamco-Westfield SE,Real Estate,15147953152.0,12.024082,11.115022,0.9455231,4.29,1.27,108.251,0.070539996,0.0255253200225424,0.35754,-0.038,6.383,1573374976.0,39832309760.0,2284400128.0,1777300000.0,3058400000.0,23487100928.0,2680499968.0,110.891,49684000000.0,3974100000.0,,3129100000.0,1268200000.0,2046500000.0,0.6457624901909496,,143358222.0,0.00273038307536,0.628420503055803,1.2700457000415457,1.3763309950335283,0.4566540536188713,0.5146996205103688,0.0615570404959343,0.0608098517898762,142629547.0,828700000.0,104.85,[],{},0.1038671667526424,17.436660623405462,22.41169738367186,0.04461955660389,0.0831664321650501,,0.0381764325559715,1.0,20,20,0.6420974820974822,9.0,22.0,0.6216318181818181,0.6216318181818181,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7180033333333333,True,0.7,0.6624,buy,3,1,improving,0.4077,new,neutral,0.625,64.25600737079174
