ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
TEP.PA,Teleperformance SE,Industrials,4011220480.0,8.214286,4.933632,0.9792374,6.52,1.395,120.367,0.11395001,0.04329645439498214,0.04651,-0.046,-0.116,1155487488.0,7989920768.0,1575299968.0,1152000000.0,10209400000.0,5047000064.0,1068300032.0,70.463,11479000000.0,3636000000.0,,3071000000.0,497000000.0,1614000000.0,0.3164142848747233,,58144060.0,0.043316216663905914,0.32615420533473416,1.1839791598827742,1.116597263533611,0.42826030141998433,0.40641046877588205,0.8893980311873857,0.8513997018386615,59152361.0,267000000.0,69.0,[],{},0.288063818421669,5.071999574877157,6.935695111111111,0.14418165504391645,0.12173912620037823,,0.13701236917221693,1.0,20,20,0.8488636363636364,12.0,22.0,0.6958545454545454,0.6958545454545454,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.6761783333333333,True,0.9,0.9261,strong_buy,4,2,stable,0.5325,building
SAN.PA,Sanofi,Healthcare,89220177920.0,22.984568,8.21216,1.2316827,5.53,1.005,27.372,0.06576,0.061614289657347894,0.15954,0.06,-0.117,16672499712.0,104488771584.0,12826999808.0,9597000000.0,46716000000.0,20021000192.0,5544000000.0,60.462,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.04186810042319915,0.7018245043580364,1.09197389310284,1.4603936629860779,0.16031702219944008,0.13483636801759064,0.36840818579709,0.33348393801111464,1253591640.0,626000000.0,74.47,[],{},0.18686916010131174,8.146002428317804,10.887649430447015,0.0918471894588677,0.04350745247854996,,0.09747105423522243,1.0,20,20,0.7833333333333333,9.0,22.0,0.6081318181818182,0.6081318181818182,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6788333333333333,True,0.9,0.8667,strong_buy,4,2,stable,0.6188,building
CA.PA,Carrefour SA,Consumer Defensive,11253831680.0,12.257693,8.538467,1.0188619,6.09,0.896,185.209,0.08428001,0.005777624834730951,0.0088599995,0.02,,1673124992.0,28656019456.0,3590000128.0,2120000000.0,84024000000.0,21874999296.0,5239000064.0,15.64,55213000000.0,22822000000.0,,26094000000.0,319000000.0,3948000000.0,0.19070741692849663,,706233538.0,0.012603943308404373,0.19323451523612092,0.8746071893921974,0.8770953837085068,0.09524930722837013,0.0883670658787023,1.5218155144621737,1.454822795181563,645773498.0,764000000.0,15.935,[],{},0.14867158489436372,7.982177836847141,13.516990309433963,0.07398096596267191,0.08158141992950876,,0.07280469796352897,1.0,20,20,0.7125,7.0,22.0,0.5112272727272728,0.5112272727272728,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,risk",0.4666716666666667,True,0.7,0.7875,strong_buy,4,2,stable,0.3375,building
EN.PA,Bouygues SA,Industrials,18819278848.0,14.911315,12.48307,1.4417078,4.31,0.888,103.048,0.09711,0.01774824934886695,0.022230001,-0.01,0.126,3042249984.0,30422278144.0,4597000192.0,2730000000.0,56877000000.0,14707000320.0,4835999744.0,33.821,64119000000.0,30930000000.0,,33108000000.0,1138000000.0,5472000000.0,0.5573606202858801,,384226249.0,0.01677128907488428,0.5497251198195658,0.934215295396883,0.9238018225359997,0.23656014597857108,0.2336884154460719,0.8870537594160857,0.8996258956312219,376400179.0,479000000.0,48.76,[],{},0.1616560341430571,6.61785444276092,11.143691627838828,0.08973686937835132,0.06706316646117395,,0.08803327851407565,1.0,20,20,0.696969696969697,8.0,22.0,0.5573272727272728,0.5573272727272728,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,dividend,garp,risk",0.5967266666666666,True,0.8,0.7788,strong_buy,4,1,improving,0.3689,new
RI.PA,Pernod Ricard SA,Consumer Defensive,17077927936.0,12.110715,11.587973,1.1029794,6.93,2.344,82.292,0.08565,0.04385113268608414,0.14059,-0.149,-0.18,1504625024.0,29326483456.0,2880000000.0,2941000000.0,10959000000.0,13601999872.0,2398000128.0,61.488,37080000000.0,12358000000.0,,6450000000.0,1626000000.0,1788000000.0,0.5945797974267725,,251655310.0,0.037667474799030244,0.6013967925504398,1.915968992248062,1.8589973760530314,0.3395091693635383,0.34753094296286846,0.2955501618122977,0.2959806048232742,251260348.0,515000000.0,67.82,[],{},0.0881034882942839,10.182806755555555,9.971602671200271,0.10028478199278582,0.0825715079580355,,0.096016976820111,1.0,20,20,0.7125,13.0,22.0,0.6436727272727274,0.6436727272727274,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.68579,True,0.9,0.7625,strong_buy,4,2,stable,0.5531,building
ORA.PA,ORANGE,Communication Services,44039237086.43317,11.195946,13.98265,1.481316,4.53,0.867,161.477,0.14163,0.0050086114602243634,0.09983,0.055,,6392249856.0,92651241472.0,12103000064.0,4160000000.0,40397000000.0,56751001600.0,11459999744.0,11.186,107415000000.0,28898000000.0,,25937000000.0,538000000.0,10780000000.0,0.5943263113597544,,2658599751.0,0.02262356316306294,0.5864527186467622,1.11416123684312,0.9208083993263338,0.07002746357585067,0.0709128367060092,0.3760834147930922,0.3875753316518089,2658220599.0,1341000000.0,16.57,[],{},0.14514896894000037,7.655229363138504,22.271933046153848,0.044899560263930056,0.0893180442277946,,0.05105672696924323,1.0,20,20,0.7392713301536832,9.0,22.0,0.5416409090909092,0.5416409090909092,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,risk",0.5289783333333333,True,0.9,0.7584,strong_buy,4,1,improving,0.3744,new
TTE.PA,TotalEnergies SE,Energy,169674440704.0,11.027417,9.140005,1.5137645,4.71,1.061,48.045,0.14479999,0.04510144130834379,0.09083,0.278,1.06,13531374592.0,203717492736.0,39650000896.0,19925000000.0,182344000000.0,62917001216.0,31716999168.0,50.483414,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.05519690914122184,0.28389141659424366,0.9665741170878213,1.0978967712596635,0.20639054474240265,0.17949678969620333,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,76.42,[],{},0.07974904491128229,5.137893773832212,10.224215444717691,0.09780701564897548,0.09068306748534131,,0.10038187937045322,1.0,20,20,0.7210359875065757,13.0,22.0,0.7378227272727274,0.7378227272727274,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8052883333333334,True,0.9,0.7444,strong_buy,4,2,stable,0.5495,building
DG.PA,Vinci SA,Industrials,67772715008.0,13.601554,12.1824045,2.2200284,4.08,0.825,120.742,0.16318001,0.036846653890955545,0.06645,0.023,0.108,8071124992.0,97347207168.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.03755473353360465,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.28326006087250594,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,122.55,[],{},0.11909106771135362,7.617152207981928,10.811551218125278,0.09249366532376285,0.0735210109080183,,0.12010457795326006,1.0,20,20,0.7007575757575758,10.0,22.0,0.5866045454545454,0.5866045454545454,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6286483333333333,True,0.8,0.7371,strong_buy,4,2,stable,0.5392,building
URW.PA,Unibail-Rodamco-Westfield SE,Real Estate,15212965888.0,9.75,11.16649,0.84726673,4.27,0.787,108.102,0.086260006,0.02552532002254247,0.44619998,-0.004,0.432,1121175040.0,40257966080.0,2300100096.0,1777300000.0,3058400000.0,23777300480.0,2835699968.0,124.282,49684000000.0,3974100000.0,,3129100000.0,1268200000.0,2046500000.0,0.6457624901909496,,143358222.0,0.002730383075360067,0.628420503055803,1.2700457000415455,1.3763309950335285,0.4566540536188713,0.5146996205103688,0.06155704049593431,0.060809851789876294,142629547.0,828700000.0,105.3,[],{},0.07369864944510154,17.50270179546134,22.65119342823384,0.044147784229043696,0.10256410256410256,,0.03817643255597155,1.0,20,20,0.6584606552253611,11.0,22.0,0.6408454545454546,0.6408454545454546,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7048816666666667,True,0.7,0.6706,buy,3,2,stable,0.4984,building
VIE.PA,Veolia Environnement SA,Industrials,25244071936.0,20.27647,13.22727,2.5737326,4.35,0.818,250.259,0.13434,0.017220642130435396,0.027880002,0.007,0.056,2206125056.0,52116606976.0,5768999936.0,3498000000.0,44396000000.0,33780000768.0,9509000192.0,13.393,70671000000.0,25864000000.0,,30039000000.0,1217000000.0,5153000000.0,0.17733579601765925,,731284707.0,0.015049548376485424,0.1738118678958203,0.8610140151136856,0.9067166612324747,0.28569002844165214,0.27364684274729645,0.6282067609061709,0.6125632204388767,730001228.0,876000000.0,34.47,[],{},0.08739180674152235,9.033906665656097,14.898972834762722,0.06711872094073294,0.04931824918242673,,0.08608978145304194,1.0,20,20,0.6034090909090908,6.0,22.0,0.4744363636363636,0.4744363636363636,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.55447,True,0.7,0.6489,buy,3,1,improving,0.3913,new
