ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
AC.PA,Accor SA,Consumer Cyclical,10996554752.0,28.925465,17.568016,3.260291,2.88,1.048,91.202,0.09798,0.038232288828337874,0.079619996,-0.012,-0.436,558625024.0,14323856384.0,1076999936.0,869000000.0,5639000000.0,4302000128.0,1204999936.0,14.284,11744000000.0,2907000000.0,,2773000000.0,449000000.0,,0.5213690370633091,,234707316.0,0.05059301650493489,0.515340706386015,1.0483231157591058,1.054293825408091,0.36580381471389645,0.31011030936385503,0.4801600817438692,0.4649581156174836,243667720.0,158000000.0,46.57,[],{},0.05080000387379511,13.29977459163006,16.483148888377446,0.060668019610325634,0.03457161362833752,,0.09686768476201092,0.95,19,20,0.5416666666666667
AI.PA,L'Air Liquide S.A.,Basic Materials,112993902592.0,32.192028,24.677334,4.3095503,1.91,1.173,50.657,0.13357,0.06776477749482793,0.13058,-0.034,0.053,1524087552.0,122604953600.0,7498899968.0,5234300000.0,26940200000.0,13650599936.0,3960800000.0,41.234,51913400000.0,10369600000.0,,8836800000.0,3517900000.0,,0.6417547011529239,,635735026.0,0.0637412637971755,0.6301177479322044,1.1734564548252762,0.880146771965711,0.2618957725750962,0.23894731768448452,0.518945012270435,0.5216715669735383,634089045.0,82700000.0,177.7,[],{},0.013488228276380515,16.349725176117992,23.423371530099537,0.042692402275008895,0.031063591271727274,,0.1215114470501386,0.95,19,20,0.2600885703517283
AIR.PA,Airbus SE,Industrials,150974611456.0,30.296999,22.334852,5.7864404,1.65,1.14,55.655,0.19748,0.038691556925721994,0.06913,-0.066,-0.265,-84125000.0,151856168960.0,7654000128.0,5236000000.0,73420000000.0,14570000384.0,15776000000.0,33.143,134939000000.0,73647000000.0,,63511000000.0,5221000000.0,,0.14937346771996732,,787227745.0,0.03275212246445791,0.15419615773508594,1.1595944009699106,1.1453078864457384,0.08168876307072084,0.0872590219250385,0.5440977034067245,0.5357820033587952,787956251.0,770000000.0,191.78,[],{},-0.0005572128928744908,19.84010535935021,29.002324094728802,0.03447999535257076,0.0330065693965267,,0.0733045864366915,0.95,19,20,0.24469696969696975
MT.AS,ArcelorMittal S.A.,Basic Materials,43915390976.0,17.333334,9.090463,0.9141481,0.88,1.386,23.917,0.054330003,0.03226103599684759,0.047119997,0.045,-0.279,-2022875008.0,55464779776.0,4392999936.0,1461000000.0,61352000000.0,13683000320.0,4359000064.0,63.70959,97703000000.0,30605000000.0,,22520000000.0,3152000000.0,,0.07132611813795801,,761125819.0,0.014980142082004811,0.09269550455630114,1.3590142095914743,1.346254295532646,0.13725269439014154,0.12936174973429546,0.6279438707102136,0.6985623986127426,768546622.0,577000000.0,58.24,[],{},-0.046063008048943754,12.625718320975636,37.96357274195756,0.026341040312435983,0.05769230547337286,,0.01943258449383504,0.95,19,20,0.36889594047488783
CS.PA,AXA SA,Financial Services,91059134464.0,13.087719,10.016425,1.9503267,5.18,1.928,113.518,0.13415,0.015415261691257343,0.10346,0.032,0.598,10821374976.0,89354682368.0,11971999744.0,10626000000.0,105925000000.0,60343001088.0,69054996480.0,22.95,635539000000.0,,,,9797000000.0,,,,2055372364.0,0.012062493690364384,,,,0.09518219967618037,0.09552405921420945,0.16666955135719444,0.1579504467986821,2175367655.0,627000000.0,44.76,[],{},0.11883898347703056,7.463638847201098,8.409061017127799,0.11891934164387359,0.07640750844360274,,,0.9,18,20,0.27499999999999997
BNP.PA,BNP Paribas SA,Financial Services,113795350528.0,9.745283,7.982098,0.87342525,9.76,,,0.09575,0.004377043739287879,0.2545,0.093,0.12,,,,,68804000000.0,653543014400.0,1143160045568.0,118.27,2792981000000.0,,,,12225000000.0,,,,1100099307.0,0.004321034208926884,,,,0.14267479800256427,0.14044655123205668,0.024634610833371227,0.024352029717831437,1129554473.0,50329000000.0,103.3,[],{},,,,,0.10261374656846804,,,0.6,12,20,0.6428571428571429
EN.PA,Bouygues SA,Industrials,18541389824.0,15.202532,12.42985,1.4204193,4.4,0.939,101.941,0.09117,0.01774824934886695,0.02125,-0.032,,2713999872.0,28677369856.0,4668000256.0,2730000000.0,56877000000.0,15125000192.0,6659999744.0,33.821,64119000000.0,30930000000.0,,33108000000.0,1138000000.0,,0.5573606202858801,,384226249.0,0.01677128907488428,0.5497251198195658,0.934215295396883,0.9238018225359997,0.23656014597857108,0.2336884154460719,0.8870537594160857,0.8996258956312219,376400179.0,479000000.0,48.04,[],{},0.14637521230943512,6.143395090679276,10.504531082783883,0.09519701470910234,0.06577851636819446,,0.08803327851407565,0.95,19,20,0.7106060606060607
BVI.PA,Bureau Veritas SA,Industrials,12203642880.0,20.9771,16.474228,7.124708,3.36,1.526,175.987,0.32172,0.08324602882464535,0.08801,0.018,-0.192,924249984.0,13915184128.0,1229600000.0,938700000.0,6466400000.0,3085400064.0,1368499968.0,3.857,7063400000.0,3363000000.0,,2204000000.0,588000000.0,,0.7224266980081653,,443652690.0,0.07913939040153442,0.7212261052091846,1.5258620689655173,1.3286209340789163,0.43681513152306256,0.3993384202699134,0.9154797972647734,0.8674060793061752,448512647.0,95400000.0,27.48,[],{},0.07573558101365876,11.316838100195186,14.823888492596144,0.06745868336094503,0.04767103174414004,,0.19317199654278305,0.95,19,20,0.4856060606060606
CAP.PA,Capgemini SE,Technology,15175741440.0,10.030668,6.6849256,1.3345574,3.72,1.209,81.032,0.13695,0.0550929112181693,0.07127,0.037,0.055,2106249984.0,22168842240.0,2896999936.0,2501000000.0,22465000000.0,9457999872.0,2814000128.0,68.622,29060000000.0,9496000000.0,,7855000000.0,1601000000.0,,0.270420654351213,,169742028.0,0.06512081060015588,0.27389572773352644,1.2089115213239974,1.2074198988195615,0.3254645560908465,0.23682774746687452,0.7730557467309016,0.8611067809820733,169951043.0,198000000.0,91.58,[],{},0.1387905818195068,7.65234474620299,8.863991299480208,0.11281599521184558,0.09969425765063702,,0.11794388116010375,0.95,19,20,0.85
CA.PA,Carrefour SA,Consumer Defensive,11843772416.0,11.788733,8.952064,1.0770814,5.78,0.875,180.581,0.08636,0.005777624834730951,0.0038100001,,,2010249984.0,27263129600.0,3552000000.0,2120000000.0,84024000000.0,21071998976.0,6355999744.0,15.542,55213000000.0,22822000000.0,,26094000000.0,319000000.0,,0.19070741692849663,,706233538.0,0.012603943308404373,0.19323451523612092,0.8746071893921974,0.8770953837085068,0.09524930722837013,0.0883670658787023,1.5218155144621737,1.454822795181563,645773498.0,764000000.0,16.74,[],{},0.16973054812200808,7.675430630630631,12.85996679245283,0.07776069846361293,0.08482675788823107,,0.07280469796352897,0.95,19,20,0.6875
ACA.PA,Crédit Agricole S.A.,Financial Services,54246948864.0,8.41784,7.3384356,0.6856072,6.35,,,0.09276,0.0029793956720845284,0.26825002,-0.011,-0.084,,-257906245632.0,,,26261000000.0,519500005376.0,839499972608.0,26.152,2374307000000.0,,,,7074000000.0,,,,3025507821.0,0.003068254926222475,,,,0.1318190950032999,0.13662588071082032,0.01106049049259426,0.010965537007388577,3024783738.0,39824000000.0,17.93,[],{},,,,,0.11879532041473823,,,0.65,13,20,0.7500000000000001
BN.PA,Danone S.A.,Consumer Defensive,46964338688.0,25.93617,17.319647,2.7677286,3.08,0.905,89.092,0.108430006,0.040491668700494775,0.06689,-0.005,-0.025,2491249920.0,55318814720.0,4470000128.0,3717000000.0,27283000000.0,15118000128.0,6570999808.0,26.426,45071000000.0,13230000000.0,,14625000000.0,1825000000.0,,0.5061760070373492,,640172858.0,0.044621566722600016,0.49704120397428403,0.9046153846153846,0.9311098164870376,0.3198952763417719,0.31332244104919194,0.6053338066606022,0.6044334540316171,644157323.0,498000000.0,73.14,[],{},0.05304556583986451,12.3755734084847,14.882651256389561,0.06719232902609812,0.03855619391760618,,0.12208500295605335,0.95,19,20,0.4125
DSY.PA,Dassault Systèmes SE,Technology,23842490368.0,19.722826,12.956365,2.5939958,1.51,1.701,26.856,0.13416,0.07941883474773231,0.19896,-0.041,0.108,1259175040.0,21200214016.0,1671100032.0,1394600000.0,6235700000.0,2479399936.0,4874899968.0,6.995,15059400000.0,6785500000.0,,4229300000.0,1196000000.0,,0.837291723463284,,1320685096.0,0.07720363568529323,0.836439423200721,1.6044026198188825,1.8650007099247479,0.21044663133989402,0.19697798133269864,0.4140736018699284,0.39969380994345777,1312809178.0,42100000.0,18.145,[],{},0.052812228108939124,12.686382388867072,15.2016449275778,0.06578235478884706,0.05070267313619255,,0.1287707408057174,0.95,19,20,0.5166666666666667
EDEN.PA,Edenred SE,Financial Services,6218592256.0,12.702831,11.192153,-6.8751597,5.01,0.841,,,0.03839917452830189,0.1907,0.041,0.046,908499968.0,7602831872.0,1110000000.0,958000000.0,2961000000.0,4825999872.0,3576999936.0,-3.917,13568000000.0,8855000000.0,,10534000000.0,521000000.0,,0.6052009456264775,,235468077.0,0.03821800090456807,0.5994397759103641,0.8406113537117904,0.8469729236385762,0.3409492924528302,0.34245439469320066,0.21823408018867924,0.21528720036182722,240062526.0,,26.93,[],{},0.1460941529207732,6.849398082882883,7.93615017954071,0.12600568000565146,0.07872260915696666,,0.3157547791694133,0.85,17,20,0.5888888888888889
ENGI.PA,Engie SA,Utilities,68325724160.0,17.807947,12.902761,2.2896798,5.03,1.085,135.163,0.1154,0.02261165501716406,0.053189997,-0.066,-0.594,-537249984.0,113022844928.0,13011999744.0,9056000000.0,71944000000.0,55187001344.0,15365000192.0,11.744,169249000000.0,58394000000.0,,53830000000.0,3827000000.0,,0.3182614255532081,,2431937525.0,0.021662516355041572,0.32985151465886303,1.0847854356306892,1.0888398002305033,0.3224125401036343,0.274379563584181,0.42507784388681763,0.3894188156839573,2425841322.0,2575000000.0,26.89,[],{},-0.007863070470236199,8.686047275716884,12.480437823321555,0.08012539416937371,0.05615470441370923,,0.07846195167173516,0.95,19,20,0.45560522060522063
EL.PA,EssilorLuxottica Société anonyme,Healthcare,77326286848.0,33.78514,20.705908,2.0039544,2.4,0.988,36.457,0.060700003,0.036231317004460445,0.08125,0.094,-0.077,3278374912.0,88671821824.0,5569999872.0,3377000000.0,28491000000.0,14398000128.0,3544000000.0,83.959,63895000000.0,12010000000.0,,10902000000.0,2315000000.0,,0.6055947492190517,,463190305.0,0.03669938860280963,0.6339595593783008,1.1016327279398275,1.1063759497852659,0.22533844588778465,0.205603696386067,0.44590343532357773,0.4123897384837972,456708608.0,314000000.0,168.25,[],{},0.04239664214634138,15.919537497612351,26.257572349422563,0.038084251913790924,0.029598811785299693,,0.06372539769403505,0.95,19,20,0.3666666666666667
