ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
FME.DE,Fresenius Medical Care,Healthcare,11344171008.0,12.917432,9.566214,0.86154854,3.53,1.205,77.75,0.07852,0.03155785082367833,0.048800003,-0.055,-0.171,1672323840.0,22112100352.0,2592198912.0,1826824000.0,19627602000.0,11044191232.0,1239144960.0,49.028,31002333000.0,7898400000.0,,6245103000.0,978367000.0,,0.2562171884267879,,279288885.0,0.01602525535890923,0.24600095087332072,1.2647349451242038,1.3997632533930735,0.3482191162839261,0.32707855036403916,0.6331008056716247,0.5760464597837033,293413449.0,384409000.0,42.24,[],{},0.1474170160887617,8.53024829600731,12.104121881472983,0.08261648468119254,0.07741476788884974,,0.07378951522444151,0.95,19,20,0.81,7.0,22.0,0.5926863636363636,0.5926863636363636,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6109716666666667,True,0.83335,0.85,strong_buy,4,2,stable,0.4731,building
HEI.DE,Heidelberg Materials AG,Basic Materials,30678704128.0,15.572963,11.925051,1.6889333,2.07,1.236,43.452,0.11068,0.05370652203990149,0.090059996,-0.009,0.052,1509675008.0,37562302464.0,4120100096.0,3058700000.0,21460200000.0,8386699776.0,2639399936.0,102.994,36139000000.0,8602400000.0,,6960700000.0,1940900000.0,,0.6420769610721242,,176365065.0,0.04776725993721466,0.6392675502448432,1.235852715962475,1.267609902599639,0.22446387559146627,0.21971920850792323,0.5938238468136916,0.5671698608910586,178430760.0,286900000.0,173.95,[],{},0.049209216976741264,9.116842209845185,12.280479440285088,0.08143004553385623,0.0642138557704144,,0.10482790292786077,0.95,19,20,0.7124999999999999,6.0,22.0,0.5602363636363635,0.5602363636363635,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.6134733333333333,True,0.83335,0.7,buy,3,2,stable,0.4026,building
BAS.DE,BASF,Basic Materials,42929565696.0,28.55588,16.436375,1.2437868,4.63,1.913,66.724,0.044109996,0.021253971171265786,0.02937,-0.03,0.166,-1570625024.0,64319209472.0,5782000128.0,2860000000.0,59656000000.0,23669000192.0,3180000000.0,39.03,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,,0.24069666085557195,,892522164.0,0.016141267176521795,0.24769298374102827,1.9306562671378953,1.832971418510476,0.30468401291779346,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,48.545,[],{},-0.03658609162557506,11.12404151645152,22.48923408111888,0.04446572063739434,0.03501905737102131,,0.047855696668507273,0.95,19,20,0.575,5.0,22.0,0.3692863636363637,0.3692863636363637,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.47276666666666667,True,0.66665,0.65,buy,3,2,stable,0.3491,building
HEN3.DE,Henkel AG & Co. KGaA,Consumer Defensive,30323709952.0,15.2235775,12.775968,1.486701,2.76,1.196,18.017,0.09707,0.06255187040850828,0.09929,-0.063,-0.033,1473750016.0,31123349504.0,3236000000.0,2765000000.0,20495000000.0,3708000000.0,3139000064.0,50.38,32533000000.0,10070000000.0,,8418000000.0,2035000000.0,,0.5084654793852159,,406787036.0,0.05693940081706764,0.5012508107106458,1.1962461392254693,1.214081408140814,0.11397657762886915,0.1014525646845211,0.6299757169643132,0.6124035406264186,419361799.0,116000000.0,74.9,[],{},0.04860058410837025,9.61784595302843,11.256184269077758,0.088840052374332,0.06568758230448789,,0.11465892597968069,0.95,19,20,0.587739126405455,6.0,22.0,0.5698454545454547,0.5698454545454547,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.6166133333333333,True,0.83335,0.6049,buy,3,2,stable,0.3399,building
FRE.DE,Fresenius,Healthcare,23503890432.0,15.570895,10.705325,1.1880765,2.52,1.265,58.172,0.07786,0.030535088778838024,0.06395,0.02,0.9,1804749952.0,34031892480.0,3033400064.0,2181400000.0,22873000000.0,11905000448.0,2059000064.0,35.124,41395000000.0,11027000000.0,,8383000000.0,1264000000.0,,0.2488960783456477,,563237277.0,0.010815154994259472,0.2567641432085269,1.3154002147202672,1.2705072705072704,0.28827153037806497,0.31175660160734786,0.5525546563594637,0.5041102181400688,563237277.0,445000000.0,41.73,[],{},0.07678515849201181,11.219058403764839,15.600940900339232,0.06409869804572207,0.06422238413398844,,0.06607900157518479,0.95,19,20,0.5675000000000001,5.0,22.0,0.57955,0.57955,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,dividend,garp,risk",0.685775,True,0.83335,0.5975,buy,3,2,stable,0.332,building
MTX.DE,MTU Aero Engines,Industrials,18394179584.0,18.48026,16.801138,4.17369,1.05,1.478,55.514,0.24299999,0.07986793491077745,0.111669995,0.057,-0.109,,20147212288.0,1458749952.0,1272000000.0,8763000000.0,2532000000.0,1420999936.0,81.87,12721000000.0,7582000000.0,,5255000000.0,1016000000.0,,0.19262809540111833,,53785943.0,0.05070490227491189,0.16650924301713668,1.4428163653663177,1.2431806910233096,0.15682729345177265,0.19456904838192887,0.6888609386054555,0.593639859019545,53785246.0,113000000.0,341.7,[],{},,13.811285656172553,15.839003371069182,0.0631352855083392,0.054111792799451955,,0.17037235467452452,0.9,18,20,0.625,7.0,22.0,0.49494545454545463,0.49494545454545463,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5329816666666667,True,0.66665,0.5703,buy,3,2,stable,0.4034,building
DHL.DE,Deutsche Post AG,Industrials,63684943872.0,18.41424,15.130806,2.712624,3.34,1.095,121.823,0.15564999,0.049297361232363626,0.04247,-0.019,0.072,5193999872.0,85188984832.0,7825999872.0,5313000000.0,82855000000.0,29056000000.0,7793999872.0,20.976,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,,0.164455977309758,,1119243239.0,0.04768515205724508,0.1562574238608828,0.9783278841662775,0.951631949364697,0.3583176096200963,0.32117352415026834,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,56.9,[],{},0.08155773651052264,10.885380299684217,16.03406452700922,0.0623672181383273,0.054305798121453835,,0.10709966134494436,0.95,19,20,0.8339285714285716,6.0,22.0,0.49734090909090906,0.49734090909090906,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,garp",0.5585116666666667,False,0.63335,0.8964,hold,2,2,stable,0.3699,building
DBK.DE,Deutsche Bank Aktiengesellschaft,Financial Services,58992398336.0,9.757911,7.937713,0.7436213,3.24,,,0.08653,0.004829739656754702,0.22652,0.012,0.071,,-43408678912.0,,,32099000000.0,519844986880.0,622900019200.0,41.466,1435067000000.0,,,,6931000000.0,,,,1939573264.0,0.0024265108201765168,,,,0.11459534641936578,0.10920740467871079,0.022367596774227266,0.021660537912609565,1983625755.0,28768000000.0,30.835,[],{},,,,,0.10248095109701247,,,0.65,13,20,0.7380952380952382,7.0,22.0,0.541109090909091,0.541109090909091,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,garp",0.527795,False,0.36665000000000003,0.7949,hold,2,2,stable,0.2242,building
VNA.DE,Vonovia SE,Real Estate,17893287936.0,5.3123426,10.8736,0.6472303,5.93,0.916,129.178,0.12595001,0.03992266391293578,0.5794,-0.338,-0.583,1957025024.0,62634487808.0,2311099904.0,473900000.0,5331400000.0,41817198592.0,1801500032.0,32.585,93255300000.0,6861400000.0,,6430700000.0,3723000000.0,,0.4004389091045504,,848216385.0,-0.009929485140680636,0.37938408176323013,1.066975601411977,1.059559532740328,0.4631457943945277,0.4788017682462601,0.0571699410113956,0.06581719330247361,822852925.0,916800000.0,21.09,[],{},0.10937201877037966,27.10159249264544,132.1681532137582,0.007566119187446617,0.18824087136247575,,0.0054581305298268,0.95,19,20,0.7674409558790897,9.0,22.0,0.565840909090909,0.565840909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,garp",0.5509116666666667,False,0.26665,0.7581,hold,2,2,stable,0.4348,building
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,65977147392.0,9.804145,9.881771,1.9068682,4.65,0.289,21.718,0.19848,0.02185515157144184,0.10974,-0.06,0.608,,67765751808.0,,8997000000.0,62312000000.0,7518000128.0,5600000000.0,270.391,279934000000.0,,,,6118000000.0,,,,127961889.0,0.0199132808736149,,,,0.02655625968978402,0.02206729460065214,0.22259532604113827,0.2249111512976449,131406411.0,369000000.0,515.6,[],{},,,7.532038658219406,0.1327661799649343,0.10199767547297597,,,0.8,16,20,0.7261904761904762,12.0,22.0,0.6832045454545455,0.6832045454545455,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,quality,dividend,garp",0.7371766666666667,False,0.56665,0.7308,hold,2,2,stable,0.3497,building
