ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
DHL.DE,Deutsche Post AG,Industrials,64647487488.0,18.692556,15.393102,2.7536232,3.29,1.095,121.823,0.15564999,0.0492973612323636,0.04247,-0.019,0.072,5193999872.0,86148374528.0,7825999872.0,5313000000.0,82855000000.0,29056000000.0,7793999872.0,20.976,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.047685152057245,0.1562574238608828,0.9783278841662776,0.951631949364697,0.3583176096200963,0.3211735241502683,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,57.76,[],{},0.0803434143200711,11.00797034717866,16.21463853340862,0.061672666827546,0.0534972317322467,,0.1070996613449443,1.0,20,20,0.8375000000000001,8.0,22.0,0.5205954545454545,0.5205954545454545,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6022616666666667,True,0.8,0.9,strong_buy,4,2,stable,0.6516,building,neutral,0.375,63.63289731663499
FME.DE,Fresenius Medical Care AG     I,Healthcare,11937698008.398552,13.593272,10.114848,0.9066248,3.35,1.205,77.75,0.07852,0.0315578508236783,0.048800003,-0.055,-0.171,1672323840.0,22705629184.0,2592198912.0,1826824000.0,19627602000.0,11044191232.0,1239144960.0,49.028,31002333000.0,7898400000.0,,6245103000.0,978367000.0,2680999000.0,0.2562171884267879,,279288885.0,0.0160252553589092,0.2460009508733207,1.2647349451242038,1.3997632533930735,0.3482191162839261,0.3270785503640391,0.6331008056716247,0.5760464597837033,293413449.0,384409000.0,44.45,[],{},0.1400876315369568,8.759215613774627,12.42901844074744,0.0804568763629466,0.0735658052012789,,0.0737895152244415,1.0,20,20,0.825,9.0,22.0,0.6151954545454547,0.6151954545454547,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6540483333333333,True,1.0,0.875,strong_buy,4,15,stable,0.85,persistent,neutral,0.625,68.50104079311447
DTE.DE,Deutsche Telekom AG,Communication Services,129465491456.0,14.784531,10.58243,2.0422804,3.74,1.18,161.874,0.14428,0.0331608971284022,0.07222,0.004,-0.272,18050500608.0,298072801280.0,41964998656.0,25612000000.0,118343000000.0,148968996864.0,8887000064.0,13.103,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.4847378429024498,0.475991526035142,0.4084046257536175,0.3774948021539087,4900429250.0,6547000000.0,26.76,[],{},0.1394232579276511,7.102890761975103,11.638013481180696,0.0859253172044399,0.0676382632631363,,0.1012648218218336,1.0,20,20,0.7127076657339815,8.0,22.0,0.5741545454545455,0.5741545454545455,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6274466666666667,True,0.9,0.7321,strong_buy,4,2,stable,0.5418,building,neutral,0.375,50.308354477478254
HEI.DE,Heidelberg Materials AG,Basic Materials,28304107520.0,14.0,11.021592,1.5631979,2.24,1.374,50.409,0.11698,0.0537065220399014,0.091680005,0.017,0.088,1235725056.0,37265207296.0,4081900032.0,3058700000.0,21460200000.0,9983099904.0,2192199936.0,102.994,36139000000.0,8602400000.0,,6960700000.0,1940900000.0,3254800000.0,0.6420769610721242,,176365065.0,0.0477672599372146,0.6392675502448432,1.235852715962475,1.267609902599639,0.2244638755914662,0.2197192085079232,0.5938238468136916,0.5671698608910586,178430760.0,286900000.0,161.0,[],{},0.0436588595887301,9.129377741703596,12.183348251217838,0.0820792428633106,0.0714285714285714,,0.1048279029278607,1.0,20,20,0.7124999999999999,8.0,22.0,0.5834454545454545,0.5834454545454545,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6561733333333333,True,1.0,0.7,strong_buy,4,8,stable,0.7062,persistent,neutral,0.5,34.80172743831342
BAS.DE,BASF SE                       N,Basic Materials,43390468096.0,21.17647,17.030825,1.203381,4.46,1.855,71.358,0.061160002,0.0212539711712657,0.094239995,0.164,52.989,1055000000.0,63581061120.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.2406966608555719,,892522164.0,0.0161412671765217,0.2476929837410282,1.9306562671378955,1.832971418510476,0.3046840129177934,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,50.4,[],{},0.02431409584395,9.680429524969547,22.23114025174825,0.0449819482345877,0.0472222235339506,,0.0478556966685072,1.0,20,20,0.65,8.0,22.0,0.5335909090909091,0.5335909090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7338433333333334,True,1.0,0.7,buy,3,15,stable,0.675,persistent,neutral,0.5,59.42893275447028
G1A.DE,GEA Group AG                  I,Industrials,10036722834.015623,24.082033,16.954746,3.8630242,2.11,1.106,9.675,0.16649,0.0680053219885183,0.07612,0.012,0.066,274815616.0,9872729088.0,715356992.0,594299000.0,5495356000.0,251400000.0,415686016.0,15.959,6087950000.0,2785282000.0,,2631072000.0,414013000.0,731800000.0,0.3726761287166837,,162801664.0,0.0638316425363033,0.3569642109215771,1.0586110908405395,1.0595436337925497,0.0405693213643344,0.0488673635419455,0.9026611585180562,0.8988694772109185,164985228.0,48255000.0,61.65,[],{},0.0273810107686363,13.80112195506436,16.612393909463083,0.0601960202394647,0.041524733397716,,0.1719178403171879,1.0,20,20,0.65625,7.0,22.0,0.5208272727272727,0.5208272727272727,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6155666666666667,True,0.9,0.6938,buy,3,2,stable,0.5063,building,neutral,0.5,53.75718041113842
HNR1.DE,Hannover Rück SE,Financial Services,30221643776.0,10.52499,10.643336,2.180287,4.99,0.2,27.857,0.21711001,0.0370336099462897,0.11817,-0.228,0.48,3715000064.0,27667277824.0,4921699840.0,3546400000.0,24017800000.0,4143300096.0,7716299776.0,114.939,71327100000.0,,,,2641500000.0,5686900000.0,,,120597134.0,0.032285972163106,,,,0.0580747009201271,0.0647313846490857,0.3367275551648672,0.33150831931876,120597134.0,133600000.0,250.6,[],{},0.1229251489937223,5.621488250693484,7.801510778254004,0.1281803010241821,0.095011966757213,,,0.95,19,20,0.675,15.0,22.0,0.742140909090909,0.742140909090909,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.83202,True,0.9,0.6833,buy,3,2,stable,0.4839,building,neutral,0.375,52.717392856368704
PAH3.DE,Porsche Automobil Holding SE,Consumer Cyclical,8813875200.0,3.1384952,1.8703505,0.23306663,5.25,15.305,18.342,0.07837,0.0588862480286101,0.0,,,-489750016.0,13967875072.0,-51000000.0,2690000000.0,2743000000.0,6833999872.0,1680000000.0,123.484,45019000000.0,2287000000.0,,230000000.0,2651000000.0,700000000.0,,,306250000.0,-0.4672393268130996,,9.943478260869565,16.126666666666665,0.1561562895666274,0.1764898111622044,0.0609298296274906,-0.4636212973553372,306250000.0,311000000.0,28.78,[],{},-0.0555657987986941,-273.879903372549,5.192518614126394,0.1925847694179606,0.3186240335814437,,0.0600593895822635,1.0,20,20,0.6714285714285714,12.0,22.0,0.6133409090909091,0.6133409090909091,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,3,5,"cheapness,dividend,risk",0.524765,True,0.66665,0.6667,buy,3,10,stable,0.4014,persistent,neutral,0.5,57.21675367543159
VOW3.DE,Volkswagen AG,Consumer Cyclical,37426704384.0,7.158198,3.1877282,0.21245356,7.05,1.069,138.745,0.027609998,0.0113628781613333,0.018,0.02,-0.41,14109154304.0,266294706176.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.1591796541301531,,501295263.0,0.0179347611410875,0.1831821472024148,1.0942059375344884,1.1298937057395215,0.3046812327085793,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,74.66,[],{},0.3769809427845775,13.807669370431665,24.67062314026311,0.0405340389788522,0.1396999635941894,,0.0258265500954677,1.0,20,20,0.6273809523809524,9.0,22.0,0.5688954545454545,0.5688954545454545,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.5970316666666666,True,0.7,0.6524,buy,3,2,stable,0.3839,building,neutral,0.5,50.741666558017606
FRE.DE,Fresenius SE & Co. KGaA       I,Healthcare,25075323829.869564,16.61194,11.388287,1.2675093,2.36,1.265,58.172,0.07786,0.030535088778838,0.06395,0.02,0.9,1804749952.0,35603324928.0,3033400064.0,2181400000.0,22873000000.0,11905000448.0,2059000064.0,35.124,41395000000.0,11027000000.0,,8383000000.0,1264000000.0,2574000000.0,0.2488960783456477,,563237277.0,0.0108151549942594,0.2567641432085269,1.3154002147202672,1.2705072705072704,0.2882715303780649,0.3117566016073478,0.5525546563594637,0.5041102181400688,563237277.0,445000000.0,44.52,[],{},0.0719731463587398,11.737101660455428,16.32131884477858,0.0612695585148692,0.0601976650529679,,0.0660790015751847,1.0,20,20,0.6083333333333335,7.0,22.0,0.57305,0.57305,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7185733333333333,True,1.0,0.6417,buy,3,15,stable,0.625,persistent,neutral,0.375,65.13405175823226
