ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
FME.DE,Fresenius Medical Care AG,Healthcare,10295783424.0,11.653614,8.922909,0.8199465,3.85,1.071,81.131,0.08524,0.0315578508236783,0.048270002,0.014,0.055,2022340224.0,21187098624.0,2721596928.0,1826824000.0,19627602000.0,10978023424.0,1061251008.0,47.186,31002333000.0,7898400000.0,,6245103000.0,978367000.0,2680999000.0,0.2562171884267879,,279288885.0,0.0160252553589092,0.2460009508733207,1.2647349451242038,1.3997632533930735,0.3482191162839261,0.3270785503640391,0.6331008056716247,0.5760464597837033,293413449.0,384409000.0,38.69,[],{},0.1964241224505384,7.784803989902211,11.597777686301471,0.0862234151272906,0.0858102902670364,,0.0737895152244415,1.0,20,20,0.8916666666666667,13.0,22.0,0.6783863636363637,0.6783863636363637,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.66821,True,0.9,0.9333,strong_buy,4,19,stable,0.9125,persistent,2026-07-18,neutral,0.625,41.038114237100515
DHL.DE,DHL AG,Industrials,62159998976.0,17.073172,14.739752,2.7889833,3.39,1.03,122.614,0.18090001,0.0492973612323636,0.04344,0.128,0.286,5425375232.0,86362849280.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.047685152057245,0.1562574238608828,0.9783278841662776,0.951631949364697,0.3583176096200963,0.3211735241502683,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,56.0,[],{},0.0872808127634419,10.28496454749158,16.255006452098627,0.0615195080326094,0.0585714242204084,,0.1070996613449443,1.0,20,20,0.8125000000000001,9.0,22.0,0.5550318181818182,0.5550318181818182,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6575716666666667,True,0.8,0.875,strong_buy,4,6,stable,0.8438,persistent,2026-07-26,neutral,0.5,62.856900864139824
HEI.DE,Heidelberg Materials AG,Basic Materials,25297893376.0,12.534843,9.9464245,1.3576239,2.5,1.374,50.409,0.11698,0.0537065220399014,0.091680005,0.017,0.088,1235725056.0,34258995200.0,4081900032.0,3058700000.0,21460200000.0,9983099904.0,2192199936.0,105.994,36139000000.0,8602400000.0,,6960700000.0,1940900000.0,3254800000.0,0.6420769610721242,,176365065.0,0.0477672599372146,0.6392675502448432,1.235852715962475,1.267609902599639,0.2244638755914662,0.2197192085079232,0.5938238468136916,0.5671698608910586,178430760.0,286900000.0,143.9,[],{},0.0488469548682787,8.392904022986126,11.20050845130284,0.0892816611270607,0.0797776246579235,,0.1048279029278607,1.0,20,20,0.7625,10.0,22.0,0.5981909090909091,0.5981909090909091,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6646883333333333,True,1.0,0.75,strong_buy,4,12,stable,0.7562,persistent,2026-07-20,accumulate,0.75,28.176411198095266
DTG.DE,Daimler Truck Holding AG,Industrials,33061668864.0,29.993103,9.065138,1.464803,4.37,1.7,127.015,0.05047,0.0271611746863366,0.057239998,0.053,4.308,5422875136.0,52219662336.0,3755000064.0,2755000000.0,45530000000.0,29135998976.0,10346000384.0,29.69,72530000000.0,40646000000.0,,22133000000.0,1970000000.0,4336000000.0,0.1897649901164067,,765600399.0,0.0392666612505754,0.200406593187571,1.836443319929517,1.6292420455026904,0.3812491382876051,0.3571370541879925,0.6277402454156901,0.6793538603190078,781773636.0,425000000.0,43.49,[],{},0.1640230309700073,13.906700784546246,18.95450538511797,0.0527579052938593,0.0333409984288721,,0.0546659523384328,1.0,20,20,0.6625000000000001,7.0,22.0,0.4801136363636363,0.4801136363636363,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6210116666666667,True,0.8,0.7375,strong_buy,4,4,stable,0.56,persistent,2026-08-16,neutral,0.625,37.24333044867494
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,63636955136.0,9.406732,9.8066435,1.8961574,4.74,0.276,24.378,0.21299,0.0218551515714418,0.11163,0.013,0.098,6889625088.0,66205958144.0,,8995000000.0,62310000000.0,8222000128.0,5818999808.0,266.75,279934000000.0,,,,6118000000.0,4906000000.0,,,127961889.0,0.0199132808736149,,,,0.026556259689784,0.0220672946006521,0.222588181499925,0.2249111512976449,131406411.0,369000000.0,505.8,[],{},0.1082645307789479,,7.360306630794886,0.1358639048835393,0.1063068449276539,,,0.9,18,20,0.7222222222222222,14.0,22.0,0.6889227272727273,0.6889227272727273,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7375183333333333,True,0.9,0.7255,strong_buy,4,4,stable,0.6515,persistent,2026-08-16,neutral,0.5,47.266588787310475
DTE.DE,Deutsche Telekom AG,Communication Services,129656569856.0,15.230338,10.645944,2.1663737,3.69,1.033,165.297,0.15063,0.0331608971284022,0.07013,0.043,-0.05,17394624512.0,300431540224.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.4847378429024498,0.475991526035142,0.4084046257536175,0.3774948021539087,4900429250.0,6547000000.0,27.11,[],{},0.1341592217912206,7.043785482997067,11.73010855161643,0.0852507029751398,0.0656584246521646,,0.1012648218218336,1.0,20,20,0.6863051209103841,8.0,22.0,0.5654318181818182,0.5654318181818182,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.630515,True,0.9,0.7044,buy,3,4,stable,0.6954,persistent,2026-08-16,neutral,0.375,40.04463021744657
VOW3.DE,Volkswagen AG,Consumer Cyclical,38359113728.0,7.336529,3.3695698,0.21876608,6.87,1.069,138.745,0.027609998,0.0113628781613333,0.018,0.02,-0.41,14109154304.0,267227119616.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,349.78,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.1591796541301531,,501295263.0,0.0179347611410875,0.1831821472024148,1.0942059375344884,1.1298937057395215,0.3046812327085793,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,76.52,[],{},0.3678175258178895,13.856016018703212,24.75700570835649,0.0403926069162095,0.1363042386938019,,0.0258265500954677,1.0,20,20,0.6976190476190477,9.0,22.0,0.5699318181818183,0.5699318181818183,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.59522,True,0.7,0.7012,buy,3,6,stable,0.5595,persistent,2026-07-26,neutral,0.5,42.98585741434503
BAS.DE,BASF SE,Basic Materials,44440788992.0,21.780592,17.34339,1.2325103,4.36,1.855,71.358,0.061160002,0.0212539711712657,0.094239995,0.164,52.989,1055000000.0,64639025152.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.2406966608555719,,892522164.0,0.0161412671765217,0.2476929837410282,1.9306562671378955,1.832971418510476,0.3046840129177934,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,51.62,[],{},0.0237394525148938,9.841508092570036,22.601057745454547,0.0442457167829287,0.0459124343360364,,0.0478556966685072,1.0,20,20,0.625,8.0,22.0,0.5324454545454546,0.5324454545454546,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7312649999999999,True,1.0,0.7,buy,3,19,stable,0.6625,persistent,2026-07-18,neutral,0.5,45.327940656010824
HNR1.DE,Hannover Rück SE,Financial Services,30438715392.0,11.1336565,10.708927,2.294483,4.95,0.196,28.967,0.22163,0.0370336099462897,0.12060001,-0.233,-0.165,6808162304.0,28402817024.0,3442299904.0,3546400000.0,24017800000.0,4143899904.0,7219599872.0,110.003,71327100000.0,,,,2641500000.0,5686900000.0,,,120597134.0,0.032285972163106,,,,0.0580747009201271,0.0647313846490857,0.3367275551648672,0.33150831931876,120597134.0,133600000.0,252.4,[],{},0.2236678590512838,8.251116351307896,8.008915244755245,0.1248608543653729,0.089817752146386,,,0.95,19,20,0.6916666666666668,15.0,22.0,0.6760227272727272,0.6760227272727272,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7396016666666666,True,0.9,0.6833,buy,3,6,stable,0.6531,persistent,2026-07-26,neutral,0.625,51.882789163802734
HEN3.DE,Henkel AG & Co. KGaA,Consumer Defensive,29529827328.0,15.51915,12.307578,1.4097683,2.84,1.199,31.879,0.09395,0.0625518704085082,0.09359,-0.005,-0.081,1460875008.0,31960371200.0,3254000128.0,2765000000.0,20495000000.0,6717000192.0,4421000192.0,51.739,32533000000.0,10070000000.0,,8418000000.0,2035000000.0,2535000000.0,0.5084654793852159,,406787036.0,0.0569394008170676,0.5012508107106458,1.1962461392254693,1.214081408140814,0.1139765776288691,0.1014525646845211,0.6299757169643132,0.6124035406264186,419361799.0,116000000.0,72.94,[],{},0.0494711666198876,9.821871525138429,11.558904593128393,0.086513388179922,0.0644365187526378,,0.1146589259796806,1.0,20,20,0.608539501039501,9.0,22.0,0.5968,0.5968,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6671699999999999,True,1.0,0.6281,buy,3,19,stable,0.6183,persistent,2026-07-18,neutral,0.625,42.11502757364356
