ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
DG.PA,Vinci SA,Industrials,62639972352.0,12.563817,11.28018,2.0506504,4.42,0.825,120.742,0.16318001,0.036846653890955545,0.06713,0.023,0.108,8071124992.0,92803235840.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.03755473353360465,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.28326006087250594,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,113.2,[],{},0.12884943413839647,7.261598903054044,10.30688980897379,0.09702247899549103,0.07959364578455735,,0.12010457795326006,1.0,20,20,0.8442682926829269,11.0,22.0,0.6116727272727274,0.6116727272727274,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.65249,True,0.8,0.9016,strong_buy,4,7,stable,0.8729,persistent
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),Technology,321166049280.0,13.3143635,14.327835,3.1225371,3.1,1.12,37.682,0.26077,0.10181109722336627,0.10831001,-0.061,-0.109,30705874944.0,306024382464.0,35283001344.0,30393000000.0,236681000000.0,39478001664.0,54103998464.0,31.468,279223000000.0,143554000000.0,,110937000000.0,28428000000.0,32954000000.0,0.4760331416548012,,3333349459.0,6.840553537592262e-05,0.44120138776827494,1.294013719498454,1.170109346800734,0.14420015543132192,0.15574572294390063,0.8476414908513984,0.847818205449185,3332672174.0,2719000000.0,98.26,[],{},0.09560747474036368,8.67342263432588,10.068910027440529,0.0993156158188649,0.07510685734244825,,0.18060325873810062,1.0,20,20,0.8659848484848486,12.0,22.0,0.6731409090909091,0.6731409090909091,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7307733333333333,True,1.0,0.901,strong_buy,4,6,stable,0.8835,persistent
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,26868180992.0,12.250996,10.511886,1.8600291,4.06,0.713,133.34,0.15675999,0.04612031208621076,0.02448,0.003,-0.002,2912000000.0,42830807040.0,5388000256.0,3082000000.0,92352000000.0,19260999680.0,3211000064.0,16.532,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.034026465028355386,0.26640330360240383,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.39186373982485245,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,30.75,[],{},0.10838098793762957,7.949295657939924,13.897082102530824,0.0719575514213799,0.08162601636634279,,0.09543272952469423,1.0,20,20,0.8625457875457877,9.0,22.0,0.5759681818181819,0.5759681818181819,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.618265,True,0.8,0.898,strong_buy,4,8,stable,0.8803,persistent
STR.VI,Strabag SE,Industrials,11094042624.0,11.791411,13.02168,1.9590654,2.92,1.159,17.007,0.18318,0.05782452792324091,0.04724,0.15,0.258,1100411008.0,8434510848.0,1633918976.0,940924000.0,18714281000.0,933379968.0,3430158080.0,49.054,15845940000.0,9579004000.0,,7809902000.0,916284000.0,1802658000.0,0.4134955545446817,,115442696.0,0.0560836494127941,0.412139004796117,1.226520383994575,1.1985112310874768,0.05230809910929866,0.06318872499246997,1.181014253493324,1.1872379993158237,115442979.0,52506000.0,96.1,[],{},0.09918936183095739,5.162135315086762,8.964072388418193,0.11155643960350266,0.0848074925045018,,0.11708804761749508,1.0,20,20,0.844390243902439,15.0,22.0,0.7388227272727271,0.7388227272727271,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7844483333333334,True,1.0,0.8895,strong_buy,4,5,stable,0.8669,persistent
VOW.DE,Volkswagen AG,Consumer Cyclical,39552196608.0,7.5647173,2.9059844,0.22451895,6.65,1.069,138.745,0.027609998,0.011362878161333318,0.018,0.02,-0.41,14109154304.0,268094357504.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.15917965413015317,,501295263.0,0.017934761141087524,0.18318214720241488,1.0942059375344884,1.1298937057395215,0.30468123270857933,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,78.9,[],{},0.356722395062787,13.900983243906335,24.837350148601075,0.04026194396813798,0.13219264651172094,,0.025826550095467794,1.0,20,20,0.7910661764705883,9.0,22.0,0.5850409090909092,0.5850409090909092,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6038433333333333,True,0.7,0.848,strong_buy,4,7,stable,0.6556,persistent
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,38001127424.0,14.400743,11.370894,1.4954532,2.88,1.272,66.318,0.11038999,0.047389703465053584,0.057779998,-0.011,-0.12,3101625088.0,50483195904.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,51.904,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.27835983047565777,,492707578.0,0.046080559966298326,0.2766313800433746,1.2681073379244836,1.345002108814846,0.29142284173844435,0.28904047441589165,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,77.62,[],{},0.08161929127505667,7.672218520986009,10.192448193821926,0.0981118550699274,0.0694408614888829,,0.1125886524822695,1.0,20,20,0.769390243902439,10.0,22.0,0.593890909090909,0.593890909090909,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6357533333333334,True,1.0,0.8377,strong_buy,4,8,stable,0.8035,persistent
SHELL.AS,Shell plc,Energy,219506130944.0,10.280928,9.978571,1.4348452,6.92,1.435,40.2,0.14341,0.04816254894019171,0.08756,0.447,2.2,21458374656.0,261829459968.0,57605001216.0,27582000000.0,266886000000.0,73075998720.0,31374000128.0,27.800907,370350000000.0,107173000000.0,,82415000000.0,17837000000.0,42863000000.0,0.15922528720127696,,5689891670.0,0.04152122370739585,0.16158656687019893,1.3004064794030212,1.3461077088200013,0.20424733360334818,0.1988550317459089,0.7206318347509113,0.7335020600656847,6084231158.0,4741000000.0,39.89,[],{},0.09775751849716863,4.5452556972653255,9.492765570589516,0.10534337886718702,0.09726748402478842,,0.09579245315783076,1.0,20,20,0.7916666666666667,15.0,22.0,0.7830363636363636,0.7830363636363636,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8629583333333333,True,1.0,0.8333,strong_buy,4,7,stable,0.8125,persistent
UMI.BR,Umicore SA,Industrials,5694190080.0,11.771144,13.032294,,2.11,1.399,132.626,0.22861,0.040651226414396245,0.019809999,0.601,0.742,534739744.0,7187395072.0,1367384064.0,1038696000.0,19374073000.0,3250400000.0,1799000064.0,,9459690000.0,5778419000.0,,4256285000.0,384548000.0,710712000.0,0.10801951659829093,,240561925.0,-0.1572415661690485,0.1021799242894741,1.3576203191280658,1.2897000219414887,0.3015661189743004,0.3663451097062105,2.0480663742680787,1.5782479944748447,240481134.0,132094000.0,23.66,[],{},0.09390971086093423,5.256310396784031,6.919632955166863,0.1445163358344468,0.08495351004116508,,0.19961851902744454,0.9,18,20,0.8140243902439023,11.0,22.0,0.6729454545454546,0.6729454545454546,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.738605,True,0.9,0.8293,strong_buy,4,6,stable,0.7395,persistent
SAN.PA,Sanofi,Healthcare,92466946048.0,23.820988,8.530523,1.3361032,5.33,0.987,33.89,0.05709,0.061614289657347894,0.08091,0.146,-0.912,6298999808.0,109609680896.0,13543000064.0,9597000000.0,46716000000.0,23576000512.0,6350000128.0,57.765,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.04186810042319915,0.7018245043580364,1.09197389310284,1.4603936629860779,0.16031702219944008,0.13483636801759064,0.36840818579709,0.33348393801111464,1253591640.0,626000000.0,77.18,[],{},0.06812163780914925,8.093456426051745,11.421244232155882,0.08755613483726714,0.04197978690052655,,0.09747105423522243,1.0,20,20,0.749504662004662,9.0,22.0,0.5870227272727274,0.5870227272727274,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.666285,True,0.9,0.8177,strong_buy,4,7,stable,0.7836,persistent
MIO.IR,Mincon Group plc,Industrials,155104864.0,14.6,19.72973,0.998632,2.96,3.134,18.631,0.072399996,0.026770385745739533,0.06515,0.186,2.921,5280250.0,171062864.0,19722000.0,10966000.0,148715000.0,28919000.0,12961000.0,0.731,206198000.0,119412000.0,,36019000.0,5520000.0,8811000.0,0.2987728204955788,,212472413.0,0.008352172226899102,0.2787040821274444,3.3152502845720315,3.6828531890803875,0.162625243697805,0.17821908608507298,0.7212242601771113,0.6827451499702046,212472413.0,2011000.0,0.73,[],{},0.034043097449219906,8.673707737551972,15.599385737734817,0.06410508829081688,0.0684931506849315,,0.0644380328947755,1.0,20,20,0.7134146341463414,9.0,22.0,0.6877954545454545,0.6877954545454545,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7844633333333333,True,1.0,0.7939,strong_buy,4,4,stable,0.7537,persistent
