ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
DG.PA,Vinci SA,Industrials,61151981568.0,12.2752495,11.0241165,2.0035505,4.56,0.825,120.742,0.16318001,0.0368466538909555,0.06713,0.023,0.108,8071124992.0,90725195776.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.0375547335336046,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.2832600608725059,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,110.6,[],{},0.1319846844705276,7.098997962336191,10.076099042203465,0.0992447569055769,0.0814647392706763,,0.12010457795326,1.0,20,20,0.8536585365853658,13.0,22.0,0.6189954545454546,0.6189954545454546,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6589,True,0.8,0.9098,strong_buy,4,16,stable,0.8817,persistent,2026-08-20,neutral,0.625,38.50757423676456
ERIC-B.ST,Telefonaktiebolaget LM Ericsson (publ),Technology,320182026240.0,13.292683,14.304503,3.1174526,3.06,1.12,37.682,0.26077,0.1018110972233662,0.10831001,-0.061,-0.109,30705874944.0,310455009280.0,35283001344.0,30393000000.0,236681000000.0,39478001664.0,54103998464.0,31.468,279223000000.0,143554000000.0,,110937000000.0,28428000000.0,32954000000.0,0.4760331416548012,,3333349459.0,6.840553537592262e-05,0.4412013877682749,1.294013719498454,1.170109346800734,0.1442001554313219,0.1557457229439006,0.8476414908513984,0.847818205449185,3332672174.0,2719000000.0,98.1,[],{},0.0959013074674706,8.79899661180026,10.21468789787122,0.0978982431962903,0.0752293573840585,,0.1806032587381006,1.0,20,20,0.8659848484848486,12.0,22.0,0.6704136363636364,0.6704136363636364,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7265816666666667,True,1.0,0.901,strong_buy,4,15,stable,0.8835,persistent,2026-08-21,neutral,0.5,57.882111425744775
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,34029750272.0,12.909092,10.213038,1.3405519,3.31,1.272,66.318,0.11038999,0.0473897034650535,0.057779998,-0.011,-0.12,3101625088.0,46207356928.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,51.904,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.2783598304756577,,492707578.0,0.0460805599662983,0.2766313800433746,1.2681073379244836,1.345002108814846,0.2914228417384443,0.2890404744158916,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,69.58,[],{},0.0911445151142365,7.022394943120533,9.329165541691903,0.1071907230642456,0.0774647821860747,,0.1125886524822695,1.0,20,20,0.8109756097560976,11.0,22.0,0.6135590909090909,0.6135590909090909,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6511483333333333,True,1.0,0.8866,strong_buy,4,17,stable,0.8488,persistent,2026-08-20,accumulate,0.75,26.173106859550202
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,27925432320.0,12.7330675,10.925524,1.9332204,3.9,0.713,133.34,0.15675999,0.0461203120862107,0.02448,0.003,-0.002,2912000000.0,43975434240.0,5388000256.0,3082000000.0,92352000000.0,19260999680.0,3211000064.0,16.532,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.0340264650283553,0.2664033036024038,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.3918637398248524,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,31.96,[],{},0.1042777052341082,8.161735736933121,14.268473147306944,0.0700845836604978,0.0785356709999377,,0.0954327295246942,1.0,20,20,0.8428571428571429,8.0,22.0,0.5466863636363636,0.5466863636363636,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6046199999999999,True,0.8,0.875,strong_buy,4,17,stable,0.8589,persistent,2026-08-20,neutral,0.625,54.48971131878537
UMI.BR,Umicore SA,Industrials,5203228672.0,10.756219,11.969021,2.1611357,2.33,1.399,132.626,0.22861,0.0406512264143962,0.019809999,0.601,0.742,534739744.0,6696648704.0,1367384064.0,1038696000.0,19374073000.0,3250400000.0,1799000064.0,10.004,9459690000.0,5778419000.0,,4256285000.0,384548000.0,710712000.0,0.1080195165982909,,240561925.0,-0.1572415661690485,0.1021799242894741,1.3576203191280658,1.2897000219414887,0.3015661189743004,0.3663451097062105,2.0480663742680787,1.5782479944748449,240481134.0,132094000.0,21.62,[],{},0.1027707559495859,4.897416081046268,6.447169050424764,0.1551068371526749,0.0929694718934227,,0.1996185190274445,1.0,20,20,0.8341463414634147,12.0,22.0,0.6905772727272729,0.6905772727272729,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7476283333333333,True,0.9,0.8488,strong_buy,4,15,stable,0.8415,persistent,2026-08-21,neutral,0.625,43.96400016108371
VOW.DE,Volkswagen AG,Consumer Cyclical,40680112128.0,7.780441,3.1400704,0.23092158,6.4,1.069,138.745,0.027609998,0.0113628781613333,0.018,0.02,-0.41,14109154304.0,269548109824.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.1591796541301531,,501295263.0,0.0179347611410875,0.1831821472024148,1.0942059375344884,1.1298937057395215,0.3046812327085793,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,81.15,[],{},0.3468317456846121,13.976361878612618,24.972031667963684,0.0400447994498936,0.1285274189470751,,0.0258265500954677,1.0,20,20,0.7859191176470589,9.0,22.0,0.5818272727272727,0.5818272727272727,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.60259,True,0.7,0.8399,strong_buy,4,16,stable,0.6503,persistent,2026-08-20,neutral,0.625,53.19127759493329
SAN.PA,Sanofi,Healthcare,88908677120.0,22.90432,8.181485,1.284688,5.46,0.987,33.89,0.05709,0.0616142896573478,0.08091,0.146,-0.912,6298999808.0,106494705664.0,13543000064.0,9597000000.0,46716000000.0,23576000512.0,6350000128.0,57.765,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.0418681004231991,0.7018245043580364,1.09197389310284,1.460393662986078,0.16031702219944,0.1348363680175906,0.36840818579709,0.3334839380111146,1253591640.0,626000000.0,74.21,[],{},0.070847975833655,7.86345013370296,11.09666621485881,0.0901171559671648,0.0436598859953056,,0.0974710542352224,1.0,20,20,0.7645687645687647,9.0,22.0,0.6146636363636364,0.6146636363636364,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.67852,True,0.9,0.8369,strong_buy,4,16,stable,0.8007,persistent,2026-08-20,neutral,0.625,42.72011016163982
PHIA.AS,Koninklijke Philips N.V.,Healthcare,21092884480.0,18.929825,12.820665,1.8427119,3.92,1.257,65.049,0.10154,0.0332170427553444,0.06306,0.005,0.614,1527500032.0,26797885440.0,2416000000.0,1449000000.0,17834000000.0,7464999936.0,1788999936.0,11.711,26944000000.0,9932000000.0,,7511000000.0,895000000.0,1172000000.0,0.4518335763149041,,951288934.0,-0.0242269464384318,0.4313301148659896,1.322327253361736,1.2305992141453832,0.2898975653206651,0.2585242959690778,0.6618913301662708,0.6219284925455549,925009074.0,294000000.0,21.58,[],{},0.0724177877828115,11.09184,18.49405482401656,0.0540714304956742,0.0528266901569348,,0.0745638861730046,1.0,20,20,0.7659965034965035,9.0,22.0,0.56435,0.56435,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.712105,True,1.0,0.8101,strong_buy,4,15,stable,0.788,persistent,2026-08-21,neutral,0.625,36.133040305587556
STR.VI,Strabag SE,Industrials,12236925952.0,13.006136,13.874346,2.2385538,2.71,1.159,17.007,0.18318,0.0578245279232409,0.04724,0.15,0.258,1100411008.0,9762102272.0,1633918976.0,940924000.0,18714281000.0,933379968.0,3430158080.0,47.352,15845940000.0,9579004000.0,,7809902000.0,916284000.0,1802658000.0,0.4134955545446817,,115442696.0,0.0560836494127941,0.412139004796117,1.226520383994575,1.1985112310874768,0.0523080991092986,0.0631887249924699,1.181014253493324,1.1872379993158235,115442979.0,52506000.0,106.0,[],{},0.0899254447004436,5.974655056579746,10.375016762246473,0.096385386444761,0.076886786359915,,0.117088047617495,1.0,20,20,0.7682926829268293,13.0,22.0,0.6943409090909091,0.6943409090909091,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7595966666666667,True,1.0,0.8049,strong_buy,4,14,stable,0.7866,persistent,2026-08-21,wait,0.25,74.40411686532019
EG7.IR,FBD Holdings plc,Financial Services,670417536.0,9.815789,11.8412695,1.3970037,5.39,0.493,10.93,0.14669,0.0344313781603892,0.13299,0.088,1.575,771720128.0,502455488.0,135291008.0,56723000.0,462729000.0,52773000.0,223658000.0,13.35,1369768000.0,,,,47163000.0,65719000.0,,,35943862.0,0.0491887389589743,,,,0.0389014782065284,0.0386717686427553,0.3378156008900777,0.302640477563699,35897184.0,2567000.0,18.65,[],{},1.1511037324656137,3.7138867943093454,8.858055603547061,0.1128915921005922,0.101876680519518,,,0.95,19,20,0.7557449618325133,13.0,22.0,0.7491181818181818,0.7491181818181818,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.833005,True,0.9,0.7672,strong_buy,4,13,stable,0.7234,persistent,2026-08-23,neutral,0.375,70.1489798937562
