ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
DG.PA,Vinci SA,Industrials,62423678976.0,12.544445,11.259688,2.0452158,4.51,0.825,120.742,0.16318001,0.0368466538909555,0.06713,0.023,0.108,8071124992.0,91999723520.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.0375547335336046,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.2832600608725059,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,112.9,[],{},0.1292958877848757,7.198726265815812,10.217650324300312,0.0978698593375946,0.0797165597999752,,0.12010457795326,1.0,20,20,0.8300000000000001,12.0,22.0,0.6200499999999999,0.6200499999999999,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6585783333333334,True,0.8,0.9,strong_buy,4,12,stable,0.865,persistent,2026-07-25,accumulate,0.75,39.30710323355421
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,27951644672.0,12.74502,10.937986,1.9350351,3.86,0.713,133.34,0.15675999,0.0461203120862107,0.02448,0.003,-0.002,2912000000.0,44001644544.0,5388000256.0,3082000000.0,92352000000.0,19260999680.0,3211000064.0,16.532,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,6989000000.0,0.2654409216909217,,886877259.0,0.0340264650283553,0.2664033036024038,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.3918637398248524,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,31.99,[],{},0.1041799162149852,8.166600306857893,14.276977463984426,0.0700428366243928,0.0784620188905156,,0.0954327295246942,1.0,20,20,0.8125,8.0,22.0,0.5446045454545453,0.5446045454545453,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.605715,True,0.8,0.85,strong_buy,4,12,stable,0.8313,persistent,2026-07-25,neutral,0.625,52.83124781758794
SAN.PA,Sanofi,Healthcare,90166657024.0,23.228395,8.297245,1.3028651,5.54,0.987,33.89,0.05709,0.0616142896573478,0.08091,0.146,-0.912,6298999808.0,107752677376.0,13543000064.0,9597000000.0,46716000000.0,23576000512.0,6350000128.0,57.765,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.0418681004231991,0.7018245043580364,1.09197389310284,1.460393662986078,0.16031702219944,0.1348363680175906,0.36840818579709,0.3334839380111146,1253591640.0,626000000.0,75.26,[],{},0.0698595247500788,7.956337360023215,11.22774589725956,0.0890650722906079,0.0430507574888407,,0.0974710542352224,1.0,20,20,0.775,9.0,22.0,0.6152500000000001,0.6152500000000001,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6756683333333333,True,0.9,0.8333,strong_buy,4,12,stable,0.8042,persistent,2026-07-25,neutral,0.5,46.29754588161621
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,34377584640.0,13.050093,10.324592,1.3551942,3.3,1.272,66.318,0.11038999,0.0473897034650535,0.057779998,-0.011,-0.12,3101625088.0,46579171328.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,51.904,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.2783598304756577,,492707578.0,0.0460805599662983,0.2766313800433746,1.2681073379244836,1.345002108814846,0.2914228417384443,0.2890404744158916,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,70.34,[],{},0.0902223096962754,7.078901693039336,9.404234065818695,0.1063350819430018,0.0766278064072033,,0.1125886524822695,1.0,20,20,0.75,10.0,22.0,0.6094636363636363,0.6094636363636363,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6431383333333334,True,1.0,0.83,strong_buy,4,19,stable,0.79,persistent,2026-07-17,accumulate,0.75,28.054609097611262
TTE.PA,TotalEnergies SE,Energy,175905456128.0,11.507225,9.030159,1.5921172,4.5,1.061,48.045,0.14479999,0.0451014413083437,0.09083,0.278,1.06,13531374592.0,210857148416.0,39650000896.0,19925000000.0,182344000000.0,62917001216.0,31716999168.0,50.01516,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.0551969091412218,0.2838914165942436,0.9665741170878211,1.0978967712596637,0.2063905447424026,0.1794967896962033,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,79.63,[],{},0.0769241323711625,5.317960747821114,10.582541953124217,0.0944952549613825,0.0869019246603764,,0.1003818793704532,1.0,20,20,0.775904761904762,14.0,22.0,0.7459227272727272,0.7459227272727272,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8104166666666666,True,0.9,0.8222,strong_buy,4,12,stable,0.7991,persistent,2026-07-25,neutral,0.5,61.62606093722401
VOW.DE,Volkswagen AG,Consumer Cyclical,41632571392.0,7.962608,3.2135901,0.23632826,6.56,1.069,138.745,0.027609998,0.0113628781613333,0.018,0.02,-0.41,14109154304.0,270500577280.0,19285999616.0,10794000000.0,321913000000.0,280904007680.0,66773999616.0,351.418,644467000000.0,247865000000.0,,226525000000.0,7323000000.0,15009000000.0,0.1591796541301531,,501295263.0,0.0179347611410875,0.1831821472024148,1.0942059375344884,1.1298937057395215,0.3046812327085793,0.3105047360978346,0.4995026898196494,0.5129600808968171,501295263.0,3244000000.0,83.05,[],{},0.3388970181820471,14.02574834936676,25.06027212154901,0.0399037965409845,0.1255869936081243,,0.0258265500954677,1.0,20,20,0.7277777777777779,9.0,22.0,0.5812045454545455,0.5812045454545455,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6008366666666667,True,0.7,0.7889,strong_buy,4,12,stable,0.6067,persistent,2026-07-25,neutral,0.5,59.452372166076024
DHL.DE,DHL AG,Industrials,62714998784.0,17.22561,14.874606,2.813885,3.41,1.03,122.614,0.18090001,0.0492973612323636,0.04344,0.128,0.286,5425375232.0,86917791744.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.047685152057245,0.1562574238608828,0.9783278841662776,0.951631949364697,0.3583176096200963,0.3211735241502683,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,56.5,[],{},0.0865084164425454,10.351052727950206,16.35945637944664,0.0611267255344963,0.058053096523142,,0.1070996613449443,1.0,20,20,0.6799999999999999,9.0,22.0,0.5391727272727272,0.5391727272727272,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6412816666666667,True,0.8,0.72,strong_buy,4,12,stable,0.7,persistent,2026-07-25,neutral,0.625,56.251794114606646
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,64240865280.0,9.496001,9.899708,1.9141519,4.69,0.276,24.378,0.21299,0.0218551515714418,0.11163,0.013,0.098,6889625088.0,66809868288.0,,8997000000.0,62312000000.0,8222000128.0,5818999808.0,266.75,279934000000.0,,,,6118000000.0,4906000000.0,,,127961889.0,0.0199132808736149,,,,0.026556259689784,0.0220672946006521,0.2225953260411382,0.2249111512976449,131406411.0,369000000.0,510.6,[],{},0.1072467666487819,,7.425793963321107,0.1346657347267363,0.1053074868041821,,,0.9,18,20,0.7314814814814815,14.0,22.0,0.6876363636363637,0.6876363636363637,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7338549999999999,True,0.9,0.701,strong_buy,4,4,stable,0.6446,persistent,2026-08-16,neutral,0.5,45.483544217359736
SAP.DE,SAP SE,Technology,216990400512.0,28.143713,22.47328,4.8497357,1.34,1.148,21.966,0.18320999,0.1017736846593331,0.20413,0.094,0.306,9090624512.0,215808606208.0,11760000000.0,9620000000.0,36800000000.0,9939000320.0,11624999936.0,38.765,70362000000.0,20256000000.0,,17416000000.0,7161000000.0,9156000000.0,0.728641304347826,,1167559048.0,0.0420814418686099,0.7295177902621723,1.163068442811208,1.1215281417042238,0.1062505329581308,0.1434729312876328,0.5230095790341377,0.4603634306343198,1166589461.0,492000000.0,188.0,[],{},0.0418941321392568,18.351071956462587,22.43332704864865,0.0445765355192928,0.0355319143568583,,0.1816945567181656,1.0,20,20,0.6625000000000001,10.0,22.0,0.5353181818181818,0.5353181818181818,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6262716666666667,True,1.0,0.6958,buy,3,1,deteriorating,0.4245,new,2026-09-18,neutral,0.5,58.22102669385193
DTE.DE,Deutsche Telekom AG,Communication Services,135347871744.0,15.898876,11.113249,2.2614672,3.47,1.033,165.297,0.15063,0.0331608971284022,0.07013,0.043,-0.05,17394624512.0,306160205824.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.4847378429024498,0.475991526035142,0.4084046257536175,0.3774948021539087,4900429250.0,6547000000.0,28.3,[],{},0.1285179019652454,7.178097251861744,11.953779705762924,0.0836555486728519,0.0628975281019865,,0.1012648218218336,1.0,20,20,0.6455595238095239,8.0,22.0,0.5538409090909092,0.5538409090909092,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6154566666666667,True,0.9,0.6749,buy,3,12,stable,0.6602,persistent,2026-07-25,neutral,0.375,41.099802159093706
WKL.AS,Wolters Kluwer N.V.,Industrials,15597456384.0,11.979487,11.3289175,16.642128,3.78,0.688,590.213,1.46141,0.1364774624373956,0.21864,-0.006,0.089,1247874944.0,19695855616.0,1947000064.0,1687000000.0,6125000000.0,5548000256.0,1494000000.0,4.211,9584000000.0,2633000000.0,,4058000000.0,1308000000.0,1668000000.0,0.7346938775510204,,226216153.0,0.1136028637607917,0.7251521298174443,0.6488417939871858,0.7021670190274841,0.514712020033389,0.4283006948831332,0.6390859766277128,0.6228679722046747,234366515.0,117000000.0,70.08,[],{},0.0800050285942828,10.116001524692296,11.67507742501482,0.0856525369037311,0.0834760286479713,,0.3052841114730366,1.0,20,20,0.68,14.0,22.0,0.6252272727272726,0.6252272727272726,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6813433333333333,True,0.8,0.67,buy,3,12,stable,0.675,persistent,2026-07-25,neutral,0.375,55.33655995891337
ENI.MI,Eni S.p.A.,Energy,69181161472.0,12.546875,10.148371,1.526229,4.46,1.48,64.975,0.10901,0.0190269134523488,0.05874,0.185,5.806,-8982875136.0,97039171584.0,13235999744.0,4506000000.0,82151000000.0,36990001152.0,15088000000.0,15.784,137069000000.0,48867000000.0,,36815000000.0,2608000000.0,13330000000.0,0.0942897834475539,,2957681345.0,0.0178577504951034,0.1135511334842393,1.327366562542442,1.1376787237893322,0.2495239623839088,0.2507367002633746,0.5993404781533388,0.6043119934122323,3083270402.0,8170000000.0,24.09,[],{},-0.1298456826232337,7.331457650411995,21.535546290279623,0.0464348564239284,0.0797011207970112,,0.0449458375725656,1.0,20,20,0.5753103741496599,7.0,22.0,0.5625636363636364,0.5625636363636364,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6907083333333334,True,0.73335,0.6335,buy,3,4,stable,0.6044,persistent,2026-08-16,neutral,0.625,52.76812938245578
BAS.DE,BASF SE,Basic Materials,45086478336.0,22.0042,17.595377,1.2504178,4.32,1.855,71.358,0.061160002,0.0212539711712657,0.094239995,0.164,52.989,1055000000.0,65289412608.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.2406966608555719,,892522164.0,0.0161412671765217,0.2476929837410282,1.9306562671378955,1.832971418510476,0.3046840129177934,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,52.37,[],{},0.0233994767153419,9.940531761266747,22.828465946853147,0.0438049583501622,0.0454458694249279,,0.0478556966685072,1.0,20,20,0.5382976190476191,6.0,22.0,0.5356090909090908,0.5356090909090908,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"quality,dividend,garp,risk",0.7273416666666667,True,1.0,0.6032,buy,3,5,stable,0.4566,persistent,2026-08-02,neutral,0.5,49.72139952424559
ABI.BR,Anheuser-Busch InBev SA/NV,Consumer Defensive,135239770112.0,17.042183,15.987552,1.6708164,1.67,0.664,71.88,0.11392,0.0312465723373916,0.14896,0.11,1.249,10693624832.0,207813099520.0,19736000512.0,15650000000.0,59320000000.0,72732000256.0,8010999808.0,41.10565,218808000000.0,24769000000.0,,34475000000.0,6837000000.0,14883000000.0,0.5593223196223871,,1950752219.0,0.0283347125635776,0.5525364743675546,0.7184626540971719,0.6955482973447046,0.3337492230631421,0.3492598131022034,0.2711052612335929,0.2892415201536994,1975432021.0,3864000000.0,68.68,[],{},0.079071598710527,10.529646034091064,13.278792301597443,0.0753080534198655,0.0586779287606523,,0.0849006960229584,1.0,20,20,0.5625,8.0,22.0,0.5804045454545455,0.5804045454545455,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7021866666666667,True,0.9,0.6,buy,3,5,stable,0.5813,persistent,2026-08-02,neutral,0.5,45.01021894821876
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,203249549312.0,18.79216,16.381046,2.9856043,3.16,1.631,53.306,0.16586,0.0765856783795771,0.13658,-0.029,0.008,11537125376.0,229840814080.0,20053999616.0,17668000000.0,80807000000.0,37150998528.0,12213999616.0,138.096,142037000000.0,48179000000.0,,30416000000.0,10878000000.0,18875000000.0,0.6624178598388754,,496391012.0,0.0841209196326831,0.6703195484282374,1.584001841136244,1.4088022317188984,0.2586016319691348,0.2761780280179636,0.5689151418292416,0.5676117702258865,499372818.0,1151000000.0,412.3,[],{},0.0567633503496228,11.461095964947685,13.00887559882273,0.0768705944186673,0.0532136805987177,,0.1582856272565198,1.0,20,20,0.5611111111111111,10.0,22.0,0.5649045454545454,0.5649045454545454,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6468666666666667,True,1.0,0.5889,buy,3,19,stable,0.575,persistent,2026-07-17,neutral,0.625,33.298353723199
BNP.PA,BNP Paribas SA,Financial Services,113742880768.0,8.977509,7.846945,0.9470706,5.67,,,0.104770005,0.0043770437392878,0.26490998,0.188,0.374,,,,,68804000000.0,831044976640.0,1226712023040.0,109.58,2792981000000.0,,,,12225000000.0,46571000000.0,,,1100099307.0,0.0043210342089268,,,,0.1426747980025642,0.1404465512320566,0.0246346108333712,0.0243520297178314,1129554473.0,50329000000.0,103.78,[],{},,,,,0.1113894734051505,,,0.65,13,20,0.8095238095238095,9.0,22.0,0.6276954545454546,0.6276954545454546,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,3,5,"cheapness,dividend,garp",0.6812783333333333,False,0.53335,0.9231,hold,2,19,stable,0.3379,persistent,2026-07-17,neutral,0.625,43.86274152079606
BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,37841944576.0,6.084697,6.931706,0.39707315,7.08,1.148,119.855,0.06592,0.0274244549135795,0.04923,-0.079,-0.279,1710268032.0,141099909120.0,13793000448.0,9981000000.0,133453000000.0,116789002240.0,15642000384.0,159.215,265967000000.0,91648000000.0,,81724000000.0,7294000000.0,8228000000.0,0.1543239942151918,,607128285.0,0.027228721258572,0.1608020789436718,1.1214331163428124,1.0991914607305364,0.3321840679482793,0.3193641402596626,0.5017652565919832,0.5318004571735915,622259319.0,562000000.0,63.22,[],{},0.0451950355924542,10.229819802583972,14.136850928764654,0.0707371114712168,0.1643467209624406,,0.0541730214987815,1.0,20,20,0.8,7.0,22.0,0.5884363636363636,0.5884363636363636,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,garp",0.5981500000000001,False,0.63335,0.8667,hold,2,19,stable,0.5,persistent,2026-07-17,neutral,0.5,58.16779781735194
ISP.MI,Intesa Sanpaolo S.p.A.,Financial Services,118421110784.0,12.167857,10.443071,1.742711,5.64,,,0.14261,0.0097105180088906,0.36964,0.064,0.139,,248336187392.0,,,28529000000.0,265553002496.0,137623994368.0,3.91,959887000000.0,,,,9321000000.0,8235000000.0,,,17387732025.0,0.0092854808552585,,,,0.1451347919077975,0.1570452755589128,0.0297212067670465,0.0296651076573608,17778041443.0,10448000000.0,6.814,[],{},,,,,0.0821837403250219,,,0.7,14,20,0.6190476190476191,8.0,22.0,0.5108409090909092,0.5108409090909092,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.5898983333333334,False,0.53335,0.6859,hold,2,19,stable,0.274,persistent,2026-07-17,neutral,0.375,55.166043147927304
DBK.DE,Deutsche Bank Aktiengesellschaft,Financial Services,64346353664.0,10.408814,8.946883,0.81632894,2.97,,,0.08891,0.0048297396567547,0.22715001,0.087,0.188,,-25629644800.0,,,32099000000.0,544725991424.0,636277030912.0,41.95,1435067000000.0,,,,6931000000.0,47064000000.0,,,1939573264.0,0.0024265108201765,,,,0.1145953464193657,0.1092074046787107,0.0223675967742272,0.0216605379126095,1983625755.0,28768000000.0,34.245,[],{},,,,,0.0960724247738503,,,0.7,14,20,0.6190476190476191,8.0,22.0,0.568909090909091,0.568909090909091,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,garp",0.595615,False,0.53335,0.6795,hold,2,19,stable,0.2727,persistent,2026-07-17,neutral,0.625,51.85199957895579
MBG.DE,Mercedes-Benz Group AG,Consumer Cyclical,44223868928.0,8.749053,6.7474008,0.4655487,7.72,1.321,110.208,0.055960003,0.0201240086743441,0.03885,-0.033,0.2,-3902625024.0,129400930304.0,12000000000.0,4870000000.0,132214000000.0,102230999040.0,16542999552.0,99.227,255466000000.0,102132000000.0,,73768000000.0,5141000000.0,18006000000.0,0.1689155460087434,,957330201.0,0.0385155277159352,0.1962718243883676,1.3845027654267432,1.3600486461925,0.3220271973569868,0.3510886381645975,0.5175404946255079,0.5493905890343761,962903703.0,398000000.0,46.195,[],{},-0.0882470285526982,10.783410858666668,26.571032916632443,0.0376349689956553,0.114298084604128,,0.0268027165956697,1.0,20,20,0.5555555555555556,7.0,22.0,0.55735,0.55735,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,dividend,garp",0.6413683333333333,False,0.63335,0.6333,hold,2,19,stable,0.3567,persistent,2026-07-17,neutral,0.5,44.28952982166475
ADYEN.AS,Adyen N.V.,Technology,28829845504.0,25.668913,19.543398,4.879156,,1.648,6.928,0.21271,0.0866883486938608,0.43555,0.189,0.129,-1190886784.0,16836017152.0,1290572032.0,1096267000.0,2646897000.0,409363008.0,12403191808.0,187.184,12256849000.0,11689803000.0,,6787358000.0,1062526000.0,1030422000.0,0.8884433357248128,,31536692.0,0.0809750904113588,0.8931407741100045,1.722290617350669,1.551525949324971,0.020589794326421,0.0199781554568601,0.2159524850147048,0.1947962058519533,31485187.0,19700000.0,913.3,[],{},-0.0413074285755284,13.045391295136946,15.35758820798218,0.0651143907791618,0.0389576294095507,,0.2004330933170929,0.95,19,20,0.588235294117647,3.0,22.0,0.3952727272727273,0.3952727272727273,0.1363636363636363,0.0,1.0,0.1363636363636363,22.0,3,5,"cheapness,quality,risk",0.4121566666666666,True,0.83335,0.625,hold,2,4,stable,0.3458,persistent,2026-08-16,neutral,0.625,37.58155036623571
UCG.MI,UniCredit S.p.A.,Financial Services,126185512960.0,11.852692,9.933818,1.7803876,3.8,,,0.15779,0.0125425458322895,0.43967998,-0.092,-0.105,,180590788608.0,,,25039000000.0,247794008064.0,192975994880.0,47.001,870238000000.0,,,,10915000000.0,8525000000.0,,,1503078777.0,0.0123966204254059,,,,0.1493131763954228,0.1565349156381855,0.0287725886481629,0.0339016127468737,1541744210.0,12810000000.0,83.68,[],{},,,,,0.084369019291145,,,0.7,14,20,0.6190476190476191,6.0,22.0,0.4893227272727273,0.4893227272727273,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,dividend,garp",0.51908,False,0.36665,0.6218,hold,2,19,stable,0.3474,persistent,2026-07-17,neutral,0.375,47.737750593816756
