ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
A2A.MI,A2A S.p.A.,Utilities,7154711552.0,10.395454,10.849661,1.376053,4.55,1.163,113.764,0.11337,0.03507459196558013,0.04423,0.314,-0.131,-214375008.0,13546712064.0,2084999936.0,1144000000.0,13739000000.0,7414000128.0,1596999936.0,1.662,21383000000.0,7856000000.0,,7514000000.0,750000000.0,1776000000.0,0.23524273964626247,,3128758190.0,0.04323675123855277,0.26666666666666666,1.0455150385946235,1.1074818986323411,0.3395220502268157,0.3639093229244858,0.6425197586868073,0.6290346794775559,3132905277.0,201000000.0,2.287,[],{},-0.029962774381879092,6.497224210945971,11.841531524475524,0.08444853589530019,0.09619589485942605,,0.0824861201240176,1.0,20,20,0.6333333333333333
AMP.MI,AMPLIFON,Healthcare,3343458872.3338127,40.66129,14.423516,2.2129564,2.3,0.733,117.681,0.05737,0.023461590232103646,0.03011,0.022,0.055,354010880.0,4420055552.0,346204000.0,204778000.0,2395705000.0,1781863040.0,711990016.0,5.696,3892916000.0,763038000.0,,1256378000.0,91334000.0,414767000.0,0.5347419653087504,,219937482.0,0.03640938277813704,0.5660849205206121,0.607331551491669,0.6196898594216224,0.4677241944085102,0.43236962283251545,0.6154011543018139,0.6034021061110079,225320371.0,59674000.0,12.605,[],{},0.10588163142347616,12.767199547087845,21.584621160476225,0.04632928197188414,0.024593415506492786,,0.07766927690782383,1.0,20,20,0.5333333333333333
AVIO.MI,Avio S.p.A.,Industrials,1558449792.0,99.29411,126.451416,2.2175512,0.44,1.277,1.431,0.02271,0.006295282998761413,0.01795,0.201,-0.189,105181024.0,965780864.0,22756750.0,8876301.0,583690000.0,10135499.0,601845504.0,15.224,1664062442.0,1143177499.0,,895187660.0,10475744.0,168081000.0,0.693273242645925,,45803796.0,0.005572351275320301,0.7016696709760813,1.277025533394864,0.8199810511338715,0.006072692793820053,0.010566400215227636,0.35076207795332237,0.43979286317396,31431216.0,331000.0,33.76,[],{},0.06749080049926946,42.43931422544959,108.8044292324021,0.00919080231434364,0.010071090823010548,,0.011544533918658293,1.0,20,20,0.36666666666666664
AZM.MI,Azimut Holding S.p.A.,Financial Services,5559318528.0,10.481183,10.695055,2.8004022,5.14,3.424,4.261,0.29348,0.04934095481532975,0.3352,0.17,-0.072,904588608.0,5186259968.0,707812992.0,625394000.0,1407370000.0,85379000.0,447024000.0,13.923,10653746000.0,1234400000.0,,2331094000.0,525666000.0,614195000.0,0.6280615616362435,,141227704.0,0.05630321622100189,0.6417018722095074,0.5295367754367691,0.5605464627664678,0.002807650942682508,0.0027040280059554872,0.132100953035674,0.13022741939707924,141597896.0,6415000.0,38.99,[],{},0.16271573637019707,7.327161307601429,8.292788175134396,0.12058670484294551,0.09540907739135936,,0.07514359605568033,1.0,20,20,0.6299999999999999
BMED.MI,Banca Mediolanum S.p.A.,Financial Services,18091896832.0,13.719101,15.498956,3.9508169,5.32,,,0.30062,0.013763975420471777,0.51403,0.29,0.197,,-30685415424.0,,,2440482000.0,5139215872.0,53916528640.0,6.181,89938260000.0,,,,1237908000.0,389843000.0,,,739224387.0,0.012995629514459829,,,,0.004322732060860417,0.004606585266021399,0.027135081332460734,0.028081613875165702,737385088.0,368914000.0,24.42,[],{},,,,,0.07289107354774922,,,0.7,14,20,0.42727272727272725
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,Financial Services,36558245888.0,10.026666,13.490604,1.3842613,7.15,,,0.15022,0.01123862463608182,0.52342,0.995,-0.472,,75204050944.0,,,5001743000.0,74527899648.0,38134099968.0,8.692,241640511000.0,,,,2715707000.0,1737833000.0,,,3038185181.0,0.015911542861337623,,,,0.2142435048897906,0.10217610270652744,0.020699107857787967,0.0342608160160846,1259689706.0,2084135000.0,12.032,[],{},,,,,0.09973404918444476,,,0.7,14,20,0.8467532467532468
BAMI.MI,Banco BPM S.p.A.,Financial Services,25631264768.0,13.40945,12.004201,1.651314,5.87,,,0.12613,0.010111822938135553,0.36146998,-0.055,-0.187,,52162600960.0,,,6639492000.0,51835170816.0,25400147968.0,10.313,205896307000.0,,,,2081987000.0,-3542412000.0,,,1503373604.0,0.009688723302579968,,,,0.1393906593963339,0.14827681941746698,0.032246775557756846,0.03444101430122626,1501382319.0,2370076000.0,17.03,[],{},,,,,0.07457427411265936,,,0.7,14,20,0.577922077922078
BPE.MI,BPER BANCA,Financial Services,30052978688.0,13.098182,11.071409,1.6618223,8.75,,,0.15279001,0.008885645518816617,0.31531,0.54,0.15,,57846075392.0,,,6973747000.0,43813552128.0,16077682688.0,8.67,204649960000.0,,,,1818447000.0,3121933000.0,,,1961998586.0,0.009976774402582371,,,,0.12152684515550358,0.1413213359972036,0.034076464026672665,0.04259413190983075,1415511825.0,1371617000.0,14.408,[],{},,,,,0.07634647312123163,,,0.7,14,20,0.6805194805194805
BC.MI,Brunello Cucinelli S.p.A.,Consumer Cyclical,6057440256.0,0.0007957486,33.95956,11.054853,1.17,1.354,217.133,0.26791,0.06677380752227706,0.0936,0.095,0.038,169665248.0,7120756224.0,304871008.0,242357000.0,1407951000.0,1227437952.0,181460000.0,8.058,2022260000.0,769946000.0,,544047000.0,135034000.0,242607000.0,0.9152214814293963,,68000000.0,0.06847296653720314,0.9222683686079435,1.4152196409501385,1.4022350012944416,0.5871430973267532,0.5513157540319091,0.6962264990654021,0.7327326088189935,67950000.0,40246000.0,89.08,[],{},0.02800939684579532,23.356619806892233,29.381269053503715,0.03403528956421132,1256.6783026699638,,0.16395269152686384,1.0,20,20,0.5875
BZU.MI,BUZZI,Basic Materials,7252863488.0,8.632353,8.299166,0.9961212,1.7,4.391,6.827,0.12303001,0.10323051026391253,0.18964,0.001,-0.153,15428625.0,6612257280.0,1146461056.0,898941000.0,4518779000.0,501640000.0,1208824064.0,41.25,8924813000.0,3211776000.0,,700790000.0,921313000.0,914060000.0,0.6455708500017372,,181024878.0,0.10845635606412432,0.6541418494670924,4.583079096448294,3.487101387768477,0.04941705781398445,0.06992801350300716,0.5063163788417752,0.4964112639387876,181072568.0,41877000.0,41.09,[],{},0.002127246021592293,5.767537628421632,7.355607631646571,0.13595069912343158,0.11584327007943257,,0.10930672251281398,1.0,20,20,0.6491391745997008
CPR.MI,CAMPARI,Consumer Defensive,7236952064.0,26.234781,17.157156,1.8131009,1.66,2.581,70.273,0.06676,0.04269299997534334,0.08873,-0.01,-0.366,172050000.0,9332952064.0,643200000.0,602400000.0,3051100000.0,2806000128.0,711000000.0,3.328,8111400000.0,2963400000.0,,1336900000.0,346300000.0,687600000.0,0.6030939661105831,,1198785346.0,0.023764336991500948,0.5839142615154082,2.216620540055352,2.3658104517271923,0.31579012254358063,0.33755731849633985,0.3761496165889982,0.36186389730411517,1202504501.0,105300000.0,6.034,[],{},0.023773820591662827,14.510186666666666,15.492948313413015,0.06454549384472227,0.0381173374384181,,0.08892169163775925,1.0,20,20,0.36872041069409495
DIA.MI,DiaSorin S.p.A.,Healthcare,3679509760.0,27.360292,17.352901,2.5878017,1.75,1.789,68.183,0.091630004,0.05416469584217812,0.11939,0.027,0.066,133477624.0,4520298496.0,343104000.0,269566000.0,1195055000.0,965254016.0,120879000.0,28.758,2873163000.0,785093000.0,,505794000.0,155624000.0,342760000.0,0.6472279518515884,,53000667.0,0.05691665758929112,0.6594256753051854,1.5521991166364173,3.5131983770373303,0.2753637715646484,0.3068724810282851,0.4159370700513685,0.35868553550464155,53891959.0,24479000.0,74.42,[],{},0.03627592606249806,13.174718149598956,16.768800575740265,0.0596345573723811,0.036549317529213504,,0.11386733542595176,1.0,20,20,0.3666666666666667
ENEL.MI,Enel SpA,Utilities,94207819776.0,22.607143,12.63843,3.8163185,5.48,0.721,147.743,0.122559994,0.023648667558505965,0.05711,0.085,0.318,-685750016.0,177643388928.0,20621000704.0,3571000000.0,67452000000.0,73377996800.0,4742000128.0,2.488,178657000000.0,34285000000.0,,47063000000.0,4225000000.0,13926000000.0,0.4683626875407697,,10033125071.0,0.03749084904803381,0.541111693017594,0.7284915963708221,0.8288398610804408,0.38325954202746043,0.37593446582486817,0.37755027790682705,0.377521521435938,10154600276.0,2846000000.0,9.495,[],{},-0.007279119903533728,8.61468322890563,49.746118434052086,0.020102070904802143,0.04423380698746409,,0.027136495584905086,1.0,20,20,0.4
