ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
CAPD.L,Capital Limited,Basic Materials,221187536.0,3.92,7.054577,0.78060997,1.95,2.472,33.679,0.21179001,0.10993285526791319,0.20058,0.045,6.393,43112248.0,201482704.0,78308000.0,50870000.0,345775000.0,130905000.0,163176992.0,1.2554286,630876000.0,336700000.0,,136229000.0,69354000.0,73586000.0,0.4318530836526643,,225303781.0,0.031189547581903277,0.41220114942528735,2.4715736003347306,1.9824660735148738,0.207497194377342,0.290503120124805,0.5480871042803974,0.6786271450858035,196257124.0,14267000.0,98.0,[],{},0.1949126464341101,2.572951729069827,3.9607372518183603,0.25247824746286907,0.25510204081632654,,0.10284101591640099,1.0,20,20,0.7385714285714287,20.0,22.0,0.8533272727272728,0.8533272727272728,0.9090909090909091,0.0,1.0,0.9090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8644966666666667,True,1.0,0.7157,strong_buy,4,10,stable,0.7271,persistent
DFS.L,DFS Furniture plc,Consumer Cyclical,327592064.0,9.433332,9.162134,1.1742738,0.71,0.269,150.969,0.1342,0.024603497356649046,0.0327,0.086,0.882,102912496.0,727230784.0,96100000.0,73000000.0,1030300000.0,420600000.0,20500000.0,1.205,983600000.0,88700000.0,,331000000.0,24200000.0,181200000.0,0.564592837037756,,230688346.0,-0.0042044911610129,0.5579981764765475,0.26797583081570997,0.3491104397448808,0.4799715331435543,0.5654085045389393,1.0474786498576658,0.9432393693263258,230688346.0,37200000.0,141.5,[],{},0.3141483183182362,7.567437918834547,9.962065534246575,0.10038078916087248,0.10600708212114235,,0.11186025130248238,1.0,20,20,0.5989285714285715,10.0,22.0,0.6078818181818181,0.6078818181818181,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6189783333333333,True,0.6,0.5589,buy,3,7,stable,0.5789,persistent
FOXT.L,Foxtons Group plc,Real Estate,116218248.0,13.1,8.458889,0.79878044,2.95,1.057,43.047,0.09048,0.04715460882524603,0.07446,0.012,-0.306,25091876.0,173919680.0,24609000.0,19362000.0,172533000.0,62405000.0,5475000.0,0.492,272423000.0,44275000.0,,41881000.0,12846000.0,27684000.0,0.6399761205102792,,294694333.0,0.052215484900692874,0.6396932781054981,1.0571619588835033,0.8924213029601352,0.22907390345161752,0.22662758522960344,0.6333275824728455,0.6113075127350294,303848140.0,3079000.0,39.3,[],{},0.2159030654118964,7.067320086147345,8.98252659849189,0.11132725175207314,0.07633587786259542,,0.08398469693157863,1.0,20,20,0.5714285714285714,9.0,22.0,0.6446272727272727,0.6446272727272727,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6411816666666666,True,0.9,0.5536,buy,3,7,stable,0.5625,persistent
MER.L,Mears Group plc,Consumer Cyclical,341621600.0,7.981481,10.414401,1.8474067,4.06,0.794,155.61,0.23421,0.0624532161609283,0.040710002,0.043,0.014,31529876.0,646022656.0,83403000.0,75028000.0,1135461000.0,318720992.0,48479000.0,2.333,740106000.0,222899000.0,,280869000.0,46222000.0,112651000.0,0.23412428960571963,,82407805.0,0.06633825007663846,0.22362098347917458,0.7936048478116132,0.8390700706781846,0.43064236744466333,0.42418781056398774,1.5341869948358748,1.614768765728707,86304012.0,16078000.0,431.0,[],{},0.09229473780346442,7.745796386221119,8.61042085621368,0.11613834174880702,0.12529003075995546,,0.16337533778854926,1.0,20,20,0.6288095238095239,9.0,22.0,0.595840909090909,0.595840909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.5902866666666666,True,0.8,0.6013,buy,3,7,stable,0.492,persistent
CARD.L,Card Factory plc,Consumer Cyclical,256453760.0,8.366667,5.2842107,0.73463416,6.64,0.894,58.815,0.08896,0.047208352246935995,0.053540003,0.086,-0.315,70875000.0,450146144.0,87400000.0,59400000.0,582700000.0,208500000.0,18800000.0,1.025,660900000.0,104100000.0,,116400000.0,31200000.0,110300000.0,0.323837309078428,,345829088.0,0.07764782326185835,0.35723502304147464,0.8943298969072165,0.9463087248322147,0.31547889241942806,0.299545159194282,0.8816765017400514,0.8812540610786225,348004716.0,15200000.0,75.3,[],{},0.27636561070502536,5.150413546910755,7.578217912457912,0.13195714501111,0.11952190758876863,,0.10909090909090909,1.0,20,20,0.7917857142857143,12.0,22.0,0.6915772727272728,0.6915772727272728,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.673465,True,0.9,0.8335,strong_buy,4,2,stable,0.4876,building
GLE.L,MJ Gleeson plc,Consumer Cyclical,158674128.0,10.88,11.522006,0.52017593,4.04,3.874,9.396,0.04755,0.05106772438347613,0.03757,0.097,-0.54,-5829625.0,185895136.0,26889000.0,28371000.0,345345000.0,28661000.0,1440000.0,5.229,378047000.0,368218000.0,,63618000.0,19306000.0,17986000.0,0.24478130565087086,,58271100.0,0.06422323079866499,0.27440081140598016,5.787953095035996,4.926949347399743,0.013426901946054327,0.01366892710614145,0.9134975280851323,0.8724277757700729,58342360.0,3434000.0,272.0,[],{},-0.036739606345906624,6.9134269031946145,6.552294103133481,0.15261830196568457,0.09191176470588235,,0.09023022685566535,1.0,20,20,0.5277380952380953,10.0,22.0,0.6269090909090909,0.6269090909090909,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,4,5,"cheapness,dividend,garp,risk",0.6179983333333333,True,0.83335,0.5861,buy,3,15,stable,0.4455,persistent
APTD.L,Aptitude Software Group plc,Technology,104900192.0,28.0,10.54217,2.0102563,2.76,1.015,15.379,0.07177,0.03782523687772597,0.061950002,-0.076,-0.097,9513250.0,85596088.0,8637000.0,6585000.0,64954000.0,8337000.0,29661000.0,0.975,106384000.0,43456000.0,,42819000.0,4024000.0,10080000.0,0.5569479939649599,,54579006.0,0.04338621572881002,0.4784278453543487,1.014876573483734,0.9404208854476871,0.07836704767634231,0.08819250237404494,0.6105617386073093,0.6102297378531664,56217740.0,312000.0,196.0,[],{},0.09068858520297084,9.910395739261318,12.99864662110858,0.07693108591598252,0.03571428571428571,,0.10359474553606544,1.0,20,20,0.575,5.0,22.0,0.45215,0.45215,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,4,5,"cheapness,quality,garp,risk",0.5229266666666667,True,0.9,0.525,buy,3,7,stable,0.44,persistent
BOOT.L,Henry Boot PLC,Real Estate,204119168.0,9.5,12.149309,0.481775,5.17,4.853,27.711,0.04343,0.035938328562848905,0.09349,,,9288250.0,309911872.0,30255000.0,25239000.0,251549000.0,116425000.0,8399000.0,3.155,654371000.0,454803000.0,,93722000.0,23517000.0,-30910000.0,0.2616746637831993,,133842425.0,0.037414093342013524,0.2702372723447737,4.8526813341584685,4.522863406804213,0.17791894811964468,0.12739199733180254,0.38441342907922266,0.4268346262759724,133742811.0,7975000.0,152.0,[],{},0.045504055748453766,10.243327450008263,12.279086810095487,0.08143928090628293,0.10526315789473684,,0.04501747082399148,1.0,20,20,0.7107142857142857,8.0,22.0,0.5459499999999999,0.5459499999999999,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,risk",0.45780000000000004,True,0.5,0.7179,buy,3,15,stable,0.4286,persistent
TPT.L,Topps Tiles Plc,Consumer Cyclical,69509520.0,11.833333,9.866592,18.684212,8.73,1.01,3158.989,1.27372,0.031869202152288806,0.017380001,-0.002,-0.717,16300905.0,171873552.0,19138000.0,12611000.0,295754000.0,118083000.0,15928000.0,0.019,187893000.0,79289000.0,,81380000.0,5988000.0,23674000.0,0.5218052841212629,,196612174.0,-0.07803210374743295,0.5335404121450928,0.9743057262226591,1.048763056624519,0.5896547503100169,0.6044808736625933,1.5740554464509056,1.5073314134150795,196665093.0,7295000.0,35.5,[],{},0.23451327242656833,8.980747831539345,13.628859884228055,0.07337370906257874,0.08450704463400126,,0.11839869311727207,1.0,20,20,0.5873809523809524,9.0,22.0,0.5195545454545454,0.5195545454545454,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5725049999999999,True,0.5,0.5565,buy,3,1,improving,0.3575,new
ULTP.L,Ultimate Products Plc,Consumer Cyclical,46220976.0,13.85,8.0,0.9981983,5.51,1.248,34.635,0.08151,0.09056029180251714,0.02688,-0.063,-0.524,16196500.0,59060736.0,8577000.0,15694000.0,155497000.0,16077000.0,3351000.0,0.555,116243000.0,71688000.0,,56147000.0,10527000.0,15370000.0,0.2601593599876525,,86152136.0,0.11470389880247162,0.2570243213179809,1.2767912800327712,1.3243232106802918,0.16687456448990476,0.2276488708236881,1.3376891511746944,1.5157300913183749,89312457.0,1380000.0,55.4,[],{},0.35041449579082884,6.88594333683106,3.7632685102586976,0.265726454881971,0.07220216606498195,,0.2611488285410011,1.0,20,20,0.6820238095238096,11.0,22.0,0.6997954545454546,0.6997954545454546,0.5,0.0,1.0,0.5,22.0,4,5,"cheapness,dividend,garp,risk",0.7036399999999999,True,1.0,0.7229,strong_buy,4,1,improving,0.3512,new
