ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
CARD.L,Card Factory plc,Consumer Cyclical,223491456.0,7.4555554,4.8052135,0.6546342,7.35,0.894,58.815,0.08896,0.0472083522469359,0.053540003,0.086,-0.315,70875000.0,421784160.0,87400000.0,59400000.0,582700000.0,208500000.0,18800000.0,1.025,660900000.0,104100000.0,,116400000.0,31200000.0,110300000.0,0.323837309078428,,345829088.0,0.0776478232618583,0.3572350230414746,0.8943298969072165,0.9463087248322148,0.315478892419428,0.299545159194282,0.8816765017400514,0.8812540610786225,348004716.0,15200000.0,67.1,[],{},0.3171262171203538,4.825905720823799,7.100743434343435,0.1408303242113217,0.1341281697135534,,0.109090909090909,1.0,20,20,0.7917857142857143,12.0,22.0,0.6980681818181819,0.6980681818181819,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.683495,True,0.9,0.8335,strong_buy,4,8,stable,0.6501,persistent,2026-07-26,accumulate,0.75,28.94617592936035
ULTP.L,Ultimate Products Plc,Consumer Cyclical,41715680.0,10.0,9.145784,0.9009009,6.11,1.248,34.635,0.08151,0.0905602918025171,0.02688,-0.063,-0.524,16196500.0,54544352.0,8577000.0,15694000.0,155497000.0,16077000.0,3351000.0,0.555,116243000.0,71688000.0,,56147000.0,10527000.0,15370000.0,0.2601593599876525,,86152136.0,0.1147038988024716,0.2570243213179809,1.2767912800327712,1.3243232106802918,0.1668745644899047,0.2276488708236881,1.3376891511746944,1.5157300913183749,89312457.0,1380000.0,50.0,[],{},0.3882592828404091,6.359374140142241,3.475490760800306,0.2877291492985378,0.1,,0.2611488285410011,1.0,20,20,0.7123809523809523,13.0,22.0,0.7385,0.7385,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,4,5,"cheapness,dividend,garp,risk",0.7206483333333333,True,1.0,0.7532,strong_buy,4,5,stable,0.5862,persistent,2026-09-09,neutral,0.625,41.408723757725305
BOOT.L,Henry Boot PLC,Real Estate,190454592.0,9.433332,11.310047,0.44849446,5.57,4.853,27.711,0.04343,0.0359383285628489,0.09349,,,9288250.0,295818752.0,30255000.0,25239000.0,251549000.0,116425000.0,8399000.0,3.155,654371000.0,454803000.0,,93722000.0,23517000.0,-30910000.0,0.2616746637831993,,133842425.0,0.0374140933420135,0.2702372723447737,4.8526813341584685,4.522863406804213,0.1779189481196446,0.1273919973318025,0.3844134290792226,0.4268346262759724,133742811.0,7975000.0,141.5,[],{},0.0487688424965883,9.777516179143944,11.72070018621974,0.0853191348735052,0.1060070821211423,,0.0450174708239914,1.0,20,20,0.6592857142857145,8.0,22.0,0.5489636363636363,0.5489636363636363,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,dividend,risk",0.46188,True,0.5,0.6735,buy,3,21,stable,0.3998,persistent,2026-07-18,neutral,0.5,32.76408657410026
MER.L,Mears Group plc,Consumer Cyclical,321391968.0,6.5725803,9.822827,1.6024381,4.56,0.859,142.564,0.26136,0.0624532161609283,0.04656,0.001,0.301,55989000.0,581139264.0,87523000.0,75028000.0,1135461000.0,307644000.0,70469000.0,2.543,740106000.0,222899000.0,,280869000.0,46222000.0,112651000.0,0.2341242896057196,,82407805.0,0.0663382500766384,0.2236209834791745,0.7936048478116132,0.8390700706781846,0.4306423674446633,0.4241878105639877,1.5341869948358748,1.614768765728707,86304012.0,16078000.0,407.5,[],{},0.1742078383240741,6.639846257555157,7.745631817454817,0.1291050263642141,0.1521472472538677,,0.1633753377885492,1.0,20,20,0.6796428571428572,12.0,22.0,0.6621227272727273,0.6621227272727273,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.7149483333333333,True,0.8,0.6588,buy,3,13,stable,0.5354,persistent,2026-07-25,neutral,0.625,40.29152751719728
CAPD.L,Capital Limited,Basic Materials,246014736.0,4.037037,7.794275,0.83612466,1.71,2.412,31.252,0.21945,0.1099328552679131,0.19056,0.376,0.297,34517752.0,218347728.0,101093000.0,50870000.0,345775000.0,127765000.0,166887008.0,1.3036333,630876000.0,336700000.0,,136229000.0,69354000.0,73586000.0,0.4318530836526643,,225303781.0,0.0311895475819032,0.4122011494252873,2.4715736003347306,1.9824660735148736,0.207497194377342,0.290503120124805,0.5480871042803974,0.6786271450858035,196257124.0,14267000.0,109.0,[],{},0.1403076602695864,2.159869901971452,4.292269078042068,0.2329770062915424,0.2477064242908846,,0.1028410159164009,1.0,20,20,0.6833333333333333,18.0,22.0,0.82805,0.82805,0.8181818181818182,0.0,1.0,0.8181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.8173450000000001,True,0.83335,0.6417,buy,3,5,stable,0.6625,persistent,2026-09-09,neutral,0.5,47.69300686350059
GLE.L,MJ Gleeson plc,Consumer Cyclical,143798432.0,9.86,10.441817,0.47140944,4.44,3.874,9.396,0.04755,0.0510677243834761,0.03757,0.097,-0.54,-5829625.0,171019440.0,26889000.0,28371000.0,345345000.0,28661000.0,1440000.0,5.229,378047000.0,368218000.0,,63618000.0,19306000.0,17986000.0,0.2447813056508708,,58271100.0,0.0642232307986649,0.2744008114059801,5.787953095035996,4.926949347399743,0.0134269019460543,0.0136689271061414,0.9134975280851324,0.8724277757700729,58342360.0,3434000.0,246.5,[],{},-0.0405402542915071,6.360200825616423,6.027966585597969,0.1658934212391293,0.101419878296146,,0.0902302268556653,1.0,20,20,0.5277380952380953,10.0,22.0,0.6330227272727273,0.6330227272727273,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,dividend,garp,risk",0.6251816666666666,True,0.83335,0.5861,buy,3,3,stable,0.3898,building,2026-09-13,neutral,0.5,32.60687947008374
DFS.L,DFS Furniture plc,Consumer Cyclical,310228544.0,8.933333,8.676509,1.1120331,0.75,0.269,150.969,0.1342,0.024603497356649,0.0327,0.086,0.882,102912496.0,709891648.0,96100000.0,73000000.0,1030300000.0,420600000.0,20500000.0,1.205,983600000.0,88700000.0,,331000000.0,24200000.0,181200000.0,0.564592837037756,,230688346.0,-0.0042044911610129,0.5579981764765475,0.2679758308157099,0.3491104397448808,0.4799715331435543,0.5654085045389393,1.0474786498576658,0.9432393693263258,230688346.0,37200000.0,134.0,[],{},0.3317312284455682,7.387009864724246,9.72454312328767,0.102832594531384,0.1119403026843396,,0.1118602513024823,1.0,20,20,0.5989285714285715,10.0,22.0,0.610131818181818,0.610131818181818,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6216533333333334,True,0.6,0.5589,buy,3,13,stable,0.5789,persistent,2026-07-25,neutral,0.5,33.63181474366388
FOXT.L,Foxtons Group plc,Real Estate,104998816.0,11.833333,7.6409817,0.7230143,3.21,1.125,46.833,0.05821,0.047154608825246,0.04908,-0.028,-0.585,20417750.0,171117856.0,19290000.0,19362000.0,172533000.0,67990000.0,1853000.0,0.491,272423000.0,44275000.0,,41881000.0,12846000.0,27684000.0,0.6399761205102792,,294694333.0,0.0522154849006928,0.6396932781054981,1.0571619588835033,0.8924213029601352,0.2290739034516175,0.2266275852296034,0.6333275824728455,0.6113075127350294,303848140.0,3079000.0,35.5,[],{},0.1944569546384218,8.87080642820114,8.837819233550253,0.1131500852839109,0.0845070446340012,,0.0839846969315786,1.0,20,20,0.5670238095238096,10.0,22.0,0.6337045454545455,0.6337045454545455,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6348433333333333,True,0.9,0.5563,buy,3,1,improving,0.351,new,2026-09-15,neutral,0.5,37.334383594140775
TPT.L,Topps Tiles Plc,Consumer Cyclical,65201884.0,11.1,9.255141,17.526316,9.39,1.01,3158.989,1.27372,0.0318692021522888,0.017380001,-0.002,-0.717,16300905.0,167552960.0,19138000.0,12611000.0,295754000.0,118083000.0,15928000.0,0.019,187893000.0,79289000.0,,81380000.0,5988000.0,23674000.0,0.5218052841212629,,196612174.0,-0.0780321037474329,0.5335404121450928,0.9743057262226592,1.048763056624519,0.5896547503100169,0.6044808736625933,1.5740554464509056,1.5073314134150797,196665093.0,7295000.0,33.3,[],{},0.2500066562493808,8.75498798202529,13.286254856870986,0.0752657547798618,0.0900900900900901,,0.118398693117272,1.0,20,20,0.5761904761904763,9.0,22.0,0.5206772727272728,0.5206772727272728,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5755583333333333,True,0.5,0.5487,buy,3,7,stable,0.5624,persistent,2026-08-02,neutral,0.625,41.50263484494037
APTD.L,Aptitude Software Group plc,Technology,114533880.0,30.57143,12.452721,2.1948717,2.47,1.015,15.379,0.07177,0.0378252368777259,0.061950002,-0.076,-0.097,9513250.0,95415280.0,8637000.0,6585000.0,64954000.0,8337000.0,29661000.0,0.975,106384000.0,43456000.0,,42819000.0,4024000.0,10080000.0,0.5569479939649599,,54579006.0,0.04338621572881,0.4784278453543487,1.014876573483734,0.9404208854476872,0.0783670476763423,0.0881925023740449,0.6105617386073093,0.6102297378531664,56217740.0,312000.0,214.0,[],{},0.0830605756130849,11.047271043186292,14.489791951404708,0.0690141034014677,0.032710278845314,,0.1035947455360654,1.0,20,20,0.575,4.0,22.0,0.4403636363636364,0.4403636363636364,0.1818181818181818,0.0,1.0,0.1818181818181818,22.0,4,5,"cheapness,quality,garp,risk",0.5171300000000001,True,0.9,0.525,buy,3,13,stable,0.44,persistent,2026-07-25,neutral,0.5,50.34862531649662
