ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
CARD.L,Card Factory plc,Consumer Cyclical,235736560.0,7.9222226,5.105987,0.6956098,7.01,0.894,58.815,0.08896,0.047208352246935995,0.053540003,0.086,-0.315,70875000.0,436311008.0,87400000.0,59400000.0,582700000.0,208500000.0,18800000.0,1.025,660900000.0,104100000.0,,116400000.0,31200000.0,110300000.0,0.323837309078428,,345829088.0,0.07764782326185835,0.35723502304147464,0.8943298969072165,0.9463087248322147,0.31547889241942806,0.299545159194282,0.8816765017400514,0.8812540610786225,348004716.0,15200000.0,71.3,[],{},0.3006534073458949,4.992116796338673,7.345303164983165,0.13614141956280873,0.1262272029569076,,0.10909090909090909,1.0,20,20,0.7890384615384616,12.0,22.0,0.6941681818181819,0.6941681818181819,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.6790983333333334,True,0.9,0.8307,strong_buy,4,18,stable,0.6479,persistent,2026-07-26
ULTP.L,Ultimate Products Plc,Consumer Cyclical,39212740.0,11.75,8.597036,0.8468468,6.49,1.248,34.635,0.08151,0.09056029180251714,0.02688,-0.063,-0.524,16196500.0,52035252.0,8577000.0,15694000.0,155497000.0,16077000.0,3351000.0,0.555,116243000.0,71688000.0,,56147000.0,10527000.0,15370000.0,0.2601593599876525,,86152136.0,0.11470389880247162,0.2570243213179809,1.2767912800327712,1.3243232106802918,0.16687456448990476,0.2276488708236881,1.3376891511746944,1.5157300913183749,89312457.0,1380000.0,47.0,[],{},0.4130417818290688,6.066835956628192,3.3156143749203517,0.3016032285190048,0.0851063829787234,,0.2611488285410011,1.0,20,20,0.7180128205128206,13.0,22.0,0.7324409090909092,0.7324409090909092,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,4,5,"cheapness,dividend,garp,risk",0.7170266666666667,True,1.0,0.7588,strong_buy,4,15,stable,0.5907,persistent,2026-09-09
MER.L,Mears Group plc,Consumer Cyclical,326663904.0,6.6935487,10.003615,1.6319308,4.36,0.859,142.564,0.26136,0.0624532161609283,0.04656,0.001,0.301,55989000.0,587413504.0,87523000.0,75028000.0,1135461000.0,307644000.0,70469000.0,2.543,740106000.0,222899000.0,,280869000.0,46222000.0,112651000.0,0.23412428960571963,,82407805.0,0.06633825007663846,0.22362098347917458,0.7936048478116132,0.8390700706781846,0.43064236744466333,0.42418781056398774,1.5341869948358748,1.614768765728707,86304012.0,16078000.0,415.0,[],{},0.17139634748257954,6.71153301417913,7.829257130671216,0.12772603879396005,0.14939758337755876,,0.16337533778854926,1.0,20,20,0.6724358974358975,11.0,22.0,0.6527090909090908,0.6527090909090908,0.5,0.0,1.0,0.5,22.0,4,5,"cheapness,dividend,garp,risk",0.7032716666666666,True,0.8,0.6549,buy,3,23,stable,0.5309,persistent,2026-07-25
CAPD.L,Capital Limited,Basic Materials,270841888.0,4.4444447,8.463561,0.9110051,1.63,2.412,31.252,0.21945,0.10993285526791319,0.19056,0.376,0.297,34517752.0,243174912.0,101093000.0,50870000.0,345775000.0,127765000.0,166887008.0,1.3172264,630876000.0,336700000.0,,136229000.0,69354000.0,73586000.0,0.4318530836526643,,225303781.0,0.031189547581903277,0.41220114942528735,2.4715736003347306,1.9824660735148738,0.207497194377342,0.290503120124805,0.5480871042803974,0.6786271450858035,196257124.0,14267000.0,120.0,[],{},0.12744613565830704,2.4054574698544906,4.780320660507175,0.20919098759661522,0.22499998706250074,,0.10284101591640099,1.0,20,20,0.6833333333333333,17.0,22.0,0.8223045454545453,0.8223045454545453,0.7727272727272727,0.0,1.0,0.7727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.807755,True,0.83335,0.6417,buy,3,15,stable,0.6625,persistent,2026-09-09
FOXT.L,Foxtons Group plc,Real Estate,107956528.0,12.166667,7.8562207,0.7433809,3.19,1.125,46.833,0.05821,0.04715460882524603,0.04908,-0.028,-0.585,20417750.0,174075072.0,19290000.0,19362000.0,172533000.0,67990000.0,1853000.0,0.491,272423000.0,44275000.0,,41881000.0,12846000.0,27684000.0,0.6399761205102792,,294694333.0,0.052215484900692874,0.6396932781054981,1.0571619588835033,0.8924213029601352,0.22907390345161752,0.22662758522960344,0.6333275824728455,0.6113075127350294,303848140.0,3079000.0,36.5,[],{},0.18912936881408413,9.024109486780715,8.990552215680198,0.11122787299493404,0.08219177857008826,,0.08398469693157863,1.0,20,20,0.5946428571428571,9.0,22.0,0.610059090909091,0.610059090909091,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6253483333333334,True,0.9,0.5821,buy,3,2,stable,0.4413,building,2026-09-24
TPT.L,Topps Tiles Plc,Consumer Cyclical,68530512.0,11.666667,9.727627,18.421053,9.06,1.01,3158.989,1.27372,0.031869202152288806,0.017380001,-0.002,-0.717,16300905.0,170891600.0,19138000.0,12611000.0,295754000.0,118083000.0,15928000.0,0.019,187893000.0,79289000.0,,81380000.0,5988000.0,23674000.0,0.5218052841212629,,196612174.0,-0.07803210374743295,0.5335404121450928,0.9743057262226591,1.048763056624519,0.5896547503100169,0.6044808736625933,1.5740554464509056,1.5073314134150795,196665093.0,7295000.0,35.0,[],{},0.23786346437919506,8.929438812833107,13.550995162952978,0.07379531820171384,0.0857142832653062,,0.11839869311727207,1.0,20,20,0.6064102564102565,9.0,22.0,0.5213227272727273,0.5213227272727273,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.573445,True,0.5,0.5789,buy,3,17,stable,0.5927,persistent,2026-08-02
DFS.L,DFS Furniture plc,Consumer Cyclical,335695072.0,9.666667,9.518808,1.2033194,0.72,0.269,150.969,0.1342,0.024603497356649046,0.0327,0.086,0.882,102912496.0,735322368.0,96100000.0,73000000.0,1030300000.0,420600000.0,20500000.0,1.205,983600000.0,88700000.0,,331000000.0,24200000.0,181200000.0,0.564592837037756,,230688346.0,-0.0042044911610129,0.5579981764765475,0.26797583081570997,0.3491104397448808,0.4799715331435543,0.5654085045389393,1.0474786498576658,0.9432393693263258,230688346.0,37200000.0,145.0,[],{},0.306565405881204,7.651637544224766,10.072909150684932,0.09927618576129048,0.10344827229488716,,0.11186025130248238,1.0,20,20,0.6014743589743591,10.0,22.0,0.5777999999999999,0.5777999999999999,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6056649999999999,True,0.6,0.5648,buy,3,23,stable,0.5831,persistent,2026-07-25
REC.L,Record plc,Financial Services,82210064.0,10.525,8.612929,3.028777,8.41,4.336,23.767,0.24706,0.18860999581249846,0.19097,0.019,-0.187,8337625.0,76398064.0,10368000.0,9528000.0,40096000.0,6609000.0,13027000.0,0.139,40597000.0,26499000.0,,6112000.0,7657000.0,9204000.0,0.9953611332801277,,195273312.0,0.22922169811320756,0.9886579358404421,4.335569371727749,4.391729443821125,0.16279528043944133,0.16757075471698113,0.9876591866394069,0.9814858490566037,193158618.0,397000.0,42.1,[],{},0.10141854408482154,7.368640432098766,8.018268681780016,0.12471520220721824,0.09501187648456057,,0.27629404088734233,1.0,20,20,0.5670075757575758,13.0,22.0,0.7276409090909091,0.7276409090909091,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7780166666666666,True,1.0,0.5498,buy,3,2,stable,0.4188,building,2026-09-24
APTD.L,Aptitude Software Group plc,Technology,129519616.0,22.0,14.082048,2.7468786,2.26,0.955,15.017,0.061279997,0.03782523687772597,0.05296,-0.122,-0.56,8726000.0,125093000.0,8963000.0,6585000.0,64954000.0,7573000.0,21080000.0,0.881,106384000.0,43456000.0,,42819000.0,4024000.0,10080000.0,0.5569479939649599,,54579006.0,0.04338621572881002,0.4784278453543487,1.014876573483734,0.9404208854476871,0.07836704767634231,0.08819250237404494,0.6105617386073093,0.6102297378531664,56217740.0,312000.0,242.0,[],{},0.06737203420986053,13.956599352895235,18.99665907365224,0.052640835218597366,0.045454545454545456,,0.10359474553606544,1.0,20,20,0.575,5.0,22.0,0.4611863636363637,0.4611863636363637,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5540066666666666,True,0.9,0.525,buy,3,23,stable,0.55,persistent,2026-07-25
MMIT.L,Mobius Investment Trust Ord,Investment Trust,119557088.0,3.137931,,0.94105476,,,,,0.06212461651471287,,,,,,,,13483000.0,,,1.934,185144000.0,,,,11502000.0,-2082000.0,,,115420336.0,0.04827750761259828,,,,,,0.07282439614570281,0.057702358769258735,115420336.0,,182.0,[],{},,,,,0.31868132218331124,,,0.5,10,20,0.8632478632478633,1.0,22.0,0.36365909090909093,0.36365909090909093,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.25203833333333336,False,0.36665000000000003,0.8632,hold,2,16,stable,0.0863,persistent,2026-08-16
