ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
0005.HK,graham_defensive,Graham Defensive,False,0.25,['Dividend payer: yield=363.00%'],"['P/E >= 15', 'valuation too rich on P/B or P/E×P/B', 'current ratio < 2']",
0005.HK,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=17.0', 'P/B < 3: P/B=2.02', 'ROE > 8%: ROE=11.6%', 'Positive earnings growth: growth=2.6%']",['excessive leverage'],
0005.HK,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
0005.HK,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
0005.HK,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
0005.HK,earnings_yield,Earnings Yield,False,0.49,['E/P=5.9% (P/E=17.0)'],['earnings yield 5.9% below 8%'],
0005.HK,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%'],
0005.HK,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=363.0%'],['P/E not below 12.0'],
0005.HK,lynch_peg,Lynch PEG,False,0.0,"['PEG=6.54', 'growth=2.6%']","['growth 2.6% below 5% floor', 'PEG 6.54 >= 1.0']",
0005.HK,neff_pegy,Neff PEGY,True,0.9535,"['PEGY=0.05', 'growth=2.6%', 'yield=363.0%']",[],
0005.HK,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=35.0%', 'P/E < 20: P/E=17.0']","['ROE below 12%', 'high leverage', 'FCF yield below 3%']",
0005.HK,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=35.0%', 'P/E < 25.0: P/E=17.0']","['ROE too low', 'too much debt']",
0005.HK,economic_moat,Economic Moat,False,0.25,['wide margin=35.0%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
0005.HK,high_dividend,High Dividend Yield,False,0.4026,"['yield=363.0%', 'universe rank 40%']",['not in top quartile for yield'],
0005.HK,dividend_growth,Dividend Growth,True,0.6667,"['dividend payer: yield=363.0%', 'reasonable P/E: P/E=17.0']",['earnings not growing'],
0005.HK,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
0005.HK,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
0005.HK,dreman_contrarian,Dreman Contrarian,False,0.3703,[],"['P/E not in bottom quartile', 'P/B not cheap vs universe', 'dividend yield below median']",
0005.HK,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'no share dilution']","['F-Score 5/9 below 7', 'ROA improving', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
0005.HK,composite_value,Composite Value,False,0.2615,[],"['missing fcf_yield', 'missing ev_ebitda']",
