ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
0005.HK,HSBC Holdings plc,Financial Services,2705987469312.0,16.62803,11.184729,1.9782007,3.74,,,0.11611,0.006892906168014318,0.34977,0.033,0.026,,2319562309632.0,,,71020000000.0,773452988416.0,1162820976640.0,79.76946,3233034000000.0,,,,22285000000.0,,,,17139885525.0,0.007947835102391478,,,,0.07922558191469685,0.08032586819964416,0.021966982097930302,0.022338391699436005,17935716398.0,63078000000.0,157.8,[],{},,,,,0.06013941519229879,,,0.65,13,20,0.2785714285714286
0388.HK,Hong Kong Exchanges and Clearing Limited,Financial Services,502325968896.0,26.67114,25.307024,9.117816,3.34,1.048,2.186,0.34995997,0.030569497653996816,0.62568,0.19,0.27,,196068392960.0,23057750016.0,16120000000.0,23745000000.0,1219000064.0,308608991232.0,43.585,580775000000.0,547221000000.0,,518875000000.0,17754000000.0,,0.8079174563065908,,1264031072.0,0.03419551449182321,0.7460509627579845,1.0546297277764394,1.0895185270780372,0.001465283457449098,0.003390727643863543,0.04088502432095045,0.04545252064177513,1263841108.0,4672000000.0,397.4,[],{},,8.503361898881991,12.163051672456575,0.08221620913315003,0.03749371043007535,,0.2604200323101777,0.9,18,20,0.25
0939.HK,China Construction Bank Corporation,Financial Services,2262843260928.0,5.7666664,5.4100604,0.5510801,5.29,,,0.09548,0.007426966858957932,0.55632,0.05,0.0,,3063088414720.0,,,760713000000.0,6010644201472.0,5293374177280.0,15.696447,45631818000000.0,,,,338906000000.0,,,,261600381459.0,0.008271321080899138,,,,0.06779219271956248,0.07065306432410874,0.016670670451920194,0.01839696479880321,250010977486.0,580488000000.0,8.65,[],{},,,,,0.17341041264325607,,,0.65,13,20,0.7357142857142858
1299.HK,AIA Group Limited,Financial Services,780616269824.0,16.396105,11.196566,2.3379471,2.56,1.961,47.195,0.14847,0.018047437489686558,0.2378,0.06,0.094,5073375232.0,804906205184.0,9973000192.0,8134000000.0,39604000000.0,20580999168.0,8771999744.0,32.40022,345423000000.0,,,,6234000000.0,,,,10465520736.0,0.022379801868693813,,,,0.04247256262611349,0.04475305610664781,0.11465362758125544,0.102323099386487,10754460978.0,663000000.0,75.75,[],{},0.006499192276819772,80.70853200521026,98.95576655815097,0.010105525274389683,0.06099009490363718,,,0.9,18,20,0.21000000000000002
1398.HK,Industrial and Commercial Bank of China Limited,Financial Services,2534048530432.0,6.0769234,5.6662884,0.5552573,5.07,,,0.08889,0.006891872629026643,0.55146,0.034,0.043,,3905669562368.0,,,833496000000.0,5242882097152.0,4014556053504.0,12.804874,53477773000000.0,,,,368562000000.0,,,,356406257089.0,0.007493853251376958,,,,0.0514486270772719,0.053237547055363404,0.015585839746916911,0.016740163287072937,356406257089.0,696705000000.0,7.11,[],{},,,,,0.16455695327671893,,,0.65,13,20,0.6357142857142859
2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",Financial Services,1008595697664.0,6.6626797,5.0865393,0.85565585,5.59,3.675,140.542,0.11279,0.009697325698632605,0.13935,-0.033,-0.132,527688990720.0,-154197344256.0,225322254336.0,207199000000.0,927890000000.0,2015781978112.0,3594554966016.0,65.09627,13898471000000.0,,,,134778000000.0,,,,18107641995.0,0.009770696892310724,,,,0.1035016010034485,0.1077017774662372,0.06676202008120173,0.07073832672715881,18210234607.0,21609000000.0,55.7,[],{},0.5231917922535025,-0.6843413878953176,-0.7441992686065088,-1.343726125762621,0.15008976043077682,,,0.9,18,20,0.6333333333333333
2388.HK,BOC Hong Kong (Holdings) Limited,Financial Services,497977950208.0,12.427441,11.256363,1.3889707,7.62,,,0.116730005,0.00893601487279303,0.58376,-0.027,-0.012,,-36284051456.0,,,88921000000.0,150518005760.0,689727012864.0,33.91,4489809000000.0,,,,40121000000.0,,,,10572780266.0,0.009115231517773187,,,,0.019734024320410957,0.018758308681463512,0.019805074113397696,0.01712828127354325,10572780266.0,67444000000.0,47.1,[],{},,,,,0.08046708892039801,,,0.65,13,20,0.5000000000000001
2628.HK,China Life Insurance Company Limited,Financial Services,771061121024.0,4.6159053,5.20373,1.1134325,3.67,6.329,45.078,0.25482,0.020297446819946347,0.42323002,-0.152,-0.324,73387622400.0,-1115573846016.0,180360249344.0,,605114000000.0,275873005568.0,2176234946560.0,24.50081,7591004000000.0,,,,154078000000.0,,,,28264705000.0,0.015796480295724412,,,,0.00484652623025887,0.0072781837954864325,0.07971462009504936,0.07566268107196554,28264705000.0,,27.28,[],{},0.09517743846627658,-6.1852534029728075,,,0.21664222617392087,,,0.85,17,20,0.6266666666666667
3968.HK,"China Merchants Bank Co., Ltd.",Financial Services,1229719601152.0,7.3990893,6.7310524,0.9381573,9.48,,,0.11921,0.01149005284639337,0.50449,0.017,0.007,,128282673152.0,,,332059000000.0,691305971712.0,1800973058048.0,51.974224,13070523000000.0,,,,150181000000.0,,,,25219845601.0,0.012211204772599423,,,,0.031019493252106286,0.03876510899078969,0.02540518080263506,0.027555547070466216,25219845601.0,135758000000.0,48.76,[],{},,,,,0.1351517679344673,,,0.65,13,20,0.6285714285714287
3988.HK,Bank of China Limited,Financial Services,1694837243904.0,6.1882353,5.79112,0.53566664,5.03,,,0.083739996,0.006335588886157898,0.43263,0.059,0.0,,7076770217984.0,,,657178000000.0,8159159123968.0,3021568999424.0,9.81954,38358076000000.0,,,,243021000000.0,,,,322212411814.0,0.0067835763871726485,,,,0.0725376319709049,0.0719301073243179,0.01713271541565328,0.017951844853209803,294387791241.0,560202000000.0,5.26,[],{},,,,,0.16159695802129567,,,0.65,13,20,0.6214285714285714
