ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",Industrials,31266037760.0,31.386665,24.204859,6.1856213,1.97,1.463,257.434,0.24611999,0.021030240115046926,0.01967,0.047,0.187,440224384.0,34165348352.0,2202269952.0,1448339000.0,49847681000.0,13626000384.0,10474999808.0,19.028,45189213000.0,29400152000.0,,25318852000.0,950340000.0,,0.3130839526918012,,259741322.0,0.019692431808072102,0.32062528583012756,1.1611960921450941,1.1658413825268235,0.3393236346027978,0.3380037521223534,1.1030880533369767,0.9906684266865836,254798572.0,756500000.0,117.7,[],{},0.01407995433828837,15.513696820397794,23.589331193871047,0.04239204544551983,0.03186066439362067,,0.07288941554710555,0.95,19,20,0.3895238095238096
ACX.MC,"Acerinox, S.A.",Basic Materials,4074025472.0,,10.747525,1.9073187,3.79,1.805,100.14,-0.025559999,-0.007129935123532878,-0.00802,-0.108,-0.5,170980256.0,5401688576.0,333735008.0,158780000.0,5780513000.0,2139000064.0,845000000.0,8.567,5620528000.0,3237645000.0,,1714066000.0,-40074000.0,,0.35665467753467556,,249328371.0,0.03478268668135725,0.34358784791344305,1.8888683399589048,2.159177160393518,0.384036695484837,0.36848361952955405,1.0284644076143736,0.8370148177343985,249228581.0,93427000.0,16.34,[],{},0.041968381684187955,16.185561737652648,34.019955762690515,0.02939451206155577,,,0.04064547408883025,0.9,18,20,0.4630690100381571
AMS.MC,"Amadeus IT Group, S.A.",Technology,21408628736.0,16.37377,12.873855,4.3907156,3.08,0.765,69.85,0.25956,0.11644247617885257,0.20364,0.031,0.051,1081912448.0,23770779648.0,2471699968.0,1758400000.0,6517000000.0,3355599872.0,677200000.0,11.374,11470900000.0,2479600000.0,,3032700000.0,1335700000.0,,0.4400184133803898,,430915045.0,0.10632791086445526,0.4322907338359086,0.8176212615820886,0.8543807641633728,0.28102415677932857,0.2864574051916533,0.5681332763776165,0.521176480571608,436511364.0,81500000.0,49.94,[],{},0.05053627961611076,9.617178442266338,13.518414267515924,0.07397317319997733,0.06107328977993461,,0.2083856746699533,0.95,19,20,0.5335097596413585
ANA.MC,Acciona,Industrials,13342839808.0,16.60787,26.49927,2.8352695,2.35,1.188,214.845,0.17834,0.022398884239888422,0.03737,-0.017,-0.095,-849000000.0,22615840768.0,1900000000.0,1812000000.0,20236000000.0,13502999552.0,5808999936.0,86.341,35850000000.0,15731000000.0,,13239000000.0,803000000.0,,0.6775054358568887,,54505065.0,0.0121894858463316,0.6321521625846795,1.1882317395573683,0.9997191405701447,0.38,0.3652801848642403,0.564463040446304,0.5543038705950317,54426138.0,682000000.0,244.8,[],{},-0.06362963298794631,11.903074088421052,12.481148326710818,0.08012083294130133,0.06021241736598373,,0.08013798593604883,0.95,19,20,0.5476190476190477
ANE.MC,"Corporación Acciona Energías Renovables, S.A.",Utilities,6921058304.0,10.67,31.661253,1.1870064,0.14,1.268,82.824,0.11143,0.04450332925669249,0.15956001,-0.183,-0.325,-875249984.0,11930247168.0,1480999936.0,987000000.0,2925000000.0,5120999936.0,465000000.0,17.978,14718000000.0,2263000000.0,,1785000000.0,655000000.0,,0.42735042735042733,,324613262.0,0.02197734548140852,0.38910761154855644,1.2677871148459383,0.8704180064308682,0.3508628889794809,0.3350160059098744,0.1987362413371382,0.18763851268160553,324139249.0,159000000.0,21.34,[],{},-0.12646187122772143,8.055535235350611,12.087383148936171,0.08273089283911808,0.09372071227741331,,0.0763163999072141,0.95,19,20,0.5785714285714286
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,122192003072.0,12.126373,9.878477,2.298719,4.17,,,0.19042999,0.01222812177166417,0.33124,0.119,0.133,,141756514304.0,,,39415000000.0,168716992512.0,160842006528.0,9.601,859576000000.0,,,,10511000000.0,,,,5691360192.0,0.013016538020357274,,,,0.10389075544221803,0.09830373303020966,0.04585400243841149,0.05079608804741573,5756618609.0,32065000000.0,22.07,[],{},,,,,0.08246488871816825,,,0.65,13,20,0.6020408163265307
BKT.MC,"Bankinter, S.A.",Financial Services,13884857344.0,12.983192,10.966313,2.2268665,4.97,,,0.17694001,0.008319227733966794,0.40157002,0.061,0.069,,6431781888.0,,,3128426000.0,10182617088.0,18238898176.0,6.938,131018892000.0,,,,1089976000.0,,,,898696272.0,0.007813042197458998,,,,0.09113835278045246,0.07957965012952213,0.023877671015566215,0.02527133664305403,898677068.0,1628270000.0,15.45,[],{},,,,,0.07702266129931684,,,0.65,13,20,0.5816326530612245
CABK.MC,"CaixaBank, S.A.",Financial Services,86739943424.0,15.395062,11.737907,2.3501697,4.01,,,0.1602,0.008871453526895971,0.38772,0.027,0.086,,93544562688.0,,,16762000000.0,54319001600.0,47705001984.0,5.306,664040000000.0,,,,5891000000.0,,,,7008110581.0,0.009171113291062008,,,,0.07452563098608518,0.08624206224059157,0.025242455273778688,0.026863580680282027,7117815242.0,7350000000.0,12.47,[],{},,,,,0.06495589299997623,,,0.65,13,20,0.18367346938775514
CLNX.MC,"Cellnex Telecom, S.A.",Real Estate,16442732544.0,,-154.93752,1.3955191,3.04,0.91,175.475,-0.02388,-0.008576925627093305,-0.08424,-0.084,,,38262480896.0,2561042944.0,541917000.0,4120257000.0,23182000128.0,2864999936.0,17.764,42063557000.0,2501032000.0,,4902252000.0,-360776000.0,,,,673839490.0,-0.0006421803951437211,,0.510180219213537,0.6302372214679283,0.5203904177670947,0.4909681745948416,0.09795312840518931,0.09320706968640835,705571553.0,766974000.0,24.79,[],{},,14.940194964571434,70.60579552957371,0.014163143301475063,,,0.014582830177788428,0.85,17,20,0.3939393939393939
COL.MC,Inmobiliaria Colonial,Real Estate,3412929280.0,9.964286,15.094953,0.58866966,5.73,0.7758899352744861,74.802,,0.027713938224410414,0.79959,0.07,0.039,,9410190336.0,329284736.0,318231000.0,408400000.0,5124952064.0,150391008.0,9.479,12428728000.0,717685000.0,,924983000.0,344449000.0,,1.0,,619584520.0,0.025121149818796255,0.816198657675374,0.7758899352744861,0.47918899898313216,0.41250415971771204,0.40857983760391653,0.03285935616259363,0.041058465891641256,617968565.0,105011000.0,5.58,[],{},,28.577669436824426,29.57031318759015,0.03381770066675089,0.10035842006140731,,0.027663252271325555,0.85,17,20,0.880952380952381
