ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
REP.MC,"Repsol, S.A.",Energy,28133634048.0,8.383117,7.352983,1.2696071,4.27,1.564,44.306,0.13338,0.0319546341791748,0.064330004,0.355,4.945,301375008.0,35322052608.0,7596000256.0,2580000000.0,54861000000.0,12785000448.0,8197000192.0,20.337,59428000000.0,21373000000.0,,13880000000.0,1899000000.0,5365000000.0,0.18900493975684002,,1105099370.0,0.027790966353306114,0.1909246875109415,1.5398414985590778,1.3558630364088504,0.22275694958605372,0.19284335137530464,0.9231507033721478,0.9040293735954167,1157208033.0,472000000.0,25.82,[],{},0.010712267298487326,4.650085757974993,13.690718065116279,0.07304218779787623,0.11928737246539682,,0.05664354087995082,1.0,20,20,0.7100234890194324,11.0,22.0,0.6971772727272726,0.6971772727272726,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7812166666666667,True,0.83335,0.7463,strong_buy,4,9,stable,0.7282,persistent
GRF.MC,"Grifols, S.A.",Healthcare,6571674624.0,15.829508,8.639401,1.20399,0.85,2.474,123.219,0.061329998,0.020393668831168832,0.05579,-0.048,,887539392.0,17927634944.0,1676231040.0,1251000000.0,7524000000.0,9669000192.0,702000000.0,8.02,19712000000.0,5074000000.0,,2019000000.0,402000000.0,1047000000.0,0.3799840510366826,,680575312.0,0.007334734875029199,0.3874098724348308,2.5131253095591877,2.6567717996289426,0.48528814935064934,0.47245970567624385,0.38169642857142855,0.33693062368605464,680409104.0,576000000.0,9.656,[],{},0.1350552854151776,10.695205205124944,14.330643440447641,0.06978053736076789,0.0631731573716631,,0.07070592889843441,1.0,20,20,0.6027845244680944,4.0,22.0,0.41604090909090913,0.41604090909090913,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,dividend,risk",0.38022999999999996,True,0.7,0.6221,buy,3,1,improving,0.2297,new
PUIG.MC,Puig Brands SA,Consumer Defensive,15775450112.0,15.704762,13.972681,2.3822594,2.56,1.124,44.941,0.16568,0.06945751176878133,0.11775,0.047,-0.154,947189760.0,10022544384.0,963990016.0,834462000.0,5042026000.0,1758008960.0,1036862016.0,6.922,8547614000.0,2532830000.0,,2253579000.0,593696000.0,859048000.0,0.751065940556435,,563300359.0,0.06168042123860889,0.7491159821778833,1.1239144489720574,1.3605414487802985,0.1582331630791938,0.20127452575785754,0.589875256416586,0.5567438859959085,563300359.0,61690000.0,16.49,[],{},0.06004201168748243,10.396937953349093,12.010785852441453,0.0832584988430818,0.06367495413174679,,0.13257981565085036,1.0,20,20,0.5956432917994785,10.0,22.0,0.599190909090909,0.599190909090909,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.668075,True,1.0,0.5887,buy,3,1,improving,0.3701,new
AENA.MC,"Aena S.M.E., S.A.",Industrials,40049999872.0,18.541666,16.493088,4.1660166,4.08,2.07,83.467,0.24395001,0.11744754006835417,0.33511,0.118,0.1,1409866624.0,44512399360.0,3691191040.0,2965700000.0,6294312000.0,7968994816.0,3387411968.0,6.409,18192599000.0,3334741000.0,,1772206000.0,2136676000.0,2787451000.0,0.7035641067681424,,1500000000.0,0.11204208679997012,0.6817134159750277,1.88168926185782,1.254593993425484,0.4002326440548709,0.40615835726164706,0.3459820116960749,0.33506366369949786,1500000000.0,254126000.0,26.7,[],{},0.03520266238466768,12.059088483266367,15.009070155443908,0.06662637922558394,0.05393258620881209,,0.18061078075293327,1.0,20,20,0.5857142857142857,8.0,22.0,0.5725772727272728,0.5725772727272728,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6843783333333333,True,0.9,0.5857,buy,3,1,improving,0.3661,new
TEF.MC,"Telefónica, S.A.",Communication Services,20285229056.0,,9.180679,1.3940333,4.17,0.841,230.558,-0.08895001,-0.04692611147940055,-0.09538999,-0.124,,3536624896.0,59769348096.0,7049999872.0,2034000000.0,35120000000.0,42069999616.0,6269000192.0,2.581,92017000000.0,22005000000.0,,24837000000.0,-4318000000.0,,0.6774772209567198,,5637918350.0,-0.0004875524865176812,0.686496033192229,0.8859765672182631,0.8692391388824123,0.43093124096634317,0.4479612346022965,0.38166860471434627,0.3549282601341267,5643286803.0,2447000000.0,3.598,[],{},0.17434483417646846,8.477921869670071,29.385126890855457,0.034030821228517354,,,0.03027686811551057,0.9,18,20,0.6948414308252037,2.0,22.0,0.31290909090909086,0.31290909090909086,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.23458,False,0.1,0.7909,hold,2,9,stable,0.1337,persistent
IAG.MC,International Consolidated Airlines Group S.A.,Industrials,22409797632.0,7.058333,6.3425894,3.0577617,1.93,0.7012076773776148,187.872,,0.07799481901561296,0.10396,0.019,0.784,,29182334976.0,6536000000.0,5015000000.0,33213000000.0,14266999808.0,8289999872.0,1.662,42849000000.0,13006000000.0,,18548000000.0,3342000000.0,6588000000.0,0.2518592117544335,,4565025872.0,0.06236873344900009,0.23610591900311526,0.7012076773776148,0.784360311967357,0.3329599290531868,0.3959684047118985,0.7751172722817335,0.7328097890603598,4853639082.0,818000000.0,5.082,[],{},,4.464861532435741,5.819009965304088,0.17185053917462098,0.1416765120036133,,0.20637010822599894,0.9,18,20,0.7448979591836735,9.0,22.0,0.6329363636363636,0.6329363636363636,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,garp",0.6547566666666667,False,0.63335,0.7143,hold,2,9,stable,0.5253,persistent
NTGY.MC,"Naturgy Energy Group, S.A.",Utilities,27828865024.0,13.843318,14.742545,2.9789767,7.99,1.371,140.886,0.22853,0.05173780721720672,0.10673001,0.115,,,41830862848.0,5046000128.0,3803000000.0,19455000000.0,16533000192.0,4686000128.0,10.084,39101000000.0,9422000000.0,,8018000000.0,2023000000.0,4525000000.0,0.37383705988177846,,926393571.0,0.04655206190616123,0.37930139616961644,1.1751060114741831,1.305747964515737,0.42830106646888827,0.44024880007836226,0.4975576072223217,0.4718140856107356,960734206.0,724000000.0,30.04,[],{},,8.28990522926915,10.999438035235341,0.09091373548326956,0.07223701716597133,,0.12234983753176978,0.95,19,20,0.6919642857142857,7.0,22.0,0.5338909090909091,0.5338909090909091,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,3,5,"cheapness,quality,dividend",0.5336866666666666,False,0.73335,0.7083,hold,2,9,stable,0.3991,persistent
COL.MC,"Colonial SFL, Socimi S. A.",Real Estate,3509242368.0,10.575472,15.162582,0.5913071,5.71,0.547,75.24,0.054190002,0.027713938224410414,0.74598,-0.078,,117005504.0,9174617088.0,335826496.0,318231000.0,408400000.0,5127816192.0,389206016.0,9.479,12428728000.0,717685000.0,,924983000.0,344449000.0,287763000.0,1.0,,619584520.0,0.025121149818796255,0.816198657675374,0.7758899352744861,0.47918899898313216,0.41250415971771204,0.40857983760391653,0.03285935616259363,0.041058465891641256,617968565.0,93607000.0,5.605,[],{},0.03334209830217119,27.319515277317485,28.830054545283144,0.03468602525289391,0.09455842727397888,,0.027663252271325555,1.0,20,20,0.65,6.0,22.0,0.526159090909091,0.526159090909091,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,2,5,"cheapness,dividend",0.5014649999999999,False,0.63335,0.6833,hold,2,9,stable,0.2667,persistent
UNI.MC,"Unicaja Banco, S.A.",Financial Services,8655661056.0,14.041666,12.411609,1.2321755,5.12,,,0.09184,0.006424577551839885,0.32044,0.021,,,5380462592.0,,,2097189000.0,4892000256.0,8188000256.0,2.735,98427639000.0,,,,632356000.0,-1420553000.0,,,2568410415.0,0.005888476083230732,,,,0.04179233639851912,0.044123710480441676,0.02130691156779652,0.021860223098282658,2569276701.0,838829000.0,3.37,[],{},,,,,0.07121662059188703,,,0.7,14,20,0.5714285714285715,3.0,22.0,0.3951272727272727,0.3951272727272727,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,2,5,"cheapness,dividend",0.3833183333333333,False,0.36665000000000003,0.6484,hold,2,9,stable,0.1708,persistent
LOG.MC,"Logista Integral, S.A.",Industrials,4625643520.0,17.326733,14.687122,8.007321,5.74,0.912,10.245,0.42494,0.02391,0.020130001,0.017,0.175,,2222114560.0,411412992.0,319622000.0,12985534000.0,67000000.0,2467000064.0,4.371,,,,,308235000.0,397308000.0,0.13528515654419757,,132026465.0,0.033691232710990025,0.13551576112915706,,0.899930785768936,,0.034209123389898295,,1.5378984602621306,131995912.0,8319000.0,35.0,[],{},,5.401177413473612,6.952320428506173,0.14383686860861036,0.0577142846259592,,,0.85,17,20,0.630952380952381,6.0,22.0,0.5698636363636363,0.5698636363636363,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,4,5,"cheapness,quality,dividend,garp",0.6320216666666666,False,0.63335,0.6339,hold,2,9,stable,0.43,persistent
