ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",Industrials,29273485312.0,28.950132,22.588573,5.9496202,2.11,1.25,256.777,0.2408,0.021030240115046926,0.01946,0.122,0.05,2974129664.0,30106417152.0,2322007040.0,1448339000.0,49847681000.0,16299728896.0,15832857600.0,18.539,45189213000.0,29400152000.0,,25318852000.0,950340000.0,3046761000.0,0.3130839526918012,,259741322.0,0.019692431808072102,0.32062528583012756,1.1611960921450941,1.1658413825268235,0.3393236346027978,0.3380037521223534,1.1030880533369767,0.9906684266865836,254798572.0,756500000.0,110.3,[],{},0.10159807184902657,12.965687284048888,20.786858015975543,0.04810731853902401,0.03454215683714326,,0.07288941554710555,1.0,20,20,0.46285714285714286
ACX.MC,"Acerinox, S.A.",Basic Materials,4330378752.0,79.0,11.163639,2.0471141,3.57,1.65,107.644,0.01548,-0.007129935123532878,0.00949,0.052,,89443376.0,5731883008.0,391358016.0,158780000.0,5780513000.0,2303356928.0,926382016.0,8.49,5620528000.0,3237645000.0,,1714066000.0,-40074000.0,455489000.0,0.35665467753467556,,249328371.0,0.03478268668135725,0.34358784791344305,1.8888683399589048,2.159177160393518,0.384036695484837,0.36848361952955405,1.0284644076143736,0.8370148177343985,249228581.0,93427000.0,17.38,[],{},0.020654862108468057,14.64613671794575,36.09952769870261,0.027701193443479297,0.012658227848101266,,0.04064547408883025,1.0,20,20,0.2990220050402606
AMS.MC,"Amadeus IT Group, S.A.",Technology,22866165760.0,17.60396,13.814322,4.897172,2.89,0.742,78.639,0.26466998,0.11644247617885257,0.19858,0.015,-0.025,2912250112.0,25045489664.0,2479699968.0,1758400000.0,6517000000.0,3607000064.0,976000000.0,10.892,11470900000.0,2479600000.0,,3032700000.0,1335700000.0,2200900000.0,0.4400184133803898,,430915045.0,0.10632791086445526,0.4322907338359086,0.8176212615820886,0.8543807641633728,0.28102415677932857,0.2864574051916533,0.5681332763776165,0.521176480571608,436511364.0,81500000.0,53.34,[],{},0.12736066652216904,10.100209697627418,14.24334034576888,0.07020825001187726,0.05680540060304613,,0.2083856746699533,1.0,20,20,0.5397685168111133
ANA.MC,"ACCIONA, S.A.",Industrials,13004908841.672516,36.096825,24.797365,2.763461,2.41,1.143,221.604,0.10446,0.022398884239888422,0.01644,0.04,-0.841,-1255750016.0,23497609216.0,1346000000.0,1812000000.0,20236000000.0,14289000448.0,5373000192.0,86.341,35850000000.0,15731000000.0,,13239000000.0,803000000.0,2148000000.0,0.6775054358568887,,54505065.0,0.0121894858463316,0.6321521625846795,1.1882317395573683,0.9997191405701447,0.38,0.3652801848642403,0.564463040446304,0.5543038705950317,54426138.0,682000000.0,238.6,[],{},-0.09655969382700436,17.457361973254088,12.967775505518764,0.07711422823246938,0.027703267531147126,,0.08013798593604883,1.0,20,20,0.3785714285714286
ANE.MC,"Corporación Acciona Energías Renovables, S.A.",Utilities,7037815296.0,43.4,31.619747,1.2070308,0.14,1.32,76.462,0.03311,0.04450332925669249,0.05451,-0.344,,-431750016.0,11940108288.0,976000000.0,987000000.0,2925000000.0,5008999936.0,465000000.0,17.978,14718000000.0,2263000000.0,,1785000000.0,655000000.0,383000000.0,0.42735042735042733,,324613262.0,0.02197734548140852,0.38910761154855644,1.2677871148459383,0.8704180064308682,0.3508628889794809,0.3350160059098744,0.1987362413371382,0.18763851268160553,324139249.0,159000000.0,21.7,[],{},-0.06134716497112231,12.23371750819672,12.097374151975684,0.08266256688743358,0.02304147465437788,,0.0763163999072141,1.0,20,20,0.2785714285714286
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,133711912960.0,12.804234,10.748152,2.371619,3.8,,,0.18924,0.01222812177166417,0.3259,0.17,0.112,,32095076352.0,,,39415000000.0,106154999808.0,218710999040.0,10.204,859576000000.0,,,,10511000000.0,14968000000.0,,,5691360192.0,0.013016538020357274,,,,0.10389075544221803,0.09830373303020966,0.04585400243841149,0.05079608804741573,5756618609.0,32065000000.0,24.2,[],{},,,,,0.07809916626016052,,,0.7,14,20,0.5
BKT.MC,"Bankinter, S.A.",Financial Services,14316231680.0,12.95122,11.028725,2.232969,4.82,,,0.17864001,0.008319227733966794,0.40768,0.094,0.138,,6643589632.0,,,3128426000.0,11955090432.0,19627560960.0,7.134,131018892000.0,,,,1089976000.0,-598882000.0,,,898696272.0,0.007813042197458998,,,,0.09113835278045246,0.07957965012952213,0.023877671015566215,0.02527133664305403,898677068.0,1628270000.0,15.93,[],{},,,,,0.07721280311816185,,,0.7,14,20,0.6020408163265306
CABK.MC,"CaixaBank, S.A.",Financial Services,87358226432.0,14.958333,11.714962,2.2602985,3.98,,,0.16159001,0.008871453526895971,0.39043,0.126,0.116,,132700127232.0,,,16762000000.0,56872001536.0,11621999616.0,5.559,664040000000.0,,,,5891000000.0,4410000000.0,,,7008110581.0,0.009171113291062008,,,,0.07452563098608518,0.08624206224059157,0.025242455273778688,0.026863580680282027,7117815242.0,7350000000.0,12.565,[],{},,,,,0.06685236917776867,,,0.7,14,20,0.3061224489795918
CLNX.MC,"Cellnex Telecom, S.A.",Real Estate,17822357504.0,,-167.93752,1.5284414,2.81,0.629,172.121,-0.02446,-0.008576925627093305,-0.08217,0.155,,1453926656.0,39390212096.0,2613888000.0,541917000.0,4120257000.0,22191724544.0,1857356032.0,17.58,42063557000.0,2501032000.0,,4902252000.0,-360776000.0,2286046000.0,,,673839490.0,-0.0006421803951437211,,0.510180219213537,0.6302372214679283,0.5203904177670947,0.4909681745948416,0.09795312840518931,0.09320706968640835,705571553.0,766974000.0,26.87,[],{},0.08157880660140976,15.069586797904119,72.6867990780876,0.013757656310132704,,,0.014582830177788428,0.95,19,20,0.5111111111111111
COL.MC,"COLONIAL SFL, SOCIMI. S.A.",Real Estate,3474807296.0,10.471699,15.198401,0.57939243,5.77,0.547,74.861,0.054190002,0.027713938224410414,0.74547994,0.037,-0.11,141347376.0,9063991296.0,339243008.0,318231000.0,408400000.0,5102026240.0,389206016.0,9.579,12428728000.0,717685000.0,,924983000.0,344449000.0,287763000.0,1.0,,619584520.0,0.025121149818796255,0.816198657675374,0.7758899352744861,0.47918899898313216,0.41250415971771204,0.40857983760391653,0.03285935616259363,0.041058465891641256,617968565.0,93607000.0,5.55,[],{},0.04067775964517832,26.71828477596803,28.482427217964307,0.03510936734244631,0.09549548740849026,,0.027663252271325555,1.0,20,20,0.5916666666666667
AENA.MC,"Aena S.M.E., S.A.",Industrials,40020000768.0,17.90604,16.473509,4.6055584,4.09,1.127,91.58,0.27127,0.11744754006835417,0.33948,0.092,0.119,1488222208.0,46366613504.0,3794575104.0,2965700000.0,6294312000.0,8113415168.0,1801660032.0,5.793,18192599000.0,3334741000.0,,1772206000.0,2136676000.0,2787451000.0,0.7035641067681424,,1500000000.0,0.11204208679997012,0.6817134159750277,1.88168926185782,1.254593993425484,0.4002326440548709,0.40615835726164706,0.3459820116960749,0.33506366369949786,1500000000.0,254126000.0,26.68,[],{},0.03718696100550759,12.219184555109546,15.634289882321205,0.06396197125209828,0.05584707729905663,,0.18061078075293327,1.0,20,20,0.618095238095238
ELE.MC,"ENDESA,S.A.",Utilities,43298541568.0,16.677166,17.79391,5.163335,3.74,0.758,119.733,0.29047,0.058641481244330614,0.124350004,0.035,0.678,2043143936.0,55114186752.0,5772000256.0,3526000000.0,21020000000.0,11031000064.0,345000000.0,8.204,37482000000.0,8363000000.0,,9008000000.0,2198000000.0,4051000000.0,0.3467174119885823,,1038804244.0,0.050555629937073236,0.3710039661681082,0.9283969804618117,1.0159420289855072,0.2906728563043594,0.29356004819922343,0.5608025185422336,0.5603695273798367,1058550281.0,339000000.0,42.36,[],{},0.04718736156023314,9.548541979829047,15.63079601588202,0.0639762683220949,0.059962226195985575,,0.12383226803399593,1.0,20,20,0.4904761904761905
ENG.MC,"ENAGAS,S.A.",Utilities,4404242944.0,15.381818,15.915869,1.9099221,5.91,0.902,130.2,0.12689,0.0496981213426606,0.30455,-0.093,-0.369,139537744.0,6723355648.0,436825984.0,236557000.0,960401000.0,3022958080.0,719609024.0,8.859,6823437000.0,1406371000.0,,1310876000.0,339112000.0,212542000.0,0.9377988985850702,,260009776.0,-0.039929508460252124,0.9344450751259461,1.0728482327847944,1.4542465337735808,0.41370470629391026,0.44207000194105206,0.14075032861005385,0.12080494294574326,261123803.0,70476000.0,16.92,[],{},0.03168257195940915,15.391382139025868,28.42171505387708,0.0351843651273109,0.0650118210994305,,0.04291235960926328,1.0,20,20,0.5785714285714286
FDR.MC,"Fluidra, S.A.",Consumer Cyclical,3661137664.0,21.909092,12.603285,2.2520735,3.37,1.495,76.487,0.10586,0.05155394616454292,0.07255,0.043,-0.093,297178880.0,4781594624.0,356863008.0,307606000.0,2221085000.0,1253517952.0,143911008.0,8.561,3414404000.0,828830000.0,,465487000.0,176026000.0,342601000.0,0.5856831233383684,,189890896.0,0.037958852524683784,0.5843811230283439,1.7805653004272943,1.7934298896221457,0.35851293520040395,0.36288660814168283,0.6505044511428641,0.587358174605553,189843458.0,57450000.0,19.28,[],{},0.08117118428027513,13.39896407531262,15.544542772247615,0.06433125854208757,0.04564315125428292,,0.10431151504094555,1.0,20,20,0.4858526031102097
FER.MC,Ferrovial N.V.,Industrials,40906825728.0,68.36145,47.76657,7.149698,2.52,1.198,144.091,0.11615,0.03238512035010941,0.06147,0.052,-0.52,889625024.0,49383038976.0,1548000000.0,967000000.0,9627000000.0,10657000448.0,3864000000.0,7.936,27420000000.0,7310000000.0,,6464000000.0,888000000.0,1926000000.0,0.88324503999169,,720626181.0,0.11169350667264388,0.8781154350677743,1.1308787128712872,1.2175845103951755,0.3913931436907367,0.39770336908169246,0.35109409190371993,0.3154591537639229,721806552.0,438000000.0,56.74,[],{},0.021747593663594078,31.901187968992247,51.06829263288521,0.019581621950604516,0.014628127402212796,,0.04614430234777629,1.0,20,20,0.2280952380952381
GRF.MC,GRIFOLS S.A.,Healthcare,6781303808.0,15.096969,8.822305,1.242394,0.83,2.373,117.243,0.06933,0.020393668831168832,0.06091,-0.009,0.329,572923392.0,18034307072.0,1645230976.0,1251000000.0,7524000000.0,9356000256.0,537000000.0,8.02,19712000000.0,5074000000.0,,2019000000.0,402000000.0,1047000000.0,0.3799840510366826,,680575312.0,0.007334734875029199,0.3874098724348308,2.5131253095591877,2.6567717996289426,0.48528814935064934,0.47245970567624385,0.38169642857142855,0.33693062368605464,680409104.0,576000000.0,9.964,[],{},0.08448572844120539,10.961565479302038,14.415912927258194,0.06936778857127802,0.06623846150839947,,0.07070592889843441,1.0,20,20,0.5833603786342124
IAG.MC,International Consolidated Airlines Group S.A.,Industrials,22256977920.0,7.896875,6.3076444,3.0409145,1.94,0.7012076773776148,187.872,,0.07799481901561296,0.10396,0.019,0.784,,29054515200.0,6536000000.0,5015000000.0,33213000000.0,14266999808.0,8289999872.0,1.662,42849000000.0,13006000000.0,,18548000000.0,3342000000.0,6588000000.0,0.2518592117544335,,4565025872.0,0.06236873344900009,0.23610591900311526,0.7012076773776148,0.784360311967357,0.3329599290531868,0.3959684047118985,0.7751172722817335,0.7328097890603598,4853639082.0,818000000.0,5.054,[],{},,4.445305263157895,5.793522472582254,0.17260656271421798,0.12663237039968342,,0.20637010822599894,0.9,18,20,0.7448979591836735
IBE.MC,"Iberdrola, S.A.",Utilities,137800368128.0,25.8125,19.14217,2.6686482,3.29,0.753,100.03,0.10022,0.03909505977780819,0.15883,0.098,0.683,2561499904.0,203158634496.0,14602999808.0,10677000000.0,44076000000.0,62464999424.0,6608999936.0,7.738,160762000000.0,24781000000.0,,28343000000.0,6285000000.0,11635000000.0,0.5456030492785189,,6597551694.0,0.03545324177316748,0.5399413789894855,0.8743252302155735,0.6912969906101729,0.35599830805787436,0.36470974711452814,0.2741692688570682,0.27157233737436276,6273874902.0,2173000000.0,20.65,[],{},0.018588483752239864,13.912116494359129,19.02768891036808,0.05255498997858356,0.0387409200968523,,0.08063042312659059,1.0,20,20,0.305952380952381
IDR.MC,"Indra Sistemas, S.A.",Technology,9947170816.0,22.629482,17.41674,5.1370173,0.53,1.798,72.883,0.24458,0.04771092039933069,0.06945,0.449,-0.069,243773120.0,8993215488.0,680046016.0,530220000.0,5456652000.0,1627261056.0,2877628928.0,11.057,9134785000.0,4480047000.0,,3624284000.0,435829000.0,516238000.0,0.3378507553716088,,175259892.0,0.056004579791608985,0.3472249954933627,1.236119189335052,1.1460263245550923,0.36763229785922713,0.1716965811379418,0.5973487060724473,0.9772328098401755,175903872.0,63445000.0,56.8,[],{},0.024506779315369907,13.224421989702533,16.961290573724114,0.05895777775007097,0.0441901409851096,,0.09621992628256487,1.0,20,20,0.30825453316122686
ITX.MC,Inditex,Consumer Cyclical,175718416110.3614,28.079601,23.63029,9.263088,1.15,1.291,31.815,0.33955002,0.1745328020652113,0.15592,0.058,0.053,,171117559808.0,9512999936.0,8064000000.0,39864000000.0,6040999936.0,10796999680.0,6.093,35638000000.0,15691000000.0,,10172000000.0,6220000000.0,9232000000.0,0.5825306040537829,,3116366768.0,0.16898081465691075,0.5783547318285359,1.542567833267794,1.605575733778345,0.17102531006229305,0.17021950797948954,1.1185812896346596,1.1128651264619462,3114746154.0,370000000.0,56.44,[],{},,17.9877600083272,21.21993549206349,0.04712549669974312,0.035613041652550546,,0.3166575041231446,0.95,19,20,0.24005777859733235
LOG.MC,"Logista Integral, S.A.",Industrials,4889966080.0,18.316832,15.440793,7.4717283,5.43,0.912,10.245,0.42494,0.02391,0.020130001,0.017,0.175,,2486235392.0,411412992.0,319622000.0,12985534000.0,67000000.0,2467000064.0,4.952,,,,,308235000.0,397308000.0,0.13528515654419757,,132026465.0,0.033691232710990025,0.13551576112915706,,0.899930785768936,,0.034209123389898295,,1.5378984602621306,131995912.0,8319000.0,37.0,[],{},,6.043162078848497,7.778674158850142,0.12855661255102913,0.05459459365025567,,,0.85,17,20,0.630952380952381
MAP.MC,"Mapfre, S.A.",Financial Services,13609367552.0,11.369231,10.480288,1.522142,4.08,35.966,29.158,0.1741,0.01935648158433981,0.03798,0.151,0.049,-1387462528.0,-2371232000.0,3640999936.0,,26355100000.0,3244900096.0,20318699520.0,2.913,58512700000.0,,,,1132600000.0,,,,3063861435.0,0.01706144589361417,,,,0.05092911453410969,0.047133677089872816,0.45041674713352825,0.45556088511430726,3067353249.0,,4.434,[],{},-0.10194908196127761,-0.6512584569295636,,,0.08795669645554743,,,0.85,17,20,0.6142857142857143
MRL.MC,"MERLIN PROPERTIES SOCIMI, S.A.",Real Estate,9324894208.0,10.244898,26.262556,,1.43,1.586,55.789,0.09923001,0.05509457822349562,1.41683,0.146,0.166,253121872.0,12942104576.0,433631008.0,397992000.0,538963000.0,5181002752.0,1563792000.0,,14268718000.0,1388541000.0,,1175872000.0,786129000.0,415600000.0,,,562813658.0,0.02108291023348722,,1.1808606719098678,2.024140348204648,0.3547802963097315,0.36573182868663395,0.037772349274826235,0.036746031244810705,562410254.0,135938000.0,15.06,[],{},0.027144744632367202,29.845892791873407,32.51850433174536,0.03075172184422318,0.09760956136410534,,0.030397669078212636,0.9,18,20,0.43749999999999994
MTS.MC,ARCELORMITTAL SA,Basic Materials,45725088106.48947,29.294687,12.787853,0.95053136,0.84,1.429,25.379,0.03284,0.03226103599684759,0.02883,0.052,-0.617,-779124992.0,57301090304.0,5449999872.0,1461000000.0,61352000000.0,14421000192.0,4848000000.0,63.795895,97703000000.0,30605000000.0,,22520000000.0,3152000000.0,4808000000.0,0.07132611813795801,,761125819.0,0.014980142082004811,0.09269550455630114,1.3590142095914743,1.346254295532646,0.13725269439014154,0.12936174973429546,0.6279438707102136,0.6985623986127426,768546622.0,577000000.0,60.64,[],{},-0.017039332765975003,10.513961770603139,39.220458798083506,0.025496897044173912,0.034135882728496124,,0.01943258449383504,1.0,20,20,0.36259653328416014
NTGY.MC,"Naturgy Energy Group, S.A.",Utilities,26828357632.0,13.345621,14.024689,2.8015864,8.29,1.371,140.835,0.22853,0.05173780721720672,0.10673001,0.115,0.106,1768749952.0,40813187072.0,5011999744.0,3803000000.0,19455000000.0,16526999552.0,4706999808.0,10.337,39101000000.0,9422000000.0,,8018000000.0,2023000000.0,4525000000.0,0.37383705988177846,,926393571.0,0.04655206190616123,0.37930139616961644,1.1751060114741831,1.305747964515737,0.42830106646888827,0.44024880007836226,0.4975576072223217,0.4718140856107356,960734206.0,724000000.0,28.96,[],{},0.06592837236858257,8.143094404755022,10.731839882198264,0.09318066715277569,0.07493094551388804,,0.12234983753176978,1.0,20,20,0.7702380952380953
PUIG.MC,Puig Brands SA,Consumer Defensive,15966784512.0,16.203884,14.12372,2.4111528,2.53,1.096,44.466,0.15607001,0.06945751176878133,0.1141,0.024,-0.044,502584000.0,11005224960.0,975297024.0,834462000.0,5042026000.0,1798567936.0,207210000.0,6.922,8547614000.0,2532830000.0,,2253579000.0,593696000.0,859048000.0,0.751065940556435,,563300359.0,0.06168042123860889,0.7491159821778833,1.1239144489720574,1.3605414487802985,0.1582331630791938,0.20127452575785754,0.589875256416586,0.5567438859959085,563300359.0,61690000.0,16.69,[],{},0.031476844922800694,11.28397266595166,13.188407572783422,0.07582416561523882,0.061713599035885476,,0.13257981565085036,1.0,20,20,0.489373778351466
RED.MC,"Redeia Corporación, S.A.",Utilities,8266609152.0,16.652174,15.941396,1.5790559,5.22,1.181,104.706,0.098579995,0.03295097551617067,0.28824,0.079,-0.062,-145051744.0,13449468928.0,1101735040.0,750682000.0,1659517000.0,6078240768.0,984774016.0,9.702,15345312000.0,2837964000.0,,2306117000.0,505643000.0,1013195000.0,1.0255062165678326,,540926383.0,0.024415682767758375,1.024036447029364,1.2306244652808163,1.1770919925868484,0.4004073687129985,0.4252361745048233,0.10814488490035262,0.10564485512105556,540408058.0,130802000.0,15.32,[],{},-0.017546704015262,12.207534878803528,17.91633331823595,0.05581499195385925,0.06005221900756022,,0.057571192086628045,1.0,20,20,0.49404761904761907
REP.MC,"Repsol, S.A.",Energy,28743813120.0,8.564935,7.3874516,1.2379745,4.18,1.564,44.306,0.13338,0.0319546341791748,0.064330004,0.355,4.945,301375008.0,35932913664.0,7596000256.0,2580000000.0,54861000000.0,12785000448.0,8197000192.0,21.309,59428000000.0,21373000000.0,,13880000000.0,1899000000.0,5365000000.0,0.18900493975684002,,1105099370.0,0.027790966353306114,0.1909246875109415,1.5398414985590778,1.3558630364088504,0.22275694958605372,0.19284335137530464,0.9231507033721478,0.9040293735954167,1157208033.0,472000000.0,26.38,[],{},0.010484865273156911,4.730504535675466,13.92748591627907,0.07180046750800553,0.11675511839844668,,0.05664354087995082,1.0,20,20,0.7005276907001046
ROVI.MC,"Laboratorios Farmaceuticos Rovi, S.A.",Healthcare,2994422528.0,16.174034,17.336025,4.4440227,1.64,2.054,15.018,0.2865,0.1469533562626414,0.23955,0.2,2.467,167539376.0,2990474496.0,175964992.0,185784000.0,743483000.0,107690000.0,128072000.0,13.175,955691000.0,566708000.0,,181222000.0,140442000.0,187078000.0,0.6492226453059451,,51149498.0,0.1645160825074337,0.6263130950089624,3.1271479180231982,3.125457226573721,0.12736752778879365,0.1375083831917906,0.7779533342890118,0.9179432755383872,51149498.0,2564000.0,58.55,[],{},0.05595047941076671,16.99471276650301,16.09651259527193,0.06212525813161123,0.06182749461266126,,0.23988565068453352,1.0,20,20,0.4602761079353371
SAB.MC,BANCO DE SABADELL,Financial Services,15855137792.0,16.625,10.372797,1.1699507,6.15,,,0.08131,0.007234987894531075,0.41728002,,,,36114251776.0,,,4882892000.0,41164460032.0,21452568576.0,2.842,245392394000.0,,,,1775411000.0,1677979000.0,,,4997972088.0,0.007624460790931634,,,,0.0918317419406243,0.13508873972853697,0.019898302145420203,0.02145787763848224,5403000000.0,2645205000.0,3.325,[],{},,,,,0.06015037593984962,,,0.7,14,20,0.5204081632653063
SAN.MC,"Banco Santander, S.A.",Financial Services,175951347712.0,13.997727,9.912288,1.6133595,2.03,,,0.13109,0.00755067563045009,0.33464,,,,158332076032.0,,,60023000000.0,404829011968.0,429455015936.0,7.635,1867515000000.0,,,,14101000000.0,-14835000000.0,,,14678242211.0,0.0068445539418240135,,,,0.174677044093354,0.17839333159506848,0.03214057182940967,0.0328265329618019,15136962863.0,59362000000.0,12.318,[],{},,,,,0.07144017025049854,,,0.7,14,20,0.35714285714285715
SCYR.MC,"Sacyr, S.A.",Industrials,3758687488.0,39.166664,20.614939,3.7630105,4.26,1.127,416.942,0.11863,0.004882275507921811,0.027460001,0.122,9.856,682962496.0,11817190400.0,1298190976.0,1141315000.0,4659539000.0,9238941696.0,2346071040.0,1.249,17571110000.0,5802287000.0,,5045834000.0,85787000.0,1358605000.0,0.673346655109014,,770798429.0,0.006309569438516607,0.6825200765521098,1.1499163468318616,1.153697861682345,0.5319798236992427,0.5756158540586287,0.26518182402819174,0.25439096735322486,774245929.0,707695000.0,4.7,[],{},0.18170238898030994,9.102813544746132,10.354013046354424,0.09658090979053702,0.025531916631960284,,0.09112094615719446,1.0,20,20,0.5861904761904763
SLR.MC,"Solaria Energía y Medio Ambiente, S.A.",Utilities,2230973696.0,15.290909,10.186222,2.6660326,,0.592,206.766,0.22775,0.05622755236009207,0.48018003,0.486,,,3579897856.0,298194752.0,217125000.0,197443000.0,1592099968.0,56500000.0,6.309,2443464000.0,204065000.0,,394423000.0,137390000.0,138164000.0,0.9894146665113476,,124950876.0,0.04501275498541634,0.9885080212090036,0.5173760150903979,0.551594446035708,0.6174668421552354,0.5828545769113938,0.08080454633258358,0.08986194544259443,124950876.0,48259000.0,16.82,[],{},,12.0052342705213,16.487727603914795,0.060651171830529454,0.06539833570391401,,0.1059642047182072,0.9,18,20,0.7032967032967034
TEF.MC,"Telefónica, S.A.",Communication Services,20206299136.0,,9.144958,1.388609,4.19,0.92,227.649,-0.10339,-0.04692611147940055,-0.09109,,,3901874944.0,59824664576.0,6830000128.0,2034000000.0,35120000000.0,41693999104.0,5680999936.0,2.581,92017000000.0,22005000000.0,,24837000000.0,-4318000000.0,,0.6774772209567198,,5637918350.0,-0.0004875524865176812,0.686496033192229,0.8859765672182631,0.8692391388824123,0.43093124096634317,0.4479612346022965,0.38166860471434627,0.3549282601341267,5643286803.0,2447000000.0,3.584,[],{},0.1931019093470873,8.759101530722548,29.412322800393312,0.03399935485498709,,,0.03027686811551057,0.9,18,20,0.7192860040567952
UNI.MC,"Unicaja Banco, S.A.",Financial Services,8542649344.0,13.858334,12.2225485,1.2160878,5.19,,,0.0955,0.006424577551839885,0.32561,0.057,,,7695414272.0,,,2097189000.0,5532000256.0,6399000064.0,2.735,98427639000.0,,,,632356000.0,-1420553000.0,,,2568410415.0,0.005888476083230732,,,,0.04179233639851912,0.044123710480441676,0.02130691156779652,0.021860223098282658,2569276701.0,838829000.0,3.326,[],{},,,,,0.0721587457770898,,,0.7,14,20,0.6224489795918368
