ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
A5G.IR,AIB Group plc,Financial Services,22511575040.0,11.082474,10.948384,1.5961396,6.12,,,0.15133001,0.014451471809167674,0.49098998,0.02,0.082,,-7282424832.0,,,4508000000.0,12490999808.0,42274000896.0,6.735,148151000000.0,,,,2141000000.0,8603000000.0,,,2136766718.0,0.016663599167527927,,,,0.0745860642182638,0.0758639729304999,0.03042841425302563,0.034792519077485026,2328438575.0,1181000000.0,10.75,[],{},,,,,0.09023255998615472,,,0.7,14,20,0.6071428571428572
BIRG.IR,Bank of Ireland Group plc,Financial Services,17822699520.0,13.999999,10.344488,1.3691683,4.44,,,0.10549,0.0072876655804950275,0.32707,0.133,0.356,,8061700096.0,,,4214000000.0,12227000320.0,21991000064.0,13.804,164799000000.0,,,,1201000000.0,3993000000.0,,,952193201.0,0.009461538936921013,,,,0.06381106681472581,0.07707044551426646,0.025570543510579555,0.027575040324324993,1002662094.0,1876000000.0,18.9,[],{},,,,,0.0714285765306126,,,0.7,14,20,0.4107142857142858
C5H.IR,Cairn Homes plc,Consumer Cyclical,1605702784.0,12.309525,10.110689,1.9091581,3.87,5.121,27.724,0.16643,0.10160513373307282,0.14050001,0.337,0.498,-24723000.0,1773666176.0,169230000.0,168586000.0,944606000.0,231955008.0,55118000.0,1.354,1306184000.0,1282012000.0,,250330000.0,132715000.0,70622000.0,0.22100748883661547,,617728891.0,0.10684865842319612,0.2174291259968065,5.121287899972037,7.5268559896208735,0.1775821783148469,0.17578475085401896,0.7231798888977357,0.8019067727456278,616059762.0,15386000.0,2.585,[],{},-0.015396996409517342,10.480802316374165,10.520839073232652,0.09504945309392876,0.08123790316848131,,0.15966790863130698,1.0,20,20,0.5224458204334366
DQ7A.IR,Donegal Investment Group plc,Consumer Defensive,15160775.0,,,0.7843875,3.04,16.255,,-0.18353,0.006125989374390112,0.0,,2.1,5353000.0,-2517225.0,-1386500.0,-1154000.0,0.0,0.0,17464000.0,15.936,18446000.0,18446000.0,,6129000.0,113000.0,596000.0,,,1228431.0,0.08248500272677695,,3.0096263664545604,4.570997807017544,0.0,0.04353753862934012,0.0,,1519420.0,11000.0,12.5,[],{},0.3530822138050331,1.81552470248828,2.1813041594454075,0.4584413391730974,,,-0.0936916456929447,0.9,18,20,0.7111111111111111
EG7.IR,FBD Holdings plc,Financial Services,738623360.0,9.605264,11.587301,1.3670411,5.48,0.493,10.93,0.14669,0.03443137816038921,0.13299,0.088,1.575,771720128.0,488076544.0,135291008.0,56723000.0,462729000.0,52773000.0,223658000.0,13.35,1369768000.0,,,,47163000.0,65719000.0,,,35943862.0,0.049188738958974375,,,,0.0389014782065284,0.0386717686427553,0.3378156008900777,0.30264047756369905,35897184.0,2567000.0,18.25,[],{},1.0448087209156234,3.607605200191871,8.604561535884914,0.11621742674853885,0.10410957991368067,,,0.95,19,20,0.6250000000000001
GL9.IR,Glanbia plc,Consumer Defensive,5612070912.0,27.642857,15.935434,3.376278,1.92,1.532,63.691,0.12047,0.0461248112732763,0.05799,0.079,0.637,330012512.0,6440137216.0,479100000.0,274100000.0,3946400000.0,1207900032.0,375700000.0,6.8773956,3974000000.0,1652300000.0,,1218800000.0,183300000.0,368500000.0,0.26895398337725523,,242479634.0,0.04250871080139373,0.30351329530952936,1.3556777157860191,1.4102418207681366,0.28326623049823857,0.2474899987095109,0.99305485656769,0.9910181958962446,256533098.0,29200000.0,23.22,[],{},0.058804052403249464,13.44215657691505,23.495575395840934,0.042561204956785816,0.036175710781269826,,0.09948461091753774,1.0,20,20,0.44166666666666665
GVR.IR,Glenveagh Properties PLC,Consumer Cyclical,1279586688.0,12.4,10.977337,1.628365,,5.938,30.795,0.13942,0.08790113695119989,0.11623,-0.185,-0.106,55911124.0,1453715328.0,145276992.0,144128000.0,925879000.0,244068000.0,75196000.0,1.523,1224239000.0,1140136000.0,,192001000.0,107612000.0,100339000.0,0.2137568731983337,,520472536.0,0.08298992965530591,0.2115964505169714,5.938177405326014,5.888974453589172,0.19869077851628644,0.20594287868214486,0.7562894173441623,0.7379121056375932,560878504.0,18499000.0,2.48,[],{},0.04369467463543979,10.00650762372613,10.08627975133215,0.09914458300325496,0.08064516129032258,,0.13962671399425328,0.95,19,20,0.6131922944616442
GRP.IR,Greencoat Renewables,,846727616.0,15.679999,8.96,0.7919192,,,,,-0.023402786707242152,,,,,,,,-38744000.0,,,0.99,2239776000.0,,,,-52417000.0,73118000.0,,,1113335009.0,0.021088534443668476,,,,0.5047129712971297,0.48717857485660193,-0.0172981583872673,0.025671397506379683,1113535009.0,37956000.0,0.784,[],{},,,,,0.06377551427139759,,,0.5,10,20,0.571604938271605
HMSO.IR,Hammerson Plc,Real Estate,2076630272.0,8.9,,0.89830935,5.12,0.766,86.369,0.105629995,0.05904049654049654,0.67484003,0.399,-0.348,10037500.0,3237048064.0,167700000.0,84700000.0,208300000.0,1816600064.0,469200000.0,3.963,3931200000.0,441700000.0,,271300000.0,232100000.0,96900000.0,0.6072971675468075,,529736620.0,-0.15139224485099528,0.5758354755784062,1.6280869885735347,1.838924683403688,0.4177859177859178,0.4376654009895294,0.05298636548636548,0.033569209527096994,490459528.0,65400000.0,3.56,[],{},0.004833551805219952,19.302612188431723,38.21780476977568,0.026165814756342155,0.11235955056179775,,0.023142708817180797,1.0,20,20,0.6101444788441692
IR5B.IR,Irish Continental Group plc,Industrials,1175857536.0,17.217392,14.478976,4.144427,2.06,0.593,103.244,0.24724,0.10481388189196754,0.11234,0.121,0.262,28375000.0,1431689216.0,141300000.0,85600000.0,666700000.0,292800000.0,36700000.0,1.911,714600000.0,132400000.0,,223400000.0,74900000.0,149900000.0,0.7577621118944052,,148432980.0,0.09372555155687685,0.7436237164624048,0.5926589077887198,1.0320460147904684,0.40973971452560876,0.31841652323580033,0.9329694934228939,0.9447660772961978,164580565.0,10200000.0,7.92,[],{},0.024131324698164796,10.132266213729654,16.725341308411213,0.05978951230711792,0.058080805734108856,,0.1742671009771987,1.0,20,20,0.425
