ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
A5G.IR,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=11.1', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.60', 'Dividend payer: yield=612.00%']",['current ratio < 2'],
A5G.IR,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=11.1', 'P/B < 3: P/B=1.60', 'ROE > 8%: ROE=15.1%', 'Positive earnings growth: growth=8.2%']",['excessive leverage'],
A5G.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
A5G.IR,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
A5G.IR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
A5G.IR,earnings_yield,Earnings Yield,True,0.7519,['E/P=9.0% (P/E=11.1)'],[],
A5G.IR,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%'],
A5G.IR,low_pe_high_yield,Low P/E + High Yield,True,1.0,"['P/E=11.1', 'yield=612.0%']",[],
A5G.IR,lynch_peg,Lynch PEG,False,0.0,"['PEG=1.35', 'growth=8.2%']",['PEG 1.35 >= 1.0'],
A5G.IR,neff_pegy,Neff PEGY,True,0.9821,"['PEGY=0.02', 'growth=8.2%', 'yield=612.0%']",[],
A5G.IR,quality_value,Quality Value,False,0.6,"['ROE >= 12%: ROE=15.1%', 'Profit margin >= 5%: margin=49.1%', 'P/E < 20: P/E=11.1']","['high leverage', 'FCF yield below 3%']",
A5G.IR,buffett_quality,Buffett Quality,True,0.75,"['ROE >= 15%: ROE=15.1%', 'margin >= 8%: margin=49.1%', 'P/E < 25.0: P/E=11.1']",['too much debt'],
A5G.IR,economic_moat,Economic Moat,False,0.25,['wide margin=49.1%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
A5G.IR,high_dividend,High Dividend Yield,True,0.8824,"['yield=612.0%', 'universe rank 88%']",[],
A5G.IR,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=612.0%', 'earnings growth: growth=8.2%', 'reasonable P/E: P/E=11.1']",[],
A5G.IR,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
A5G.IR,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
A5G.IR,dreman_contrarian,Dreman Contrarian,True,0.7404,"['low P/E rank 89%', 'dividend rank 88%']",['P/B not cheap vs universe'],
A5G.IR,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'no share dilution']","['F-Score 5/9 below 7', 'ROA improving', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
A5G.IR,composite_value,Composite Value,False,0.5962,"['top-tier on trailing_pe (percentile 75%)', 'top-tier on dividend_yield (percentile 75%)']","['missing fcf_yield', 'missing ev_ebitda']",
A5G.IR,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=4.02', 'ratio=-4.36%']",['weak free-cash conversion'],
A5G.IR,financial_health,Financial Health,False,0.4,"['leverage=7.5%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']",
BIRG.IR,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=14.0', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.37', 'Dividend payer: yield=444.00%']",['current ratio < 2'],
BIRG.IR,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=14.0', 'P/B < 3: P/B=1.37', 'ROE > 8%: ROE=10.5%', 'Positive earnings growth: growth=35.6%']",['excessive leverage'],
BIRG.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
BIRG.IR,schloss,Schloss Low P/B,False,0.0,[],"['P/B too high', 'too much leverage']",
BIRG.IR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
BIRG.IR,earnings_yield,Earnings Yield,False,0.5952,['E/P=7.1% (P/E=14.0)'],['earnings yield 7.1% below 8%'],
BIRG.IR,fcf_yield,FCF Yield,False,1.0,['FCF yield=nan%'],['FCF yield nan% below 5%'],
BIRG.IR,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=444.0%'],['P/E not below 12.0'],
BIRG.IR,lynch_peg,Lynch PEG,True,0.6067,"['PEG=0.39', 'growth=35.6%']",[],
BIRG.IR,neff_pegy,Neff PEGY,True,0.9708,"['PEGY=0.03', 'growth=35.6%', 'yield=444.0%']",[],
BIRG.IR,quality_value,Quality Value,False,0.4,"['Profit margin >= 5%: margin=32.7%', 'P/E < 20: P/E=14.0']","['ROE below 12%', 'high leverage', 'FCF yield below 3%']",
BIRG.IR,buffett_quality,Buffett Quality,False,0.5,"['margin >= 8%: margin=32.7%', 'P/E < 25.0: P/E=14.0']","['ROE too low', 'too much debt']",
BIRG.IR,economic_moat,Economic Moat,False,0.25,['wide margin=32.7%'],"['ROE below 18%', 'ROA below 8%', 'leverage too high']",
BIRG.IR,high_dividend,High Dividend Yield,False,0.6471,"['yield=444.0%', 'universe rank 65%']",['not in top quartile for yield'],
BIRG.IR,dividend_growth,Dividend Growth,True,1.0,"['dividend payer: yield=444.0%', 'earnings growth: growth=35.6%', 'reasonable P/E: P/E=14.0']",[],
BIRG.IR,magic_formula,Magic Formula,False,0.0,[],['missing EBIT/EV or ROIC inputs'],
BIRG.IR,acquirers_multiple,Acquirer's Multiple,False,0.0,[],['could not rank EV/EBIT'],
BIRG.IR,dreman_contrarian,Dreman Contrarian,False,0.5675,['dividend rank 65%'],"['P/E not in bottom quartile', 'P/B not cheap vs universe']",
BIRG.IR,piotroski_f,Piotroski F-Score,False,0.5556,"['F-Score=5/9', 'positive net income', 'positive operating cash flow', 'OCF > net income', 'leverage declining', 'no share dilution']","['F-Score 5/9 below 7', 'ROA improving', 'current ratio improving', 'gross margin improving', 'asset turnover improving']","{'f_score': 5, 'max_score': 9, 'components': [{'name': 'positive net income', 'passed': True}, {'name': 'positive operating cash flow', 'passed': True}, {'name': 'ROA improving', 'passed': False}, {'name': 'OCF > net income', 'passed': True}, {'name': 'leverage declining', 'passed': True}, {'name': 'current ratio improving', 'passed': False}, {'name': 'no share dilution', 'passed': True}, {'name': 'gross margin improving', 'passed': False}, {'name': 'asset turnover improving', 'passed': False}]}"
BIRG.IR,composite_value,Composite Value,False,0.4231,[],"['missing fcf_yield', 'missing ev_ebitda']",
BIRG.IR,earnings_quality,Earnings Quality,False,0.6667,"['OCF/NI=3.32', 'ratio=-1.69%']",['weak free-cash conversion'],
BIRG.IR,financial_health,Financial Health,False,0.4,"['leverage=6.4%', 'insufficient data — skipped']","['high debt to equity', 'weak liquidity', 'weak interest coverage']",
C5H.IR,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=12.3', 'Current ratio >= 2: CR=5.12', 'Dividend payer: yield=387.00%']",['valuation too rich on P/B or P/E×P/B'],
C5H.IR,graham_enterprising,Graham Enterprising,True,1.0,"['P/E < 25: P/E=12.3', 'P/B < 3: P/B=1.91', 'Debt/equity < 100%: D/E=28%', 'ROE > 8%: ROE=16.6%', 'Positive earnings growth: growth=49.8%']",[],
C5H.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
C5H.IR,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=28%'],['P/B too high'],
C5H.IR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
C5H.IR,earnings_yield,Earnings Yield,True,0.677,['E/P=8.1% (P/E=12.3)'],[],
C5H.IR,fcf_yield,FCF Yield,False,0.0,['FCF yield=-1.5%'],['FCF yield -1.5% below 5%'],
C5H.IR,low_pe_high_yield,Low P/E + High Yield,False,0.5,['yield=387.0%'],['P/E not below 12.0'],
C5H.IR,lynch_peg,Lynch PEG,True,0.7528,"['PEG=0.25', 'growth=49.8%']",[],
