run_at,ticker,signal,signal_rank,conviction_score,data_quality_score
2026-08-16T11:58:34.144147+00:00,MIO.IR,strong_buy,4,0.0,1.0
2026-08-16T11:58:34.144147+00:00,DQ7A.IR,buy,3,0.0,0.9
2026-08-16T11:58:34.144147+00:00,KMR.IR,buy,3,0.0,0.95
2026-08-16T11:58:34.144147+00:00,EG7.IR,buy,3,0.0,0.95
2026-08-16T11:58:34.144147+00:00,GVR.IR,buy,3,0.0,0.95
2026-08-16T11:58:34.144147+00:00,OIZ.IR,hold,2,0.0,0.9
2026-08-16T11:58:34.144147+00:00,IRES.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,HMSO.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,RYA.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,A5G.IR,hold,2,0.0,0.7
2026-08-16T11:58:34.144147+00:00,GRP.IR,hold,2,0.0,0.5
2026-08-16T11:58:34.144147+00:00,C5H.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,KRZ.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,GL9.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,BIRG.IR,hold,2,0.0,0.7
2026-08-16T11:58:34.144147+00:00,IR5B.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,KRX.IR,hold,2,0.0,1.0
2026-08-16T11:58:34.144147+00:00,PTSB.IR,avoid,1,0.0,0.7
2026-08-16T11:58:34.144147+00:00,MLC.IR,avoid,1,0.0,0.85
2026-08-16T11:58:34.144147+00:00,UPR.IR,avoid,1,0.0,1.0
