Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:01 GB00BDCPN049 USD $106.7200 42 UBSS VHTG61620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.4600 60 PCSE VHTG64920260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.5300 40 PCSE VHTG64820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64120260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64220260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64420260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64520260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 13 UBSS VHTG64620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:30:24 GB00BDCPN049 USD $106.6000 11 UBSS VHTG64720260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:01 GB00BDCPN049 USD $106.7000 93 UBSS VHTG68320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:04 GB00BDCPN049 USD $106.7000 40 UBSS VHTG69020260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:06 GB00BDCPN049 USD $106.6100 25 INCR VHTG69620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:06 GB00BDCPN049 USD $106.6200 40 NASD VHTG69420260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:06 GB00BDCPN049 USD $106.6300 60 UBSS VHTG69520260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:20 GB00BDCPN049 USD $106.5600 40 EPRL VHTG71220260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:25 GB00BDCPN049 USD $106.4900 25 NYSE VHTG73320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:25 GB00BDCPN049 USD $106.4900 15 NYSE VHTG73420260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:34 GB00BDCPN049 USD $106.4300 40 MEMX VHTG74820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:35 GB00BDCPN049 USD $106.3800 40 NASD VHTG75220260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:31:35 GB00BDCPN049 USD $106.3900 49 UBSS VHTG75120260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:11 GB00BDCPN049 USD $106.5150 10 UBSS VHTG84320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:18 GB00BDCPN049 USD $106.4400 40 EPRL VHTG85520260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:20 GB00BDCPN049 USD $106.4300 3 UBSS VHTG85620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:22 GB00BDCPN049 USD $106.3700 40 MEMX VHTG86620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:22 GB00BDCPN049 USD $106.3500 40 NYSE VHTG86720260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:32:26 GB00BDCPN049 USD $106.2500 40 NASD VHTG87320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:12 GB00BDCPN049 USD $106.4200 37 UBSS VHTG95820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG97820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG97920260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98020260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 7 UBSS VHTG98120260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 6 UBSS VHTG98220260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98320260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98420260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98520260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98620260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98720260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 13 UBSS VHTG98820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:18 GB00BDCPN049 USD $106.4200 10 UBSS VHTG98920260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:26 GB00BDCPN049 USD $106.4300 48 BAML VHTG100920260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:35 GB00BDCPN049 USD $106.3400 10 UBSS VHTG107820260817E
Coca-Cola Europacific Partners PLC 17/08/2026 09:33:35 GB00BDCPN049 USD $106.3400 20 UBSS VHTG107920260817E
