Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 08/09/2026 09:30:06 GB00BDCPN049 USD $105.8100 101 IEXG VHTG79520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:30:24 GB00BDCPN049 USD $105.9200 100 NASD VHTG91120260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:30:24 GB00BDCPN049 USD $105.9100 25 PCSE VHTG91220260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:30:24 GB00BDCPN049 USD $105.9100 15 PCSE VHTG91320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7100 31 BATS VHTG109520260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7100 31 EDGX VHTG109620260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 5 IEXG VHTG109820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 5 IEXG VHTG109920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 5 IEXG VHTG110020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7200 66 NASD VHTG109320260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7200 34 NASD VHTG109420260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 25 PCSE VHTG108820260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 25 PCSE VHTG108920260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 25 PCSE VHTG109020260908E
Coca-Cola Europacific Partners PLC 08/09/2026 09:31:02 GB00BDCPN049 USD $105.7400 25 PCSE VHTG109120260908E
