Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:15 GB00BDCPN049 USD $105.7600 20 IEXG VHTG58020260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:15 GB00BDCPN049 USD $105.7600 80 IEXG VHTG58120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:15 GB00BDCPN049 USD $105.7200 7 PCSE VHTG57920260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 4 BATS VHTG60120260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 BATS VHTG60220260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 10 EDGA VHTG60620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 EDGA VHTG60720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 EDGX VHTG60320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7450 10 IEXG VHTG60820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 10 IEXG VHTG59320260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 10 IEXG VHTG59420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 IEXG VHTG59520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 10 JPMX VHTG60420260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 JPMX VHTG60520260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 10 NASD VHTG59620260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 NASD VHTG59720260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 100 NASD VHTG59820260727E
Coca-Cola Europacific Partners PLC 27/07/2026 09:30:22 GB00BDCPN049 USD $105.7500 5 NASD VHTG59920260727E
