Name of Issuer Date Time (EST)
Identity code of the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:05 GB00BDCPN049 USD $95.1500 19 UBSS VHTG207420260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:05 GB00BDCPN049 USD $95.1500 19 UBSS VHTG207520260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:05 GB00BDCPN049 USD $95.1500 7 UBSS VHTG207620260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221220260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221320260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221420260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221520260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221620260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221720260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221820260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG221920260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 8 UBSS VHTG222020260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 11 UBSS VHTG222120260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG222220260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG222320260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:39 GB00BDCPN049 USD $95.3150 19 UBSS VHTG222420260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:30:40 GB00BDCPN049 USD $95.2600 100 NASD VHTG222920260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:12 GB00BDCPN049 USD $95.3100 12 UBSS VHTG237520260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:12 GB00BDCPN049 USD $95.3100 54 UBSS VHTG237620260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:19 GB00BDCPN049 USD $95.3100 19 UBSS VHTG239820260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:19 GB00BDCPN049 USD $95.3100 19 UBSS VHTG239920260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:19 GB00BDCPN049 USD $95.3100 19 UBSS VHTG240020260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:25 GB00BDCPN049 USD $95.3100 57 INCR VHTG241420260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:33 GB00BDCPN049 USD $95.3000 40 INCR VHTG271420260320E
Coca-Cola Europacific Partners PLC 20/03/2026 09:31:33 GB00BDCPN049 USD $95.3000 8 INCR VHTG271520260320E
