Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:06 GB00BDCPN049 USD $110.4100 41 BARX VHTG325020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:21 GB00BDCPN049 USD $110.5900 18 PCSE VHTG462420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:21 GB00BDCPN049 USD $110.5900 15 PCSE VHTG462520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:21 GB00BDCPN049 USD $110.5900 7 PCSE VHTG462620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:21 GB00BDCPN049 USD $110.5900 83 UBSS VHTG462720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:30:51 GB00BDCPN049 USD $110.6700 94 UBSS VHTG748620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:00 GB00BDCPN049 USD $110.5800 50 UBSS VHTG839320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:00 GB00BDCPN049 USD $110.6700 45 UBSS VHTG839220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:14 GB00BDCPN049 USD $110.7000 25 PCSE VHTG983820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:15 GB00BDCPN049 USD $110.7000 15 PCSE VHTG989620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:27 GB00BDCPN049 USD $110.6600 1 UBSS VHTG1101320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:28 GB00BDCPN049 USD $110.6550 1 UBSS VHTG1108720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:29 GB00BDCPN049 USD $110.6550 1 UBSS VHTG1120420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:50 GB00BDCPN049 USD $110.6750 18 UBSS VHTG1309120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 54 UBSS VHTG1311720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 46 UBSS VHTG1311820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 1 UBSS VHTG1316020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 13 UBSS VHTG1316720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 13 UBSS VHTG1316820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:51 GB00BDCPN049 USD $110.6750 13 UBSS VHTG1316920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:54 GB00BDCPN049 USD $110.6100 100 UBSS VHTG1343420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:59 GB00BDCPN049 USD $110.5900 25 NYSE VHTG1398920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:31:59 GB00BDCPN049 USD $110.5900 15 NYSE VHTG1399020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.5700 40 EDGA VHTG1716020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 71 JPMX VHTG1715420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.4900 25 PCSE VHTG1718120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 25 PCSE VHTG1715720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 15 PCSE VHTG1715920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 13 UBSS VHTG1715520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 13 UBSS VHTG1715620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:32:34 GB00BDCPN049 USD $110.6300 13 UBSS VHTG1715820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:14 GB00BDCPN049 USD $110.6000 14 CGXS VHTG2058820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:18 GB00BDCPN049 USD $110.6000 19 CGXS VHTG2085520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:18 GB00BDCPN049 USD $110.6000 18 INCR VHTG2085620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:26 GB00BDCPN049 USD $110.6100 10 UBSS VHTG2146620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:29 GB00BDCPN049 USD $110.6100 15 CGXS VHTG2162120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:29 GB00BDCPN049 USD $110.6100 15 INCR VHTG2162220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:30 GB00BDCPN049 USD $110.6100 13 UBSS VHTG2171520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:30 GB00BDCPN049 USD $110.6100 8 UBSS VHTG2171620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:40 GB00BDCPN049 USD $110.6100 53 BAML VHTG2235920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:50 GB00BDCPN049 USD $110.6100 47 BAML VHTG2301120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:59 GB00BDCPN049 USD $110.6100 11 BAML VHTG2354420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:33:59 GB00BDCPN049 USD $110.6100 34 BAML VHTG2354520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:09 GB00BDCPN049 USD $110.6300 46 BAML VHTG2423320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:25 GB00BDCPN049 USD $110.6400 13 UBSS VHTG2430720260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:25 GB00BDCPN049 USD $110.6400 13 UBSS VHTG2430820260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:25 GB00BDCPN049 USD $110.6400 13 UBSS VHTG2430920260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:25 GB00BDCPN049 USD $110.6400 4 UBSS VHTG2431020260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:27 GB00BDCPN049 USD $110.6400 40 CGXS VHTG2431320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:36 GB00BDCPN049 USD $110.5600 42 UBSS VHTG2433520260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:47 GB00BDCPN049 USD $110.5950 11 BAML VHTG2439420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:56 GB00BDCPN049 USD $110.5900 37 UBSS VHTG2445120260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:56 GB00BDCPN049 USD $110.5900 44 UBSS VHTG2445220260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:57 GB00BDCPN049 USD $110.5000 40 PCSE VHTG2445320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:58 GB00BDCPN049 USD $110.4300 122 JPMX VHTG2445420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:34:58 GB00BDCPN049 USD $110.3900 40 NASD VHTG2445620260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:00 GB00BDCPN049 USD $110.3400 8 PCSE VHTG2447320260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:00 GB00BDCPN049 USD $110.3400 32 PCSE VHTG2447420260803E
Coca-Cola Europacific Partners PLC 03/08/2026 09:35:01 GB00BDCPN049 USD $110.3300 20 PCSE VHTG2447520260803E
