Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:00 GB00BDCPN049 USD $104.5800 14 UBSS VHTG83320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:03 GB00BDCPN049 USD $104.5450 22 UBSS VHTG104020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:05 GB00BDCPN049 USD $104.5200 1 UBSS VHTG104520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:07 GB00BDCPN049 USD $104.5200 13 UBSS VHTG105320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:07 GB00BDCPN049 USD $104.5200 28 UBSS VHTG105420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:10 GB00BDCPN049 USD $104.5200 40 UBSS VHTG106420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG107920260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG108020260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG108120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG108220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG108320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 13 UBSS VHTG108420260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:19 GB00BDCPN049 USD $104.5200 3 UBSS VHTG108520260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:30:23 GB00BDCPN049 USD $104.4400 40 NASD VHTG108720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:00 GB00BDCPN049 USD $104.4900 100 UBSS VHTG120720260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:05 GB00BDCPN049 USD $104.6600 114 IEXG VHTG125120260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:05 GB00BDCPN049 USD $104.6600 35 IEXG VHTG125220260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:05 GB00BDCPN049 USD $104.6600 100 IEXG VHTG125320260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:11 GB00BDCPN049 USD $104.9100 4 UBSS VHTG135820260720E
Coca-Cola Europacific Partners PLC 20/07/2026 09:31:26 GB00BDCPN049 USD $104.7800 4 UBSS VHTG140820260720E
