Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 100 IEXG VHTG25820260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 4 IEXG VHTG26020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 96 IEXG VHTG26120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 100 UBSS VHTG25720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 31 UBSS VHTG25920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 6 UBSS VHTG26220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:16 GB00BDCPN049 USD $108.8200 12 UBSS VHTG26320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:22 GB00BDCPN049 USD $108.9250 18 UBSS VHTG26520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:22 GB00BDCPN049 USD $108.9250 28 UBSS VHTG26620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:29 GB00BDCPN049 USD $108.6950 38 CGXS VHTG27220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:29 GB00BDCPN049 USD $108.6200 60 NASD VHTG27120260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:29 GB00BDCPN049 USD $108.7000 25 PCSE VHTG26920260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:29 GB00BDCPN049 USD $108.7000 15 PCSE VHTG27020260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:38 GB00BDCPN049 USD $108.6700 21 CGXS VHTG29220260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:49 GB00BDCPN049 USD $108.6700 62 CGXS VHTG31320260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:31:59 GB00BDCPN049 USD $108.6800 18 UBSS VHTG32620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:32:01 GB00BDCPN049 USD $108.6900 37 UBSS VHTG33420260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:32:09 GB00BDCPN049 USD $108.6900 55 IEXG VHTG34620260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:32:10 GB00BDCPN049 USD $108.4900 1 BATS VHTG34720260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:32:18 GB00BDCPN049 USD $108.6600 51 IEXG VHTG35520260831E
Coca-Cola Europacific Partners PLC 31/08/2026 09:32:21 GB00BDCPN049 USD $108.5800 2 NASD VHTG35620260831E
