Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:22 GB00BDCPN049 USD $104.7500 100 INCR VHTG202120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:22 GB00BDCPN049 USD $104.7500 12 UBSS VHTG202220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:25 GB00BDCPN049 USD $104.6100 40 MEMX VHTG202620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:25 GB00BDCPN049 USD $104.6700 40 NASD VHTG202520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:26 GB00BDCPN049 USD $104.5700 25 BATS VHTG202720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:26 GB00BDCPN049 USD $104.5700 15 BATS VHTG202820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:30:46 GB00BDCPN049 USD $104.6200 20 NYSE VHTG213120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:00 GB00BDCPN049 USD $104.6100 5 UBSS VHTG215920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:02 GB00BDCPN049 USD $104.6100 40 MEMX VHTG217620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:02 GB00BDCPN049 USD $104.6350 21 UBSS VHTG217220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5600 20 MEMX VHTG224120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5800 6 UBSS VHTG223620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5800 7 UBSS VHTG223720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5800 13 UBSS VHTG223820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5800 13 UBSS VHTG223920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:19 GB00BDCPN049 USD $104.5800 4 UBSS VHTG224020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:20 GB00BDCPN049 USD $104.5200 20 NYSE VHTG224320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:26 GB00BDCPN049 USD $104.4800 60 BATS VHTG225420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:31:49 GB00BDCPN049 USD $104.8350 24 UBSS VHTG237120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:12 GB00BDCPN049 USD $104.9250 46 UBSS VHTG250620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:12 GB00BDCPN049 USD $104.9250 41 UBSS VHTG250720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:14 GB00BDCPN049 USD $104.8600 25 NYSE VHTG251520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:14 GB00BDCPN049 USD $104.8600 15 NYSE VHTG251620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:14 GB00BDCPN049 USD $104.8200 25 PCSE VHTG251720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:14 GB00BDCPN049 USD $104.8200 15 PCSE VHTG251820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:33 GB00BDCPN049 USD $104.8100 30 UBSS VHTG262320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:34 GB00BDCPN049 USD $104.7800 25 BATS VHTG262720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:34 GB00BDCPN049 USD $104.7800 15 BATS VHTG262820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:44 GB00BDCPN049 USD $104.7400 25 NASD VHTG267420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:32:48 GB00BDCPN049 USD $104.7400 15 NASD VHTG269920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:10 GB00BDCPN049 USD $104.8100 57 UBSS VHTG280020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:19 GB00BDCPN049 USD $104.8350 43 UBSS VHTG282920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:28 GB00BDCPN049 USD $104.7900 25 NYSE VHTG288720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:28 GB00BDCPN049 USD $104.8100 13 UBSS VHTG288520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:28 GB00BDCPN049 USD $104.8100 13 UBSS VHTG288620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:28 GB00BDCPN049 USD $104.8100 13 UBSS VHTG288820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:28 GB00BDCPN049 USD $104.8100 3 UBSS VHTG288920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:33:34 GB00BDCPN049 USD $104.8100 17 IEXG VHTG290720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 37 INCR VHTG320620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG319620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG319720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG319820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG319920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG320020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG320120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG320220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG320320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 13 UBSS VHTG320420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:15 GB00BDCPN049 USD $104.8550 7 UBSS VHTG320520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:52 GB00BDCPN049 USD $104.9700 89 UBSS VHTG344720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:52 GB00BDCPN049 USD $104.9700 11 UBSS VHTG344820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:52 GB00BDCPN049 USD $104.9700 13 UBSS VHTG344920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:34:52 GB00BDCPN049 USD $104.9700 59 UBSS VHTG345020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:00 GB00BDCPN049 USD $104.9700 13 UBSS VHTG348420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:00 GB00BDCPN049 USD $104.9700 13 UBSS VHTG348520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:00 GB00BDCPN049 USD $104.9700 12 UBSS VHTG348620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:19 GB00BDCPN049 USD $104.9375 55 BAML VHTG360720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:26 GB00BDCPN049 USD $104.8400 25 BATS VHTG367820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:26 GB00BDCPN049 USD $104.8400 15 BATS VHTG367920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:28 GB00BDCPN049 USD $104.7900 1 UBSS VHTG369420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:35:35 GB00BDCPN049 USD $104.8600 1 BAML VHTG372520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:36:00 GB00BDCPN049 USD $105.0700 35 UBSS VHTG395720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:36:05 GB00BDCPN049 USD $105.0600 44 BAML VHTG397820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:36:11 GB00BDCPN049 USD $104.9500 40 NASD VHTG400420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:37:34 GB00BDCPN049 USD $104.9800 18 UBSS VHTG503620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:37:34 GB00BDCPN049 USD $104.9800 55 UBSS VHTG503720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:37:34 GB00BDCPN049 USD $104.9800 49 UBSS VHTG503820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:37:34 GB00BDCPN049 USD $104.9800 45 UBSS VHTG503920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:00 GB00BDCPN049 USD $104.9800 50 UBSS VHTG511620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:00 GB00BDCPN049 USD $104.9800 49 UBSS VHTG511720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:15 GB00BDCPN049 USD $104.9400 25 BATS VHTG517420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:15 GB00BDCPN049 USD $104.9400 15 BATS VHTG517520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:15 GB00BDCPN049 USD $104.9800 17 UBSS VHTG517620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:26 GB00BDCPN049 USD $104.8800 1 BATS VHTG520820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:26 GB00BDCPN049 USD $104.8800 1 BATS VHTG520920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:26 GB00BDCPN049 USD $104.9100 20 NASD VHTG520620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:26 GB00BDCPN049 USD $104.9100 20 NASD VHTG520720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:27 GB00BDCPN049 USD $104.8800 1 BATS VHTG521320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:34 GB00BDCPN049 USD $104.8800 25 BATS VHTG522920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:34 GB00BDCPN049 USD $104.8800 12 BATS VHTG523020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:38:39 GB00BDCPN049 USD $104.8400 40 NASD VHTG524320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:12 GB00BDCPN049 USD $104.8400 100 IEXG VHTG551420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:16 GB00BDCPN049 USD $104.8400 13 UBSS VHTG555320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:16 GB00BDCPN049 USD $104.8400 13 UBSS VHTG555420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:16 GB00BDCPN049 USD $104.8400 13 UBSS VHTG555520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:16 GB00BDCPN049 USD $104.8400 13 UBSS VHTG555620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:16 GB00BDCPN049 USD $104.8400 1 UBSS VHTG555720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:40:22 GB00BDCPN049 USD $104.8350 47 IEXG VHTG557820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:30 GB00BDCPN049 USD $104.8500 57 PCSE VHTG580320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:30 GB00BDCPN049 USD $104.8500 3 PCSE VHTG580420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:30 GB00BDCPN049 USD $104.8700 80 UBSS VHTG580520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:35 GB00BDCPN049 USD $104.8450 36 IEXG VHTG581820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:49 GB00BDCPN049 USD $104.8450 35 BAML VHTG584220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:50 GB00BDCPN049 USD $104.8200 25 NYSE VHTG584320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:50 GB00BDCPN049 USD $104.8200 25 NYSE VHTG584420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:41:50 GB00BDCPN049 USD $104.8200 10 NYSE VHTG584520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:21 GB00BDCPN049 USD $104.8450 18 BAML VHTG599720260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:37 GB00BDCPN049 USD $104.8400 13 UBSS VHTG604920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:37 GB00BDCPN049 USD $104.8400 13 UBSS VHTG605020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:38 GB00BDCPN049 USD $104.8400 9 UBSS VHTG605220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:47 GB00BDCPN049 USD $104.7900 60 MEMX VHTG607220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:42:47 GB00BDCPN049 USD $104.7500 40 PCSE VHTG607320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:08 GB00BDCPN049 USD $104.7200 25 PCSE VHTG613520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:08 GB00BDCPN049 USD $104.7200 15 PCSE VHTG613620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:20 GB00BDCPN049 USD $104.6800 40 MEMX VHTG616820260914E
# Classification - Internal
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:22 GB00BDCPN049 USD $104.6400 25 NYSE VHTG617520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:22 GB00BDCPN049 USD $104.6400 15 NYSE VHTG617620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:43:26 GB00BDCPN049 USD $104.6000 80 PCSE VHTG619520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:44:27 GB00BDCPN049 USD $104.5700 1 PCSE VHTG636320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:44:50 GB00BDCPN049 USD $104.5700 20 PCSE VHTG646820260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:44:50 GB00BDCPN049 USD $104.5700 39 PCSE VHTG646920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:45:11 GB00BDCPN049 USD $104.5650 16 BAML VHTG661520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:45:36 GB00BDCPN049 USD $104.5500 37 UBSS VHTG669620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:45:52 GB00BDCPN049 USD $104.5000 20 NASD VHTG675520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:45:52 GB00BDCPN049 USD $104.4800 35 PCSE VHTG675620260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:45:52 GB00BDCPN049 USD $104.5250 35 UBSS VHTG675420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:46:15 GB00BDCPN049 USD $104.5500 59 UBSS VHTG682420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:46:15 GB00BDCPN049 USD $104.5500 41 UBSS VHTG682520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:46:45 GB00BDCPN049 USD $104.5200 40 NASD VHTG695320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:47:16 GB00BDCPN049 USD $104.4500 20 NASD VHTG741020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:47:16 GB00BDCPN049 USD $104.4800 5 PCSE VHTG741120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:47:30 GB00BDCPN049 USD $104.4900 7 UBSS VHTG747420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:06 GB00BDCPN049 USD $104.5100 54 UBSS VHTG763420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:06 GB00BDCPN049 USD $104.5100 37 UBSS VHTG763520260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:14 GB00BDCPN049 USD $104.5600 40 BATS VHTG767020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:19 GB00BDCPN049 USD $104.5500 30 BATS VHTG772020260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:24 GB00BDCPN049 USD $104.5500 10 BATS VHTG773420260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:48:56 GB00BDCPN049 USD $104.6050 5 UBSS VHTG797920260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:49:01 GB00BDCPN049 USD $104.5800 2 NASD VHTG800120260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:49:01 GB00BDCPN049 USD $104.5800 2 NASD VHTG800220260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:49:02 GB00BDCPN049 USD $104.5800 3 NASD VHTG800320260914E
Coca-Cola Europacific Partners PLC 14/09/2026 09:49:02 GB00BDCPN049 USD $104.5800 2 NASD VHTG800920260914E
