Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:07 GB00BDCPN049 USD $106.7900 13 UBSS VHTG47020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:07 GB00BDCPN049 USD $106.7900 13 UBSS VHTG47120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:07 GB00BDCPN049 USD $106.7900 13 UBSS VHTG47220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:08 GB00BDCPN049 USD $106.7400 100 INCR VHTG47820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:08 GB00BDCPN049 USD $106.7750 2 UBSS VHTG47720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:12 GB00BDCPN049 USD $106.7300 40 NASD VHTG48420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:55 GB00BDCPN049 USD $106.8500 49 UBSS VHTG62020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.7000 25 MEMX VHTG63220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.7000 15 MEMX VHTG63320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.7500 1 MEMX VHTG62920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.7500 25 MEMX VHTG63020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.7500 14 MEMX VHTG63120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.8000 25 PCSE VHTG62720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:30:58 GB00BDCPN049 USD $106.8000 15 PCSE VHTG62820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:31:04 GB00BDCPN049 USD $106.6500 50 UBSS VHTG64020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:31:51 GB00BDCPN049 USD $106.8700 40 UBSS VHTG74320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:18 GB00BDCPN049 USD $106.8400 119 UBSS VHTG80620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:34 GB00BDCPN049 USD $106.9600 57 UBSS VHTG85020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:38 GB00BDCPN049 USD $106.8725 3 BAML VHTG86720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:38 GB00BDCPN049 USD $106.8725 1 BAML VHTG86820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:38 GB00BDCPN049 USD $106.9000 40 MEMX VHTG86620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:49 GB00BDCPN049 USD $106.8900 47 UBSS VHTG89320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:52 GB00BDCPN049 USD $106.7700 25 MEMX VHTG91120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:52 GB00BDCPN049 USD $106.7700 15 MEMX VHTG91220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 09:32:52 GB00BDCPN049 USD $106.8100 25 MEMX VHTG90920260810E
