Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument 
Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 24/08/2026 09:30:00 GB00BDCPN049 USD $109.1800 41 UBSS VHTG80620260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:30:14 GB00BDCPN049 USD $109.2700 13 UBSS VHTG101720260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:30:14 GB00BDCPN049 USD $109.2700 13 UBSS VHTG101820260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:30:14 GB00BDCPN049 USD $109.2700 13 UBSS VHTG101920260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:30:14 GB00BDCPN049 USD $109.2700 3 UBSS VHTG102020260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:07 GB00BDCPN049 USD $109.5000 25 MEMX VHTG117820260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:07 GB00BDCPN049 USD $109.5000 15 MEMX VHTG118020260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:07 GB00BDCPN049 USD $109.4900 40 NYSE VHTG118420260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:07 GB00BDCPN049 USD $109.5300 183 UBSS VHTG117920260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:19 GB00BDCPN049 USD $109.4500 40 PCSE VHTG122920260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:25 GB00BDCPN049 USD $109.4000 25 BATS VHTG123620260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:25 GB00BDCPN049 USD $109.4000 15 BATS VHTG123720260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:31:37 GB00BDCPN049 USD $109.3500 40 MEMX VHTG126620260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.1600 40 BATS VHTG140520260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.2900 25 BATS VHTG140120260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.2900 15 BATS VHTG140220260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.2300 25 NYSE VHTG140320260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.2300 15 NYSE VHTG140420260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:07 GB00BDCPN049 USD $109.3100 34 UBSS VHTG140020260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:32:42 GB00BDCPN049 USD $109.1900 26 UBSS VHTG151620260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 13 UBSS VHTG159220260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 13 UBSS VHTG159320260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 13 UBSS VHTG159420260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 13 UBSS VHTG159520260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 13 UBSS VHTG159620260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:01 GB00BDCPN049 USD $109.3100 2 UBSS VHTG159720260824E
Coca-Cola Europacific Partners PLC 24/08/2026 09:33:38 GB00BDCPN049 USD $109.3400 13 UBSS VHTG174620260824E
