Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9400 2 BATS VHTG20720260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9400 38 BATS VHTG20920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9400 38 BATS VHTG21020260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9900 5 BATS VHTG20620260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9900 95 BATS VHTG20820260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $93.9800 38 INCR VHTG21220260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $94.0400 38 MEMX VHTG20420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $94.0400 42 MEMX VHTG20520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:01 GB00BDCPN049 USD $94.0900 80 NASD VHTG21120260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:15 GB00BDCPN049 USD $94.0500 20 MEMX VHTG134420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:22 GB00BDCPN049 USD $94.2000 20 NASD VHTG139820260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:22 GB00BDCPN049 USD $94.2000 20 NASD VHTG140020260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:22 GB00BDCPN049 USD $94.2000 19 UBSS VHTG139920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:33 GB00BDCPN049 USD $94.1500 2 PCSE VHTG147420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:33 GB00BDCPN049 USD $94.1500 20 PCSE VHTG147520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:35 GB00BDCPN049 USD $94.1500 18 PCSE VHTG148620260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:45 GB00BDCPN049 USD $94.1600 13 UBSS VHTG171020260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:49 GB00BDCPN049 USD $94.0700 38 BATS VHTG176220260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:49 GB00BDCPN049 USD $94.0700 2 BATS VHTG176320260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:30:49 GB00BDCPN049 USD $94.0200 20 MEMX VHTG176420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:00 GB00BDCPN049 USD $93.9700 38 NASD VHTG184520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:00 GB00BDCPN049 USD $93.9700 2 NASD VHTG184620260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:00 GB00BDCPN049 USD $93.9200 60 NYSE VHTG184720260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:01 GB00BDCPN049 USD $93.8400 7 MEMX VHTG185720260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:01 GB00BDCPN049 USD $93.8400 38 MEMX VHTG185820260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:01 GB00BDCPN049 USD $93.8400 35 MEMX VHTG185920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:14 GB00BDCPN049 USD $93.6700 20 BATS VHTG203920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:14 GB00BDCPN049 USD $93.6500 29 UBSS VHTG204020260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:15 GB00BDCPN049 USD $93.6300 5 MEMX VHTG205220260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:31:53 GB00BDCPN049 USD $93.6300 83 INCR VHTG237520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:00 GB00BDCPN049 USD $93.6600 38 NASD VHTG239920260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:00 GB00BDCPN049 USD $93.6600 22 NASD VHTG240020260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:00 GB00BDCPN049 USD $93.7000 50 UBSS VHTG239820260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:27 GB00BDCPN049 USD $93.7200 19 UBSS VHTG275420260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:27 GB00BDCPN049 USD $93.7200 19 UBSS VHTG275520260323E
Coca-Cola Europacific Partners PLC 23/03/2026 09:32:27 GB00BDCPN049 USD $93.7200 19 UBSS VHTG275620260323E
