ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,timing_signal,timing_score,rsi_14
CMCSA,Comcast Corporation,Communication Services,92903309312.0,8.3910265,7.227592,1.0343329,5.04,0.796,100.474,0.114879996,0.073351893218306,0.08966,-0.012,-0.668,12697624576.0,175815311360.0,34072999936.0,20670000000.0,123707000000.0,90381000704.0,7661000192.0,25.311,272631000000.0,29567000000.0,,33524000000.0,19998000000.0,33643000000.0,0.7174695045551182,,3604212627.0,0.0608239328953349,0.7007540551680662,0.8819651592888677,0.6771178090497966,0.362897102677245,0.3722348062251372,0.4537525079686462,0.4647854521413465,3787746392.0,4409000000.0,26.18,[],{},0.1366756972386977,5.1599598418172,8.505820578616353,0.1175665523105438,0.1191749305046289,,0.0864466535902336,1.0,20,20,0.8659090909090909,12.0,22.0,0.6898000000000001,0.6898000000000001,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.687115,True,0.8,0.9303,strong_buy,4,3,stable,0.7858,building,neutral,0.375,65.63002600301931
ADBE,Adobe Inc.,Technology,104947949568.0,15.104118,9.602888,9.146083,,0.751,61.443,0.62953997,0.2417276918904258,0.28689,0.127,0.079,9218374656.0,106398949376.0,9729000448.0,8706000000.0,23769000000.0,7077000192.0,5625999872.0,28.867,29496000000.0,10163000000.0,,10200000000.0,7130000000.0,10031000000.0,0.8926753334174765,,413000000.0,0.1839232550446576,0.89035108114392,0.9963725490196078,1.067579127459367,0.2253864930838079,0.2003307972213033,0.8058380797396257,0.711379424412835,441000000.0,263000000.0,264.02,[],{},0.0878375870509699,10.936267291248049,12.221335788651505,0.0818241162253786,0.0662071098755981,,0.451181592039801,0.95,19,20,0.8934859252833295,8.0,22.0,0.5193909090909092,0.5193909090909092,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,3,5,"cheapness,quality,risk",0.5052616666666667,True,0.9,0.9181,strong_buy,4,8,stable,0.5163,persistent,neutral,0.375,59.2355600901445
QCOM,QUALCOMM Incorporated,Technology,174079492096.0,18.947428,16.250814,6.3358426,2.22,2.016,55.21,0.33754003,0.1105039586781804,0.21013,-0.04,-0.23,10241000448.0,181084274688.0,11998999552.0,12394000000.0,44284000000.0,15269999616.0,8304000000.0,26.167,50143000000.0,25754000000.0,,9144000000.0,5541000000.0,14012000000.0,0.5542859723602204,,1074000000.0,0.1838851216593538,0.5621374672758072,2.8164916885389326,2.402037319116527,0.2953752268512055,0.2653298038220256,0.8831541790479229,0.7064220183486238,1113000000.0,664000000.0,165.79,[],{},0.0588294481141545,15.091614421955434,14.610640203969664,0.0684432705233753,0.0527776118215095,,0.3023000560989292,1.0,20,20,0.8520752036074305,11.0,22.0,0.6304227272727272,0.6304227272727272,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7167116666666666,True,1.0,0.8867,strong_buy,4,16,stable,0.8694,persistent,neutral,0.625,47.14926081920771
PDD,PDD Holdings Inc.,Consumer Cyclical,120689786880.0,8.8692465,6.923016,1.9042869,,2.535,1.21,0.254,0.1552946908765674,0.21620001,0.11,-0.149,71642849280.0,-311903846400.0,97156792320.0,93102131000.0,431845713000.0,5121999872.0,436071006208.0,44.525856,630044327000.0,518979892000.0,,213737168000.0,97842539000.0,106938690000.0,0.5628027619206677,,5693585848.0,0.222627469932162,0.6092273532763555,2.428121869753604,2.20593322615702,0.0085371691633372,0.0210028104308064,0.6854211592639259,0.7798204686748454,5568585848.0,0.0,84.79,[],{},0.5936115319453947,-3.2103143686825253,-3.350125749538429,-0.2984962579801004,0.1127491495472586,,0.2236380734447086,0.95,19,20,0.8090145148968677,11.0,22.0,0.6422181818181818,0.6422181818181818,0.5,0.0,1.0,0.5,22.0,3,5,"cheapness,quality,risk",0.5651083333333333,True,1.0,0.8864,strong_buy,4,16,stable,0.4832,persistent,neutral,0.625,43.93547081983866
ROP,"Roper Technologies, Inc.",Technology,39495073792.0,16.639166,16.438879,2.1119826,0.91,0.553,60.531,0.13066,0.0444312693408913,0.30244,0.085,2.33,2265687552.0,50449575936.0,3238000128.0,2235400000.0,7902500000.0,11319400448.0,364900000.0,189.083,34577000000.0,1928100000.0,,3725600000.0,1536300000.0,2540300000.0,0.6924391015501423,,106600000.0,0.0494435880988169,0.693019093078759,0.5175273781404337,0.4025624967381661,0.2703907221563467,0.2447510268169154,0.2285478786476559,0.2246455207804766,107300000.0,325000000.0,399.34,[],{},0.0573663329237513,15.58047373122278,22.568478096090185,0.0443095894965661,0.0600991660279127,,0.072457003571961,1.0,20,20,0.8138343767814319,10.0,22.0,0.5971863636363637,0.5971863636363637,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.726175,True,0.9,0.8586,strong_buy,4,8,stable,0.8362,persistent,wait,0.25,62.70760727448895
CPRT,"Copart, Inc.",Industrials,29264900096.0,19.633541,18.782719,3.3354437,,7.613,1.059,0.17607,0.1538464054055821,0.33481997,0.021,0.023,999977152.0,25175486464.0,1961246976.0,1696714000.0,4646958000.0,93116000.0,4199712000.0,9.477,10090902000.0,5754628000.0,,683281000.0,1552449000.0,1799750000.0,0.4518317144247914,,967478690.0,0.1617297304480761,0.4501608870608944,8.422051835189329,7.028978613258412,0.0102804486655405,0.0140883157145833,0.4605096749527446,0.502722074324815,962967011.0,,31.61,[],{},0.0341698467693275,12.836469232113682,14.837790260468177,0.0673954802194681,0.0509332473444296,,0.1803552672880848,0.95,19,20,0.8087206910736322,9.0,22.0,0.5195863636363637,0.5195863636363637,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,3,5,"cheapness,quality,risk",0.50255,True,1.0,0.8553,strong_buy,4,16,stable,0.4742,persistent,neutral,0.625,65.1162579903704
INTU,Intuit Inc.,Technology,94550794240.0,21.102566,12.653422,4.5956264,1.39,1.453,33.448,0.22496,0.1046864007792629,0.21907,0.104,0.107,5232000000.0,94670798848.0,6409999872.0,4938000000.0,18831000000.0,6899999744.0,6780000256.0,75.215,36958000000.0,14107000000.0,,10370000000.0,3869000000.0,6207000000.0,0.7956560989857151,,279129000.0,0.0922133698493713,0.7872275099785079,1.3603664416586307,1.2919503404084902,0.1796363439580063,0.2043757002365243,0.5095243249093566,0.5068156355035479,280268000.0,247000000.0,345.66,[],{},0.0553353363348754,14.769235684627484,19.17189122073714,0.052159695070581,0.0473876020574938,,0.1857228825033849,1.0,20,20,0.8087516010673309,12.0,22.0,0.6448818181818182,0.6448818181818182,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7325233333333333,True,1.0,0.8481,strong_buy,4,16,stable,0.8284,persistent,neutral,0.5,63.97921432583642
PYPL,"PayPal Holdings, Inc.",Financial Services,52747718656.0,11.655954,10.644321,2.6816857,0.91,1.288,71.751,0.24497,0.0652713507041023,0.14364,0.048,-0.031,4423124992.0,55712718848.0,6456000000.0,6396000000.0,33172000000.0,14220999680.0,11256000512.0,22.993,80173000000.0,59759000000.0,,46443000000.0,5233000000.0,6416000000.0,0.4662064391655613,,920000000.0,0.0526770403302635,0.4609868855552411,1.286717051008763,1.2795339635084635,0.1245681214373916,0.1254874563353445,0.413755254262657,0.4038996506827564,993000000.0,441000000.0,61.66,[],{},0.0838543373002706,8.629603291201983,8.7105564177611,0.1148032286388695,0.0857930633562898,,0.189623480581085,1.0,20,20,0.803995707854071,15.0,22.0,0.6593090909090908,0.6593090909090908,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6981383333333333,True,1.0,0.8201,strong_buy,4,16,stable,0.812,persistent,wait,0.125,77.22811430131583
NXPI,NXP Semiconductors N.V.,Technology,59185455104.0,46.754982,12.970908,5.1941934,1.73,2.04,93.325,0.27921,0.0760918674698795,0.22564,0.195,0.726,3555000064.0,67301453824.0,5068000256.0,3035000000.0,12269000000.0,10976000000.0,3222000128.0,45.187,26560000000.0,7940000000.0,,3881000000.0,2021000000.0,2820000000.0,0.5473958757844976,,252854704.0,0.1029321304080377,0.5643729189789123,2.045864467920639,2.357972885732731,0.4601656626506024,0.4451096985851958,0.4619352409638554,0.5172852163215091,254324627.0,466000000.0,234.71,[],{},0.0600654342820072,13.279686350513082,22.17510834398682,0.0450956083049383,0.0213880950697403,,0.1338242426914767,1.0,20,20,0.7689039139254831,7.0,22.0,0.5146000000000001,0.5146000000000001,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6114416666666667,True,0.9,0.8041,strong_buy,4,2,stable,0.4719,building,accumulate,0.75,39.337939453559976
BKR,Baker Hughes Company,Energy,64345133056.0,20.842443,20.483942,3.230984,1.42,2.095,80.925,0.16463,0.0633056921308187,0.111669995,-0.024,-0.042,4415000064.0,63750131712.0,4839000064.0,3557000000.0,27733000000.0,16252999680.0,17024000000.0,20.062,40881000000.0,18828000000.0,,13877000000.0,2588000000.0,3810000000.0,0.2359643745718097,,986773882.0,0.0776529468498292,0.2329584246649179,1.356777401455646,1.324840274035871,0.1488955749614735,0.1570002346010479,0.678383601183924,0.7254125068425306,989525809.0,222000000.0,64.82,[],{},0.0686143590713783,13.174236592033242,17.922443551307282,0.0557959631529741,0.0479790205015794,,0.1317212264849652,1.0,20,20,0.7589967503883791,9.0,22.0,0.5386500000000001,0.5386500000000001,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.610565,True,0.9,0.7916,strong_buy,4,8,stable,0.7753,persistent,neutral,0.5,65.90000605439835
TRI,Thomson Reuters Corporation,Industrials,44886396928.0,27.33773,20.381025,3.8291817,2.53,0.51,28.809,0.1417,0.0837235228539576,0.21221,0.095,0.472,2108499968.0,47398400000.0,2292999936.0,1989000000.0,7476000000.0,3204999936.0,693000000.0,27.058,17940000000.0,2228000000.0,,3468000000.0,1502000000.0,2651000000.0,0.7580256821829856,,438092269.0,0.119867657427998,0.7532378065582805,0.6424452133794695,1.0157159487776484,0.1322185061315496,0.1668384227368878,0.4167224080267558,0.3936649129467918,443062323.0,183000000.0,103.61,[],{},0.0469741416621641,20.67091204663688,23.830266465560584,0.0419634418039427,0.0365794819101659,,0.1374378109452736,1.0,20,20,0.7506118881118882,11.0,22.0,0.5824727272727274,0.5824727272727274,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6925083333333333,True,0.9,0.7825,strong_buy,4,8,stable,0.7666,persistent,wait,0.25,56.35915320188572
FANG,"Diamondback Energy, Inc.",Energy,56695603200.0,38.639317,11.346524,1.4988563,2.17,0.467,28.678,0.034930002,0.0234171603878467,0.09029,0.525,1.795,5035500032.0,74933534720.0,11779999744.0,4918000000.0,14929000000.0,12613999616.0,462000000.0,135.083,71059000000.0,1915000000.0,,4600000000.0,1664000000.0,8758000000.0,0.3497220175497354,,284594908.0,0.0496047078404565,0.4530527079742357,0.4163043478260869,0.438578258158387,0.2093893806555116,0.1980770373892884,0.2100930212921656,0.1638084764905189,290984373.0,265000000.0,202.47,[],{},0.0888164116401887,6.361081184077825,15.236586970313136,0.0656314962102991,0.0258803746453385,,0.0740005115936141,1.0,20,20,0.7042133973142074,7.0,22.0,0.6051681818181819,0.6051681818181819,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6875816666666666,True,0.9,0.7744,strong_buy,4,1,improving,0.3697,new,neutral,0.5,58.65093798745945
ADP,"Automatic Data Processing, Inc.",Technology,108436840448.0,24.927853,20.37252,18.00409,2.49,1.051,91.436,0.72239,0.0698412648176309,0.20109,0.068,0.098,5243049984.0,109721436160.0,6411200000.0,5779000000.0,21947400000.0,5514699776.0,4230099968.0,15.161,63193300000.0,52561100000.0,,50024900000.0,4413500000.0,5441200000.0,0.4641643201472611,,397800000.0,0.0764428238706522,0.4602716807143656,1.0506987520214932,1.0478193142643957,0.0834075764361095,0.1698616995163886,0.3473058061535004,0.385257067265263,405300000.0,459300000.0,272.96,[],{},0.0483511873117906,17.11402485650112,18.986232247793737,0.0526697444205236,0.0401157692962968,,0.4388536192703745,1.0,20,20,0.7432867655525655,8.0,22.0,0.5556272727272726,0.5556272727272726,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6502399999999999,True,0.8,0.75,strong_buy,4,8,stable,0.7466,persistent,wait,0.25,62.672322225501844
PEP,"PepsiCo, Inc.",Consumer Defensive,192319127552.0,18.452162,15.680897,8.703096,4.2,0.934,238.949,0.51508,0.0767232469576066,0.10785,0.064,1.37,7831875072.0,234833084416.0,18882000896.0,13491000000.0,93925000000.0,53213999104.0,10716000256.0,16.177,107399000000.0,27949000000.0,,32764000000.0,8240000000.0,12087000000.0,0.541485227575193,,1367340122.0,0.0962932429851106,0.5455396607659982,0.8530399218654621,0.8189370877727042,0.4646318867028557,0.4518885660570843,0.8745425935064572,0.9234620527411102,1371989025.0,1121000000.0,140.79,[],{},0.040723328832086,12.436874974714543,17.406647721888667,0.0574493156854384,0.0541941914448832,,0.1807596971930059,1.0,20,20,0.7571428571428571,10.0,22.0,0.59045,0.59045,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7436016666666666,True,0.8,0.7491,strong_buy,4,8,stable,0.7531,persistent,neutral,0.625,54.1104511121302
