ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
ADBE,Adobe Inc.,Technology,99573751808.0,14.388283,9.052583,8.411121,,0.77,57.48,0.61902,0.2417276918904258,0.28048,0.129,0.105,9129875456.0,100070498304.0,9754999808.0,8706000000.0,23769000000.0,6761999872.0,5639000064.0,29.782,29496000000.0,10163000000.0,,10200000000.0,7130000000.0,10031000000.0,0.8926753334174765,,413000000.0,0.18392325504465762,0.89035108114392,0.9963725490196078,1.067579127459367,0.22538649308380798,0.20033079722130334,0.8058380797396257,0.711379424412835,441000000.0,263000000.0,250.5,[],{},0.09168957973587658,10.258380345833832,11.494428934527912,0.08699866741496985,0.06950099605352494,,0.451181592039801,0.95,19,20,0.9000716565696045,9.0,22.0,0.5452,0.5452,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,3,5,"cheapness,quality,risk",0.5230583333333334,True,0.9,0.9243,strong_buy,4,9,stable,0.5199,persistent,2026-07-25
CMCSA,Comcast Corporation,Communication Services,84209147904.0,7.831683,6.6281214,0.937537,5.41,0.796,100.474,0.114879996,0.07335189321830606,0.08966,-0.012,-0.668,12697624576.0,167121141760.0,34072999936.0,20670000000.0,123707000000.0,90381000704.0,7661000192.0,25.311,272631000000.0,29567000000.0,,33524000000.0,19998000000.0,33643000000.0,0.7174695045551182,,3604212627.0,0.0608239328953349,0.7007540551680662,0.8819651592888677,0.6771178090497966,0.36289710267724506,0.3722348062251372,0.45375250796864625,0.46478545214134653,3787746392.0,4409000000.0,23.73,[],{},0.15078676001419145,4.904796820764447,8.085202794388001,0.12368273566299504,0.12768647556342616,,0.08644665359023367,1.0,20,20,0.8600000000000001,13.0,22.0,0.7116363636363636,0.7116363636363636,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6953050000000001,True,0.8,0.92,strong_buy,4,4,stable,0.89,persistent,2026-07-26
PDD,PDD Holdings Inc.,Consumer Cyclical,112106708992.0,8.414531,6.3565564,1.6603996,,2.618,1.082,0.22745001,0.15529469087656747,0.20426,0.081,-0.112,74635272192.0,-340774354944.0,99100975104.0,93102131000.0,431845713000.0,4844000256.0,456414003200.0,47.43437,630044327000.0,518979892000.0,,213737168000.0,97842539000.0,106938690000.0,0.5628027619206677,,5693585848.0,0.222627469932162,0.6092273532763555,2.4281218697536033,2.20593322615702,0.008537169163337296,0.02100281043080645,0.6854211592639259,0.7798204686748454,5568585848.0,0.0,78.76,[],{},0.66575205768752,-3.43865794041259,-3.6602207842482146,-0.27320756286164677,0.11884203647238331,,0.22363807344470865,0.95,19,20,0.8090145148968677,11.0,22.0,0.6443545454545455,0.6443545454545455,0.5,0.0,1.0,0.5,22.0,3,5,"cheapness,quality,risk",0.5658916666666667,True,1.0,0.8864,strong_buy,4,17,stable,0.4832,persistent,2026-07-18
INTU,Intuit Inc.,Technology,85015789568.0,19.995602,11.633758,4.55617,1.68,1.507,44.34,0.23596,0.12412330778013375,0.21289,0.137,-0.014,6353625088.0,86236790784.0,6848999936.0,6177000000.0,21448000000.0,8421000192.0,7200000000.0,69.824,36786000000.0,15311000000.0,,10163000000.0,4566000000.0,8838000000.0,0.8017064528161134,,268384000.0,0.10468640077926294,0.7956560989857151,1.5065433435009348,1.3603664416586307,0.22891861034089056,0.17963634395800637,0.5830478986570978,0.5095243249093566,279129000.0,256000000.0,318.13,[],{},0.07473464776702501,12.591150765050905,13.960950426420592,0.07162836121153587,0.05001099741833229,,0.232017428539233,1.0,20,20,0.8419046554220972,12.0,22.0,0.6583363636363636,0.6583363636363636,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7332449999999999,True,1.0,0.882,strong_buy,4,17,stable,0.862,persistent,2026-07-18
NXPI,NXP Semiconductors N.V.,Technology,55218909184.0,19.310406,12.101612,4.846084,1.79,2.04,93.325,0.27921,0.07609186746987952,0.22564,0.195,0.726,3555000064.0,63334912000.0,5068000256.0,3035000000.0,12269000000.0,10976000000.0,3222000128.0,45.187,26560000000.0,7940000000.0,,3881000000.0,2021000000.0,2820000000.0,0.5473958757844976,,252854704.0,0.10293213040803773,0.5643729189789123,2.045864467920639,2.357972885732731,0.46016566265060244,0.44510969858519583,0.4619352409638554,0.5172852163215091,254324627.0,466000000.0,218.98,[],{},0.06438012116744389,12.497022257451125,20.86817528830313,0.047919858166061716,0.05178555023648907,,0.1338242426914767,1.0,20,20,0.8451518442797513,10.0,22.0,0.6045954545454546,0.6045954545454546,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7276566666666666,True,0.9,0.8815,strong_buy,4,3,stable,0.7554,building,2026-08-02
ROP,"Roper Technologies, Inc.",Technology,37168926720.0,15.999149,15.470676,1.9875928,0.95,0.553,60.531,0.13066,0.044431269340891345,0.30244,0.085,2.33,2265687552.0,48123424768.0,3238000128.0,2235400000.0,7902500000.0,11319400448.0,364900000.0,189.083,34577000000.0,1928100000.0,,3725600000.0,1536300000.0,2540300000.0,0.6924391015501423,,106600000.0,0.049443588098816965,0.693019093078759,0.5175273781404337,0.4025624967381661,0.2703907221563467,0.24475102681691543,0.22854787864765597,0.2246455207804766,107300000.0,325000000.0,375.82,[],{},0.060956496513009883,14.862082416817001,21.52788081238257,0.04645139058113014,0.06250332439556629,,0.07245700357196108,1.0,20,20,0.8082896754408383,9.0,22.0,0.5972227272727274,0.5972227272727274,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7244716666666667,True,0.9,0.8572,strong_buy,4,9,stable,0.8327,persistent,2026-07-25
PYPL,"PayPal Holdings, Inc.",Financial Services,45091340288.0,10.175675,9.111164,2.2924368,1.04,1.288,71.751,0.24497,0.06527135070410238,0.14364,0.048,-0.031,4423124992.0,48056344576.0,6456000000.0,6396000000.0,33172000000.0,14220999680.0,11256000512.0,22.993,80173000000.0,59759000000.0,,46443000000.0,5233000000.0,6416000000.0,0.4662064391655613,,920000000.0,0.052677040330263575,0.4609868855552411,1.2867170510087633,1.2795339635084635,0.12456812143739164,0.12548745633534455,0.413755254262657,0.4038996506827564,993000000.0,441000000.0,52.71,[],{},0.09809255976312398,7.443671712515489,7.513499777360851,0.13309376850094942,0.09827357890262808,,0.18962348058108508,1.0,20,20,0.8137981126570963,15.0,22.0,0.6964045454545456,0.6964045454545456,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7150066666666667,True,1.0,0.8307,strong_buy,4,17,stable,0.8222,persistent,2026-07-18
QCOM,QUALCOMM Incorporated,Technology,197420302336.0,21.468061,18.114447,7.063859,1.96,2.016,55.21,0.33754003,0.1105039586781804,0.21013,-0.04,-0.23,10241000448.0,201091235840.0,11998999552.0,12394000000.0,44284000000.0,15269999616.0,8304000000.0,26.167,50143000000.0,25754000000.0,,9144000000.0,5541000000.0,14012000000.0,0.5542859723602204,,1074000000.0,0.1838851216593538,0.5621374672758072,2.8164916885389326,2.402037319116527,0.29537522685120554,0.2653298038220256,0.8831541790479229,0.7064220183486238,1113000000.0,664000000.0,184.84,[],{},0.05187409970920976,16.759000195685648,16.224885899628852,0.06163371540399401,0.04658082534794363,,0.30230005609892924,1.0,20,20,0.783346643666411,10.0,22.0,0.6006136363636364,0.6006136363636364,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6934983333333333,True,1.0,0.8136,strong_buy,4,17,stable,0.7985,persistent,2026-07-18
CPRT,"Copart, Inc.",Industrials,28533508096.0,20.012987,17.142221,3.1407318,,7.912,0.97,0.1616,0.15384640540558217,0.31809,0.024,-0.146,885121728.0,24187355136.0,1881963008.0,1696714000.0,4646958000.0,88367000.0,4489802240.0,9.813,10090902000.0,5754628000.0,,683281000.0,1552449000.0,1799750000.0,0.4518317144247914,,967478690.0,0.16172973044807615,0.45016088706089447,8.422051835189329,7.028978613258412,0.010280448665540504,0.01408831571458337,0.4605096749527446,0.502722074324815,962967011.0,,30.82,[],{},0.031020431312618085,12.852194773851792,14.255410832939434,0.07014880256480144,0.04996755356908991,,0.18035526728808485,0.95,19,20,0.7692307692307692,8.0,22.0,0.48784545454545464,0.48784545454545464,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,quality,risk",0.47313666666666665,True,0.83335,0.8134,strong_buy,4,17,stable,0.451,persistent,2026-07-18
PAYX,"Paychex, Inc.",Technology,41550041088.0,24.215767,18.248194,11.111958,4.02,1.259,123.967,0.44769,0.10881943800426598,0.27029,0.125,0.434,2095500032.0,45001904128.0,3015300096.0,2510500000.0,6512000000.0,4630300160.0,1143699968.0,10.504,16174500000.0,8613300000.0,,6840600000.0,1760100000.0,2556700000.0,0.7428593366093366,,355600000.0,0.10005373065847224,0.7235314177001633,1.2591439347425664,1.281787731983957,0.2849114346656775,0.3032039169046311,0.40260904510185785,0.3363720334941228,360500000.0,269500000.0,116.72,[],{},0.050433163894155524,14.924519183910775,17.92547465763792,0.0557865283402081,0.04129540889619561,,0.26896581278993775,1.0,20,20,0.7848821236902633,11.0,22.0,0.6052772727272727,0.6052772727272727,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7483066666666667,True,0.9,0.8095,strong_buy,4,1,improving,0.4982,new,2026-09-17
