ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
ASSA-B.ST,ASSA ABLOY AB ser. B,Industrials,396436066824.9593,24.213026,19.66167,3.5652921,1.79,1.015,64.103,0.15566,0.07055204419041038,0.10823,0.033,0.159,18395125760.0,464126967808.0,28960999424.0,23601000000.0,152409000000.0,71387996160.0,3868999936.0,100.104,208371000000.0,49395000000.0,,47920000000.0,14701000000.0,21412000000.0,0.4262806002270207,,1110776334.0,0.06994029650499765,0.41773551231336825,1.0307804674457428,1.104579048524837,0.31363769430486965,0.3287091075780953,0.7314309572829233,0.6715502783927014,1110776334.0,3316000000.0,356.9,[],{},0.04640124171174896,16.02593063219281,19.665563654421423,0.05085030958546511,0.04130008368222956,,0.14709163545256806,1.0,20,20,0.7615384615384616,8.0,22.0,0.5228227272727274,0.5228227272727274,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6154233333333334,True,0.9,0.8154,strong_buy,4,2,stable,0.5914,building
VOLV-B.ST,AB Volvo (publ),Industrials,691780386816.0,19.307604,13.662651,3.628181,2.5,1.103,147.349,0.20883,0.05312447000416288,0.076009996,0.027,0.401,24019875840.0,905188409344.0,56166998016.0,49476000000.0,479183000000.0,260354998272.0,47068000256.0,93.766,648590000000.0,305570000000.0,,265914000000.0,34456000000.0,45595000000.0,0.24389220819603366,,2033452084.0,0.07051712652750489,0.2734332290591022,1.1491309220274224,1.2751709141638996,0.38082764149925225,0.3622502672958615,0.7388072588229853,0.737255165387565,2033452084.0,1832000000.0,340.2,[],{},0.034721822557812435,16.11601903819292,18.295505080119653,0.054658234119298765,0.05179306557147122,,0.12928952952367015,1.0,20,20,0.776923076923077,7.0,22.0,0.5322954545454546,0.5322954545454546,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6641283333333334,True,0.9,0.7923,strong_buy,4,2,stable,0.5885,building
SKA-B.ST,Skanska AB (publ),Industrials,110559469568.0,16.697937,15.836298,1.7983795,3.18,1.47,25.14,0.11123,0.03602203522603795,0.03807,0.041,0.524,2031374976.0,110215077888.0,8696999936.0,6214000000.0,176658000000.0,15511000064.0,16074000384.0,148.467,158292000000.0,125482000000.0,,81277000000.0,5702000000.0,7360000000.0,0.08351164396743992,,413967733.0,0.03242858060710135,0.08204849247227747,1.5438808026871071,1.5481782289904118,0.10023879918125995,0.11159590437306886,1.1160260783867788,1.0308048152236766,411521664.0,367000000.0,267.0,[],{},0.018373595531322583,12.672769771077068,17.736575134856775,0.05638067058587606,0.059887637616551075,,0.08068558073102643,1.0,20,20,0.7115384615384617,9.0,22.0,0.5845590909090908,0.5845590909090908,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.69921,True,0.83335,0.7885,strong_buy,4,2,stable,0.5625,building
SKF-B.ST,AB SKF (publ),Industrials,119362805760.0,26.518219,14.604236,2.0730145,2.96,2.191,34.361,0.083050005,0.036900264982804305,0.05032,0.001,1.451,3148875008.0,129733976064.0,10400000000.0,6879000000.0,91583000000.0,20572000256.0,12460999680.0,126.386,106422000000.0,54536000000.0,,25757000000.0,3927000000.0,8392000000.0,0.26778987366651014,,455351068.0,0.054215202699873545,0.27727355604627135,2.117327328493225,2.050640472555917,0.14079795530999228,0.1678376726152094,0.8605645449249215,0.826727408238634,455351068.0,902000000.0,262.0,[],{},0.026380705345778896,12.474420775384615,18.859423762756215,0.05302388941356789,0.0377099231286988,,0.08527862145912106,1.0,20,20,0.7038461538461538,7.0,22.0,0.5524636363636364,0.5524636363636364,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6771466666666667,True,1.0,0.7885,strong_buy,4,2,stable,0.5596,building
TEL2-B.ST,Tele2 AB (publ),Communication Services,114810454016.0,11.380262,24.947048,3.9733982,6.37,0.697,135.225,0.47615,0.07294847328244275,0.33580002,0.019,0.012,7559875072.0,141695975424.0,12076999680.0,7066000000.0,29889000000.0,30745999360.0,3585999872.0,41.501,62880000000.0,7514000000.0,,13188000000.0,4587000000.0,11343000000.0,0.43494262103114856,,693556132.0,0.06005400204835356,0.43029544993577173,0.5697603882317258,0.5373499503020108,0.45917620865139946,0.47596288135067194,0.4753339694656489,0.4590484466652183,692389827.0,985000000.0,164.9,[],{},0.06584657413641493,11.732713354183016,20.053209089159356,0.04986733023895881,0.08787143916370291,,0.14219592690976415,1.0,20,20,0.7924358974358974,13.0,22.0,0.6122363636363637,0.6122363636363637,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6746700000000001,True,0.8,0.7809,strong_buy,4,2,stable,0.59,building
ERIC-B.ST,"Ericsson, Telefonab. L M ser. B",Technology,319820955648.0,13.227642,14.234513,3.102199,3.07,1.12,37.682,0.26077,0.10181109722336627,0.10831001,-0.061,-0.109,30705874944.0,308867923968.0,35283001344.0,30393000000.0,236681000000.0,39478001664.0,54103998464.0,31.468,279223000000.0,143554000000.0,,110937000000.0,28428000000.0,32954000000.0,0.4760331416548012,,3333349459.0,6.840553537592262e-05,0.44120138776827494,1.294013719498454,1.170109346800734,0.14420015543132192,0.15574572294390063,0.8476414908513984,0.847818205449185,3332672174.0,2719000000.0,97.62,[],{},0.09600957786454548,8.754015027140657,10.162469120126344,0.09840128301295813,0.07559926402604486,,0.18060325873810062,1.0,20,20,0.7326923076923078,13.0,22.0,0.6828590909090909,0.6828590909090909,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7429533333333334,True,1.0,0.7386,strong_buy,4,2,stable,0.5517,building
ESSITY-B.ST,Essity AB (publ),Consumer Defensive,188342157312.0,15.699776,21.043873,2.0351284,3.15,1.088,45.728,0.13964,0.07573182699442303,0.08808,0.026,-0.103,8978624512.0,224937132032.0,24491999232.0,18579000000.0,138494000000.0,42609000448.0,6872999936.0,136.699,167116000000.0,54278000000.0,,40796000000.0,12656000000.0,15459000000.0,0.33302525741187344,,683048663.0,0.112735044580212,0.3238426339439078,1.3304735758407686,1.4331861338043719,0.2226238062184351,0.2362697264739535,0.8287297446085354,0.785529241596684,694944489.0,1582000000.0,278.2,[],{},0.0476718788833154,9.184106609725374,12.107063460466117,0.08259641186034555,0.06369517628786552,,0.14707884737175428,1.0,20,20,0.6657692307692308,10.0,22.0,0.6077272727272728,0.6077272727272728,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6889183333333333,True,1.0,0.7181,buy,3,2,stable,0.519,building
SAND.ST,Sandvik AB (publ),Industrials,450575433728.0,26.746092,26.411764,4.4870276,1.67,1.639,42.909,0.17908001,0.08648298598846109,0.1305,0.237,0.629,14508099584.0,490152460288.0,29316999168.0,20979000000.0,120680000000.0,43121000448.0,3620000000.0,80.053,169860000000.0,69898000000.0,,36113000000.0,14690000000.0,19189000000.0,0.4060490553529997,,1254385923.0,0.06639947066990629,0.39987630006998814,1.9355356796721401,1.7915955735387314,0.21855057105851877,0.23188562998958695,0.7104674437772283,0.6664244186046512,1254385923.0,1824000000.0,359.2,[],{},0.0321990470362797,16.719052911220523,23.36395730435197,0.0428009684735099,0.0373886398057705,,0.15685585471075986,1.0,20,20,0.6346153846153846,10.0,22.0,0.5612772727272727,0.5612772727272727,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6901266666666667,True,1.0,0.6615,buy,3,2,stable,0.486,building
BOL.ST,Boliden AB,Basic Materials,149080293376.0,11.737089,10.247944,1.8528976,2.1,1.573,28.232,0.16781999,0.06558062986415242,0.122279994,0.155,2.869,1669750016.0,167628292096.0,26556999680.0,12837000000.0,93509000000.0,22722000896.0,4198000128.0,283.34,143396000000.0,41459000000.0,,24399000000.0,9404000000.0,20686000000.0,0.16882866889818093,,283955454.0,0.08625378683558249,0.14464111560751958,1.699208983974753,1.6665077576493021,0.1659390777985439,0.14206657945469567,0.6521032664788418,0.7677550950151474,273471169.0,1374000000.0,525.0,[],{},0.011200340287690956,6.312019208338523,13.058213920386383,0.07658015147376378,0.08520000146544003,,0.10787666915972671,1.0,20,20,0.6324358974358975,12.0,22.0,0.7010636363636364,0.7010636363636364,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7774266666666667,True,0.83335,0.6603,buy,3,2,stable,0.4848,building
TELIA.ST,Telia Company AB (publ),Communication Services,172816203776.0,35.16,22.538462,3.4671822,4.73,0.661,169.141,0.105579995,0.018626057458084766,0.060349997,0.046,0.132,21041000448.0,256233209856.0,26616000512.0,10167000000.0,80982000000.0,90634002432.0,10958000128.0,12.676,189251000000.0,30855000000.0,,33630000000.0,3525000000.0,27602000000.0,0.6508236398211948,,3932109286.0,0.034654774026787814,0.6551843389118756,0.9174843889384479,0.8120759672202903,0.44091708894536885,0.4620212265998277,0.42790791065833206,0.3963587765332498,3932109286.0,3614000000.0,43.95,[],{},0.12175363182536293,9.627036554213905,25.202440233697256,0.039678697408949186,0.028441410693970423,,0.06533179969284351,1.0,20,20,0.5576923076923077,6.0,22.0,0.42479999999999996,0.42479999999999996,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5278866666666666,True,0.8,0.6281,buy,3,2,stable,0.4447,building
