ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
GALP.LS,"Galp Energia, SGPS, S.A.",Energy,16254248960.0,13.339744,11.543859,3.170323,3.27,1.529,80.965,0.24875,0.07306412681844869,0.050869998,0.352,1.346,1967500032.0,18245615616.0,3312999936.0,2135000000.0,19507000000.0,4598000128.0,2331000064.0,6.564,15329000000.0,6241000000.0,,3711000000.0,1120000000.0,1403000000.0,0.12005946583277798,,733855705.0,0.061842183504786825,0.12786823706067288,1.6817569388305038,1.720733104238259,0.319655554830713,0.2918475352322055,1.2725552873638202,1.2672295891062615,750267303.0,143000000.0,20.81,[],{},0.12104527479810423,5.507279193620848,8.545955792037471,0.11701441293807426,0.07496395732931607,,0.1837665691168876,1.0,20,20,0.6223360177404296,8.0,22.0,0.6302545454545455,0.6302545454545455,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7203583333333333,True,0.9,0.5996,buy,3
NVG.LS,"The Navigator Company, S.A.",Basic Materials,2297121280.0,21.533333,11.110729,1.6395938,3.48,1.294,71.869,0.07865,0.04537129543343548,0.059499998,-0.106,-0.136,,3128441856.0,273554528.0,204489089.0,1969765842.0,1007452288.0,179386768.0,1.97,3188523352.0,897454818.0,,636341031.0,144667435.0,,0.5500766176856061,,711183069.0,0.08557486708098201,0.5777892359451301,1.4103362415427836,1.2429160642988426,0.30308324585229507,0.30291058752645544,0.6177674191297564,0.6227743946997342,711183069.0,31890693.0,3.23,[],{},,11.436264202506639,15.298820447089966,0.06536451639905434,0.04643962920185185,,0.0801232291742687,0.9,18,20,0.5729166666666665,4.0,22.0,0.40540454545454546,0.40540454545454546,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.4462,True,0.5,0.5469,buy,3
RENE.LS,"REN - Redes Energéticas Nacionais, SGPS, S.A.",Utilities,2348116992.0,11.799999,14.972086,1.5031847,4.52,0.323,154.408,0.12358,0.02968405767005789,0.16826001,0.232,0.125,13149625.0,4732853248.0,507753984.0,240480000.0,1019640000.0,2402778880.0,18043000.0,2.355,5383799000.0,358557000.0,,1472825000.0,159813000.0,,0.6449805813816641,,663309888.0,0.02847301437354029,0.6754599943876849,0.24344847486972315,0.3838103768300427,0.46872700856774185,0.4726646964268712,0.1893904285802646,0.17763504014845874,663309888.0,61530000.0,3.54,[],{},0.0056000723323414376,9.321154332882596,19.68086014637392,0.05081078736206781,0.08474576989370931,,0.06148851922820249,0.95,19,20,0.7833333333333333,8.0,22.0,0.4761136363636364,0.4761136363636364,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,garp",0.4927283333333333,False,0.2,0.8,hold,2
COR.LS,Corticeira Amorim-SGPS,Basic Materials,893232630.2433014,16.487806,13.254903,1.2347033,5.18,24.665,7.786,0.062340003,0.04588889448618098,0.05274,-0.036,-0.629,,,130036000.0,82599000.0,860967000.0,63600000.0,,5.475,1210903000.0,686388000.0,,222293000.0,55567000.0,,0.546328721077579,,133000000.0,0.0511667207460905,0.5284662018761295,3.0877625476285804,2.322499249023731,0.11632228180126732,0.19991572419200201,0.7110123601973073,0.6893739070939969,133000000.0,5874000.0,6.76,[],{},,,,,0.06065088344683338,,0.08355064181021839,0.85,17,20,0.7261904761904764,4.0,22.0,0.4853954545454546,0.4853954545454546,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.5217016666666667,False,0.4,0.7692,hold,2
NOS.LS,"NOS, S.G.P.S., S.A.",Communication Services,2484791040.0,9.323077,11.10424,2.4119403,9.28,0.538,164.375,0.26397,0.06929152009883853,0.14421,0.0,0.364,254894624.0,4190788096.0,643560000.0,419241000.0,1823162000.0,1705019008.0,6122000.0,2.01,3548414000.0,567725000.0,,885022000.0,245875000.0,,0.7088508865366874,,511704041.0,0.08103460130061817,0.7140968116382895,0.6414812287152184,0.6747614654934172,0.4720847116486408,0.460811950281372,0.5137963044898368,0.5048721838616556,511316156.0,67413000.0,4.848,[],{},0.10258191529859992,6.5118840449996895,9.99613133257482,0.10003870164663177,0.10726072518761778,,0.1574086728502601,0.95,19,20,0.7558648459383753,14.0,22.0,0.6783818181818181,0.6783818181818181,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,4,5,"cheapness,quality,dividend,garp",0.7067249999999999,False,0.46665,0.7478,hold,2
IBS.LS,"Ibersol, S.G.P.S., S.A.",Consumer Cyclical,390808992.0,24.525002,20.142912,1.2496816,7.14,1.05,89.56,0.04976,0.022057672947018672,0.03026,0.047,,84278544.0,564250944.0,63330688.0,30827988.0,529515952.0,280039712.0,106561640.0,7.85,689395116.0,163492213.0,,153888077.0,15206452.0,,0.4861664375316119,,40020861.0,0.01819546125195572,0.47755297699806337,1.062409877277237,1.0594953534384632,0.4183309270789786,0.4183059880826967,0.7680877623159721,0.6230327130236472,41138935.0,17025436.0,9.81,[],{},0.21565149657559568,8.909597571401719,18.303203699184,0.054635243995267466,0.04077471634864698,,0.05756784832850722,0.95,19,20,0.6095792483660132,4.0,22.0,0.3785363636363636,0.3785363636363636,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,2,5,"cheapness,dividend",0.360395,False,0.36665000000000003,0.6565,hold,2
SEM.LS,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.",Basic Materials,1621348224.0,34.40678,10.424315,0.67410505,3.1,0.5699843898814456,47.563,,0.029544754971916165,0.31453,-0.297,0.139,,2085531648.0,276649312.0,186108509.0,2114924032.0,1321991296.0,1232097664.0,30.114,5300414241.0,1005930826.0,,1764839255.0,156599440.0,,0.5532447569256237,,79869373.0,0.04366637226675307,0.5816929726566004,0.5699843898814456,1.1354697840801597,0.24522828611123265,0.3273181922974902,0.39901108400934887,0.40315638847011664,79869373.0,43076567.0,20.3,[],{},,7.538539072889507,11.205998367328815,0.0892379212650529,0.029064039122521784,,0.05263882387926816,0.85,17,20,0.6071428571428572,5.0,22.0,0.5143863636363637,0.5143863636363637,0.22727272727272727,0.0,1.0,0.22727272727272727,22.0,3,5,"cheapness,dividend,garp",0.4587183333333333,False,0.4,0.5937,hold,2
PHR.LS,"Pharol, S.A.",Financial Services,73635336.0,inf,,0.7859649,,6.203,,-0.01059,0.02181000410731647,0.0,,,-604459.0,60027560.0,-1823544.0,-2517223.0,0.0,0.0,14259243.0,0.114,96320798.0,16493111.0,,1963404.0,2100757.0,,,,821822948.0,0.2549083841356889,,8.400263521924169,5.862989821022001,8.440544689008909e-06,7.83621220041733e-05,0.0,,821822948.0,,0.0896,[],{},-0.008208817027737878,-32.91807601023063,-23.846739045368647,-0.041934454773773916,0.0,,-0.02667753838135886,0.85,17,20,0.43483275663206455,1.0,22.0,0.20475454545454544,0.20475454545454544,0.045454545454545456,0.0,1.0,0.045454545454545456,22.0,1,5,cheapness,0.15655666666666668,False,0.4,0.5245,hold,2
BCP.LS,"Banco Comercial Português, S.A.",Financial Services,16095719424.0,13.7,11.680699,2.1574802,3.14,,,0.13848,0.009316927918704674,0.29337,0.002,0.022,,23060242432.0,,,3919431000.0,8791361536.0,3583929088.0,0.508,109332927000.0,,,,1018647000.0,,,,14804627089.0,0.008873566060456728,,,,0.0626258546979173,0.061096543276396305,0.03584858749825659,0.03654749712076925,15113989952.0,1481158000.0,1.096,[],{},,,,,0.07299270072992702,,,0.65,13,20,0.5504201680672268,3.0,22.0,0.3807227272727273,0.3807227272727273,0.13636363636363635,0.0,1.0,0.13636363636363635,22.0,3,5,"cheapness,dividend,garp",0.3851583333333333,False,0.2,0.5158,hold,2
SON.LS,"Sonae, SGPS, S.A.",Consumer Defensive,3928451840.0,18.363636,11.314626,1.2066905,3.08,0.7546151157295762,92.553,0.08696,0.017538701050462742,0.018660001,0.05,0.282,,,685756032.0,366885000.0,11360072000.0,3592000000.0,,1.674,11358994000.0,2478313000.0,,3284208000.0,199222000.0,,0.3192650539538834,,1944778067.0,0.01964477683969345,0.3180865959697873,0.7546151157295762,0.762961464744238,0.33412201819985116,0.3464312040206219,1.000094902770439,0.8775870975198431,1938334607.0,184548000.0,2.02,[],{},,,,,0.054455446622880134,,0.045435879043729456,0.85,17,20,0.5215336134453782,4.0,22.0,0.3683863636363636,0.3683863636363636,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.38686166666666666,False,0.1,0.5136,hold,2
