ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
NOVN.SW,Novartis AG,Healthcare,241200726016.0,23.5436,15.8494215,7.8082733,2.92,0.862,116.85,0.3035,0.12603989220272377,0.22502,0.008,-0.17,11900250112.0,283000700928.0,23097999360.0,17644000000.0,56674000000.0,49014001664.0,7617999872.0,16.251993,110949000000.0,30460000000.0,,27278000000.0,13984000000.0,19144000000.0,0.7582842220418534,,1908151679.0,0.116786964771238,0.7520010827114187,1.1166507808490358,1.0352711557228496,0.318849200984236,0.3057136709504528,0.5108112736482529,0.5058584198892866,1975089248.0,1144000000.0,126.9,[],{},0.04933753852469996,12.252173728002044,16.039486563591023,0.062346135335152125,0.04247438794406972,,0.2108735404142415,1.0,20,20,0.7000000000000001
RO.SW,Roche Holding AG,Healthcare,286835703808.0,23.468058,16.410534,8.473578,2.72,1.228,86.624,0.38108003,0.1279008569754625,0.19601999,-0.012,,9968874496.0,312516345856.0,23413000192.0,18476000000.0,63356000000.0,31804999680.0,9733999616.0,42.485,100703000000.0,38729000000.0,,28001000000.0,12880000000.0,18852000000.0,0.7372782372624535,,795617637.0,0.0813056846199939,0.7390335764083661,1.3831291739580729,1.4815527513599527,0.32959296148079004,0.3571084763410968,0.6291371657249536,0.6129114645239241,795400695.0,1346000000.0,360.0,[],{},0.03475465000923627,13.347983739511687,16.914718870751244,0.05912010761994925,0.04261110996061114,,0.2541333113256857,1.0,20,20,0.55
NESN.SW,Nestlé S.A.,Consumer Defensive,207500967936.0,27.913494,16.984732,6.3245783,3.84,0.83,213.005,0.26244,0.07104151756572893,0.083809994,-0.025,-0.315,4374249984.0,264548909056.0,16458999808.0,13981000000.0,89885000000.0,62845001728.0,6134000128.0,12.755,127151000000.0,31969000000.0,,40694000000.0,9033000000.0,15904000000.0,0.45826333648550927,,2572220000.0,0.07815372242647059,0.4693632795464457,0.7855949279992136,0.8209411380444672,0.4549865907464353,0.4563993566176471,0.7069153998002375,0.6586052389705882,2572715039.0,1823000000.0,80.67,[],{},0.0210806244785767,16.07320688632698,18.922030545454547,0.052848450783217885,0.03582496694967674,,0.1617104456550655,1.0,20,20,0.49058823529411766
ABBN.SW,ABB Ltd,Industrials,145181310976.0,36.036037,27.584032,11.29379,1.18,1.429,55.751,0.32575,0.10546953325164309,0.14086,0.142,0.082,1570499968.0,148994998272.0,7148000256.0,5729000000.0,33220000000.0,9146000384.0,5856999936.0,7.083539,44885000000.0,25578000000.0,,16421000000.0,4734000000.0,5469000000.0,0.4105960264900662,,1818141427.0,0.0976717633042097,0.39240754667625805,1.5576396078192558,1.4166097993721851,0.20251754483680517,0.19132247815726766,0.740113623705024,0.7591094122319301,1838192288.0,86000000.0,80.0,[],{},0.010817507828260485,20.84429112141319,26.007156270204224,0.03845095517596732,0.027749999257687518,,0.2012717818999438,1.0,20,20,0.18333333333333335
UBSG.SW,UBS Group AG,Financial Services,138683940864.0,74.22807,12.393632,1.742277,2.04,,,0.1016,0.004802071438154551,0.17764,0.138,0.844,,177452351488.0,,,47295000000.0,574302978048.0,528411983872.0,24.284313,1617427000000.0,,,,7767000000.0,21851000000.0,,,3091699191.0,0.003249782112524504,,,,0.20776331791172029,0.21240706236565735,0.029240886914834487,0.02897456147749433,3174825251.0,26545000000.0,42.31,[],{},,,,,0.01347199246861733,,,0.7,14,20,0.35714285714285715
CFR.SW,Compagnie Financière Richemont SA,Consumer Cyclical,113501872128.0,35.357143,24.564348,5.102296,1.71,3.098,55.981,0.14961,0.08173990568472421,0.1554,0.042,-0.272,2592000000.0,109925097472.0,5359000064.0,4635000000.0,22420000000.0,13514999808.0,17234999296.0,37.83591,42623000000.0,28934000000.0,,9341000000.0,3484000000.0,4880000000.0,0.643978590544157,,587940297.0,0.06708774325708433,0.669143417916725,3.0975270313670915,2.8984143222506393,0.3170823264434695,0.3206116178120275,0.5260070853764399,0.5218504609081598,587940297.0,305000000.0,193.05,[],{},0.022836627726077606,20.512240373057775,23.71631013419633,0.04216507518840838,0.02828282816855423,,0.1392644672796106,1.0,20,20,0.32972136222910214
ZURN.SW,Zurich Insurance Group AG,Financial Services,93057048576.0,16.15664,14.409182,3.871598,4.82,5.094,58.818,0.25221002,0.016694048048800255,0.09302,0.095,0.338,1322749952.0,71947419648.0,10766999552.0,10500000000.0,88670000000.0,17742999552.0,36086001664.0,160.91547,407211000000.0,,,,6798000000.0,5903000000.0,,,142278360.0,0.016239996648091507,,,,0.038508291770114264,0.04030111311294535,0.2177495205188465,0.2403485984832614,142285391.0,460000000.0,623.0,[],{},0.014214398288375821,6.6822162758087575,6.852135204571429,0.1459399107205074,0.06189405718020579,,,0.95,19,20,0.49666666666666665
HOLN.SW,Holcim AG,Basic Materials,40942317568.0,105.74285,17.2194,2.6625898,2.3,1.324,57.488,0.02089,0.39217378366314537,0.83815,-0.036,,1854200064.0,45454319616.0,3131000064.0,2230000000.0,15724000000.0,9246999552.0,5442999808.0,27.8,33605000000.0,9805000000.0,,7403000000.0,13179000000.0,2788000000.0,0.42349274993640296,,553125111.0,0.05390070921985816,0.43614591691870874,1.3244630555180332,1.249436128767685,0.2596042255616724,0.23803997421018697,0.4679065615235828,0.29844340057106017,551015549.0,354000000.0,74.02,[],{},0.04528810712584623,14.517508363743042,20.383102966816143,0.04906024375326996,0.009456904178391257,,0.0851080070223647,1.0,20,20,0.41250000000000003
SREN.SW,Swiss Re AG,Financial Services,39666683904.0,10.624013,10.307475,1.8707216,4.65,2.794,30.526,0.19461,0.035371286574581925,0.11745,-0.02,0.186,,44188450816.0,6849750016.0,6510000000.0,46491000000.0,8135000064.0,3742000128.0,71.89739,134007000000.0,,,,4740000000.0,3069000000.0,,,294919585.0,0.025473752053384056,,,,0.06370562731797592,0.057070322017778966,0.34692963800398485,0.36749483215304685,294070924.0,433000000.0,134.5,[],{},,6.451104158952127,6.78778046328725,0.14732356260027163,0.09412639084684855,,,0.9,18,20,0.7312500000000001
LONN.SW,Lonza Group AG,Healthcare,38274637824.0,35.332043,25.027641,4.708996,0.91,1.663,51.116,0.12895,-0.015357122912827386,-0.01601,0.112,0.392,-1567000064.0,41949073408.0,2390000128.0,1358000000.0,6531000000.0,4167000064.0,487000000.0,116.373,17907000000.0,6834000000.0,,3625000000.0,-275000000.0,1156000000.0,0.35354463328739855,,69844229.0,0.03223027416003649,0.32718978102189783,1.8852413793103449,1.5199776473875384,0.2535321382699503,0.2594638422946334,0.3647177081588206,0.27770739370597475,72142714.0,163000000.0,548.0,[],{},-0.04094095079894962,17.551912619813884,30.890333879234166,0.032372586321323116,0.02830292038306418,,0.0950847220277272,1.0,20,20,0.36250000000000004
