ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label
NOVN.SW,Novartis AG,Healthcare,232723529728.0,22.716143,15.32368,6.916886,3.02,0.862,116.85,0.3035,0.12603989220272377,0.22502,0.008,-0.17,11900250112.0,274523521024.0,23097999360.0,17644000000.0,56674000000.0,49014001664.0,7617999872.0,17.701609,110949000000.0,30460000000.0,,27278000000.0,13984000000.0,19144000000.0,0.7582842220418534,,1908151679.0,0.116786964771238,0.7520010827114187,1.1166507808490358,1.0352711557228496,0.318849200984236,0.3057136709504528,0.5108112736482529,0.5058584198892866,1975089248.0,1144000000.0,122.44,[],{},0.051134709609761596,11.885164457117726,15.559029756517797,0.06427135982441916,0.044021557708982556,,0.2108735404142415,1.0,20,20,0.7625000000000001,9.0,22.0,0.5450363636363637,0.5450363636363637,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.65256,True,0.9,0.8,strong_buy,4,3,stable,0.6836,building
SCMN.SW,Swisscom AG,Communication Services,33101443072.0,25.187227,20.845001,2.8738863,4.07,0.62,143.288,0.11364,0.035283013630180715,0.088649996,-0.02,0.304,2733995008.0,49345441792.0,4318000128.0,1925000000.0,15048000000.0,16501000192.0,255000000.0,222.347,36023000000.0,5128000000.0,,6748000000.0,1271000000.0,6012000000.0,0.7997076023391813,,51801943.0,0.04074514466904479,0.8341653807751657,0.7599288678126852,0.8435526315789473,0.10351719734613997,0.10476945435328312,0.41773311495433474,0.29110846875412866,51801943.0,362000000.0,639.0,[],{},0.08259443559766264,11.427846301351476,25.633995736103895,0.03901069541770899,0.03970266357626427,,0.06575576430401367,1.0,20,20,0.703625730994152,8.0,22.0,0.4431045454545454,0.4431045454545454,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,dividend,garp,risk",0.5547449999999999,True,0.8,0.7594,strong_buy,4,1,improving,0.3658,new
AMRZ.SW,AMRIZE N,Basic Materials,20706605056.0,20.917128,15.368919,1.9945338,0.93,1.104,55.149,0.09719,0.04886799455647656,0.10137,0.086,0.147,1134000000.0,27060604928.0,2881999872.0,1906000000.0,11815000000.0,7090999808.0,729000000.0,18.98188,24249000000.0,4681000000.0,,2857000000.0,1185000000.0,2208000000.0,0.25679221328819296,,553082525.0,0.05351816845200588,0.26230348598769654,1.6384319215960799,1.8749019607843138,0.2615777970225576,0.40092417559336274,0.4872365870757557,0.4916614156689771,552735960.0,413000000.0,37.86,[],{},0.05476513397213848,9.389523292803256,14.197589154249737,0.07043449342951806,0.04780771050404242,,0.08909872849663425,1.0,20,20,0.7250000000000001,8.0,22.0,0.5025681818181819,0.5025681818181819,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,4,5,"cheapness,dividend,garp,risk",0.5732783333333333,True,1.0,0.75,strong_buy,4,2,stable,0.4425,building
LOGN.SW,Logitech International S.A.,Technology,11996318720.0,18.911964,17.092096,6.314775,1.62,2.311,3.588,0.35287997,0.1847916690484926,0.16277,0.069,0.663,723388224.0,10331027456.0,960393984.0,785054000.0,4840761000.0,84388000.0,1749678976.0,13.267298,3848588000.0,2915256000.0,,1312973000.0,711187000.0,1037207000.0,0.4320264933550737,,143502000.0,0.17847344527517844,0.430876857889306,2.2203472577120777,2.35467705153716,0.02290580337515993,0.02611329533610814,1.2578018223826504,1.2872389009592755,148509018.0,,83.78,[],{},0.06030085069296992,10.757072230889776,13.159639280864756,0.07598992484954248,0.052876581194845756,,0.3096108833557145,1.0,20,20,0.657061403508772,11.0,22.0,0.6718954545454545,0.6718954545454545,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7749550000000001,True,1.0,0.6276,buy,3,3,stable,0.562,building
PGHN.SW,Partners Group Holding AG,Financial Services,18754654208.0,15.016516,15.364679,8.574696,6.32,1.669,113.666,0.54798,0.19734823580977426,0.49346,0.201,0.11,1344012544.0,20911951872.0,1572999936.0,1541300000.0,2461200000.0,2486099968.0,328800000.0,84.831,6388200000.0,3916900000.0,,2347000000.0,1260700000.0,1515000000.0,0.818137493905412,,25783135.0,0.19842345116393645,0.8083535648813358,1.6688964635705155,2.496584558062513,0.3891706584014276,0.3772456143437791,0.38527284681130836,0.35512818256998574,25904035.0,44800000.0,727.4,[],{},0.07166288053589903,13.29431196620214,13.56773624343087,0.07370426297048432,0.06659334295651535,,0.3813966148668712,1.0,20,20,0.5650000000000001,10.0,22.0,0.6002409090909091,0.6002409090909091,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7128616666666667,True,0.9,0.5375,buy,3,3,stable,0.4823,building
SREN.SW,Swiss Re AG,Financial Services,41126535168.0,10.437874,10.956462,2.0593786,4.48,3.187,37.837,0.20356001,0.035371286574581925,0.11889,-0.052,0.01,1741124992.0,43268300800.0,6846000128.0,6510000000.0,46491000000.0,9443000320.0,7230000128.0,67.7146,134007000000.0,,,,4740000000.0,3069000000.0,,,294919585.0,0.025473752053384056,,,,0.06370562731797592,0.057070322017778966,0.34692963800398485,0.36749483215304685,294070924.0,433000000.0,139.45,[],{},0.04233580545717223,6.320230790390076,6.646436374807988,0.15045656703948956,0.09580495031842691,,,0.95,19,20,0.685,12.0,22.0,0.65195,0.65195,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,quality,dividend,garp",0.6394283333333333,False,0.56665,0.7025,hold,2,3,stable,0.4613,building
KNIN.SW,Kuehne + Nagel International AG,Industrials,25094002688.0,29.06465,22.836601,12.235089,2.84,0.975,196.252,0.44268,0.07394986165842207,0.03568,0.076,0.114,327750016.0,28556814336.0,1420999936.0,1237000000.0,24476000000.0,4084000000.0,617000000.0,17.27,11927000000.0,5827000000.0,,6027000000.0,882000000.0,1781000000.0,0.3595358718744893,,118760074.0,0.10072494669509595,0.3495685831787759,0.9668159946905591,0.9659356042930471,0.33176825689611805,0.20008528784648189,2.0521505827114948,2.115309168443497,118730720.0,50000000.0,211.3,[],{},0.013060890288209408,20.096281226011257,23.085541096200487,0.04331715664938797,0.034406056842246506,,0.20966101694915254,1.0,20,20,0.6666666666666666,4.0,22.0,0.385240909090909,0.385240909090909,0.18181818181818182,0.0,0.9016,0.18181818181818182,22.0,3,5,"cheapness,dividend,garp",0.4730616666666666,False,0.63335,0.7,hold,2,3,stable,0.3587,building
GEBN.SW,Geberit AG,Industrials,17904734208.0,30.116472,26.546453,11.802039,2.38,1.5397980746654145,89.302,,0.1549547681381062,0.19204001,-0.006,0.042,,18673733632.0,915400000.0,767200000.0,3162900000.0,1354800000.0,585800000.0,46.009,3857900000.0,1311600000.0,,851800000.0,597800000.0,866900000.0,0.7364444022890385,,32973728.0,0.16399340840428453,0.7285367039377735,1.5397980746654145,1.3203463203463204,0.351175509992483,0.3771216698709146,0.8198501775577387,0.8474320241691843,32937493.0,27900000.0,543.0,[],{},,20.39953422766004,24.340111616266945,0.0410844459452553,0.033204420491218224,,0.25521439739196966,0.9,18,20,0.5952380952380953,4.0,22.0,0.4300045454545456,0.4300045454545456,0.18181818181818182,0.0,1.0,0.18181818181818182,22.0,4,5,"cheapness,quality,dividend,garp",0.5076866666666666,False,0.73335,0.5833,hold,2,3,stable,0.3712,building
ZURN.SW,Zurich Insurance Group AG,Financial Services,88546099200.0,14.771991,13.75428,3.6839218,5.06,27.188,46.416,0.25695,0.016694048048800255,0.093830004,0.113,0.102,-445500000.0,71912161280.0,11377000448.0,10500000000.0,88670000000.0,15358000128.0,32480000000.0,160.91547,407211000000.0,,,,6798000000.0,5903000000.0,,,142278360.0,0.016239996648091507,,,,0.038508291770114264,0.04030111311294535,0.2177495205188465,0.2403485984832614,142285391.0,460000000.0,592.8,[],{},-0.005031277538197865,6.320836639559214,6.848777264761905,0.1460114647245379,0.06769568164508089,,,0.95,19,20,0.5700000000000001,7.0,22.0,0.59625,0.59625,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,quality,dividend,garp",0.6753199999999999,False,0.73335,0.565,hold,2,3,stable,0.3774,building
HOLN.SW,Holcim AG,Basic Materials,39625883648.0,102.34286,16.633041,2.511041,2.37,1.087,65.636,0.02781,0.39217378366314537,0.024149999,0.007,-0.929,1066200000.0,47912452096.0,2988000000.0,2230000000.0,15724000000.0,10951999488.0,3601999872.0,28.53,33605000000.0,9805000000.0,,7403000000.0,13179000000.0,2788000000.0,0.42349274993640296,,553125111.0,0.05390070921985816,0.43614591691870874,1.3244630555180332,1.249436128767685,0.2596042255616724,0.23803997421018697,0.4679065615235828,0.29844340057106017,551015549.0,354000000.0,71.64,[],{},0.026906655494957354,16.034957194109772,21.48540452735426,0.04654322420259039,0.009771077337490861,,0.0851080070223647,1.0,20,20,0.45,2.0,22.0,0.3045727272727273,0.3045727272727273,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,2,5,"garp,risk",0.338325,True,0.5,0.525,hold,2,2,stable,0.1463,building
SIKA.SW,Sika AG,Basic Materials,30619832320.0,29.406782,23.023186,4.493443,1.94,1.3,89.155,0.16042,0.06891862453212572,0.0937,-0.015,-0.006,1024162496.0,36048932864.0,1937699968.0,1523000000.0,11201300000.0,6077899776.0,625299968.0,42.473,15148300000.0,4411200000.0,,3527200000.0,1044000000.0,1707900000.0,0.5493648058707471,,160439241.0,0.07794946896728688,0.545434451802671,1.250623724200499,1.7627642716345224,0.36426529709604377,0.3582170819173504,0.7394427097430075,0.7361922106857426,160444515.0,157900000.0,190.85,[],{},0.03344768466713798,18.603980729384002,23.669686713066316,0.042248129944532496,0.03400576098397982,,0.13105471943275593,1.0,20,20,0.5249999999999999,2.0,22.0,0.3948727272727273,0.3948727272727273,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,2,5,"garp,risk",0.49377666666666664,True,0.9,0.5125,hold,2,2,stable,0.1556,building
