ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank
ACN,Accenture plc,Technology,87666819072.0,11.442492,9.7651615,2.7486043,4.76,1.339,25.035,0.24406,0.11741639412628786,0.10656,0.056,0.09,12089380864.0,83682656256.0,12943767552.0,10840988000.0,69672977000.0,8388769792.0,10171567104.0,52.121,65394897000.0,28900689000.0,,20352097000.0,7678433000.0,,0.31913952808418106,,621855922.0,0.1298852151124028,0.32609352953344267,1.4200349477501015,1.099159011741437,0.1251300388163315,0.07367021128715767,1.0654191717742134,1.1602668029598535,625280287.0,228555000.0,143.26,[],{},0.13790144312263794,6.465092633950292,7.719098688791095,0.12954880359958348,0.08739355028607405,,0.2406819291873507,0.95,19,20,0.8825000000000001,15.0,22.0,0.7441636363636364,0.7441636363636364,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7527616666666667,True,0.83335,0.935,strong_buy,4
AOS,A. O. Smith Corporation,Industrials,8357238272.0,16.169333,14.567911,4.450275,2.39,1.558,34.981,0.28267,0.17379406898307243,0.13841,-0.019,-0.105,495612512.0,8765444096.0,795299968.0,728000000.0,3830200000.0,656899968.0,203900000.0,13.625,3142800000.0,1291500000.0,,862500000.0,546200000.0,,0.38833481280350896,,138542508.0,0.16469135802469137,0.38136769597443754,1.4973913043478262,1.5524966562639322,0.06112383861524755,0.06688271604938271,1.2187221585847015,1.178425925925926,144319615.0,13500000.0,60.635,[],{},0.05930338418858952,11.021557209467913,12.040445186813187,0.08305340745167876,0.06184547006360744,,0.31925623821427007,0.95,19,20,0.8375,10.0,22.0,0.6226272727272728,0.6226272727272728,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6807366666666667,True,0.83335,0.9,strong_buy,4
APA,APA Corporation,Energy,12131098624.0,8.0,8.515285,1.8789006,2.92,0.919,61.314,0.26217,0.080738697145431,0.18313,-0.119,0.322,1691250048.0,17298423808.0,5210999808.0,2750000000.0,8920000000.0,4536000000.0,293000000.0,18.266,17761000000.0,2121000000.0,,2571000000.0,1434000000.0,,0.40560538116591927,,352964646.0,0.04146467251160392,0.44181986238061005,0.8249708284714119,1.1519458544839256,0.2584313946286808,0.317792676637442,0.5022239738753449,0.5021660649819495,365397149.0,278000000.0,34.32,[],{},0.13941441747526923,3.31959785940564,6.2903359301818185,0.15897402159428003,0.125,,0.18104015799868334,0.95,19,20,0.860170278637771,15.0,22.0,0.7643045454545454,0.7643045454545454,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,4,5,"cheapness,quality,dividend,garp",0.79774,False,0.73335,0.8946,hold,2
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,8701275136.0,,-56.738636,0.54173404,5.91,0.797,66.509,-0.04144,-0.04194521803183426,-0.36141,-0.115,,1408723072.0,24576456704.0,1860583936.0,555045000.0,2945175000.0,12878605312.0,418720000.0,92.167,34081835000.0,939781000.0,,2182600000.0,-1429570000.0,,0.686740176729736,,170537867.0,0.008605674209296773,0.7018515883170378,0.4305786676440942,0.4002596753853375,0.3744252033377898,0.3397913084899536,0.08641480131571554,0.08126600878199848,172203443.0,226698000.0,49.93,[],{},0.16189846315417097,13.209001877569689,44.27831383761677,0.02258441917339786,,,0.01739994705202178,0.9,18,20,0.7785976068948206,2.0,22.0,0.4223227272727273,0.4223227272727273,0.09090909090909091,0.0,1.0,0.09090909090909091,22.0,1,5,cheapness,0.35805333333333333,False,0.45,0.888,hold,2
MO,"Altria Group, Inc.",Consumer Defensive,121551380480.0,15.196242,12.385107,-37.87201,6.01,0.619,,,0.19838935374246794,0.39518002,0.053,1.063,8542875136.0,138881728512.0,15788000256.0,12035000000.0,20139000000.0,24601999360.0,3531000064.0,-1.922,35017000000.0,5932000000.0,,9154000000.0,6947000000.0,,0.7220815333432643,,1674318297.0,0.3202092276203201,0.7027489728037566,0.6480227223071882,0.513950575105341,0.7341862523916954,0.7085879978394974,0.5751206556815261,0.5811751997043523,1690651867.0,1177000000.0,72.79,[],{},0.07028200833478514,8.7966636850807,11.539819568923972,0.0866564675493661,0.06580574328837353,,0.46533658121640953,0.85,17,20,0.8664193605370076,9.0,22.0,0.6473818181818182,0.6473818181818182,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,3,5,"cheapness,dividend,garp",0.7115866666666667,False,0.53335,0.8729,hold,2
AIG,"American International Group, Inc.",Financial Services,41350782976.0,13.730634,8.806678,1.0286204,2.6,0.611,22.647,0.07723,0.019199523732744615,0.118389994,0.014,0.216,9517249536.0,40296235008.0,8316000256.0,4275000000.0,26774000000.0,9155999744.0,9592999936.0,75.82,161254000000.0,,,,3096000000.0,,,,538182168.0,-0.00870309071298397,,,,0.056997035732446945,0.055305537992338304,0.16603619135029207,0.16904080038680402,606159452.0,396000000.0,77.99,[],{},0.23015887127273535,4.845626956171176,9.42601988491228,0.10608931576737345,0.07282984893487074,,,0.9,18,20,0.7421428571428572,8.0,22.0,0.6421090909090909,0.6421090909090909,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,3,5,"cheapness,dividend,garp",0.6683,False,0.73335,0.8225,hold,2
ADBE,Adobe Inc.,Technology,92997115904.0,13.391815,8.498536,8.104583,,0.751,61.443,0.62953997,0.2417276918904258,0.28689,0.127,0.079,9218374656.0,90713604096.0,9729000448.0,8706000000.0,23769000000.0,7077000192.0,5625999872.0,28.867,29496000000.0,10163000000.0,,10200000000.0,7130000000.0,,0.8926753334174765,,413000000.0,0.18392325504465762,0.89035108114392,0.9963725490196078,1.067579127459367,0.22538649308380798,0.20033079722130334,0.8058380797396257,0.711379424412835,441000000.0,263000000.0,233.955,[],{},0.09912538218406726,9.324041516993463,10.419665069607168,0.09597237467035982,0.07467247718102438,,0.451181592039801,0.9,18,20,0.7720588235294117,7.0,22.0,0.49806818181818185,0.49806818181818185,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,2,5,"cheapness,quality",0.4622616666666667,False,0.73335,0.7812,hold,2
ALL,The Allstate Corporation,Financial Services,62017667072.0,5.3312526,9.090165,2.099478,1.8,0.364,23.719,0.45221,0.08585647722907865,0.17813,0.03,3.384,12428999680.0,65718165504.0,14840000512.0,13555000000.0,67069000000.0,7491999744.0,5401999872.0,114.752,119758000000.0,,,,10282000000.0,,,,260135910.0,0.04181262710877375,,,,0.06254279463584896,0.07243520252291318,0.5600377427812756,0.5690441420213767,264969685.0,399000000.0,240.9193,[],{},0.20041062920942246,4.428447657455175,4.848260088823312,0.20625956150852937,0.18757317933125134,,,0.9,18,20,0.7342857142857143,13.0,22.0,0.7497045454545455,0.7497045454545455,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,4,5,"cheapness,quality,dividend,garp",0.7916216666666667,False,0.73335,0.7486,hold,2
AKAM,"Akamai Technologies, Inc.",Technology,17289238528.0,40.175674,16.566551,3.5260627,,2.057,119.534,0.091680005,0.039376747168879726,0.102,0.058,-0.134,700723392.0,22384967680.0,1146972032.0,628242000.0,4208175000.0,5867704832.0,930444992.0,33.726,11479643000.0,2286680000.0,,967518000.0,452031000.0,,0.589486416320614,,144711094.0,0.04869596582434683,0.5939050924441166,2.3634495688969093,1.2327588803833744,0.4943871512380655,0.4469766708442696,0.36657716620630104,0.384921473441681,150025096.0,30759000.0,118.92,[],{},0.040529453675196586,19.51657673898713,35.63112252921645,0.02806535211401297,0.024890683850132794,,0.059763558747636655,0.9,18,20,0.639705882352941,1.0,22.0,0.2260863636363636,0.2260863636363636,0.045454545454545456,0.0,0.7109,0.045454545454545456,22.0,1,5,cheapness,0.2379,False,0.63335,0.7109,hold,2
AEP,"American Electric Power Company, Inc.",Utilities,72314273792.0,19.660501,19.375036,2.2729294,2.87,0.526,157.099,0.12585,0.03127730211427573,0.16289,0.102,0.067,-6953449984.0,124555902976.0,9141000192.0,5385000000.0,21876000000.0,51808002048.0,516000000.0,58.473,114460000000.0,6052000000.0,,13314000000.0,3580000000.0,,0.6100749680014628,,540861473.0,0.02878402762956208,0.6318138025455099,0.4545591107105303,0.44499961565070334,0.43253538354010135,0.44396476454723605,0.19112353660667483,0.19132113545082366,532907715.0,2026000000.0,132.905,[],{},-0.0961559816530889,13.62606939719885,23.130158398514393,0.043233599302295665,0.050863403735235437,,0.05323987107745239,0.95,19,20,0.6900000000000002,6.0,22.0,0.43577272727272726,0.43577272727272726,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,3,5,"cheapness,dividend,garp",0.5055216666666666,False,0.36665000000000003,0.68,hold,2
