ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since,timing_signal,timing_score,rsi_14
FIS,"Fidelity National Information Services, Inc.",Technology,18188976128.0,5.4055295,5.2519174,1.132203,4.94,0.535,132.51,0.22348,0.0114070711896798,0.27648002,0.291,,2653125120.0,38662692864.0,3524000000.0,1759000000.0,10677000000.0,21255999488.0,744000000.0,31.081,33488000000.0,4488000000.0,,7616000000.0,382000000.0,2816000000.0,0.3686428772127001,,514000000.0,0.0429197253137579,0.375629505282907,0.5892857142857143,0.8510009845749918,0.398082895365504,0.3416114136869524,0.3188306258958432,0.299757281553398,531000000.0,391000000.0,35.19,[],{},0.1458644566538187,10.97125223155505,21.97992772256964,0.0454960549744287,0.1849957529600014,,0.0679885590599876,1.0,20,20,0.9177900326797384,10.0,22.0,0.604409090909091,0.604409090909091,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,quality,dividend,risk",0.5592699999999999,True,0.7,0.9676,strong_buy,4,22,stable,0.7542,persistent,2026-07-25,neutral,0.625,27.117054798506544
HPQ,HP Inc.,Technology,29714014208.0,12.576337,10.50042,-323.0392,3.49,0.788,,,0.0605472958414134,0.04143,0.125,-0.113,3389874944.0,35884011520.0,4636000256.0,3624000000.0,55295000000.0,10339000320.0,4168999936.0,-0.102,41769000000.0,22453000000.0,,29258000000.0,2529000000.0,3697000000.0,0.2060222443258884,,921149000.0,0.0695331880027061,0.2206538583618066,0.7674140406042792,0.7236727437515251,0.260528142881084,0.273096294069007,1.3238286767698533,1.3420281139592574,938989000.0,555000000.0,32.95,[],{},0.114083372252253,7.740295413823204,9.901769183222958,0.1009920531872574,0.0795144086867265,,0.2896650947166493,0.9,18,20,0.9659403395504544,10.0,22.0,0.6380499999999999,0.6380499999999999,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,dividend,garp,risk",0.6302166666666666,True,0.8,0.9635,strong_buy,4,22,stable,0.6946,persistent,2026-07-25,neutral,0.375,55.69971937365329
FSLR,"First Solar, Inc.",Technology,21476763648.0,12.313001,8.595593,2.0809946,,2.518,1.88,0.18509,0.1147206243229832,0.32465,-0.037,0.233,1598684800.0,19943809024.0,2385900032.0,1596864000.0,5219376000.0,194010000.0,1726963968.0,96.031,13321310000.0,6028832000.0,,2254102000.0,1528229000.0,2057105000.0,0.4062437732020073,,107309794.0,0.1065659460321249,0.4416871974322259,2.674604787183544,2.449663095287377,0.0491944861278658,0.0592857635961185,0.3918065115217647,0.3469287164907083,107060281.0,44131000.0,199.84,[],{},0.0744378820851285,8.359029614196341,12.489359785178952,0.0800681553898938,0.0812149694457102,,0.1442878818216844,0.95,19,20,0.8591684040638944,13.0,22.0,0.6248318181818181,0.6248318181818181,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,4,5,"cheapness,quality,garp,risk",0.6202516666666666,True,1.0,0.9291,strong_buy,4,16,stable,0.6795,persistent,2026-08-02,neutral,0.625,44.18132202590786
IT,"Gartner, Inc.",Technology,11576470528.0,16.4708,11.206277,-70.56197,,0.88,,1.13581,0.0901910851658545,0.11996,-0.006,0.331,1052553024.0,13417260032.0,1383901056.0,1175711000.0,6497226000.0,3329496064.0,1488706048.0,-2.598,8085400000.0,4066337000.0,,4072092000.0,729231000.0,1290365000.0,0.6839304958762401,,70849298.0,0.1468966993572452,0.677215679648263,0.9985867215180796,1.0573227721934102,0.4140735152249734,0.3397911882016307,0.8035750859574047,0.7343471119156204,77379853.0,125277000.0,183.32,[],{},0.09092175559504,9.695245172209768,11.41203921031614,0.0876267581604548,0.0607135051120771,,0.2929530950527594,0.9,18,20,0.9162731865688514,10.0,22.0,0.5686636363636364,0.5686636363636364,0.4545454545454545,0.0,1.0,0.4545454545454545,22.0,4,5,"cheapness,quality,garp,risk",0.529825,True,0.8,0.9197,strong_buy,4,17,stable,0.661,persistent,2026-07-26,neutral,0.375,49.602848648251296
CMCSA,Comcast Corporation,Communication Services,81370243072.0,7.3493595,6.4046702,0.9059302,5.8,0.796,100.474,0.114879996,0.073351893218306,0.08966,-0.012,-0.668,12697624576.0,164282236928.0,34072999936.0,20670000000.0,123707000000.0,90381000704.0,7661000192.0,25.311,272631000000.0,29567000000.0,,33524000000.0,19998000000.0,33643000000.0,0.7174695045551182,,3604212627.0,0.0608239328953349,0.7007540551680662,0.8819651592888677,0.6771178090497966,0.362897102677245,0.3722348062251372,0.4537525079686462,0.4647854521413465,3787746392.0,4409000000.0,22.93,[],{},0.1560475192972519,4.821478508982908,7.947858583841316,0.1258200544777037,0.1360662789730179,,0.0864466535902336,1.0,20,20,0.8624942791762014,13.0,22.0,0.7155454545454546,0.7155454545454546,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6970050000000001,True,0.8,0.9167,strong_buy,4,17,stable,0.8896,persistent,2026-07-26,neutral,0.625,31.882886747065243
MO,"Altria Group, Inc.",Consumer Defensive,114427543552.0,14.427368,11.686502,-42.884853,6.39,0.518,,,0.1983893537424679,0.38999,0.012,-0.027,9014625280.0,136687550464.0,15735000064.0,12035000000.0,20139000000.0,24576999424.0,2367000064.0,-1.598,35017000000.0,5932000000.0,,9154000000.0,6947000000.0,9290000000.0,0.7220815333432643,,1674318297.0,0.3202092276203201,0.7027489728037566,0.6480227223071882,0.513950575105341,0.7341862523916954,0.7085879978394974,0.5751206556815261,0.5811751997043523,1690651867.0,1177000000.0,68.53,[],{},0.0787802044872476,8.68684778570332,11.35750315446614,0.0880475212200815,0.0693127117849908,,0.4653365812164095,0.9,18,20,0.9069444444444444,9.0,22.0,0.6444363636363636,0.6444363636363636,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6644833333333333,True,0.7,0.9081,strong_buy,4,22,stable,0.6534,persistent,2026-07-25,neutral,0.625,52.12054410581833
CTSH,Cognizant Technology Solutions Corporation,Technology,28086740992.0,12.74249,9.396001,1.855857,2.2,2.182,14.479,0.14924,0.107771119273149,0.10258,0.045,0.038,2215500032.0,27790376960.0,4036000000.0,3327000000.0,21108000000.0,2094000000.0,1051000000.0,31.996,20692000000.0,7818000000.0,,3659000000.0,2230000000.0,2883000000.0,0.337170740951298,,479000000.0,0.112190724231193,0.3434333198216457,2.1366493577480186,2.093165969316597,0.0556736903150976,0.0741260142241811,1.0201043881693408,0.9884804167084044,495000000.0,37000000.0,59.38,[],{},0.0788806374022192,6.885623627353816,8.352983757138563,0.1197176995759614,0.0784775973926603,,0.1953267187224799,1.0,20,20,0.8422474737410772,12.0,22.0,0.7117181818181819,0.7117181818181819,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7374233333333333,True,1.0,0.9036,strong_buy,4,29,stable,0.8729,persistent,2026-07-16,neutral,0.375,47.998967794143525
MAS,Masco Corporation,Industrials,13357475840.0,15.608294,14.550281,-36.596436,1.88,1.865,,58.625,0.1557392809075178,0.11614,-0.029,0.245,897124992.0,16549476352.0,1508000000.0,1253000000.0,7562000000.0,3492999936.0,548000000.0,-1.851,5201000000.0,2840000000.0,,1573000000.0,810000000.0,1022000000.0,0.3542713567839196,,204300000.0,0.1638755980861244,0.3616504854368932,1.8054672600127144,1.75,0.6181503557008268,0.6407496012759171,1.4539511632378388,1.5606060606060606,212500000.0,101000000.0,67.74,[],{},0.0671627635899208,10.974453814323608,13.207882164405428,0.075712365355208,0.0640685010161905,,0.3453693495038589,0.95,19,20,0.9187952073922058,11.0,22.0,0.6582727272727271,0.6582727272727271,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6973983333333333,True,0.8,0.9019,strong_buy,4,17,stable,0.8648,persistent,2026-07-26,neutral,0.625,36.38297666852985
ACN,Accenture plc,Technology,113888542720.0,14.853153,12.681594,3.5707297,3.6,1.339,25.035,0.24406,0.1174163941262878,0.10656,0.056,0.09,12089380864.0,113722892288.0,12943767552.0,10840988000.0,69672977000.0,8388769792.0,10171567104.0,52.121,65394897000.0,28900689000.0,,20352097000.0,7678433000.0,11474399000.0,0.319139528084181,,621855922.0,0.1298852151124028,0.3260935295334426,1.4200349477501015,1.099159011741437,0.1251300388163315,0.0736702112871576,1.0654191717742134,1.1602668029598535,625280287.0,228555000.0,186.11,[],{},0.1061509838941593,8.785918924388298,10.490085616550816,0.0953281066097536,0.0673257725144284,,0.2406819291873507,1.0,20,20,0.8573145491258833,13.0,22.0,0.6961545454545455,0.6961545454545455,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7632433333333333,True,1.0,0.8995,strong_buy,4,32,stable,0.8784,persistent,2026-07-16,neutral,0.5,53.395638666858915
DVA,DaVita Inc.,Healthcare,11703492608.0,15.452541,10.570202,-15.241996,,1.467,1241.986,0.88475,0.0427230320095939,0.060489997,0.052,0.558,1042460032.0,26195423232.0,2826204928.0,2010615000.0,13643069000.0,13406474240.0,688876992.0,-11.963,17480103000.0,4058003000.0,,3141634000.0,746803000.0,1886500000.0,0.3224782488456226,,68549000.0,0.0541699440240093,0.3290556394380264,1.2916854732282628,1.2598572009914542,0.7365134518944196,0.6980994451460053,0.7804913392100722,0.7414145965223102,80536000.0,579926000.0,182.34,[],{},0.089072558672564,9.26876284606068,13.028562520422856,0.0767544384449516,0.0647142757945117,,0.1402252220930979,0.95,19,20,0.9023370964547436,8.0,22.0,0.5372681818181818,0.5372681818181818,0.3636363636363636,0.0,1.0,0.3636363636363636,22.0,4,5,"cheapness,quality,garp,risk",0.5033716666666667,True,0.7,0.897,strong_buy,4,15,stable,0.6837,persistent,2026-08-16,neutral,0.625,44.73363936541316
